project,state,city,churches,last_scraped,covered
CR Community News - AL - The Clayton Record ,AL,Bakerhill,0,,NO
CR Community News - AL - The Clayton Record ,AL,Clayton,0,,NO
CR Community News - AL - The Clayton Record ,AL,Clio,1,2026-04-22 03:05:49,yes
CR Community News - AL - The Clayton Record ,GA,Comer,0,,NO
CR Community News - AL - The Clayton Record ,AL,Eufaula,1,2026-04-22 03:06:19,yes
CR Community News - AL - The Clayton Record ,GA,Georgetown,0,,NO
CR Community News - AL - The Clayton Record ,AL,Louisville,0,,NO
CR Community News - AR - Areawide News,AR,Ash Flat,0,,NO
CR Community News - AR - Areawide News,AR,Calico Rock,0,,NO
CR Community News - AR - Areawide News,AR,Cave City,0,,NO
CR Community News - AR - Areawide News,AR,Guion,0,,NO
CR Community News - AR - Areawide News,AR,Horseshoe Bend,1,2026-04-22 03:11:17,yes
CR Community News - AR - Areawide News,AR,Mammoth Spring,0,,NO
CR Community News - AR - Areawide News,AR,Melbourne,0,,NO
CR Community News - AR - Areawide News,AR,Mount Olive,0,,NO
CR Community News - AR - Areawide News,AR,Oxford,0,,NO
CR Community News - AR - Areawide News,AR,Ozark Acres,0,,NO
CR Community News - AR - Areawide News,AR,Pineville,0,,NO
CR Community News - AR - Areawide News,AR,Sidney,0,,NO
CR Community News - AR - Areawide News,AR,Viola,0,,NO
CR Community News - AR - Areawide News,AR,Violet Hill,0,,NO
CR Community News - AR - Areawide News,AR,Williford,0,,NO
CR Community News - AR - Clay County Courier,AR,Corning,2,2026-04-22 03:10:20,yes
CR Community News - AR - Clay County Courier,AR,Datto,0,,NO
CR Community News - AR - Clay County Courier,AR,Knobel,0,,NO
CR Community News - AR - Clay County Courier,AR,McDougal,0,,NO
CR Community News - AR - Clay County Courier,AR,Peach Orchard,0,,NO
CR Community News - AR - Clay County Courier,AR,Success,0,,NO
CR Community News - AR - Clay County Times-Democrat,AR,Corning,2,2026-04-22 03:10:20,yes
CR Community News - AR - Clay County Times-Democrat,AR,Greenway,0,,NO
CR Community News - AR - Clay County Times-Democrat,AR,Nimmons,0,,NO
CR Community News - AR - Clay County Times-Democrat,AR,Piggott,0,,NO
CR Community News - AR - Clay County Times-Democrat,AL,Pollard,0,,NO
CR Community News - AR - Clay County Times-Democrat,AR,Rector,0,,NO
CR Community News - AR - Clay County Times-Democrat,AR,St. Francis,0,,NO
CR Community News - AR - Marshall Mountain Wave,AR,Big Flat,0,,NO
CR Community News - AR - Marshall Mountain Wave,AR,Gilbert,0,,NO
CR Community News - AR - Marshall Mountain Wave,AR,Leslie,0,,NO
CR Community News - AR - Marshall Mountain Wave,AR,Marshall,0,,NO
CR Community News - AR - Marshall Mountain Wave,AR,Pindall,0,,NO
CR Community News - AR - Marshall Mountain Wave,AR,St. Joe,0,,NO
CR Community News - AR - Marshall Mountain Wave,AR,Witts Springs,0,,NO
CR Community News - AR - Pocahontas Star Herald,AR,Biggers,0,,NO
CR Community News - AR - Pocahontas Star Herald,AR,Maynard,0,,NO
CR Community News - AR - Pocahontas Star Herald,AR,O'Kean,0,,NO
CR Community News - AR - Pocahontas Star Herald,AR,Pocahontas,2,2026-04-22 03:12:46,yes
CR Community News - AR - Pocahontas Star Herald,AR,Ravenden Springs,0,,NO
CR Community News - AR - Pocahontas Star Herald,AR,Reyno,0,,NO
CR Community News - AR - Pocahontas Star Herald,AR,Warm Springs,0,,NO
CR Community News - CO - Bent County Democrat,CO,Hasty,0,,NO
CR Community News - CO - Bent County Democrat,CO,Las Animas,1,2026-02-21 13:17:41,yes
CR Community News - CO - Bent County Democrat,CO,McClave,0,,NO
CR Community News - CO - La Junta Tribune-Democrat,CO,Cheraw,0,,NO
CR Community News - CO - La Junta Tribune-Democrat,CO,Fowler,1,2026-02-21 13:16:20,yes
CR Community News - CO - La Junta Tribune-Democrat,CO,La Junta,1,2026-02-21 13:17:25,yes
CR Community News - CO - La Junta Tribune-Democrat,CO,La Junta Gardens,0,,NO
CR Community News - CO - La Junta Tribune-Democrat,CO,Manzanola,0,,NO
CR Community News - CO - La Junta Tribune-Democrat,CO,North La Junta,0,,NO
CR Community News - CO - La Junta Tribune-Democrat,CO,Rocky Ford,1,2026-02-21 13:19:28,yes
CR Community News - CO - La Junta Tribune-Democrat,CO,Swink,0,,NO
CR Community News - GA - The Claxton Enterprise,GA,Bellville,0,,NO
CR Community News - GA - The Claxton Enterprise,GA,Claxton,1,2026-02-21 14:33:39,yes
CR Community News - GA - The Claxton Enterprise,GA,Daisy,0,,NO
CR Community News - GA - The Claxton Enterprise,GA,Hagan,0,,NO
CR Community News - IA - The Hamburg Reporter,IA,Anderson,0,,NO
CR Community News - IA - The Hamburg Reporter,IA,Bartlett,0,,NO
CR Community News - IA - The Hamburg Reporter,IA,Farragut,0,,NO
CR Community News - IA - The Hamburg Reporter,IA,Hamburg,1,2026-02-21 17:35:39,yes
CR Community News - IA - The Hamburg Reporter,IA,Imogene,1,2026-02-21 17:36:20,yes
CR Community News - IA - The Hamburg Reporter,IA,Percival,0,,NO
CR Community News - IA - The Hamburg Reporter,IA,Randolph,0,,NO
CR Community News - IA - The Hamburg Reporter,IA,Riverton,0,,NO
CR Community News - IA - The Hamburg Reporter,IA,Shenandoah,1,2026-02-21 17:43:35,yes
CR Community News - IA - The Hamburg Reporter,IA,Sidney,0,,NO
CR Community News - IA - The Hamburg Reporter,IA,Tabor,0,,NO
CR Community News - IA - The Hamburg Reporter,IA,Thurman,0,,NO
CR Community News - ID - The Star News,ID,Cascade,1,2026-02-21 14:51:52,yes
CR Community News - ID - The Star News,ID,Donnelly,0,,NO
CR Community News - ID - The Star News,ID,McCall,1,2026-02-21 14:53:05,yes
CR Community News - ID - The Star News,ID,Smiths Ferry,0,,NO
CR Community News - ID - The Star News,ID,Yellow Pine,0,,NO
CR Community News - IL - Cass County Star-Gazette,IL,Arenzville,1,2026-02-21 15:28:18,yes
CR Community News - IL - Cass County Star-Gazette,IL,Ashland,1,2026-02-21 15:28:35,yes
CR Community News - IL - Cass County Star-Gazette,IL,Beardstown,1,2026-02-21 15:29:32,yes
CR Community News - IL - Cass County Star-Gazette,IL,Chandlerville,0,,NO
CR Community News - IL - Cass County Star-Gazette,IL,Virginia,1,2026-02-21 16:07:23,yes
CR Community News - IN - Register Publications,IN,Aurora,1,2026-02-21 16:28:31,yes
CR Community News - IN - Register Publications,IN,Bright,0,,NO
