network,project,project_pipeline_id,project_shape_type,shape,shape_type,state_abbr
Cherry Road Community News ,CR Community News - AL - The Clayton Record ,7026,county,Bakerhill,city,AL
Cherry Road Community News ,CR Community News - AL - The Clayton Record ,7026,county,Barbour,county,AL
Cherry Road Community News ,CR Community News - AL - The Clayton Record ,7026,county,Clayton,city,AL
Cherry Road Community News ,CR Community News - AL - The Clayton Record ,7026,county,Clio,city,AL
Cherry Road Community News ,CR Community News - AL - The Clayton Record ,7026,county,Comer,city,GA
Cherry Road Community News ,CR Community News - AL - The Clayton Record ,7026,county,Eufaula,city,AL
Cherry Road Community News ,CR Community News - AL - The Clayton Record ,7026,county,Georgetown,city,GA
Cherry Road Community News ,CR Community News - AL - The Clayton Record ,7026,county,Louisville,city,AL
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Ash Flat,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Calico Rock,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Camp,neighborhood,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Cave City,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Cherokee Village,precinct,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Elizabeth,neighborhood,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct, Evening Shade,precinct,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct, Franklin,precinct,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Gepp,neighborhood,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Guion,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Hardy,precinct,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Highland,precinct,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Horseshoe Bend,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Mammoth Spring,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Melbourne,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Mount Olive,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Mount Pleasant,neighborhood,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Oxford,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Ozark Acres,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Pineville,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct, Salem,precinct,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Sidney,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Sturkie,neighborhood,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Union,precinct,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Viola,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Violet Hill,city,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Violet Hill,neighborhood,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Wheeling,neighborhood,AR
Cherry Road Community News ,CR Community News - AR - Areawide News,7027,precinct,Williford,city,AR
Cherry Road Community News ,CR Community News - AR - Clay County Courier,7031,city,Clay,county,AR
Cherry Road Community News ,CR Community News - AR - Clay County Courier,7031,city,Corning,city,AR
Cherry Road Community News ,CR Community News - AR - Clay County Courier,7031,city,Datto,city,AR
Cherry Road Community News ,CR Community News - AR - Clay County Courier,7031,city,Knobel,city,AR
Cherry Road Community News ,CR Community News - AR - Clay County Courier,7031,city,McDougal,city,AR
