term,type
Alzheimer,phrase
Cancer,phrase
Diabetes,phrase
Parkinson,phrase
Dementia,phrase
Hospice,phrase
Fish Fry,phrase
Fish Frys,phrase
Access Code,phrase
Full Page,phrase
Awareness Month,phrase
Support Group,phrase
Bulletin,phrase
Stewardship,phrase
Registration,phrase
Sacrament,phrase
Committee,phrase
Office Hours,phrase
Mass Schedule,phrase
Holy Spirit,phrase
Sacred Heart,phrase
Holy Family,phrase
Blessed Mother,phrase
Corpus Christi,phrase
Divine Mercy,phrase
Blessed Sacrament,phrase
Blessed Virgin,phrase
Our Lady,phrase
Infant Jesus,phrase
Ice Cream,phrase
Craft Fair,phrase
Yard Sale,phrase
Blood Drive,phrase
Food Pantry,phrase
Thrift Store,phrase
Bake Sale,phrase
Rummage Sale,phrase
Garage Sale,phrase
Forever Young,phrase
Silver Angels,phrase
Golden Agers,phrase
Anointed,phrase
Baptism,phrase
Confirmation,phrase
Communion,phrase
Rosary,phrase
Novena,phrase
Liturgy,phrase
Eucharist,phrase
Adoration,phrase
Lenten,phrase
Advent,phrase
Easter,phrase
Christmas,phrase
Pentecost,phrase
Bible Study,phrase
Prayer Group,phrase
Prayer Chain,phrase
Choir Director,phrase
Music Director,phrase
Pancake,phrase
Spaghetti Dinner,phrase
Pot Luck,phrase
Potluck,phrase
Knights Columbus,phrase
Altar Society,phrase
Ladies Guild,phrase
Youth Group,phrase
Young Adults,phrase
Funeral Home,phrase
Wedding Anniversary,phrase
Volunteer,phrase
Coordinator,phrase
Administrator,phrase
Custodian,phrase
Receptionist,phrase
Bookkeeper,phrase
Secretary,phrase
Phone Number,phrase
Website,phrase
Business Manager,phrase
Pope Francis,phrase
Pope Benedict,phrase
Pope John,phrase
Mother Teresa,phrase
Saint Joseph,phrase
Saint Patrick,phrase
Saint Michael,phrase
Saint Mary,phrase
Helping Hands,phrase
Good Shepherd,phrase
Social Hall,phrase
Parish Hall,phrase
Gift Card,phrase
Amazon Smile,phrase
Online Giving,phrase
Open House,phrase
Welcome Back,phrase
Spring Break,phrase
Summer Camp,phrase
Vacation Bible,phrase
Fair Trade,phrase
Saint Vincent,phrase
de Paul,phrase
Rehab ,phrase
Holy Hour,phrase
Holy Name,phrase
Holy Cross,phrase
Holy Rosary,phrase
Holy Trinity,phrase
First Reading,phrase
Second Reading,phrase
Gospel Reading,phrase
Ordinary Time,phrase
Jubilee Year,phrase
Feast Day,phrase
World Day,phrase
Memorial Day,phrase
Labor Day,phrase
Thanksgiving Day,phrase
New Year,phrase
Happy New,phrase
North America,phrase
Latin America,phrase
South America,phrase
High School,phrase
Middle School,phrase
Grade School,phrase
Main Street,phrase
Mailing Address,phrase
Auto Body,phrase
Auto Repair,phrase
Auto Insurance,phrase
Smart Roofing,phrase
Smart Driver,phrase
Ice Cream Social,phrase
Craft Bazaar,phrase
Wine Pull,phrase
Beer Tent,phrase
Beer Dance,phrase
Pizza Villa,phrase
Pork Sausage,phrase
Fried Chicken,phrase
Ascension App,phrase
Sports App,phrase
Suggested Donation,phrase
Contribution Statement,phrase
Place Your Ad,phrase
Safe Environment,phrase
Dear Parishioners,phrase
Dear Friends,phrase
Immaculate Conception,phrase
Immaculate Heart,phrase
Virgin Mary,phrase
Columbus Council,phrase
Columbus Meeting,phrase
Presbyteral Council,phrase
Diocesan Council,phrase
Finance Council,phrase
Pastoral Council,phrase
Lord Jesus,phrase
Lord Jesus Christ,phrase
The Knights,phrase
Paul Society,phrase
May God,phrase
Jordan River,phrase
Old Testament,phrase
New Testament,phrase
The Lord,phrase
The Diocese,phrase
The Epiphany,phrase
The St,phrase
Heavenly Father,phrase
Thomas Aquinas,phrase
Retirement Fund,phrase
First Reconciliation,phrase
Rice Bowl,phrase
Respect Life,phrase
Pro Life,phrase
Poor Souls,phrase
Faithful Departed,phrase
Deceased Members,phrase
Altar Server,phrase
Music Ministry,phrase
Shawl Ministry,phrase
English Ministry,phrase
Hispanic Ministry,phrase
Brother Knight,phrase
Grand Knight,phrase
Deputy Grand,phrase
Administrative Assistant,phrase
Property Manager,phrase
Development Manager,phrase
Case Manager,phrase
Extraordinary Minister,phrase
Eucharistic Minister,phrase
Volunteers Needed,phrase
Sign Up,phrase
Spring Alpha,phrase
Generation To,phrase
Doyle Vocal,phrase
Vocal Quartet,phrase
Stay Connected,phrase
More Info,phrase
Primera Comuni,phrase
La Cuaresma,phrase
El Evangelio,phrase
Sacrosanctum Concilium,phrase
Nueve Domingos,phrase
El Comit,phrase
Arroz La,phrase
Will Be ,phrase
Will Not ,phrase
Will Have ,phrase
Will Take ,phrase
Christian Education,phrase
Christian Formation,phrase
Christian Initiation,phrase
Christian Service,phrase
Christian Community,phrase
Christian Life,phrase
Precious Blood,phrase
Canon Law,phrase
Mardi Gras,phrase
Faith Forma,phrase
Mount Carmel,phrase
Roman Missal,phrase
Young People,phrase
Ascension Press,phrase
Supreme Court,phrase
Little Flower,phrase
La Crosse,phrase
Columbus Free Throw,phrase
King Herod,phrase
Phone Fax,phrase
Bus Driver,phrase
Texas Roadhouse,phrase
Adult Faith,phrase
Mass Times,phrase
Gospel Meditation,phrase
Spiritual Direction,phrase
Spring Work,phrase
Parish Fund,phrase
In Residence,phrase
Same Day,phrase
Topsoil Mulch,phrase
Parish App,phrase
Fulton Sheen,phrase
Fulton J. Sheen,phrase
Martin Luther King,phrase
John Muir,phrase
