slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-al-adamsville-saint-patrick-24beac2b,St. Patrick,301 Shamrock Trail,Adamsville,Alabama,33.58092956,-86.9315538,(205) 798-5326,http://www.saintpatrickcc.com/,20,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-albertville-chapel-of-the-holy-cross-75f0cae6,Chapel of the Holy Cross,1534 Whitesville Rd,Albertville,Alabama,34.25181461,-86.21912714,(256) 891-0550,http://www.chapelholycross.com,12,0,0,False,https://catholicindex.org/mass-times/albertville-alabama,2026-02-21T10:57:29.514323+00:00
us-al-albertville-st-william-catholic-church-74540394,St William Catholic Church,1534 Whitesville Rd,Albertville,AL,34.2527443,-86.2190794,+1-256-891-0550,https://chapelholycross.com/,15,0,0,False,https://catholicindex.org/mass-times/albertville-alabama,2026-02-21T10:57:29.514323+00:00
us-al-alexander-city-st-john-the-apostle-f3964aa3,St. John the Apostle,454 N Central Ave,Alexander City,Alabama,32.9499435,-85.9562149,(256) 234-3631,http://www.facebook.com/St.JohnTheApostleCatholicChurch/,0,0,0,False,https://catholicindex.org/mass-times/alexander-city-alabama,2026-02-21T10:57:30.975183+00:00
us-al-andalusia-christ-the-king-2d30c9ba,Christ the King,508 Sanford Rd,Andalusia,Alabama,31.31090533,-86.45665268,(334) 222-4808,https://ctkandalusia.wixsite.com/christ-the-king-cath,5,0,0,False,https://catholicindex.org/mass-times/andalusia-alabama,2026-02-21T10:57:42.879027+00:00
us-al-anniston-all-saints-6fc5fc84,All Saints,1112 W 15th St,Anniston,Alabama,33.66341203,-85.84472538,(256) 237-9230,http://bhmdiocese.org/parishfinder,2,0,0,False,https://catholicindex.org/mass-times/anniston-alabama,2026-02-21T10:57:47.440125+00:00
us-al-anniston-sacred-heart-of-jesus-09f1bbb8,Sacred Heart of Jesus,1301 Golden Springs Rd,Anniston,Alabama,33.63090107,-85.78391075,(256) 237-3011,http://sacredheartanniston.org/,9,0,0,False,https://catholicindex.org/mass-times/anniston-alabama,2026-02-21T10:57:47.440125+00:00
us-al-ashland-saint-mark-feaf12fd,St. Mark,460 Country Club Rd,Ashland,Alabama,33.27551742,-85.7934643,(256) 354-3598,http://www.bhmdiocese.org/parishfinder,1,0,0,False,https://catholicindex.org/mass-times/alexander-city-alabama,2026-02-21T10:57:30.975183+00:00
us-al-athens-st-paul-d26395db,St. Paul,1900 US Hwy 72 W,Athens,Alabama,34.79115659,-86.99562347,256-232-4191,http://www.stpaulathens.org/,8,0,0,False,https://catholicindex.org/mass-times/athens-alabama,2026-02-21T10:58:01.026994+00:00
us-al-atmore-st-robert-bellarmine-f0618ea1,St. Robert Bellarmine,600 S Main St,Atmore,Alabama,31.01687937,-87.49410453,(251) 368-3615,http://strobertatmore.com/,6,0,0,False,https://catholicindex.org/mass-times/atmore-alabama,2026-02-21T10:58:02.403326+00:00
us-al-auburn-blessed-pier-giorgio-frassati-chapel-catholic-campus-ministry-3365d2ab,Blessed Pier Giorgio Frassati Chapel-Catholic Campus Ministry,342 N College St,Auburn,Alabama,32.61153738,-85.48134431,(334) 209-1711,http://aucatholic.org/,2,0,0,False,https://catholicindex.org/mass-times/auburn-alabama,2026-02-21T10:58:05.407764+00:00
us-al-auburn-st-michael-the-archangel-a95e9068,St. Michael,1100 N College St,Auburn,Alabama,32.6280701,-85.47984251,(334) 887-5540,http://stmichaelsauburn.com,17,0,0,False,https://catholicindex.org/mass-times/auburn-alabama,2026-02-21T10:58:05.407764+00:00
us-al-battles-wharf-sacred-heart-chapel-8531a2ac,Sacred Heart Chapel,18673 Scenic Hwy 98,Battles Wharf,Alabama,30.49707238,-87.92512157,(251) 928-5931,http://www.stlawrencefairhope.com,2,0,0,False,https://catholicindex.org/mass-times/bayou-la-batre-alabama,2026-02-21T10:58:17.444235+00:00
us-al-bay-minette-st-agatha-6a65e76f,St. Agatha,1001 Hand Ave,Bay Minette,Alabama,30.89169967,-87.77845124,(251) 937-8600,http://www.stagathabm.com,4,0,0,False,https://catholicindex.org/mass-times/atmore-alabama,2026-02-21T10:58:02.403326+00:00
us-al-bayou-la-batre-st-margaret-8ef1713e,St. Margaret,13790 S Wintzell Ave,Bayou La Batre,Alabama,30.4042319,-88.24811786,(251) 824-2415,http://stmargaretbayoulabatre.org,12,0,0,False,https://catholicindex.org/mass-times/bayou-la-batre-alabama,2026-02-21T10:58:17.444235+00:00
us-al-bessemer-st-aloysius-966c6887,St. Aloysius,751 Academy Dr,Bessemer,Alabama,33.36118136,-86.99763226,(205) 424-2984,http://www.staloysiuscc.org,9,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-bessemer-st-francis-of-assisi-2d26323a,St. Francis of Assisi,2400 7th Ave N,Bessemer,Alabama,33.41109278,-86.9539519,205-428-4758 ,http://www.facebook.com/p/St-Francis-of-Assisi-Catholic-Church-Bessemer-100064411613087/,0,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-birmingham-bew-white-chapel-at-childrens-hospital-a03846bb,Bew White Chapel at Children's Hospital ,1600 7th Ave S,Birmingham,Alabama,33.503925,-86.805635,(205) 638-9090,http://www.childrensal.org/sacred-spaces,0,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-birmingham-blessed-sacrament-3f2faedc,Blessed Sacrament,1460 Pearson Ave SW,Birmingham,Alabama,33.48884332,-86.85549897,(205) 785-9840,http://www.myblessedsacrament.org/,11,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-birmingham-holy-rosary-9296273e,Holy Rosary,7414 Georgia Rd,Birmingham,Alabama,33.541527,-86.72720697,(205) 595-0652,https://www.holyrosarybirmingham.com/,2,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-birmingham-our-lady-queen-of-the-universe-c177b5e2,Our Lady Queen of the Universe Church,961 Center St N,Birmingham,Alabama,33.51787048,-86.83573924,(205) 328-7729,http://www.facebook.com/ourladyqueenoftheuniversebirmingham/,0,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-birmingham-our-lady-of-fatima-8b11123d,Our Lady of Fatima,708 1st St S,Birmingham,Alabama,33.49228722,-86.82765257,(205) 322-1205,https://olfbirmingham.org/,7,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-birmingham-our-lady-of-lourdes-aa45f67f,Our Lady of Lourdes,980 Huffman Rd,Birmingham,Alabama,33.60412815,-86.68974764,(205) 836-2274,http://ollcbham.com/,7,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-birmingham-our-lady-of-sorrows-3b101770,Our Lady of Sorrows,1728 Oxmoor Rd,Birmingham,Alabama,33.47610092,-86.7952041,(205) 871-8121,http://www.ourladyofsorrows.com/,46,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-birmingham-our-lady-of-the-valley-a2c6eea9,Our Lady of the Valley,5514 Double Oak Ln,Birmingham,Alabama,33.3596428,-86.73374915,(205) 991-5488,http://www.olvchurchbirmingham.com/,13,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-birmingham-our-lady-of-la-vang-628a6ec9,Parish of Our Lady of La Vang,5224 1st Ave N,Birmingham,Alabama,33.53791136,-86.75790617,205-847-0870,https://dioceseofraleigh.org/news/our-lady-la-vang-raleighs-first-vietnamese-catholic-church,0,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-birmingham-church-of-the-sacred-heart-of-jesus-e9eeb4e3,Sacred Heart of Jesus,3401 27th Ct N,Birmingham,Alabama,33.5501875,-86.7980625,12052528909,https://www.bhmdiocese.org/parishfinder,2,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-birmingham-st-barnabas-b38704ad,St. Barnabas,7921 1st Ave N,Birmingham,Alabama,33.56554859,-86.72585768,(205) 833-0334,http://www.stbarnabasbhm.com,8,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
us-al-birmingham-saint-elias-maronite-34385029,St. Elias (Maronite),836 8th St S,Birmingham,Alabama,33.49560001,-86.81550289,(205) 251-5057,http://www.stelias.org/,5,0,0,False,https://catholicindex.org/mass-times/adamsville-alabama,2026-02-21T10:57:20.542006+00:00
