slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
church-c5a5a926ae7d,"St. Francis Xavier Church, Eagle",,,Alaska,64.7876748,-141.20375633,$undefined,https://dioceseoffairbanks.org/parish-profiles,5,0,0,False,https://catholicindex.org/mass-times/eagle-alaska,2026-02-21T11:20:37.153883+00:00
us-ak-alakanuk-church-of-st-ignatius-688e6ff3,St. Ignatius,Alakanuk Alaska 99554,Alakanuk,Alaska,62.6906875,-164.6738125,19072383914,http://dioceseoffairbanks.org/joomla/index.php/parishes/parish-profiles/46-alakanuk-saint-ignatiu,0,0,0,False,https://catholicindex.org/mass-times/alakanuk-alaska,2026-02-21T11:19:20.407511+00:00
us-ak-alakanuk-saint-ignatius-alakanuk-a2062d37,"St. Ignatius, Alakanuk",53 Anderson St,Alakanuk,Alaska,62.68679018,-164.66877486,(907) 238-3914,https://dioceseoffairbanks.org/parish-profiles,0,0,0,False,https://catholicindex.org/mass-times/alakanuk-alaska,2026-02-21T11:19:20.407511+00:00
us-ak-anchorage-blessed-sacrament-monastery-8a0d1b9a,Blessed Sacrament Monastery,2645 E 72nd Ave,Anchorage,Alaska,61.15597048,-149.83334541,(907)344-3330,http://blessedsacramentmonastery.org/,0,0,0,False,https://catholicindex.org/mass-times/anchorage-alaska,2026-02-21T11:19:29.441221+00:00
us-ak-anchorage-our-lady-of-guadalupe-ad6384bd,Cathedral of Our Lady of Guadalupe,3900 Wisconsin St,Anchorage,Alaska,61.18479543,-149.94438244,(907) 248-2000,http://olgakcocathedral.org/,10,0,0,False,https://catholicindex.org/mass-times/anchorage-alaska,2026-02-21T11:19:29.441221+00:00
us-ak-anchorage-holy-cross-517b7603,Holy Cross,2627 Lore Rd,Anchorage,Alaska,61.15300127,-149.83319954,(907) 349-8388,http://www.holycrossalaska.net/,8,0,0,False,https://catholicindex.org/mass-times/anchorage-alaska,2026-02-21T11:19:29.441221+00:00
us-ak-anchorage-holy-family-fc7f7412,Holy Family Old Cathedral,800 W 5th Ave,Anchorage,Alaska,61.21740402,-149.89789147,(907) 276-3455,http://www.holyfamilycathedral.org/,18,0,0,False,https://catholicindex.org/mass-times/anchorage-alaska,2026-02-21T11:19:29.441221+00:00
us-ak-anchorage-holy-spirit-center-1fd45d29,Holy Spirit Center,10980 Hillside Dr,Anchorage,Alaska,61.12145952,-149.7481331,(907) 346-2343,http://www.holyspiritcenterak.org/,1,0,0,False,https://catholicindex.org/mass-times/anchorage-alaska,2026-02-21T11:19:29.441221+00:00
us-ak-anchorage-midnight-sun-chapel-64f3d815,Midnight Sun Chapel,7137 Fighter Dr JBER - Elmendorf,Anchorage,Alaska,61.24039496,-149.85520005,907-552-4422,http://www.jber.jb.mil/Services-Resources/Chapel/,0,0,0,False,https://catholicindex.org/mass-times/anchorage-alaska,2026-02-21T11:19:29.441221+00:00
us-ak-anchorage-our-lady-of-providence-chapel-9d9db8a2,Our Lady of Providence Chapel,3200 Province Dr D toser 1st Fl,Anchorage,Alaska,61.18823594,-149.81899023,907-212-2990,http://www.providence.org/locations/ak/alaska-medical-center/chapel-and-spiritual-care#tabcontent-2-pane-2,6,0,0,False,https://catholicindex.org/mass-times/anchorage-alaska,2026-02-21T11:19:29.441221+00:00
