slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
church-725ce7ae7e66,St. Joseph Mission ,10901 AZ-69,,,34.38756032,-112.21830658,(928) 632-4018,https://www.stjosephmissionchurch.org/,0,0,0,False,https://catholicindex.org/mass-times/black-canyon-city-arizona,2026-02-21T11:25:21.426913+00:00
us-az-aguila-our-lady-of-guadalupe-997c5700,Our Lady of Guadalupe Mission,N 1st St,Aguila,Arizona,33.94481151,-113.17511195,(928) 684-2096,http://www.mystanthonyofpadua.com/,7,0,0,False,https://catholicindex.org/mass-times/aguila-arizona,2026-02-21T11:24:58.967508+00:00
us-az-ajo-immaculate-conception-9d3758e6,Immaculate Conception,101 W Rocalla Ave,Ajo,Arizona,32.37294025,-112.86317604,(520) 387-7049 or (520) 387-6561 (Rectory),http://www.iccajo.com,0,0,0,False,https://catholicindex.org/mass-times/ajo-arizona,2026-02-21T11:25:00.483033+00:00
us-az-ak-chin-st-francis-of-assisi-mission-f046d31e,St. Francis of Assisi Mission,16657 N Church St,Ak-Chin,Arizona,33.0309375,-112.0758125,15206102937,https://dphx.org/,22,0,0,False,https://catholicindex.org/mass-times/casa-grande-arizona,2026-02-21T11:25:37.951718+00:00
us-az-alpine-st-helena-54a2b482,St. Helena,42909 US Hwy 180,Alpine,Arizona,33.82821608,-109.11213639,(928) 339-4363,http://stpeterchurchaz.com/,10,0,0,False,https://catholicindex.org/mass-times/alpine-arizona,2026-02-21T11:25:01.897073+00:00
us-az-amado-assumption-mission-36aed045,Assumption,17 Amado (Montosa) Rd,Amado,Arizona,31.70746113,-111.06140655,(520) 398-2646,http://stannsparishtubacaz.org,1,0,0,False,https://catholicindex.org/mass-times/amado-arizona,2026-02-21T11:25:03.523904+00:00
us-az-anthem-st-rose-philippine-duchesne-ae8b7319,St. Rose Philippine Duchesne,2825 W Rose Canyon Cir Bldg B,Anthem,Arizona,33.84415909,-112.12264148,(623) 465-9740,https://www.stroseanthem.com,21,0,0,False,https://catholicindex.org/mass-times/black-canyon-city-arizona,2026-02-21T11:25:21.426913+00:00
us-az-apache-junction-st-george-bec482bd,St. George,300 E 16th Ave,Apache Junction,Arizona,33.40157871,-111.54269782,(480) 982-2929,http://www.stgeorgeaj.com,19,0,0,False,https://catholicindex.org/mass-times/apache-junction-arizona,2026-02-21T11:25:04.989915+00:00
us-az-arivaca-st-ferdinands-mission-89d0c09b,St. Ferdinands Mission Chapel,17140 W Arivaca Rd,Arivaca,Arizona,31.57547398,-111.32925145,(520) 398-2646,http://stannsparishtubacaz.org,1,0,0,False,https://catholicindex.org/mass-times/amado-arizona,2026-02-21T11:25:03.523904+00:00
us-az-ash-fork-st-anne-9756ab00,St. Anne Mission,47046 7th St,Ash Fork,Arizona,35.2222366,-112.488869,(928) 635-2430,http://ssjaf.weconnect.com/,3,0,0,False,https://catholicindex.org/mass-times/ash-fork-arizona,2026-02-21T11:25:10.940906+00:00
us-az-avondale-st-thomas-aquinas-81af8ec5,St. Thomas Aquinas,13720 W Thomas Rd,Avondale,Arizona,33.47979435,-112.35546303,(623) 935-2151,https://www.stacc.net,11,0,0,False,https://catholicindex.org/mass-times/avondale-arizona,2026-02-21T11:25:12.535267+00:00
us-az-bagdad-st-francis-catholic-church-d844d7bf,St Francis Catholic Church,216 Cook St,Bagdad,AZ,34.5760827,-113.1793705,+1-928-633-2389,https://dphx.org/parish/st-francis-of-assisi-parish-bagdad/,0,0,0,False,https://catholicindex.org/mass-times/bagdad-arizona,2026-02-21T11:25:13.924026+00:00
us-az-bagdad-st-francis-of-assisi-21683934,St. Francis of Assisi,220 Cook St,Bagdad,Arizona,34.57508933,-113.17810929,(928) 633-2389,$undefined,3,0,0,False,https://catholicindex.org/mass-times/bagdad-arizona,2026-02-21T11:25:13.924026+00:00
us-az-benson-our-lady-of-lourdes-9cedfc5f,Our Lady of Lourdes,386 E 5th St,Benson,Arizona,31.96641891,-110.29364723,(520) 586-3394 or ,http://www.ololparish.com,7,0,0,False,https://catholicindex.org/mass-times/benson-arizona,2026-02-21T11:25:18.391758+00:00
us-az-bisbee-st-patrick-83c39327,St. Patrick,100 Quality Hill Rd,Bisbee,Arizona,31.44314105,-109.92133858,(520) 432-5753,http://www.stpatsbisbee.com,7,0,0,False,https://catholicindex.org/mass-times/bisbee-arizona,2026-02-21T11:25:19.919671+00:00
us-az-black-canyon-city-st-philip-benizi-a098172a,St. Philip Benizi Mission,34621 Old Black Canyon Hwy,Black Canyon City,Arizona,34.06346815,-112.14677861,623-465-9740,http://dphx.org/parish/st-philip-benizi-mission-black-canyon-city/,0,0,0,False,https://catholicindex.org/mass-times/black-canyon-city-arizona,2026-02-21T11:25:21.426913+00:00
us-ca-blythe-st-joan-of-arc-98be3928,St. Joan of Arc,875 E Chanslor Way,Blythe,California,33.61837412,-114.58774214,(760) 922-3261,http://www.sbdiocese.org/parishes/parish.cfm?id=17298,7,0,0,False,https://catholicindex.org/mass-times/poston-arizona,2026-02-21T11:29:17.005576+00:00
us-az-buckeye-st-henry-75193fe3,St. Henry,24750 Lower Buckeye Rd,Buckeye,Arizona,33.4217229,-112.58357166,(623)386-0175,http://www.sthenrybuckeye.com/,7,0,0,False,https://catholicindex.org/mass-times/avondale-arizona,2026-02-21T11:25:12.535267+00:00
us-az-bullhead-city-st-margaret-mary-catholic-church-2d0d2526,St Margaret Mary Catholic Church,1691 N Oatman Rd,Bullhead City,AZ,35.0963433,-114.5924358,+1-928-758-7117,https://www.stmargaretmarybhc.com/,14,0,0,False,https://catholicindex.org/mass-times/bullhead-city-arizona,2026-02-21T11:25:30.402461+00:00
us-az-bullhead-city-st-margaret-mary-alacoque-becf7324,St. Margaret Mary,1691 N Oatman Rd,Bullhead City,Arizona,35.09498988,-114.59145431,(928) 758-7117,https://www.stmargaretmarybhc.com/,14,0,0,False,https://catholicindex.org/mass-times/bullhead-city-arizona,2026-02-21T11:25:30.402461+00:00
us-az-camp-verde-st-frances-cabrini-3ddc1875,St. Frances Cabrini,781 S Cliffs Pkwy,Camp Verde,Arizona,34.55805255,-111.86353815,(928) 567-3543,http://dphx.org/parish/st-frances-cabrini-parish-camp-verde/,0,0,0,False,https://catholicindex.org/mass-times/camp-verde-arizona,2026-02-21T11:25:34.922112+00:00
us-az-carefree-our-lady-of-joy-31962cb7,Our Lady of Joy,36811 N Pima Rd,Carefree,Arizona,33.81939448,-111.88994984,(480) 488-2229,http://www.oloj.org/,26,0,0,False,https://catholicindex.org/mass-times/black-canyon-city-arizona,2026-02-21T11:25:21.426913+00:00
us-az-casa-grande-st-anthony-of-padua-c9602f60,St. Anthony of Padua,201 N Picacho St,Casa Grande,Arizona,32.87603227,-111.75248379,(520) 836-0601,http://www.stanthonycg.org,13,0,0,False,https://catholicindex.org/mass-times/casa-grande-arizona,2026-02-21T11:25:37.951718+00:00
us-az-cashion-church-of-st-william-ed7ad41a,St. William,11025 W 3rd St,Cashion,Arizona,33.4324375,-112.2970625,16239366115,https://www.stwilliamphx.org/,9,0,0,False,https://catholicindex.org/mass-times/avondale-arizona,2026-02-21T11:25:12.535267+00:00
us-az-cave-creek-saint-gabriel-the-archangel-parish-center-b5307777,Saint Gabriel the Archangel Parish Center,32648 N Cave Creek Rd,Cave Creek,AZ,33.7824083,-111.9756399,+1-480-595-0883,https://www.stgacc.org/,20,0,0,False,https://catholicindex.org/mass-times/black-canyon-city-arizona,2026-02-21T11:25:21.426913+00:00
us-az-cave-creek-st-gabriel-the-archangel-658fef58,St. Gabriel the Archangel,32648 N Cave Creek Rd,Cave Creek,Arizona,33.782238,-111.9764,(480) 595-0883,https://www.stgacc.org,12,0,0,False,https://catholicindex.org/mass-times/black-canyon-city-arizona,2026-02-21T11:25:21.426913+00:00
us-az-chandler-st-andrew-the-apostle-556ee8da,St. Andrew the Apostle,3450 W Ray Rd,Chandler,Arizona,33.3211441,-111.9015274,(480) 899-1990,https://www.standrewchandler.com,16,0,0,False,https://catholicindex.org/mass-times/apache-junction-arizona,2026-02-21T11:25:04.989915+00:00
us-az-chandler-st-columba-kim-mission-3642fe04,St. Columba Kim Mission,1375 N McClintock Dr,Chandler,Arizona,33.3269375,-111.9099375,14804467121,https://www.stcolumbakim.com/,0,0,0,False,https://catholicindex.org/mass-times/apache-junction-arizona,2026-02-21T11:25:04.989915+00:00
us-az-chandler-st-juan-diego-st-marys-parish-ed858496,St. Juan Diego (St. Mary's Parish),3200 S Cooper Rd,Chandler,Arizona,33.25998702,-111.80736476,(480) 734-2187,https://www.stmarychandler.org/,12,0,0,False,https://catholicindex.org/mass-times/apache-junction-arizona,2026-02-21T11:25:04.989915+00:00
