slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-ar-altus-st-mary-b67ead1d,St. Mary,5118 St Mary's Ln,Altus,Arkansas,35.45224389,-93.758645,(479) 468-2585,http://www.stmarysaltus.org/,7,0,0,False,https://catholicindex.org/mass-times/altus-arkansas,2026-02-21T11:31:50.526283+00:00
us-ar-arkadelphia-st-mary-9c97d62d,St. Mary,249 N 14th St,Arkadelphia,Arkansas,34.12437593,-93.06384647,(870) 246-7575,http://www.dolr.org/parishes/st-mary-church-arkadelphia,5,0,0,False,https://catholicindex.org/mass-times/arkadelphia-arkansas,2026-02-21T11:31:56.506331+00:00
us-ar-ashdown-st-elizabeth-ann-seton-mission-09e2d937,St. Elizabeth Ann Seton,1910 Rankin St,Ashdown,Arkansas,33.67175532,-94.10478816,(870) 772-1115 or (501) 339-1754 (Emergency),http://www.dolr.org/parishes/st-elizabeth-ann-seton-church-ashdown,0,0,0,False,https://catholicindex.org/mass-times/ashdown-arkansas,2026-02-21T11:32:02.498600+00:00
us-ar-atkins-church-of-the-assumption-ded8c79c,Assumption,118 Ave 3 NE,Atkins,Arkansas,35.24231761,-92.93365992,(479) 641-7179,http://assumptionbvmchurch.weebly.com/,3,0,0,False,https://catholicindex.org/mass-times/atkins-arkansas,2026-02-21T11:32:04.018089+00:00
us-tx-atlanta-saint-catherine-of-siena-2b850a15,St. Catherine of Siena,309 N Louise St,Atlanta,Texas,33.11803645,-94.16716236,903-796-4494,http://www.dioceseoftyler.org/parishes/,1,0,0,False,https://catholicindex.org/mass-times/texarkana-arkansas,2026-02-21T11:44:51.630912+00:00
us-ar-bald-knob-church-of-st-richard-ccc22728,St. Richard,101 W Cleveland St,Bald Knob,Arkansas,35.3126875,-91.5703125,15012685252,https://www.facebook.com/p/St-Richard-Catholic-Church-100067299655595/,0,0,0,False,https://catholicindex.org/mass-times/bald-knob-arkansas,2026-02-21T11:32:11.414181+00:00
us-ar-bald-knob-st-richard-mission-4c76f860,St. Richard Mission,101 W Cleveland St,Bald Knob,Arkansas,35.31191588,-91.57101332,(501) 268-5252,http://www.stjamescatholicchurchsearcy.com,0,0,0,False,https://catholicindex.org/mass-times/bald-knob-arkansas,2026-02-21T11:32:11.414181+00:00
us-ar-barling-sacred-heart-of-mary-5edb3f3e,Sacred Heart of Mary,1301 Frank St,Barling,Arkansas,35.32333285,-94.31064955,(479) 452-1795 or (479) 522-4245 (Fr. Tuyen),http://www.shmbarling.org/,11,0,0,False,https://catholicindex.org/mass-times/barling-arkansas,2026-02-21T11:32:14.591638+00:00
us-tn-bartlett-catholic-church-of-the-nativity-7efaa0e5,Nativity,5955 St Elmo Rd,Bartlett,Tennessee,35.230419,-89.864142,(901) 382-2504,http://nativitybartlett.org/,11,0,0,False,https://catholicindex.org/mass-times/west-memphis-arkansas,2026-02-21T11:45:59.328948+00:00
us-tn-bartlett-st-ann-43df716d,St. Ann,6529 Stage Rd,Bartlett,Tennessee,35.20378517,-89.84561806,(901) 373-6011,http://www.stannbartlett.org,1,0,0,False,https://catholicindex.org/mass-times/west-memphis-arkansas,2026-02-21T11:45:59.328948+00:00
us-la-bastrop-st-joseph-d48876ac,St. Joseph,217 Harrington Ave,Bastrop,Louisiana,32.78338582,-91.9163966,(318) 281-4327,https://www.dioshpt.org/,3,0,0,False,https://catholicindex.org/mass-times/crossett-arkansas,2026-02-21T11:34:46.064926+00:00
us-ar-batesville-st-mary-ba7cdbe9,St. Mary,3800 Harrison St,Batesville,Arkansas,35.76786106,-91.59605569,(870) 793-7717,http://stmarysbatesville.com/,7,0,0,False,https://catholicindex.org/mass-times/batesville-arkansas,2026-02-21T11:32:18.997092+00:00
