slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-ca-adelanto-christ-the-good-shepherd-catholic-church-2a0d0e80,Christ the Good Shepherd Church,17900 Jonathan St,Adelanto,California,34.57593074,-117.40999234,(760) 246-7083,http://cgshepherd-adelanto.org/,10,0,0,False,https://catholicindex.org/mass-times/adelanto-california,2026-02-21T11:52:33.915072+00:00
us-ca-alameda-st-albert-the-great-70a30b4a,St Albert the Great,1022 Holly St,Alameda,California,37.75777162,-122.23341768,(510) 373-5200,http://www.spnsa.org/,10,0,0,False,https://catholicindex.org/mass-times/alameda-california,2026-02-21T11:52:41.735901+00:00
us-ca-alameda-st-barnabas-332cc3a1,St. Barnabas,1427 Sixth St,Alameda,California,37.77246243,-122.27975932,(510) 522-8933,http://sbarnabas.weebly.com/,11,0,0,False,https://catholicindex.org/mass-times/alameda-california,2026-02-21T11:52:41.735901+00:00
us-ca-alameda-st-joseph-89d499e8,St. Joseph Basilica,1109 Chestnut St,Alameda,California,37.7663968,-122.25451911,(510) 522-0181,https://www.sjbalameda.org/,14,0,0,False,https://catholicindex.org/mass-times/alameda-california,2026-02-21T11:52:41.735901+00:00
us-ca-alameda-st-philip-neri-3d6afea7,St. Philip Neri Church,3100 Van Buren St,Alameda,California,37.73400798,-122.23692911,(510) 373-5200,https://www.spnsa.org/,16,0,0,False,https://catholicindex.org/mass-times/alameda-california,2026-02-21T11:52:41.735901+00:00
us-ca-albany-chapel-of-st-mary-301f39a3,Chapel of St. Mary,St Mary's College High School,Albany,California,37.8826875,-122.2838125,$undefined,https://www.saintmaryschs.org/,1,0,0,False,https://catholicindex.org/mass-times/alameda-california,2026-02-21T11:52:41.735901+00:00
us-ca-alhambra-all-souls-catholic-church-0b0abdee,All Souls Catholic Church,1500 W Main St,Alhambra,California,34.09116263,-118.13977671,(626) 281-0466,http://www.allsouls-la.org/,15,0,0,False,https://catholicindex.org/mass-times/alhambra-california,2026-02-21T11:52:49.361167+00:00
us-ca-alhambra-carmel-of-st-teresa-dcb2fd06,Carmel of St Teresa,215 E Alhambra Rd,Alhambra,California,34.10216451,-118.1279834,626-282-2387,http://www.carmelteresa.org/,1,0,0,False,https://catholicindex.org/mass-times/alhambra-california,2026-02-21T11:52:49.361167+00:00
us-ca-alhambra-chapel-of-the-most-sacred-heart-aab80d6b,Chapel of the Most Sacred Heart,920 E Rd,Alhambra,California,34.1046875,-118.1206875,16262891353,$undefined,0,0,0,False,https://catholicindex.org/mass-times/alhambra-california,2026-02-21T11:52:49.361167+00:00
us-ca-alhambra-st-therese-catholic-church-7c637cb7,St. Therese Roman Catholic Church,1100 E Alhambra Rd,Alhambra,California,34.10572,-118.118988,(626) 282-2744,http://www.sttheresechurchalhambra.org/,43,0,0,False,https://catholicindex.org/mass-times/alhambra-california,2026-02-21T11:52:49.361167+00:00
