slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-co-aguilar-st-anthony-of-padua-9977614b,St. Anthony,125 S Fir St,Aguilar,Colorado,37.40231929,-104.65043894,(719) 941-4124 or (719) 738-1204,http://www.spanishpeakscatholic.com/,0,0,0,False,https://catholicindex.org/mass-times/aguilar-colorado,2026-02-21T13:02:13.600759+00:00
us-co-air-force-academy-united-states-air-force-academy-saint-michael-b37d27ba,United States Air Force Academy Cadet Chapel,5134 Cathedral Dr,Air Force Academy,Colorado,39.00866326,-104.89038421,(719) 333-3300,http://www.usafa.af.mil/Units/Community-Center-Chapel/,4,0,0,False,https://catholicindex.org/mass-times/cascade-colorado,2026-02-21T13:03:36.143321+00:00
us-co-akron-st-joseph-352b780e,St. Joseph,551 W 6th St,Akron,Colorado,40.16460577,-103.21874756,(970) 345-6996,http://www.stmarybrush.org/,5,0,0,False,https://catholicindex.org/mass-times/akron-colorado,2026-02-21T13:02:15.149358+00:00
us-co-alamosa-sacred-heart-of-jesus-91452717,Sacred Heart,715 4th St,Alamosa,Colorado,37.469467,-105.86821805,(719) 589-5829 or (719) 589-3211 (Rectory),http://sacredheartalamosa.org/,4,0,0,False,https://catholicindex.org/mass-times/alamosa-colorado,2026-02-21T13:02:16.737969+00:00
us-co-allenspark-st-catherine-of-siena-232b3326,Chapel of St. Catherine of Siena,10758 CO-7,Allenspark,Colorado,40.24743836,-105.53604126,(303) 715-3218,http://campstmalo.org/,2,0,0,False,https://catholicindex.org/mass-times/allenspark-colorado,2026-02-21T13:02:18.226329+00:00
us-nm-amalia-santo-niño-mission-aaefb6b2,Santo Niño,546 NM-196,Amalia,New Mexico,36.94331118,-105.45674006,(575) 586-0470,$undefined,0,0,0,False,https://catholicindex.org/mass-times/chama-colorado,2026-02-21T13:03:43.657365+00:00
us-co-antonito-st-augustine-mission-bc0f84ad,St. Augustine Mission,803 Pine St,Antonito,Colorado,37.07951456,-106.01164789,(719) 376-5985,http://www.ologp.com,8,0,0,False,https://catholicindex.org/mass-times/antonito-colorado,2026-02-21T13:02:25.860605+00:00
us-co-arboles-st-peter-st-rosa-mission-437725eb,St. Peter - St. Rosa Mission,18851 CO Hwy 151,Arboles,Colorado,37.02548484,-107.44008491,(970) 563-4241,http://stignatiuschurchignacio.com,1,0,0,False,https://catholicindex.org/mass-times/arboles-colorado,2026-02-21T13:02:28.699405+00:00
us-co-arvada-shrine-of-saint-anne-7ce85151,Shrine of St. Anne,7555 Grant Pl,Arvada,Colorado,39.80132534,-105.08055925,(303) 420-1280,https://www.shrineofstanne.org,11,0,0,False,https://catholicindex.org/mass-times/arvada-colorado,2026-02-21T13:02:33.369158+00:00
us-co-arvada-spirit-of-christ-catholic-community-ebb007cb,Spirit of Christ Catholic Community,7400 W 80th Ave,Arvada,Colorado,39.84114334,-105.07840645,(303) 422-9173,https://www.spiritofchrist.org,10,0,0,False,https://catholicindex.org/mass-times/arvada-colorado,2026-02-21T13:02:33.369158+00:00
us-co-arvada-st-joan-of-arc-6ddefbca,St. Joan of Arc,12735 W 58th Ave,Arvada,Colorado,39.80258707,-105.14219887,(303) 420-1232,http://www.stjoanarvada.org/,14,0,0,False,https://catholicindex.org/mass-times/arvada-colorado,2026-02-21T13:02:33.369158+00:00
