slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-ma-agawam-st-john-the-evangelist-26dada72,St. John the Evangelist,833 Main St,Agawam,Massachusetts,42.06501097,-72.61606126,413-786-8105,http://stjohnagawam.com/,8,0,0,False,https://catholicindex.org/mass-times/avon-connecticut,2026-02-21T13:20:58.529019+00:00
us-ri-albion-st-ambrose-fcb2b273,St. Ambrose,191 School St,Albion,Rhode Island,41.9513253,-71.46134554,(401) 333-1568,http://stambrosechurchri.org/,6,0,0,False,https://catholicindex.org/mass-times/danielson-connecticut,2026-02-21T13:22:03.468277+00:00
us-ny-amagansett-st-peter-590bc599,St. Peter,286 Montauk Hwy,Amagansett,New York,40.9759873,-72.13903026,(631) 324-0134,https://www.mht-eh.org/,7,0,0,False,https://catholicindex.org/mass-times/niantic-connecticut,2026-02-21T13:24:20.214199+00:00
us-ny-amenia-immaculate-conception-82427e76,Immaculate Conception,4 Lavelle Rd,Amenia,New York,41.8462953,-73.55727008,(845) 373-8193,http://icsaamenia.org/,6,0,0,False,https://catholicindex.org/mass-times/bantam-connecticut,2026-02-21T13:21:02.900505+00:00
us-ct-ansonia-church-of-the-assumption-1b8165f2,Assumption,61 N Cliff St,Ansonia,Connecticut,41.34975863,-73.07969885,(203) 735-7857,http://www.assumptionansonia.church,4,0,0,False,https://catholicindex.org/mass-times/ansonia-connecticut,2026-02-21T13:20:55.493873+00:00
us-ct-ansonia-church-of-the-assumption-28594a31,Church of the Assumption,61 N Cliff St,Ansonia,CT,41.3497369,-73.0796909,+1-203-735-7857,https://assumptionansonia.church/,8,0,0,False,https://catholicindex.org/mass-times/ansonia-connecticut,2026-02-21T13:20:55.493873+00:00
us-ct-ansonia-holy-rosary-parish-186ed6a5,Holy Rosary,10 Fr Salemi Dr,Ansonia,Connecticut,41.33881467,-73.07403866,(203) 735-7874,https://www.holyrosaryansonia.org/,6,0,0,False,https://catholicindex.org/mass-times/ansonia-connecticut,2026-02-21T13:20:55.493873+00:00
us-ct-ansonia-ss-peter-and-paul-ukrainian-d5bb9300,Ss. Peter and Paul (Ukrainian),136 Clifton Ave,Ansonia,Connecticut,41.33747915,-73.08371509,(203) 734-3895,http://stsppucc.org/,3,0,0,False,https://catholicindex.org/mass-times/ansonia-connecticut,2026-02-21T13:20:55.493873+00:00
us-ct-ansonia-church-of-st-anthony-9b716509,St. Anthony,199 N Main St,Ansonia,Connecticut,41.3535625,-73.0814375,12037357874,$undefined,0,0,0,False,https://catholicindex.org/mass-times/ansonia-connecticut,2026-02-21T13:20:55.493873+00:00
us-ct-ansonia-st-joseph-9ac5de38,St. Joseph,32 Jewett St,Ansonia,Connecticut,41.34013319,-73.07186775,(203) 734-0402,https://stjosephansonia.org/,9,0,0,False,https://catholicindex.org/mass-times/ansonia-connecticut,2026-02-21T13:20:55.493873+00:00
