slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-pa-ardmore-st-colman-80fb1d02,St. Colman,11 Simpson Rd,Ardmore,Pennsylvania,40.00614735,-75.28801834,(610) 642-0545,http://www.stcolmanardmore.com/,20,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-pa-aston-neumann-university-sacred-heart-chapel-d2d49e29,Neumann University-Sacred Heart Chapel,1 Neumann Dr,Aston,Pennsylvania,39.8751271,-75.44281423,(610) 358-4202,http://www.neumann.edu/mission/campus_ministry/faith,6,0,0,False,https://catholicindex.org/mass-times/bear-delaware,2026-02-21T13:53:36.501013+00:00
us-pa-aston-st-joseph-fb4a6aec,St. Joseph,3255 Concord Rd,Aston,Pennsylvania,39.86567234,-75.41958529,(610) 497-3340,http://churchofstjosephaston.org/,10,0,0,False,https://catholicindex.org/mass-times/bear-delaware,2026-02-21T13:53:36.501013+00:00
us-pa-avondale-mision-santa-maria-7430a3dc,Mision Santa Maria,29 Gap Newport Pike,Avondale,PA,39.8208329,-75.7762741,+1-610-268-3365,https://archphila.org/parish/mision-santa-maria-madre-de-dios-avondale/,2,0,0,False,https://catholicindex.org/mass-times/bear-delaware,2026-02-21T13:53:36.501013+00:00
us-pa-avondale-st-gabriel-of-the-sorrowful-mother-2169570e,St. Gabriel of the Sorrowful Mother,8910 Gap-Newport Pike,Avondale,Pennsylvania,39.81018585,-75.75774908,(610) 268-0296,http://www.saintgabrielparish.org/,10,0,0,False,https://catholicindex.org/mass-times/bear-delaware,2026-02-21T13:53:36.501013+00:00
us-pa-avondale-st-rocco-23ce0668,St. Rocco,333 Sunny Dell Rd,Avondale,Pennsylvania,39.8008878,-75.74221754,(610) 268-3365,http://www.IglesiaSanRoque.org,0,0,0,False,https://catholicindex.org/mass-times/bear-delaware,2026-02-21T13:53:36.501013+00:00
us-pa-bala-cynwyd-st-mattthias-322099f4,St. Matthias,128 Bryn Mawr Ave,Bala-Cynwyd,Pennsylvania,40.00360931,-75.2347698,(610) 664-0207,https://www.SaintMatthias.org,16,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-nj-barrington-st-francis-de-sales-2043b2b1,St. Francis,199 Wilmont Ave,Barrington,New Jersey,39.86755152,-75.05569458,516-244-9153,$undefined,0,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-de-bear-st-elizabeth-ann-seton-roman-catholic-church-49e3f305,St Elizabeth Ann Seton Roman Catholic Church,345 Bear Christiana Rd,Bear,DE,39.6506891,-75.654357,+1-302-322-6430,https://www.setonparish.net/,10,0,0,False,https://catholicindex.org/mass-times/bear-delaware,2026-02-21T13:53:36.501013+00:00
us-de-bear-st-elizabeth-ann-seton-6a860f8a,St. Elizabeth Ann Seton,345 Bear- Christiana Rd,Bear,Delaware,39.65116882,-75.6555481,(302) 322-6430,http://setonparish.net/,10,0,0,False,https://catholicindex.org/mass-times/bear-delaware,2026-02-21T13:53:36.501013+00:00
us-nj-bellmawr-church-of-mary-mother-of-the-church-7ff7c4f3,"Mary, Mother of the Church",20 Braisington Ave,Bellmawr,New Jersey,39.8666875,-75.0753125,18569310204,http://www.theparishofsaintrita.org,0,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-nj-bellmawr-st-joachim-2777183f,St. Joachim,601 W Browning Rd,Bellmawr,New Jersey,39.87324738,-75.10363731,(856) 931-6307,http://www.stjoachimparish.net/,8,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-md-berlin-st-john-neumann-d28bb50c,St. John Neumann,11211 Beauchamp Rd,Berlin,Maryland,38.388588,-75.18456,(410) 208-2956,http://www.stjohnneumannrcc.com/,7,0,0,False,https://catholicindex.org/mass-times/bethany-beach-delaware,2026-02-21T13:53:37.787562+00:00
us-pa-berwyn-st-monica-be9be999,St. Monica,635 First Ave,Berwyn,Pennsylvania,40.04597711,-75.44038085,(610) 644-0110,https://www.saintmonicachurch.org,10,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-de-bethany-beach-st-ann-85398478,St. Ann,691 Garfield Pkwy,Bethany Beach,Delaware,38.53985537,-75.06761824,(302) 539-6449,http://stannbb.org/,10,0,0,False,https://catholicindex.org/mass-times/bethany-beach-delaware,2026-02-21T13:53:37.787562+00:00
us-nj-blackwood-our-lady-of-hope-st-jude-efb44e90,Our Lady of Hope (St. Jude),402 S Black Horse Pike,Blackwood,New Jersey,39.79500227,-75.06339545,(856) 228-4331,https://www.ourladyofhopenj.org,41,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-nj-blackwood-our-lady-of-hope-parish-st-agnes-10a0ebbd,Our Lady of Hope Parish (St. Agnes),701 Little Gloucester Rd,Blackwood,New Jersey,39.81282168,-75.04888435,(856) 228-4331,https://www.ourladyofhopenj.org,40,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-pa-boothwyn-st-john-fisher-1be958cb,St. John Fisher,4225 Chichester Ave,Boothwyn,Pennsylvania,39.8465576,-75.44668,(610) 485-0441,http://www.archdiocese-phl.org/parish/st-john-fisher-boothwyn/version-mobile/,9,0,0,False,https://catholicindex.org/mass-times/bear-delaware,2026-02-21T13:53:36.501013+00:00
us-pa-bridgeport-saint-john-the-baptist-ordinariate-of-the-chair-of-st-peter-406ff676,Our Lady of Mount Carmel (Ordinariate of the Chair of St. Peter),502 Ford St,Bridgeport,Pennsylvania,40.10327006,-75.34232275,6104554458,http://sjbbridgeport.org,7,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-pa-bridgeport-sacred-heart-722e5808,Sacred Heart,120 Jefferson St,Bridgeport,Pennsylvania,40.10263773,-75.33068335,(610) 275-1750,http://unitedinthesacredheart.com/,8,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-pa-bridgeport-sts-peter-and-paul-ukrainian-9e8b3903,Sts. Peter and Paul Ukrainian Catholic Church,519 Union Ave,Bridgeport,Pennsylvania,40.10053322,-75.33962982,(610) 272-7035,http://www.sspeterpaulukrchurch.us,10,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-nj-bridgeton-the-parish-of-the-holy-crossimmaculate-conception-church-1e699527,Immaculate Conception,312 Pearl St N,Bridgeton,New Jersey,39.43760186,-75.22781188,(856) 455-2323,https://www.parishholycross.org,9,0,0,False,https://catholicindex.org/mass-times/delaware-city-delaware,2026-02-21T13:53:49.916086+00:00
us-nj-bridgeton-the-parish-of-the-holy-crossst-teresa-of-avila-church-e8b52fa3,St. Teresa of Avila,46 Central Ave,Bridgeton,New Jersey,39.4290639,-75.24857,(856) 455-2323,https://www.parishholycross.org,2,0,0,False,https://catholicindex.org/mass-times/delaware-city-delaware,2026-02-21T13:53:49.916086+00:00
us-pa-brookhaven-our-lady-of-charity-17345a73,Our Lady of Charity,231 Upland Rd,Brookhaven,Pennsylvania,39.86365079,-75.38129473,(610) 872-6192,http://olcbrookhaven.org/,20,0,0,False,https://catholicindex.org/mass-times/bear-delaware,2026-02-21T13:53:36.501013+00:00
us-pa-broomall-st-pius-x-8da2c207,St. Pius X,220 Lawrence Rd,Broomall,Pennsylvania,39.9708486,-75.34542439,(610) 353-4880,http://www.saintpius.net/,16,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-pa-bryn-mawr-bryn-mawr-college-newman-f0461323,Bryn Mawr College -  NEWMAN,816 New Gulph Rd,Bryn Mawr,Pennsylvania,40.02880656,-75.31347871,(610) 526-5000,http://www.brynmawr.edu/inside/offices-services/dining-services/dining-locations/uncommon-grounds,0,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-pa-bryn-mawr-our-mother-of-good-counsel-7fb27a76,Our Mother of Good Counsel,31 Pennswood Rd,Bryn Mawr,Pennsylvania,40.01877094,-75.30996162,(610) 525-0147,https://www.omgcparish.org,19,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
us-pa-bryn-mawr-st-john-neumann-3c413d96,St. John Neumann,380 Highland La,Bryn Mawr,Pennsylvania,40.0039439,-75.33809356,(610) 525-3100,https://www.sjnparish.org,27,0,0,False,https://catholicindex.org/mass-times/claymont-delaware,2026-02-21T13:53:45.807124+00:00
