slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
church-d3aaa2228222,Epiphany,1905 SW Epiphany Ct,,,30.16303777,-82.64094399,(386) 752-4470,https://epiphanycatholiclc.com/,9,0,0,False,https://catholicindex.org/mass-times/branford-florida,2026-02-21T14:04:05.441371+00:00
church-040474001fa3,St. John Fisher,4001 N Shore Dr,,,26.75013997,-80.08011457,561-842-1224,https://stjohnfisherwpb.com/,8,0,0,False,https://catholicindex.org/mass-times/boynton-beach-florida,2026-02-21T14:03:58.170459+00:00
us-fl-altamonte-springs-church-of-the-annunciation-261475d1,Annunciation,1020 Montgomery Rd,Altamonte Springs,Florida,28.6830625,-81.4030625,14078699472,https://annunciationorlando.org/,21,0,0,False,https://catholicindex.org/mass-times/altamonte-springs-florida,2026-02-21T14:02:56.559977+00:00
us-fl-altamonte-springs-annunciation-catholic-church-c6939fd1,Annunciation,1020 Montgomery Rd,Altamonte Springs,Florida,28.68319789,-81.40342805,(407) 869-9472,http://annunciationorlando.org,21,0,0,False,https://catholicindex.org/mass-times/altamonte-springs-florida,2026-02-21T14:02:56.559977+00:00
us-fl-altamonte-springs-st-mary-magdalen-catholic-church-aed3bba2,St. Mary Magdalen Catholic Church,861 Maitland Ave,Altamonte Springs,Florida,28.6513118,-81.365845,(407) 831-1212,https://www.StMaryMagdalen.org,0,0,0,False,https://catholicindex.org/mass-times/altamonte-springs-florida,2026-02-21T14:02:56.559977+00:00
us-fl-altamonte-springs-st-mary-magdalen-catholic-church-75d134e2,St. Mary Magdalen Catholic Church,861 Maitland Ave,Altamonte Springs,FL,28.6471567,-81.364282,+1-407-831-1212,http://www.stmarymagdalen.org/,13,0,0,False,https://catholicindex.org/mass-times/altamonte-springs-florida,2026-02-21T14:02:56.559977+00:00
us-fl-apalachicola-st-patrick-974b8da6,St. Patrick,27 6th St,Apalachicola,Florida,29.72446297,-84.98445044,850-653-2100,http://stpatricksmass.com/,5,0,0,False,https://catholicindex.org/mass-times/apalachicola-florida,2026-02-21T14:03:06.963941+00:00
us-fl-apopka-church-of-st-francis-of-assisi-7acce281,St. Francis of Assisi,834 S Orange Blossom Tr,Apopka,Florida,28.6651875,-81.4898125,14078864602,https://www.stfrancisapopka.org/,13,0,0,False,https://catholicindex.org/mass-times/altamonte-springs-florida,2026-02-21T14:02:56.559977+00:00
us-fl-apopka-st-francis-of-assisi-catholic-church-5b2903e3,St. Francis of Assisi Catholic Church,834 S Orange Blossom Trail,Apopka,Florida,28.66644484,-81.48938298,(407) 886-4602,http://www.stfrancisapopka.org/,13,0,0,False,https://catholicindex.org/mass-times/altamonte-springs-florida,2026-02-21T14:02:56.559977+00:00
us-fl-apopka-st-mary-protectress-ukrainian-746dfad3,St. Mary Protectress (Ukrainian),245 Lake McCoy Dr,Apopka,Florida,28.68855476,-81.50662231,(407) 927-6586,http://stmaryukrchurchorlando.org/,3,0,0,False,https://catholicindex.org/mass-times/altamonte-springs-florida,2026-02-21T14:02:56.559977+00:00
us-fl-apopka-ukrainian-catholic-church-733e9f82,Ukrainian Catholic Church,245 Lake McCoy Dr,Apopka,FL,28.6885632,-81.5055355,+1-407-880-1640,https://stmaryukrchurchorlando.org/,3,0,0,False,https://catholicindex.org/mass-times/altamonte-springs-florida,2026-02-21T14:02:56.559977+00:00
us-fl-arcadia-st-pauls-catholic-church-68148746,St Paul's Catholic Church,1330 E Oak St,Arcadia,FL,27.2086449,-81.8442081,+1-863-494-2611,https://www.stpaularcadia.org/,10,0,0,False,https://catholicindex.org/mass-times/arcadia-florida,2026-02-21T14:03:11.473760+00:00
us-fl-arcadia-st-paul-30d397d6,St. Paul,1330 E Oak St,Arcadia,Florida,27.209837,-81.84666,(863) 494-2611,http://www.stpaularcadia.org/,10,0,0,False,https://catholicindex.org/mass-times/arcadia-florida,2026-02-21T14:03:11.473760+00:00
us-fl-astor-st-hubert-of-the-forest-924c5d6a,Mission of St. Hubert of the Forest,55600 Veterans Dr,Astor,Florida,29.1647472,-81.54774,(352) 759-3983,https://www.stpeterdeland.org,13,0,0,False,https://catholicindex.org/mass-times/astor-florida,2026-02-21T14:03:19.021707+00:00
us-fl-atlantic-beach-st-john-the-baptist-catholic-church-9a66323d,St John the Baptist Catholic Church,2400 Mayport Rd,Atlantic Beach,Florida,30.35209549,-81.41472372,904-246-6014,http://saintjohnsatlanticbeach.org/,9,0,0,False,https://catholicindex.org/mass-times/atlantic-beach-florida,2026-02-21T14:03:20.532521+00:00
us-al-atmore-st-robert-bellarmine-f0618ea1,St. Robert Bellarmine,600 S Main St,Atmore,Alabama,31.01687937,-87.49410453,(251) 368-3615,http://strobertatmore.com/,6,0,0,False,https://catholicindex.org/mass-times/molino-florida,2026-02-21T14:10:48.672223+00:00
us-fl-ave-maria-ave-maria-a86deccd,Oratory of Ave Maria,5078 Pope John Paul II Blvd,Ave Maria,Florida,26.33665276,-81.43727112,(239) 261-5555,http://www.avemariaparish.org/,23,0,0,False,https://catholicindex.org/mass-times/bonita-springs-florida,2026-02-21T14:03:53.476581+00:00
us-fl-ave-maria-rhodora-j-donahue-academy-of-ave-maria-5a66a9d5,Rhodora J. Donahue Academy of Ave Maria,4955 Seton Way,Ave Maria,FL,26.3407847,-81.4351014,+1-239-842-3241,https://www.avemariaparish.org/,22,0,0,False,https://catholicindex.org/mass-times/bonita-springs-florida,2026-02-21T14:03:53.476581+00:00
us-fl-avon-park-our-lady-of-grace-68c5e799,Our Lady of Grace,595 E Main St,Avon Park,Florida,27.59559433,-81.50783906,(863) 453-4757,http://www.ologap.org/,10,0,0,False,https://catholicindex.org/mass-times/avon-park-florida,2026-02-21T14:03:23.523881+00:00
us-fl-avon-park-our-lady-of-grace-catholic-church-0693b728,Our Lady of Grace Catholic Church,595 E Main St,Avon Park,FL,27.5961824,-81.4906409,+1-863-453-4757,https://ologap.org/,10,0,0,False,https://catholicindex.org/mass-times/avon-park-florida,2026-02-21T14:03:23.523881+00:00
us-ga-bainbridge-st-joseph-the-worker-6b2499d6,St. Joseph,1207 Randolph St,Bainbridge,Georgia,30.89272163,-84.56585038,(229) 726-3752,http://stjoebainbridge.diosav.net,7,0,0,False,https://catholicindex.org/mass-times/chattahoochee-florida,2026-02-21T14:04:41.529976+00:00
us-fl-bartow-church-of-st-thomas-aquinas-d738b9dc,St. Thomas Aquinas,1305 E Mann Rd,Bartow,Florida,27.8738125,-81.8313125,18635338578,https://stthomasbartow.org/,7,0,0,False,https://catholicindex.org/mass-times/bartow-florida,2026-02-21T14:03:32.483292+00:00
us-fl-bartow-st-thomas-aquinas-catholic-church-c70a0170,St. Thomas Aquinas Catholic Church,2180 S Kissingen Ave Bartow Fl,Bartow,Florida,27.8750681,-81.8296589,863-533-8578,https://www.stthomasbartow.org,7,0,0,False,https://catholicindex.org/mass-times/bartow-florida,2026-02-21T14:03:32.483292+00:00
us-fl-bell-christ-the-good-shepherd-a87521fc,Christ the Good Shepherd,239 N US Hwy 129,Bell,Florida,29.74099795,-82.85879016,(352)493-9723,http://www.stjhc.org/christ-the-good-shepherd,4,0,0,False,https://catholicindex.org/mass-times/bell-florida,2026-02-21T14:03:37.178242+00:00
us-fl-belle-glade-st-philip-benizi-2391f704,St. Philip Benizi,710 S Main St,Belle Glade,Florida,26.67762471,-80.67122568,561-996-3870,http://stphilipbenizi.com,13,0,0,False,https://catholicindex.org/mass-times/belle-glade-florida,2026-02-21T14:03:38.549871+00:00
us-fl-belleview-church-of-st-theresa-1b2a8a2c,St. Theresa,11528 SE US Hwy 301,Belleview,Florida,29.0549375,-82.0476875,13522452458,https://mystcc.org/,15,0,0,False,https://catholicindex.org/mass-times/belleview-florida,2026-02-21T14:03:41.594610+00:00
us-fl-belleview-st-theresa-catholic-church-1637d9b0,St. Theresa Catholic Church,11528 SE Hwy 301,Belleview,Florida,29.05501,-82.0484,352-245-2458,http://www.mystcc.org/,12,0,0,False,https://catholicindex.org/mass-times/belleview-florida,2026-02-21T14:03:41.594610+00:00
us-fl-beverly-hills-our-lady-of-grace-a3d12641,Our Lady of Grace,6 Roosevelt Blvd,Beverly Hills,Florida,28.9201889,-82.46424,(352) 746-2144,https://ourladyofgracefl.org,5,0,0,False,https://catholicindex.org/mass-times/beverly-hills-florida,2026-02-21T14:03:43.034662+00:00
us-fl-big-pine-key-st-peter-the-fisherman-1c6d6863,St Peter the Fisherman Catholic Parish,31300 Overseas Hwy,Big Pine Key,Florida,24.6680983,-81.34272766,(305) 872-2537,http://stpeterbpk.org/,5,0,0,False,https://catholicindex.org/mass-times/big-pine-key-florida,2026-02-21T14:03:44.522678+00:00
us-fl-blountstown-st-francis-of-assisi-551b78a0,St. Francis of Assisi,16498 SW Gaskin St,Blountstown,Florida,30.4389287,-85.04912664,(850) 674-4482  ,http://www.facebook.com/p/St-Francis-of-Assisi-Catholic-Church-100083899250752/,0,0,0,False,https://catholicindex.org/mass-times/blountstown-florida,2026-02-21T14:03:46.001950+00:00
