slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-ga-acworth-st-clare-of-assisi-0480171b,St. Clare of Assisi ,6301 Cedarcrest Rd,Acworth,Georgia,34.057419,-84.733516,(770) 485-0825,http://stclarecc.org/,11,0,0,False,https://catholicindex.org/mass-times/acworth-georgia,2026-02-21T14:16:01.773914+00:00
us-ga-adel-church-of-st-margaret-mary-a91e6268,St. Margaret Mary,1706 S Hutchinson Ave,Adel,Georgia,31.1154375,-83.4148125,12298967319,http://www.queenofpeaceparish.com,0,0,0,False,https://catholicindex.org/mass-times/adel-georgia,2026-02-21T14:16:04.888319+00:00
us-sc-aiken-saint-gerard-43b4dbe5,St. Gerard,640 Edrie St NE,Aiken,South Carolina,33.56762191,-81.70373867,(803) 649-3203,http://www.stgerardinaiken.org/,6,0,0,False,https://catholicindex.org/mass-times/augusta-georgia,2026-02-21T14:16:46.926741+00:00
us-sc-aiken-st-mary-help-of-christians-c96277fb,St. Mary Help of Christians,138 Fairfield St SE,Aiken,SC,33.558579,-81.7166512,+1-803-649-4777,https://www.stmarys-aiken.org/,13,0,0,False,https://catholicindex.org/mass-times/augusta-georgia,2026-02-21T14:16:46.926741+00:00
us-sc-aiken-saint-mary-help-of-christians-2e314cb6,St. Mary Help of Christians,138 Fairfield St SE,Aiken,South Carolina,33.55821327,-81.71622304,(803) 649-4777,https://www.stmarys-aiken.org,22,0,0,False,https://catholicindex.org/mass-times/augusta-georgia,2026-02-21T14:16:46.926741+00:00
us-ga-alapaha-saint-ann-3ea50204,St. Ann,9007 US Hwy 82,Alapaha,Georgia,31.38794835,-83.22630953,(229) 382-4600,https://www.diosav.org/en/parishes-directory/item/st-ann,6,0,0,False,https://catholicindex.org/mass-times/adel-georgia,2026-02-21T14:16:04.888319+00:00
us-ga-albany-saint-teresa-of-avila-a5c58cf1,St. Teresa,421 Edgewood Ln,Albany,Georgia,31.58307725,-84.18930979,(229) 439-2302,https://www.stteresaschurch.org/,10,0,0,False,https://catholicindex.org/mass-times/albany-georgia,2026-02-21T14:16:12.280792+00:00
us-sc-allendale-mission-of-st-mary-553207b3,Mission of St. Mary,3457 Bluff Rd,Allendale,South Carolina,32.92875,-81.35875,18032597593,$undefined,0,0,0,False,https://catholicindex.org/mass-times/sylvania-georgia,2026-02-21T14:29:37.591409+00:00
us-ga-alma-st-frances-of-rome-8f1ed0b5,St. Frances of Rome,1497 W 12th St,Alma,GA,31.5443283,-82.4968891,+1-912-705-8927,http://www.goodshepherdsaintrose.com/,5,0,0,False,https://catholicindex.org/mass-times/alma-georgia,2026-02-21T14:16:16.715637+00:00
us-ga-alma-saint-frances-of-rome-91ce35ef,St. Frances of Rome ,1497 12th St W,Alma,Georgia,31.5449404,-82.51534313,(912) 705-8927,https://goodshepherdsaintrose.com,8,0,0,False,https://catholicindex.org/mass-times/alma-georgia,2026-02-21T14:16:16.715637+00:00
us-ga-alma-church-of-st-raymond-32bb2429,St. Raymond,32 W,Alma,Georgia,31.53875,-82.46375,19126325623,https://diosav.org/en/,1,0,0,False,https://catholicindex.org/mass-times/alma-georgia,2026-02-21T14:16:16.715637+00:00
us-ga-alpharetta-st-thomas-aquinas-53aa2629,St. Thomas Aquinas,535 Rucker Rd,Alpharetta,Georgia,34.07651304,-84.34594912,(770) 475-4501,http://sta.org/,15,0,0,False,https://catholicindex.org/mass-times/acworth-georgia,2026-02-21T14:16:01.773914+00:00
us-ga-americus-st-mary-9d75e4d3,St. Mary,332 S Lee St,Americus,Georgia,32.06794768,-84.23066091,(229) 924-3495,http://stmaryamericus.com/,11,0,0,False,https://catholicindex.org/mass-times/americus-georgia,2026-02-21T14:16:24.322794+00:00
us-sc-anderson-saint-joseph-8e8c6d02,St. Joseph,1200 Cornelia Rd,Anderson,South Carolina,34.52716945,-82.6322472,(864) 225-5341,http://sjccs.net/,8,0,0,False,https://catholicindex.org/mass-times/hartwell-georgia,2026-02-21T14:22:30.583425+00:00
us-sc-anderson-saint-mary-of-the-angels-e2633827,St. Mary of the Angels,1821 White St,Anderson,South Carolina,34.48779038,-82.63775047,(864) 226-8621,http://www.sma43.net/,9,0,0,False,https://catholicindex.org/mass-times/hartwell-georgia,2026-02-21T14:22:30.583425+00:00
us-nc-andrews-holy-redeemer-e01f8c12,Holy Redeemer,214 Aquone Rd,Andrews,North Carolina,35.19932185,-83.81864893,$undefined,http://holyredeemerandrews.com,7,0,0,False,https://catholicindex.org/mass-times/blairsville-georgia,2026-02-21T14:17:15.403498+00:00
us-ga-athens-catholic-center-at-the-university-of-georgia-36063e3e,Catholic Center at the University of Georgia,1344 S Lumpkin St,Athens,Georgia,33.94383349,-83.38242956,(706) 543- 2293,http://ugacatholic.org/,10,0,0,False,https://catholicindex.org/mass-times/athens-georgia,2026-02-21T14:16:39.265335+00:00
us-ga-athens-st-joseph-0f6d6e81,St. Joseph,958 Epps Bridge Pkwy,Athens,Georgia,33.925268,-83.443879,(706) 548-6332,https://www.stjosephathens.org ,14,0,0,False,https://catholicindex.org/mass-times/athens-georgia,2026-02-21T14:16:39.265335+00:00
us-ga-atlanta-cathedral-of-christ-the-king-bc0eabc6,Cathedral of Christ the King,2699 Peachtree Rd NE,Atlanta,Georgia,33.8280945,-84.38665,(404) 233-2145,https://www.cathedralctk.com,32,0,0,False,https://catholicindex.org/mass-times/alpharetta-georgia,2026-02-21T14:16:18.432223+00:00
us-ga-atlanta-catholic-shrine-of-the-immaculate-conception-4c39a33e,Catholic Shrine of The Immaculate Conception,48 Martin Luther King Jr Dr SW,Atlanta,Georgia,33.75048415,-84.38959357,(404) 521-1866,https://www.catholicshrineatlanta.org/,8,0,0,False,https://catholicindex.org/mass-times/alpharetta-georgia,2026-02-21T14:16:18.432223+00:00
us-ga-atlanta-centro-católico-del-espíritu-santo-1ff8d108,Centro Católico del Espíritu Santo,4465 Northside Dr,Atlanta,Georgia,33.8773399,-84.41133,(403) 303-09927,$undefined,18,0,0,False,https://catholicindex.org/mass-times/acworth-georgia,2026-02-21T14:16:01.773914+00:00
us-ga-atlanta-georgia-institute-of-technology-84206f06,Georgia Institute of Technology,172 4th St NW,Atlanta,Georgia,33.7754974,-84.39297,(404) 892-6759  ,http://www.gtcatholic.org/,10,0,0,False,https://catholicindex.org/mass-times/alpharetta-georgia,2026-02-21T14:16:18.432223+00:00
us-ga-atlanta-hartsfieldjackson-atlanta-international-airport-f-terminal-516b434f,Hartsfield–Jackson Atlanta International Airport F Terminal,Hartsfield-Jackson Atlanta International Airport F Terminal,Atlanta,Georgia,33.64048251,-84.41972441,(404) 762-1051,http://atlchapel.org/,2,0,0,False,https://catholicindex.org/mass-times/atlanta-georgia,2026-02-21T14:16:43.157134+00:00
us-ga-atlanta-holy-cross-8bc93a13,Holy Cross,3175 Hathaway Ct,Atlanta,Georgia,33.88331223,-84.23973083,(770) 939-3501,https://www.holycrossatlanta.org,20,0,0,False,https://catholicindex.org/mass-times/alpharetta-georgia,2026-02-21T14:16:18.432223+00:00
us-ga-atlanta-holy-spirit-4d2bdef0,Holy Spirit,4465 Northside Dr,Atlanta,Georgia,33.8773399,-84.41133,(404) 252-4513,https://www.hsccatl.com/,18,0,0,False,https://catholicindex.org/mass-times/acworth-georgia,2026-02-21T14:16:01.773914+00:00
