slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-hi-aiea-st-elizabeth-1f3ea1cf,St. Elizabeth,99-312 Moanalua Rd,Aiea,Hawaii,21.3767223,-157.929916,(808) 487-2414,https://www.stelizabethaiea.com,24,0,0,False,https://catholicindex.org/mass-times/aiea-hawaii,2026-02-21T14:39:54.621895+00:00
us-hi-captain-cook-st-benedict-30e552ab,St. Benedict,84-5140 Painted Church Rd,Captain Cook,Hawaii,19.43507005,-155.88838045,(808) 328-2227,http://thepaintedchurchhawaii.org,1,0,0,False,https://catholicindex.org/mass-times/captain-cook-hawaii,2026-02-21T14:39:59.184237+00:00
us-ka-eleele-mission-of-the-sacred-heart-0f03d1f3,Mission of the Sacred Heart,2626 Melemele Rd Kauai Hawaii,Eleele,"Kauai,",21.9065625,-159.5846875,18083328011,http://www.holycrosskauai.org,0,0,0,False,https://catholicindex.org/mass-times/hanalei-hawaii,2026-02-21T14:40:11.151990+00:00
us-hi-ewa-beach-immaculate-conception-9d81ea0b,Immaculate Conception,91-1298 Renton Rd,Ewa Beach,Hawaii,21.34511544,-158.03300432,(808) 681-3701,http://www.immaculateconceptionewa.org/,9,0,0,False,https://catholicindex.org/mass-times/aiea-hawaii,2026-02-21T14:39:54.621895+00:00
us-hi-ewa-beach-our-lady-of-perpetual-help-f50dc13f,Our Lady of Perpetual Help,91-1010 N Rd,Ewa Beach,Hawaii,21.31658721,-158.00655774,(808) 689-8681,http://www.catholichawaii.org/parish-listing/our-lady-of-perpetual-help/,10,0,0,False,https://catholicindex.org/mass-times/aiea-hawaii,2026-02-21T14:39:54.621895+00:00
us-hi-haiku-st-rita-686f4dff,St. Rita,655 Haiku Rd,Haiku,Hawaii,20.91776311,-156.3228788,(808) 575-2601,http://stritahaiku.com/,6,0,0,False,https://catholicindex.org/mass-times/haiku-hawaii,2026-02-21T14:40:05.335076+00:00
us-oa-haleiwa-mission-of-sts-peter-and-paul-8efce2b5,Mission of Sts. Peter and Paul,59-810 Kamehameha Hwy Oahu Hawaii,Haleiwa,"Oahu,",21.6436875,-158.0636875,18086374040,https://stsmichaelpeterpaul.org/,5,0,0,False,https://catholicindex.org/mass-times/aiea-hawaii,2026-02-21T14:39:54.621895+00:00
us-hi-hana-st-mary-4fb4dc17,St. Mary,5000 Hana Hwy,Hana,Hawaii,20.75239333,-155.98734523,(808) 248-8030,http://www.catholichawaii.org/parish-listing/saint-mary/,9,0,0,False,https://catholicindex.org/mass-times/haiku-hawaii,2026-02-21T14:40:05.335076+00:00
us-hi-hanalei-st-william-57b63341,St. William,5292 Kuhio Hwy,Hanalei,Hawaii,22.20233895,-159.49921936,(808) 822-7900,http://www.kauaistcatherine.church/st-william-church,2,0,0,False,https://catholicindex.org/mass-times/hanalei-hawaii,2026-02-21T14:40:11.151990+00:00
us-hi-hawi-sacred-heart-e39b8daf,Sacred Heart,55-3374 Akoni Pule Hwy,Hawi,Hawaii,20.23800561,-155.83432245,(808) 889-6436,https://www.catholichawaii.org/parish-listing/sacred-heart-hawi/,8,0,0,False,https://catholicindex.org/mass-times/hawi-hawaii,2026-02-21T14:40:18.643618+00:00
us-hi-hilo-malia-puka-o-kalani-6db3ea95,Malia Puka O Kalani,326 Desha Ave,Hilo,Hawaii,19.72993703,-155.04284404,(808) 935-9338,http://www.catholichawaii.org/parish-listing/malia-puka-o-kalani/,2,0,0,False,https://catholicindex.org/mass-times/hilo-hawaii,2026-02-21T14:40:21.666019+00:00
us-hi-hilo-saint-joseph-parish-dfe03a89,St. Joseph Parish,P.O Box 2915,Hilo,Hawaii,19.72245383,-155.09023905,(808) 935-1465,http://www.catholichawaii.org/parish-listing/saint-joseph-hilo/?viewFull=true,0,0,0,False,https://catholicindex.org/mass-times/hilo-hawaii,2026-02-21T14:40:21.666019+00:00
us-hi-holualoa-immaculate-conception-75394cc4,Mission of the Immaculate Conception,76-5960 Mamalahoa Hwy,Holualoa,Hawaii,19.61654476,-155.94945086,808-326-7771,http://saintmichaelparishkona.org/our-parish/mass-times-and-locations/,5,0,0,False,https://catholicindex.org/mass-times/captain-cook-hawaii,2026-02-21T14:39:59.184237+00:00
us-hi-honalo-st-paul-56eab210,Mission of St. Paul,79-7234 St Paul's Rd,Honalo,Hawaii,19.5414059,-155.931472,808-326-7771,http://saintmichaelparishkona.org/st-paul/,0,0,0,False,https://catholicindex.org/mass-times/captain-cook-hawaii,2026-02-21T14:39:59.184237+00:00
us-hi-honokaa-our-lady-of-lourdes-f915b1d3,Our Lady of Lourdes,45-5028 Plumeria St,Honokaa,Hawaii,20.0767841,-155.470917,(808) 775-9591,http://www.catholichawaii.org/parish-listing/our-lady-of-lourdes/,6,0,0,False,https://catholicindex.org/mass-times/honokaa-hawaii,2026-02-21T14:40:26.182204+00:00
us-hi-honolulu-aliamanu-military-reservation-amr-9fa774e0,Aliamanu Military Reservation (AMR),1790 Bougainvillea Loop,Honolulu,Hawaii,21.36224282,-157.91021491,(214) 555-1722,http://stsdmmcc.com/,0,0,0,False,https://catholicindex.org/mass-times/aiea-hawaii,2026-02-21T14:39:54.621895+00:00
us-hi-honolulu-blessed-sacrament-925e7228,Blessed Sacrament,2124 Pauoa Rd,Honolulu,Hawaii,21.31910133,-157.84745789,(808) 531-6980,http://blessedsacramentpauoa.blogspot.com/,6,0,0,False,https://catholicindex.org/mass-times/aiea-hawaii,2026-02-21T14:39:54.621895+00:00
us-hi-honolulu-cathedral-basilica-of-our-lady-of-peace-b581a297,Cathedral Basilica of Our Lady of Peace,1184 Bishop St,Honolulu,Hawaii,21.31088815,-157.85971776,(808) 536-7036,http://honolulucathedral.org/,17,0,0,False,https://catholicindex.org/mass-times/aiea-hawaii,2026-02-21T14:39:54.621895+00:00
us-hi-honolulu-co-cathedral-of-st-theresa-ca970041,Co-Cathedral of St. Theresa,712 N School St,Honolulu,Hawaii,21.3241058,-157.86093952,(808) 521-1700,https://www.cocathedral.org/,16,0,0,False,https://catholicindex.org/mass-times/aiea-hawaii,2026-02-21T14:39:54.621895+00:00
us-hi-honolulu-holy-family-bf3ca049,Holy Family,830 Main St,Honolulu,Hawaii,21.33809012,-157.93039799,(808) 422-1135,http://www.holyfamilyhonolulu.org/,9,0,0,False,https://catholicindex.org/mass-times/aiea-hawaii,2026-02-21T14:39:54.621895+00:00
us-hi-honolulu-holy-trinity-53032285,Holy Trinity,5919 Kalanianaole Hwy,Honolulu,Hawaii,21.28283638,-157.72970438,(808) 396-0551,https://www.holytrinitychurchhawaii.org,3,0,0,False,https://catholicindex.org/mass-times/aiea-hawaii,2026-02-21T14:39:54.621895+00:00
