slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-id-aberdeen-blessed-sacrament-presentation-of-the-lord-0a8f16f6,Blessed Sacrament,635 S 4th W,Aberdeen,Idaho,42.93743233,-112.84433542,208-915-0467,http://www.presentationofthelord.org/,5,0,0,False,https://catholicindex.org/mass-times/aberdeen-idaho,2026-02-21T14:44:42.697071+00:00
us-id-aberdeen-blessed-sacrament-chapel-81ce6d68,Blessed Sacrament Chapel,635 S 4th W,Aberdeen,Idaho,42.93740054,-112.84433444,208-915-0467,http://www.presentationofthelord.org/,4,0,0,False,https://catholicindex.org/mass-times/aberdeen-idaho,2026-02-21T14:44:42.697071+00:00
us-id-american-falls-saint-marys-chapel-43d8833c,St. Mary,352 Roosevelt St,American Falls,Idaho,42.78216609,-112.85140647,208-226-5217,http://www.presentationofthelord.org/,4,0,0,False,https://catholicindex.org/mass-times/aberdeen-idaho,2026-02-21T14:44:42.697071+00:00
us-id-arco-st-anns-catholic-church-9e14cf72,St Anns Catholic Church,342 Lost River Ave,Arco,Idaho,43.63501429,-113.30526191,208-756-2432,http://catholicsalmon.com/,10,0,0,False,https://catholicindex.org/mass-times/arco-idaho,2026-02-21T14:44:51.729288+00:00
us-id-arco-st-anns-catholic-church-33dabe40,St Anns Catholic Church,342 Lost River Ave,Arco,ID,43.6350502,-113.3052528,+1-208-527-3035,https://sbcotriparishes.org/,1,0,0,False,https://catholicindex.org/mass-times/arco-idaho,2026-02-21T14:44:51.729288+00:00
us-id-blackfoot-st-bernard-b4763a86,St. Bernard,584 W Sexton St,Blackfoot,Idaho,43.19048016,-112.35222351,208-785-1935,http://stbernardscatholicc.com,8,0,0,False,https://catholicindex.org/mass-times/blackfoot-idaho,2026-02-21T14:45:11.196020+00:00
us-id-boise-cathedral-of-st-john-the-evangelist-9719f73d,Cathedral of St. John the Evangelist,707 N 8th St,Boise,Idaho,43.62131158,-116.19831388,208-342-3511,http://www.boisecathedral.org/,21,0,0,False,https://catholicindex.org/mass-times/boise-idaho,2026-02-21T14:45:17.412154+00:00
us-id-boise-monastery-of-our-lady-of-ephesus-c7244721,Monastery of Our Lady of Ephesus,4450 N Five Mile Rd,Boise,Idaho,43.64535966,-116.3117518,208-453-6252,http://vsboise.org/,16,0,0,False,https://catholicindex.org/mass-times/boise-idaho,2026-02-21T14:45:17.412154+00:00
us-id-boise-our-lady-of-the-rosary-13c29dcf,Our Lady of the Rosary,1500 E Wright St,Boise,Idaho,43.57193991,-116.16405673,208-343-9041,http://olrboise.org/,12,0,0,False,https://catholicindex.org/mass-times/boise-idaho,2026-02-21T14:45:17.412154+00:00
us-id-boise-risen-christ-catholic-community-256ef1a9,Risen Christ Catholic Church,11511 Lake Hazel Rd,Boise,Idaho,43.54627381,-116.3257558,(208) 362-6584,https://www.risenchristboise.org/,7,0,0,False,https://catholicindex.org/mass-times/boise-idaho,2026-02-21T14:45:17.412154+00:00
us-id-boise-sacred-heart-14644668,Sacred Heart,811 S Latah St,Boise,Idaho,43.59656272,-116.22934402,208-344-8311,https://www.sacredheartboise.org/,12,0,0,False,https://catholicindex.org/mass-times/boise-idaho,2026-02-21T14:45:17.412154+00:00
us-id-boise-st-marks-74376406,St. Mark,7960 W Northview St,Boise,Idaho,43.62711405,-116.28058392,208-375-6651,http://www.stmarksboise.org/,10,0,0,False,https://catholicindex.org/mass-times/boise-idaho,2026-02-21T14:45:17.412154+00:00
us-id-boise-st-marys-c0265b72,St. Mary,2604 W State St,Boise,Idaho,43.63159223,-116.22182525,(208) 344-2597,https://www.stmarysboise.org/,9,0,0,False,https://catholicindex.org/mass-times/boise-idaho,2026-02-21T14:45:17.412154+00:00
us-id-boise-st-paul-catholic-center-60dd5358,St. Paul Student Center,1910 W University Dr,Boise,Idaho,43.60277075,-116.20485679,(208) 343-2128,http://www.broncocatholic.org/,8,0,0,False,https://catholicindex.org/mass-times/boise-idaho,2026-02-21T14:45:17.412154+00:00
us-id-bonners-ferry-st-ann-ee97be52,St. Ann,6712 El Paso St,Bonners Ferry,Idaho,48.68406778,-116.31656581,208-267-2852,http://www.stannbonnersferry.org/,19,0,0,False,https://catholicindex.org/mass-times/bonners-ferry-idaho,2026-02-21T14:45:19.169839+00:00
us-id-bruneau-st-bridget-1f6bc5b8,St. Bridget,28672 Hyde St,Bruneau,Idaho,42.88107392,-115.79917947,208-587-3046,http://www.bruneaucatholicchurch.com/,1,0,0,False,https://catholicindex.org/mass-times/bruneau-idaho,2026-02-21T14:45:21.742121+00:00
us-id-buhl-immaculate-conception-38f64763,Immaculate Conception,1631 Poplar St,Buhl,Idaho,42.59685812,-114.768476,208-543-5136,http://www.icbuhl.org,8,0,0,False,https://catholicindex.org/mass-times/buhl-idaho,2026-02-21T14:45:23.241549+00:00
us-id-burley-st-therese-of-the-little-flower-7fbfc5b7,St. Therese Little Flower,1601 Oakley Ave,Burley,Idaho,42.53255932,-113.79436102,208-678-5453,https://catholicburley.com,9,0,0,False,https://catholicindex.org/mass-times/burley-idaho,2026-02-21T14:45:25.088106+00:00
us-id-caldwell-our-lady-of-the-valley-635232df,Our Lady of the Valley,1122 W Linden St,Caldwell,Idaho,43.64882622,-116.71169669,208-459-3653,https://www.olvcaldwell.org,13,0,0,False,https://catholicindex.org/mass-times/boise-idaho,2026-02-21T14:45:17.412154+00:00
us-id-cambridge-holy-rosary-st-agnes-parish-688aa372,Holy Rosary (St. Agnes Parish),250 S 1st St,Cambridge,Idaho,44.57000666,-116.68058001, (208) 549-0088,https://www.catholicweiser.org/,2,0,0,False,https://catholicindex.org/mass-times/cambridge-idaho,2026-02-21T14:45:29.398489+00:00
us-id-cascade-st-katharine-drexel-7fe82090,St. Katherine Drexel,101 Vista Point Blvd,Cascade,Idaho,44.52998162,-116.04027718,(208) 634-5474,https://www.ollidaho.org,1,0,0,False,https://catholicindex.org/mass-times/cascade-idaho,2026-02-21T14:45:35.317383+00:00
us-id-challis-st-louise-catholic-church-c5a0330b,St Louise Catholic Church,1251 Pleasant Ave,Challis,Idaho,44.50438176,-114.22529121,208-756-2432,http://catholicsalmon.com/,6,0,0,False,https://catholicindex.org/mass-times/challis-idaho,2026-02-21T14:45:39.783822+00:00
us-id-chubbuck-church-of-st-paul-b340eb51,St. Paul,820 W Rd,Chubbuck,Idaho,42.9208125,-112.4845625,12082321196,$undefined,0,0,0,False,https://catholicindex.org/mass-times/aberdeen-idaho,2026-02-21T14:44:42.697071+00:00
us-id-clark-fork-sacred-heart-f447d03b,Sacred Heart,125 W 5th Ave,Clark Fork,Idaho,48.1476205,-116.17865941,(208) 263-3720,http://www.st-joseph-church.net/,17,0,0,False,https://catholicindex.org/mass-times/clark-fork-idaho,2026-02-21T14:45:42.769667+00:00
