slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-il-abingdon-sacred-heart-006b3981,Sacred Heart,504 N Main St,Abingdon,Illinois,40.80640145,-90.39886817,(309) 343-9874,https://www.galesburgcatholic.com,0,0,0,False,https://catholicindex.org/mass-times/abingdon-illinois,2026-02-21T14:55:16.260325+00:00
us-il-addison-st-joseph-f90cb2d2,St. Joseph,330 E Fullerton Ave,Addison,Illinois,41.92069528,-87.98022012,(630) 279-6553,https://www.stjoeaddison.com/,12,0,0,False,https://catholicindex.org/mass-times/addison-illinois,2026-02-21T14:55:21.545281+00:00
us-il-addison-st-philip-the-apostle-1dbdaa62,St. Philip the Apostle,1233 W Holtz Ave,Addison,Illinois,41.93810193,-88.01868069,(630) 628-0900,http://www.st-phil.org/,7,0,0,False,https://catholicindex.org/mass-times/addison-illinois,2026-02-21T14:55:21.545281+00:00
us-mo-affton-seven-holy-founders-7ddffacd,Seven Holy Founders,6741 Rock Hill Rd,Affton,Missouri,38.55222724,-90.33397821,(314) 638-3938,http://www.foundersaffton.org/,9,0,0,False,https://catholicindex.org/mass-times/alton-illinois,2026-02-21T14:55:49.663706+00:00
us-il-albany-st-patrick-10131b39,St. Patrick,Hwy 84,Albany,Illinois,41.79310751,-90.20621681,(815) 589-3542,http://www.icspchurches.org/,3,0,0,False,https://catholicindex.org/mass-times/albany-illinois,2026-02-21T14:55:23.841191+00:00
us-il-albany-church-of-st-patrick-6f42b66e,St. Patrick,84,Albany,Illinois,41.78875,-90.22125,18155893542,http://www.rockforddiocese.org/parishes/parish-information/?parish=1,2,0,0,False,https://catholicindex.org/mass-times/albany-illinois,2026-02-21T14:55:23.841191+00:00
us-wi-albany-st-patrick-church-e7e93584,St. Patrick,410 E State St,Albany,Wisconsin,42.70451607,-89.43272603,(608) 424-3831,http://www.ctk-p.org,1,0,0,False,https://catholicindex.org/mass-times/davis-illinois,2026-02-21T15:02:30.496592+00:00
us-il-albers-st-bernard-12c04dce,St. Bernard,202 N Broadway,Albers,Illinois,38.54457295,-89.61354404,(618) 248-5112,http://www.stbernardandstdamian.org,1,0,0,False,https://catholicindex.org/mass-times/albers-illinois,2026-02-21T14:55:25.311413+00:00
us-il-aledo-st-catherine-a66fb06e,St. Catherine,106 N.E 4th St,Aledo,Illinois,41.20410535,-90.74884115,(309) 582-7500,http://www.cpomc.org/,2,0,0,False,https://catholicindex.org/mass-times/aledo-illinois,2026-02-21T14:55:30.155265+00:00
us-il-alexander-visitation-of-the-bvm-bf2defc2,Visitation of the Blessed Virgin Mary,506 E Old Rt 36,Alexander,Illinois,39.72536268,-90.03599915,217-488-3545,http://quadpastoralunit.com/visitation/,1,0,0,False,https://catholicindex.org/mass-times/alexander-illinois,2026-02-21T14:55:31.356152+00:00
