slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-in-albion-blessed-sacrament-af2cebdb,Blessed Sacrament,2290 N State Rd 9,Albion,Indiana,41.38583954,-85.4229061,(260) 636-2072,http://www.blessedsacramentalbion.org/,4,0,0,False,https://catholicindex.org/mass-times/albion-indiana,2026-02-21T16:09:47.273178+00:00
us-in-alexandria-st-mary-97fd978b,St. Mary,820 W Madison St,Alexandria,Indiana,40.26733111,-85.68559231,765-724-4459,http://stambrosestmary.org/st-mary-alexandria,5,0,0,False,https://catholicindex.org/mass-times/alexandria-indiana,2026-02-21T16:09:48.424323+00:00
us-il-alsip-incarnation-st-terrence-parish-st-terrence-33fa2bb3,Incarnation-St. Terrence Parish - St. Terrence ,4300 W 119th Pl,Alsip,Illinois,41.67585921,-87.72803584,(708) 597-3180,http://www.incparish.com,9,0,0,False,https://catholicindex.org/mass-times/cedar-lake-indiana,2026-02-21T16:12:05.419723+00:00
us-in-ambia-st-marys-catholic-church-4116a5ee,St Mary's Catholic Church,2961 S State Rd 71,Ambia,Indiana,40.56448526,-87.48996968,(765) 884-1818,http://www.swnewtonbentoncopastorate.org ,9,0,0,False,https://catholicindex.org/mass-times/ambia-indiana,2026-02-21T16:09:49.965301+00:00
us-in-anderson-st-ambrose-catholic-church-ee1f604e,St Ambrose Church,2801 Lincoln St,Anderson,Indiana,40.08800616,-85.68512371,765-644-5956,http://stambrosestmary.org/st-ambrose,3,0,0,False,https://catholicindex.org/mass-times/alexandria-indiana,2026-02-21T16:09:48.424323+00:00
us-in-anderson-st-mary-ac34c88e,St. Mary,302 E 11th St,Anderson,Indiana,40.10530887,-85.67539239,(765) 644-8467,http://stambrosestmary.org/st-mary,8,0,0,False,https://catholicindex.org/mass-times/alexandria-indiana,2026-02-21T16:09:48.424323+00:00
us-in-angola-saint-anthony-of-padua-47011a8c,St. Anthony de Padua,700 W Maumee St,Angola,Indiana,41.63551762,-85.00837347,(260) 665-2259,http://www.stanthonyangola.com/,18,0,0,False,https://catholicindex.org/mass-times/angola-indiana,2026-02-21T16:09:57.403025+00:00
us-oh-antwerp-divine-mercy-92ced5a4,Divine Mercy,303 S Monroe St,Antwerp,Ohio,41.17886344,-84.74196732,(419) 399-2576,http://divinemercycatholic.com/,0,0,0,False,https://catholicindex.org/mass-times/auburn-indiana,2026-02-21T16:10:12.424679+00:00
us-in-attica-st-francis-xavier-74fc63ce,St. Francis Xavier,407 S Perry St,Attica,Indiana,40.29071983,-87.25008125,(765) 762-3330,http://stjosephcovington.org/,6,0,0,False,https://catholicindex.org/mass-times/ambia-indiana,2026-02-21T16:09:49.965301+00:00
us-in-auburn-immaculate-conception-5aa94611,Immaculate Conception,500 E 7th St,Auburn,Indiana,41.36775838,-85.04925668,(260) 925-3930,http://www.iccauburn.com/,8,0,0,False,https://catholicindex.org/mass-times/albion-indiana,2026-02-21T16:09:47.273178+00:00
