slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-ia-ackley-st-mary-9b0ea02d,St. Mary,611 Sherman Ave,Ackley,Iowa,42.5570014,-93.05456292,(641) 847-2329,http://franklinhardincatholic.org/,2,0,0,False,https://catholicindex.org/mass-times/ackley-iowa,2026-02-21T16:55:56.252255+00:00
us-ia-adair-st-john-d28dba62,St. John,501 Adair St,Adair,Iowa,41.50406707,-94.64328446,(515) 523-1943,https://www.stuartallsaints.org,4,0,0,False,https://catholicindex.org/mass-times/adair-iowa,2026-02-21T16:55:59.466635+00:00
us-mn-adams-sacred-heart-c8bb45ff,Sacred Heart,412 Main St,Adams,Minnesota,43.56549633,-92.72029374,507-582-3120 ,http://www.sacredheartadams.org/sacred-heart-adams,1,0,0,False,https://catholicindex.org/mass-times/elma-iowa,2026-02-21T17:11:45.160202+00:00
us-ia-adel-st-johns-d6e823b1,St. John,24043 302nd Pl,Adel,Iowa,41.59734812,-94.01186854,(515) 993-4482,http://www.stjohnsadel.org,8,0,0,False,https://catholicindex.org/mass-times/adel-iowa,2026-02-21T16:56:00.975275+00:00
us-mn-adrian-st-adrian-02ebd169,St. Adrian,512 Maine Ave,Adrian,Minnesota,43.63135553,-95.93285772,(507) 483-2317,http://www.stadriancluster.org/,2,0,0,False,https://catholicindex.org/mass-times/ashton-iowa,2026-02-21T16:56:59.662634+00:00
us-ia-afton-saint-edward-a81cf385,St. Edward,104 W Union St,Afton,Iowa,41.0320937,-94.19784642,(641) 782-5278,https://www.saintedwardafton.com/,2,0,0,False,https://catholicindex.org/mass-times/afton-iowa,2026-02-21T16:56:02.306222+00:00
us-ia-akron-st-patricks-0c80a886,St. Patrick,650 Dakota St,Akron,Iowa,42.82803387,-96.55364598,712 722-3011 or 712-568-3292,http://ourladyofguadalupeparish.net/st-patricks-akron,10,0,0,False,https://catholicindex.org/mass-times/akron-iowa,2026-02-21T16:56:07.000868+00:00
us-il-albany-church-of-st-patrick-6f42b66e,St. Patrick,84,Albany,Illinois,41.78875,-90.22125,18155893542,http://www.rockforddiocese.org/parishes/parish-information/?parish=1,2,0,0,False,https://catholicindex.org/mass-times/bettendorf-iowa,2026-02-21T17:06:46.369919+00:00
us-il-albany-st-patrick-10131b39,St. Patrick,Hwy 84,Albany,Illinois,41.79310751,-90.20621681,(815) 589-3542,http://www.icspchurches.org/,3,0,0,False,https://catholicindex.org/mass-times/bettendorf-iowa,2026-02-21T17:06:46.369919+00:00
us-mn-albert-lea-st-theodore-607d51fb,St. Theodore,315 E Clark St,Albert Lea,Minnesota,43.65019964,-93.365505,(507) 373-0603,http://www.sttheo.org/,7,0,0,False,https://catholicindex.org/mass-times/lake-mills-iowa,2026-02-21T17:16:09.403945+00:00
us-ia-albia-st-mary-bf359f78,St. Mary,730 Benton Ave W,Albia,Iowa,41.02576366,-92.81926075,(641) 932-5130,http://www.stmarysalbia.org,0,0,0,False,https://catholicindex.org/mass-times/albia-iowa,2026-02-21T16:56:09.958862+00:00
us-il-aledo-st-catherine-a66fb06e,St. Catherine,106 N.E 4th St,Aledo,Illinois,41.20410535,-90.74884115,(309) 582-7500,http://www.cpomc.org/,2,0,0,False,https://catholicindex.org/mass-times/blue-grass-iowa,2026-02-21T17:07:01.389304+00:00
us-ia-algona-st-cecelia-divine-mercy-parish-3242c18e,St. Cecilia,715 E N St,Algona,Iowa,43.0714343,-94.22812149,(515) 295-3435,http://dmparish.org/,6,0,0,False,https://catholicindex.org/mass-times/algona-iowa,2026-02-21T16:56:17.746305+00:00
us-ia-alta-vista-st-bernard-d38e6f3a,St. Bernard,116 E Washington St,Alta Vista,Iowa,43.19967256,-92.4146734,(641) 393-2520,http://holyrosarycluster.dbqarch.org/,7,0,0,False,https://catholicindex.org/mass-times/alta-vista-iowa,2026-02-21T16:56:25.126160+00:00
us-ia-alton-st-mary-88f1cc24,St. Mary,609 10th St,Alton,Iowa,42.98842349,-96.01523056,(712) 756-4224,http://pilgrimcluster.org/st-mary-alton,1,0,0,False,https://catholicindex.org/mass-times/alton-iowa,2026-02-21T16:56:26.524800+00:00
us-ia-altoona-saints-john-and-paul-fbc4c59a,Sts. John and Paul,1401 1st Ave S,Altoona,Iowa,41.63871626,-93.46399645,(515) 967-3796,https://www.ssjohnpaul.org,10,0,0,False,https://catholicindex.org/mass-times/altoona-iowa,2026-02-21T16:56:28.101372+00:00
us-ia-ames-st-cecilia-cd30012e,St. Cecilia,2900 Hoover Ave,Ames,Iowa,42.04982323,-93.62953353,(515) 233-3092,http://www.stceciliaparish.org/,8,0,0,False,https://catholicindex.org/mass-times/ames-iowa,2026-02-21T16:56:32.449932+00:00
us-ia-ames-st-thomas-aquinas-church-and-catholic-student-center-7d89e6a4,St. Thomas Aquinas Church and Catholic Student Center,2210 Lincoln Way,Ames,Iowa,42.0225635,-93.64483002,515-292-3810,http://staparish.net/,10,0,0,False,https://catholicindex.org/mass-times/ames-iowa,2026-02-21T16:56:32.449932+00:00
us-ia-ames-sts-peter-and-paul-760c3891,Sts. Peter and Paul,14238 500th Ave,Ames,Iowa,42.14791202,-93.69831371,563-608-3938,http://www.ssppgilbert.net/,2,0,0,False,https://catholicindex.org/mass-times/ames-iowa,2026-02-21T16:56:32.449932+00:00
us-ia-anamosa-oratory-of-st-joseph-57230312,Oratory of St. Joseph,12472 Stone City Rd X28,Anamosa,Iowa,42.1183125,-91.3445625,$undefined,https://stpatchurch.dbqarch.org/,5,0,0,False,https://catholicindex.org/mass-times/anamosa-iowa,2026-02-21T16:56:34.044863+00:00
us-ia-anamosa-st-patrick-01624433,St. Patrick,215 N Garnavillo St,Anamosa,Iowa,42.11079503,-91.28668984,(319) 462-2141,http://stpatchurch.dbqarch.org/,5,0,0,False,https://catholicindex.org/mass-times/anamosa-iowa,2026-02-21T16:56:34.044863+00:00
us-il-andalusia-church-of-st-patrick-3585b023,St. Patrick,9619 140th St,Andalusia,Illinois,41.4226875,-90.7595625,13097982098,https://saintpatrickandalusia.org/,2,0,0,False,https://catholicindex.org/mass-times/bettendorf-iowa,2026-02-21T17:06:46.369919+00:00
us-ia-anita-st-marys-catholic-church-6d6e3a54,St. Mary's Catholic Church,302 Chestnut St,Anita,Iowa,41.44589137,-94.76629233,Church (712) 762-3484 Office (712) 243-4721,http://www.sspeterpaulandmary.org/,2,0,0,False,https://catholicindex.org/mass-times/adair-iowa,2026-02-21T16:55:59.466635+00:00
us-ia-ankeny-our-ladys-immaculate-heart-c64a1b49,Our Lady’s Immaculate Heart,510 E First St,Ankeny,Iowa,41.73234866,-93.59223939,(515) 964-3038,https://www.olih.org,8,0,0,False,https://catholicindex.org/mass-times/adel-iowa,2026-02-21T16:56:00.975275+00:00
us-ia-ankeny-st-luke-the-evangelist-387906f6,St. Luke the Evangelist,1102 N W Weigel Dr,Ankeny,Iowa,41.74038836,-93.65527571,515-964-1278,https://www.slte.org/,10,0,0,False,https://catholicindex.org/mass-times/adel-iowa,2026-02-21T16:56:00.975275+00:00
us-ia-anthon-st-joseph-21c85506,St. Joseph,404 E Randolph St,Anthon,Iowa,42.38715818,-95.86314012,(712) 373-5573,https://www.westforkcatholiccommunity.org,3,0,0,False,https://catholicindex.org/mass-times/anthon-iowa,2026-02-21T16:56:41.704545+00:00
us-il-apple-river-st-joseph-e7e90e99,St. Joseph,105 W Webster St,Apple River,Illinois,42.50486845,-90.09679499,(815) 745-2312,http://www.rockforddiocese.org/parishes/parish-information/?parish=4,1,0,0,False,https://catholicindex.org/mass-times/bellevue-iowa,2026-02-21T17:06:37.239460+00:00
us-ia-arcadia-st-john-the-baptist-a855fdbf,St John The Baptist Catholic Church,610 S Gault St,Arcadia,Iowa,42.08394266,-95.04647578,(712) 689-2595,http://gscpcarrollco.org/st-john-the-baptist-arcadia,2,0,0,False,https://catholicindex.org/mass-times/arcadia-iowa,2026-02-21T16:56:44.784460+00:00
us-ia-armstrong-st-mary-34a0e933,St. Mary,404 5th Ave,Armstrong,Iowa,43.39958785,-94.48243637,(712) 864-3160,http://www.stpatstmary.com/,1,0,0,False,https://catholicindex.org/mass-times/armstrong-iowa,2026-02-21T16:56:55.258252+00:00
us-ia-ashton-st-mary-23945896,St. Mary,643 6th St,Ashton,Iowa,43.31566851,-95.79292086,(712) 754-2739,https://hwy60catholiccluster.org/st-mary-ashton,2,0,0,False,https://catholicindex.org/mass-times/ashton-iowa,2026-02-21T16:56:59.662634+00:00
us-ia-atlantic-ss-peter-paul-catholic-church-160973de,Sts. Peter and Paul,106 W 6th St,Atlantic,Iowa,41.40512331,-95.01558361,(712) 243-4721,https://www.sspeterpaulandmary.org,10,0,0,False,https://catholicindex.org/mass-times/adair-iowa,2026-02-21T16:55:59.466635+00:00
us-ne-auburn-st-joseph-2074bd7b,St. Joseph,2221 N Street,Auburn,Nebraska,40.38146984,-95.84380366,(402) 274-3733,$undefined,6,0,0,False,https://catholicindex.org/mass-times/hamburg-iowa,2026-02-21T17:13:52.614434+00:00
us-ia-auburn-st-mary-calhoun-county-catholic-parishes-6cbd5e3b,St. Mary (Calhoun County Catholic Parishes),301 E 4th St,Auburn,Iowa,42.25277087,-94.87446778,(712) 464.3395,https://calhouncatholic.org,14,0,0,False,https://catholicindex.org/mass-times/arcadia-iowa,2026-02-21T16:56:44.784460+00:00
us-ia-audubon-st-patricks-2593a31e,St. Patrick,116 E Division St,Audubon,Iowa,41.72288297,-94.92733806,(712) 563-2283,http://www.stpatrickholytrinity.org/,7,0,0,False,https://catholicindex.org/mass-times/adair-iowa,2026-02-21T16:55:59.466635+00:00
us-mn-austin-queen-of-angels-1b473784,Queen of Angels,1001 E Oakland Ave,Austin,Minnesota,43.66682186,-92.96312337,(507) 433-1888,http://www.queenofangels.church/,9,0,0,False,https://catholicindex.org/mass-times/stacyville-iowa,2026-02-21T17:25:01.180286+00:00
us-mn-austin-st-augustine-church-feb963c5,St Augustine Church,405 4th St NW,Austin,MN,43.6697189,-92.9800949,+1-814-435-2303,https://staugustinestedward.org/,6,0,0,False,https://catholicindex.org/mass-times/stacyville-iowa,2026-02-21T17:25:01.180286+00:00
us-mn-austin-st-augustine-ddbe43a6,St. Augustine,405 4th St NW,Austin,Minnesota,43.66980211,-92.98008835,(507) 437-4537,http://staugustinestedward.org/,9,0,0,False,https://catholicindex.org/mass-times/stacyville-iowa,2026-02-21T17:25:01.180286+00:00
us-mn-austin-st-edward-7b78a495,St. Edward,2000 Oakland Ave W,Austin,Minnesota,43.6671528,-93.0011549,(507) 437-4537,http://staugustinestedward.org/,5,0,0,False,https://catholicindex.org/mass-times/stacyville-iowa,2026-02-21T17:25:01.180286+00:00
us-ia-avoca-st-mary-7f3e7ae5,St. Mary Mediatrix of All Graces,109 N Maple St,Avoca,Iowa,41.4777853,-95.34071384,(712) 343-6951,http://stmarysavoca.wordpress.com/,3,0,0,False,https://catholicindex.org/mass-times/atlantic-iowa,2026-02-21T16:57:05.771649+00:00
us-ia-ayrshire-church-of-the-sacred-heart-5c7d3491,Sacred Heart,1802 Doon St,Ayrshire,Iowa,43.0419375,-94.8359375,17128523187,$undefined,0,0,0,False,https://catholicindex.org/mass-times/ayrshire-iowa,2026-02-21T16:57:16.418785+00:00
us-ia-balltown-st-francis-of-assisi-92661e12,St. Francis of Assisi,468 Balltown Rd,Balltown,Iowa,42.6370254,-90.86873751,(563) 870-4041,http://www.lasallepastorate.com/,1,0,0,False,https://catholicindex.org/mass-times/bernard-iowa,2026-02-21T17:06:43.361215+00:00
us-ne-bancroft-holy-cross-d58986fa,Holy Cross,501 Park St,Bancroft,Nebraska,42.01160399,-96.57444458,(402) 878-2402,http://holyapostlesfamily.org/mass-times,2,0,0,False,https://catholicindex.org/mass-times/onawa-iowa,2026-02-21T17:20:54.242851+00:00
us-ia-bancroft-church-of-st-john-the-baptist-f35ef6e9,St. John the Baptist,204 S Summit Ave,Bancroft,Iowa,43.2901875,-94.2161875,15158852462,https://dmparish.org/,3,0,0,False,https://catholicindex.org/mass-times/algona-iowa,2026-02-21T16:56:17.746305+00:00
us-ia-bancroft-st-john-the-baptist-divine-mercy-parish-c7cd3a31,St. John the Baptist - Divine Mercy Parish,204 S Summitt Ave,Bancroft,Iowa,43.29126333,-94.21634229,(515) 295-3435,http://dmparish.org/,4,0,0,False,https://catholicindex.org/mass-times/algona-iowa,2026-02-21T16:56:17.746305+00:00
us-ia-bayard-st-patrick-8e3680d9,St. Patrick,214 Prairie St,Bayard,Iowa,41.85423228,-94.56102531,(641) 747-3843,http://st-mary-patrick-cecilia.com/,1,0,0,False,https://catholicindex.org/mass-times/adair-iowa,2026-02-21T16:55:59.466635+00:00
us-ia-bedford-sacred-heart-48c77b02,Sacred Heart,707 Main St,Bedford,Iowa,40.6671873,-94.72357036,(712) 542-2030,http://www.facebook.com/stclarestjosephsacredheart/,0,0,0,False,https://catholicindex.org/mass-times/bedford-iowa,2026-02-21T17:06:34.332406+00:00
us-ia-belle-plaine-st-michael-8f9af86a,St. Michael,1302 9th Ave,Belle Plaine,Iowa,41.89728054,-92.27527654,(319) 444-3106 ,http://www.cofsaints.org/,6,0,0,False,https://catholicindex.org/mass-times/belle-plaine-iowa,2026-02-21T17:06:35.830197+00:00
us-ne-bellevue-st-marys-of-bellevue-catholic-church-aa71f855,St Mary's of Bellevue Catholic Church,2302 S Crawford St,Bellevue,NE,41.1351691,-95.9039893,+1-402-291-1350,https://stmarysbellevue.com/,15,0,0,False,https://catholicindex.org/mass-times/carter-lake-iowa,2026-02-21T17:08:07.301434+00:00
us-ne-bellevue-st-bernadette-f6489896,St. Bernadette,7600 S 42nd St,Bellevue,Nebraska,41.18318142,-95.97813462,(402) 731-4694,http://stbernadetteparish.org/,0,0,0,False,https://catholicindex.org/mass-times/carter-lake-iowa,2026-02-21T17:08:07.301434+00:00
us-ia-bellevue-st-joseph-31a589bf,St. Joseph,405 Franklin St,Bellevue,Iowa,42.26034993,-90.4286448,(563) 872-3234,http://www.sjandspp.com/,5,0,0,False,https://catholicindex.org/mass-times/bellevue-iowa,2026-02-21T17:06:37.239460+00:00
us-ne-bellevue-st-mary-b94b7e70,St. Mary,2302 Crawford St,Bellevue,Nebraska,41.13510673,-95.90318251,(402) 291-1350,http://stmarysbellevue.com/,18,0,0,False,https://catholicindex.org/mass-times/carter-lake-iowa,2026-02-21T17:08:07.301434+00:00
us-ne-bellevue-st-matthew-2263d621,St. Matthew the Evangelist,12330 S 36th St,Bellevue,Nebraska,41.12631919,-95.96782752,(402) 292-7418,https://stmatthewbellevue.org/,8,0,0,False,https://catholicindex.org/mass-times/carter-lake-iowa,2026-02-21T17:08:07.301434+00:00
us-ia-belmond-st-francis-xavier-a3307954,St. Francis Xavier,1207 3rd St NE,Belmond,Iowa,42.84910796,-93.60145563,(515) 532-3586,http://www.holyfamilycluster.org/,2,0,0,False,https://catholicindex.org/mass-times/belmond-iowa,2026-02-21T17:06:38.717028+00:00
us-wi-belmont-st-philomena-a3876f42,St. Philomena,338 Chestnut St,Belmont,Wisconsin,42.73468888,-90.33611289,(608) 776-4059,Http://stisidorewi.org,0,0,0,False,https://catholicindex.org/mass-times/dubuque-iowa,2026-02-21T17:11:01.581782+00:00
us-wi-benton-st-patrick-09210dcc,St. Patrick,237 E Main St,Benton,Wisconsin,42.56765326,-90.37869936,(608) 744-2010,http://89347a.sites.ecatholic.com/,2,0,0,False,https://catholicindex.org/mass-times/bellevue-iowa,2026-02-21T17:06:37.239460+00:00
us-sd-beresford-st-teresa-of-avila-6762f63a,St. Teresa of Avila,901 S 3rd St,Beresford,South Dakota,43.07250088,-96.77460551,605-763-2028,http://www.sdprairiecatholic.org/,1,0,0,False,https://catholicindex.org/mass-times/akron-iowa,2026-02-21T16:56:07.000868+00:00
us-ia-bernard-st-patrick-19d0537f,St. Patrick,28914 46th Ave,Bernard,Iowa,42.28452255,-90.8463983,(563) 852-3524,http://www.stapastorate.org/,3,0,0,False,https://catholicindex.org/mass-times/bellevue-iowa,2026-02-21T17:06:37.239460+00:00
us-ia-bettendorf-our-lady-of-lourdes-078d45be,Our Lady of Lourdes,1414 Mississippi Blvd,Bettendorf,Iowa,41.52749228,-90.51156854,(563) 359-0345,https://www.lourdescatholic.org/church/,8,0,0,False,https://catholicindex.org/mass-times/bettendorf-iowa,2026-02-21T17:06:46.369919+00:00
us-ia-bettendorf-st-john-vianney-e743f460,St. John Vianney,4097 18th St,Bettendorf,Iowa,41.56306322,-90.49651802,(563) 332-7910,https://sjvbett.org,0,0,0,False,https://catholicindex.org/mass-times/bettendorf-iowa,2026-02-21T17:06:46.369919+00:00
us-ne-blair-st-francis-borgia-catholic-church-9cc79802,St. Francis Borgia Catholic Church,2005 Davis Dr,Blair,Nebraska,41.53756295,-96.14334532,402-426-3823,http://www.trinitycatholicparishes.org/,5,0,0,False,https://catholicindex.org/mass-times/carter-lake-iowa,2026-02-21T17:08:07.301434+00:00
us-ia-blairstown-st-john-cd8e41e9,St. John,105 W St NW,Blairstown,Iowa,41.9066453,-92.08636142,(319) 228-8131,http://queenofsaints.dbqarch.org/,3,0,0,False,https://catholicindex.org/mass-times/belle-plaine-iowa,2026-02-21T17:06:35.830197+00:00
us-ia-blencoe-st-bernard-mission-of-st-john-9b00f84b,St. Bernard (Mission of St. John),201 Main St,Blencoe,Iowa,41.93069705,-96.08406502,(712) 423-1004,http://stjohnonawa.com/,1,0,0,False,https://catholicindex.org/mass-times/blencoe-iowa,2026-02-21T17:06:56.748477+00:00
us-ia-bloomfield-st-mary-magdalen-e6d2d500,St. Mary Magdalen,108 Weaver Rd,Bloomfield,Iowa,40.75625313,-92.41229685,(641) 682-4212,http://www.davenportdiocese.org/,2,0,0,False,https://catholicindex.org/mass-times/bloomfield-iowa,2026-02-21T17:06:59.797531+00:00
us-wi-bloomington-st-mary-2196b89e,St. Mary,535 Congress St,Bloomington,Wisconsin,42.88902568,-90.92394038,(608) 994-2526,http://stjworkerparish.com/,4,0,0,False,https://catholicindex.org/mass-times/colesburg-iowa,2026-02-21T17:09:08.901055+00:00
us-mn-blue-earth-sts-peter-and-paul-cc05d07b,Sts. Peter and Paul,214 S Holland St,Blue Earth,Minnesota,43.63668974,-94.10726695,(507) 526-5626,http://www.fmcatholic.org/,1,0,0,False,https://catholicindex.org/mass-times/armstrong-iowa,2026-02-21T16:56:55.258252+00:00
us-ia-blue-grass-st-andrew-7dbf2678,St. Andrew,333 W Lotte St,Blue Grass,Iowa,41.5141675,-90.76950265,(563) 381-1363,https://www.standrewbluegrass.org,6,0,0,False,https://catholicindex.org/mass-times/bettendorf-iowa,2026-02-21T17:06:46.369919+00:00
us-ia-boone-sacred-heart-44841f7a,Sacred Heart,915 12th St,Boone,Iowa,42.06831377,-93.87863712,(515) 432-1971,http://boonecountycatholics.org/,7,0,0,False,https://catholicindex.org/mass-times/ames-iowa,2026-02-21T16:56:32.449932+00:00
us-ne-boys-town-immaculate-conception-dowd-memorial-chapel-ebcaf8c4,Immaculate Conception,13943 Dowd Dr,Boys Town,Nebraska,41.26098162,-96.13166676,(402) 498-1030,http://www.boystown.org/village/Pages/dowd-chapel.aspx,3,0,0,False,https://catholicindex.org/mass-times/carter-lake-iowa,2026-02-21T17:08:07.301434+00:00
us-sd-brandon-risen-savior-parish-a9609894,Risen Savior,301 N Splitrock Blvd,Brandon,South Dakota,43.59787598,-96.57359934,605-582-6902,https://www.risensaviorbrandon.com/,7,0,0,False,https://catholicindex.org/mass-times/larchwood-iowa,2026-02-21T17:16:22.776520+00:00
us-ia-breda-st-bernard-ef06bfee,St. Bernard,304 N 2nd St,Breda,Iowa,42.1832962,-94.97781,(712) 673-2582,http://gscpcarrollco.org/st-bernard-breda,4,0,0,False,https://catholicindex.org/mass-times/arcadia-iowa,2026-02-21T16:56:44.784460+00:00
us-mn-brewster-sacred-heart-792006ba,Sacred Heart,516 10th St,Brewster,Minnesota,43.69583454,-95.46514476,(507) 842-5584,http://sfxwindom.org/,3,0,0,False,https://catholicindex.org/mass-times/sibley-iowa,2026-02-21T17:24:28.154582+00:00
