slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-ky-albany-emmanuel-b6b399dc,Emmanuel,2546 N Hwy 127,Albany,Kentucky,36.72114207,-85.13456733,6066881921,http://www.archlou.org/parishes/emmanuel-parish/,36,0,0,False,https://catholicindex.org/mass-times/albany-kentucky,2026-02-21T18:15:34.930828+00:00
us-ky-alexandria-st-mary-of-the-assumption-9012223a,St. Mary of the Assumption Parish,8246 E Main St,Alexandria,Kentucky,38.95506521,-84.389159,859-635-4188,https://www.saintmaryparish.com,10,0,0,False,https://catholicindex.org/mass-times/alexandria-kentucky,2026-02-21T18:15:36.464134+00:00
us-oh-amelia-st-bernadette-cba55249,St. Bernadette,1479 Locust Lake Rd,Amelia,Ohio,39.02812676,-84.22669598,(513)753-5566,http://stellamarisfamily.org/,28,0,0,False,https://catholicindex.org/mass-times/alexandria-kentucky,2026-02-21T18:15:36.464134+00:00
us-oh-arnheim-st-mary-d1195703,St. Mary,6647 Van Buren St,Arnheim,Ohio,38.93396539,-83.8261382,(937) 392-1116,https://www.ohiocatholic.org,2,0,0,False,https://catholicindex.org/mass-times/augusta-kentucky,2026-02-21T18:16:01.998808+00:00
us-ky-ashland-holy-family-972af572,Holy Family,900 Winchester Ave,Ashland,Kentucky,38.48213137,-82.64717542,(606) 329-1607,http://hfchurchashland.weebly.com/,12,0,0,False,https://catholicindex.org/mass-times/ashland-kentucky,2026-02-21T18:15:57.348804+00:00
us-ky-auburn-fathers-of-mercy-334e5c0f,Chapel of Divine Mercy,806 Shaker Museum Rd,Auburn,Kentucky,36.88451722,-86.64621705,(270) 542-4146,http://fathersofmercy.com/,7,0,0,False,https://catholicindex.org/mass-times/auburn-kentucky,2026-02-21T18:16:00.292780+00:00
us-ky-augusta-st-augustine-4388d23f,St. Augustine,215 E 4th St,Augusta,Kentucky,38.77169464,-84.00419103,(606) 756-3229,https://saintaugustine-augusta.org/,5,0,0,False,https://catholicindex.org/mass-times/alexandria-kentucky,2026-02-21T18:15:36.464134+00:00
us-in-aurora-st-mary-of-the-immaculate-conception-272c3c36,St. Mary of the Immaculate Conception,203 4th St,Aurora,Indiana,39.05399762,-84.8999205,(812) 537-3992,http://stmaryscc.org,2,0,0,False,https://catholicindex.org/mass-times/bellevue-kentucky,2026-02-21T18:16:43.936647+00:00
us-ky-barbourville-st-gregory-dbed2570,St. Gregory,329 Sycamore Dr,Barbourville,Kentucky,36.86865694,-83.89383125,(606) 546-4461,http://www.facebook.com/groups/stgregorychurch/,0,0,0,False,https://catholicindex.org/mass-times/barbourville-kentucky,2026-02-21T18:16:12.328699+00:00
us-ky-bardstown-saint-joseph-proto-cathedral-5abc8b51,Basilica of St. Joseph Proto-Cathedral,310 W Stephen Foster Ave,Bardstown,Kentucky,37.81065412,-85.47139536,(502) 348-3126,http://www.stjosephbasilica.org/,10,0,0,False,https://catholicindex.org/mass-times/bardstown-kentucky,2026-02-21T18:16:13.948301+00:00
us-ky-bardstown-saint-thomas-church-6dafd77a,Saint Thomas Church,870 St Thomas Ln,Bardstown,KY,37.7668047,-85.4838431,+1-502-348-3717,https://saintthomasbardstown.org/,4,0,0,False,https://catholicindex.org/mass-times/bardstown-kentucky,2026-02-21T18:16:13.948301+00:00
us-ky-bardstown-st-monica-ddca6fbf,St. Monica,407 S Third St,Bardstown,Kentucky,37.8025974,-85.46811671,(502) 348-5250,http://stmonicabardstown.org/,3,0,0,False,https://catholicindex.org/mass-times/bardstown-kentucky,2026-02-21T18:16:13.948301+00:00
us-ky-bardstown-st-thomas-ec917db7,St. Thomas,870 Saint Thomas Ln,Bardstown,Kentucky,37.76848,-85.4846039,(502) 348-3717,http://saintthomasbardstown.org/,4,0,0,False,https://catholicindex.org/mass-times/bardstown-kentucky,2026-02-21T18:16:13.948301+00:00
us-ky-bardwell-church-of-st-charles-c29e7b0f,St. Charles,6922 State Rt 408,Bardwell,Kentucky,36.86375,-88.90125,12706422586,https://stcharlescatholicchurch.weebly.com/,3,0,0,False,https://catholicindex.org/mass-times/bardwell-kentucky,2026-02-21T18:16:15.296626+00:00
us-ky-bardwell-st-charles-b944b756,St. Charles,6922 KY-408,Bardwell,Kentucky,36.85429388,-88.86755407,(270) 642-2586,https://stcharlescatholicchurch.weebly.com,3,0,0,False,https://catholicindex.org/mass-times/bardwell-kentucky,2026-02-21T18:16:15.296626+00:00
us-oh-batavia-holy-trinity-0e80da90,Holy Trinity,140 N Sixth St,Batavia,Ohio,39.07529129,-84.17177976,(513) 732-2218,http://www.catholiccincinnati.org/parish-info/?id=88,14,0,0,False,https://catholicindex.org/mass-times/alexandria-kentucky,2026-02-21T18:15:36.464134+00:00
us-ky-beattyville-queen-of-all-saints-9bee7276,Queen of All Saints,90 Railroad St,Beattyville,Kentucky,37.57402762,-83.71323577,606-464-8695,http://qasbeattyville.org/,2,0,0,False,https://catholicindex.org/mass-times/beattyville-kentucky,2026-02-21T18:16:25.745040+00:00
us-ky-beaver-dam-holy-redeemer-3909a475,Holy Redeemer,117 13th St,Beaver Dam,Kentucky,37.4173925,-86.88116784,(270) 274-3414,https://owensborodiocese.org/listing/holy-redeemer-parish/,0,0,0,False,https://catholicindex.org/mass-times/beaver-dam-kentucky,2026-02-21T18:16:31.808011+00:00
us-ky-bellevue-divine-mercy-parish-sacred-heart-9fd79cf6,Divine Mercy Parish - Sacred Heart,318 Division St,Bellevue,Kentucky,39.10354742,-84.48115008,(859) 261-6172,http://dmsbcatholic.com,11,0,0,False,https://catholicindex.org/mass-times/alexandria-kentucky,2026-02-21T18:15:36.464134+00:00
us-ky-berea-st-clare-9c63c5b6,St. Clare,622 Chestnut St,Berea,Kentucky,37.56874362,-84.30354679,859-986-4633,http://stclareberea.org/mass-times,5,0,0,False,https://catholicindex.org/mass-times/berea-kentucky,2026-02-21T18:16:49.750073+00:00
us-oh-bethel-st-mary-351e6fda,St. Mary,3398 State Rt 125,Bethel,Ohio,38.96282457,-84.06700941,(513) 734-4041,http://stellamarisfamily.org/,4,0,0,False,https://catholicindex.org/mass-times/alexandria-kentucky,2026-02-21T18:15:36.464134+00:00
us-va-big-stone-gap-sacred-heart-48d57f7d,Sacred Heart,1821 Holton Ave,Big Stone Gap,Virginia,36.87557168,-82.76183118,(276) 523-1588,http://holytrinitycluster.org/parishes/sacred-heart/,1,0,0,False,https://catholicindex.org/mass-times/cumberland-kentucky,2026-02-21T18:19:39.355803+00:00
us-va-big-stone-gap-sacred-heart-catholic-church-90f84361,Sacred Heart Catholic Church,1821 Holton Ave E,Big Stone Gap,VA,36.8768531,-82.7568397,+1-276-523-1588,https://holytrinitycluster.org/,4,0,0,False,https://catholicindex.org/mass-times/cumberland-kentucky,2026-02-21T18:19:39.355803+00:00
us-ky-booneville-holy-family-613c5172,Holy Family,1439 Old KY 11 S,Booneville,Kentucky,37.4586152,-83.68612251,(606) 593-6948,http://ww38.holyfamilybooneville.org/,2,0,0,False,https://catholicindex.org/mass-times/beattyville-kentucky,2026-02-21T18:16:25.745040+00:00
us-ky-booneville-holy-family-catholic-church-2ed1af5a,Holy Family Catholic Church,1439 KY-11,Booneville,KY,37.4588231,-83.6858439,+1-606-593-6948,https://cdlex.org/holy-family-booneville,0,0,0,False,https://catholicindex.org/mass-times/beattyville-kentucky,2026-02-21T18:16:25.745040+00:00
us-in-boonville-saint-clement-2fcf71ca,St. Clement,422 E Sycamore St,Boonville,Indiana,38.05094931,-87.26962053,(812) 897-4653,http://stclementparish.weconnect.com/,5,0,0,False,https://catholicindex.org/mass-times/curdsville-kentucky,2026-02-21T18:19:42.422859+00:00
us-ky-bowling-green-holy-spirit-52b530e6,Holy Spirit,4754 Smallhouse Rd,Bowling Green,Kentucky,36.92487132,-86.43820493,(270) 842-7777,http://holyspiritcatholic.org,10,0,0,False,https://catholicindex.org/mass-times/auburn-kentucky,2026-02-21T18:16:00.292780+00:00
us-ky-bowling-green-st-thomas-aquinas-catholic-newman-center-wku-fd521d2d,Newman Center of Western KY University (WKU),1403 College St,Bowling Green,Kentucky,36.9885426,-86.45022548,(270) 418-2696,http://www.stthomasaquinaswku.com/,2,0,0,False,https://catholicindex.org/mass-times/auburn-kentucky,2026-02-21T18:16:00.292780+00:00
us-ky-bowling-green-st-joseph-b6955a55,St. Joseph,434 Church Ave,Bowling Green,Kentucky,37.00183894,-86.44713653,(270) 842-2525 or (270) 746-9696 (After-hour Emergency),http://www.stjosephbg.org/,15,0,0,False,https://catholicindex.org/mass-times/auburn-kentucky,2026-02-21T18:16:00.292780+00:00
us-ky-brandenburg-st-john-the-apostle-b8b1b009,St. John the Apostle,515 Broadway,Brandenburg,Kentucky,37.99450741,-86.16432102,(270) 422-2196,http://www.stjohnonline.org/,6,0,0,False,https://catholicindex.org/mass-times/brandenburg-kentucky,2026-02-21T18:17:30.366672+00:00
us-oh-bridgetown-st-jude-e56f8284,St. Jude,5924 Bridgetown Rd,Bridgetown,Ohio,39.15997096,-84.64409157,(513) 574-1230,https://www.divinemercyfam.org,4,0,0,False,https://catholicindex.org/mass-times/alexandria-kentucky,2026-02-21T18:15:36.464134+00:00
us-in-bristow-st-isidore-the-farmer-506be2cb,St. Isidore the Farmer,6501 St Isidore Rd,Bristow,Indiana,38.13195505,-86.68797433,(812) 357-6422 or (812) 843-5713,http://www.archindy.org/parishes/listings/127.html,2,0,0,False,https://catholicindex.org/mass-times/cloverport-kentucky,2026-02-21T18:19:06.375347+00:00
us-ky-brooksville-st-james-2ecce9af,St. James,122 Garrett Ave,Brooksville,Kentucky,38.68109511,-84.06378984,(606) 756-3229,http://saintaugustine-augusta.org/,4,0,0,False,https://catholicindex.org/mass-times/augusta-kentucky,2026-02-21T18:16:01.998808+00:00
us-ky-burkesville-holy-cross-11536cf0,Holy Cross,254 Glasgow Rd,Burkesville,Kentucky,36.7953167,-85.3959511,6066881921,http://www.archlou.org/parishes/holy-cross-burkesville/,89,0,0,False,https://catholicindex.org/mass-times/albany-kentucky,2026-02-21T18:15:34.930828+00:00
us-ky-burkesville-holy-cross-catholic-church-27495964,Holy Cross Catholic Church,264 Glasgow Rd,Burkesville,KY,36.7959645,-85.3710983,+1-270-864-4107,https://www.archlou.org/parishes/holy-cross-burkesville/,23,0,0,False,https://catholicindex.org/mass-times/albany-kentucky,2026-02-21T18:15:34.930828+00:00
us-ky-burlington-immaculate-heart-of-mary-16ef708a,Immaculate Heart of Mary,5876 Veterans Way,Burlington,Kentucky,39.02368432,-84.705537,859-689-5010,https://www.ihm-ky.org,16,0,0,False,https://catholicindex.org/mass-times/alexandria-kentucky,2026-02-21T18:15:36.464134+00:00
us-ky-cadiz-st-stephen-9a51c4a5,St. Stephen,1698 Canton Rd,Cadiz,Kentucky,36.84426127,-87.85707493,(270) 522-3801,http://ststephencc.com/,4,0,0,False,https://catholicindex.org/mass-times/cadiz-kentucky,2026-02-21T18:18:07.859352+00:00
us-il-cairo-st-patrick-51acacd9,St. Patrick,312 9th St,Cairo,Illinois,37.00020265,-89.16849143,(618) 734-2061 or (618) 524-9006 (Fr. Michael),http://www.stpatrickcairo.com/,2,0,0,False,https://catholicindex.org/mass-times/bardwell-kentucky,2026-02-21T18:16:15.296626+00:00
us-ky-calhoun-st-sebastian-406c3bc2,St. Sebastian,180 KY-136,Calhoun,Kentucky,37.54812434,-87.26240197,(270) 273-3185,http://www.stsebastianandstcharles.com/st-sebastian,7,0,0,False,https://catholicindex.org/mass-times/beaver-dam-kentucky,2026-02-21T18:16:31.808011+00:00
us-ky-california-sts-peter-and-paul-cc06a83d,Sts. Peter and Paul,2162 California Crossroads,California,Kentucky,38.8762387,-84.31601714,(859) 635-2924,http://parish.stspp.com/,19,0,0,False,https://catholicindex.org/mass-times/alexandria-kentucky,2026-02-21T18:15:36.464134+00:00
us-ky-calvary-church-of-the-holy-name-of-mary-beaf8ab6,Holy Name of Mary,3295 Hwy 208,Calvary,Kentucky,37.5164375,-85.2681875,12706926491,https://www.archlou.org/parishes/holy-name-of-mary-parish/,89,0,0,False,https://catholicindex.org/mass-times/bardstown-kentucky,2026-02-21T18:16:13.948301+00:00
us-ky-calvert-city-st-pius-x-d9579bb1,St Pius X,777 E 5th Ave,Calvert City,Kentucky,37.02472796,-88.34113478,(270) 395-4727 or (270) 668-7675 (Emergency),http://www.stpiusx.us/,6,0,0,False,https://catholicindex.org/mass-times/calvert-city-kentucky,2026-02-21T18:18:12.321226+00:00
us-ky-camp-springs-st-joseph-catholic-church-b4b99267,St Joseph Church,6833 Four Mile Rd,Camp Springs,Kentucky,38.99408703,-84.3616495,859-635-2491,https://www.stjosephcampsprings.org,43,0,0,False,https://catholicindex.org/mass-times/alexandria-kentucky,2026-02-21T18:15:36.464134+00:00
us-ky-campbellsville-our-lady-of-fatima-aff37ee6,Our Lady of Fatima,7066 Calvary Rd between Lebanon and Campbellsville,Campbellsville,Kentucky,37.45203946,-85.26073952,(270) 465-4282,http://www.onfirecatholic.com/,14,0,0,False,https://catholicindex.org/mass-times/campbellsville-kentucky,2026-02-21T18:18:16.856205+00:00
us-ky-campbellsville-our-lady-of-perpetual-help-bf1c9ffe,Our Lady of Perpetual Help,425 N Central Ave,Campbellsville,Kentucky,37.34492055,-85.34626321,(270) 465-4282,http://www.onfirecatholic.com/,12,0,0,False,https://catholicindex.org/mass-times/campbellsville-kentucky,2026-02-21T18:18:16.856205+00:00
us-ky-campbellsville-our-lady-of-the-hills-42354a6f,Our Lady of the Hills,9252 Old Lebanon Rd,Campbellsville,KY,37.46038,-85.3412108,+1-270-465-4282,https://www.onfirecatholic.com/,10,0,0,False,https://catholicindex.org/mass-times/bardstown-kentucky,2026-02-21T18:16:13.948301+00:00
us-ky-campton-catholic-church-of-the-good-shepherd-70624c3b,Catholic Church of the Good Shepherd,525 Main St,Campton,KY,37.7347909,-83.5427835,+1-606-668-3731,https://www.catholicchurchofthegoodshepherd.org/,1,0,0,False,https://catholicindex.org/mass-times/beattyville-kentucky,2026-02-21T18:16:25.745040+00:00
us-ky-campton-church-of-the-good-shepherd-821dea4b,Good Shepherd,525 Main St,Campton,Kentucky,37.73492919,-83.54277173,(606) 668-3731,http://www.catholicchurchofthegoodshepherd.org/,1,0,0,False,https://catholicindex.org/mass-times/beattyville-kentucky,2026-02-21T18:16:25.745040+00:00
