slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-nh-alton-st-katharine-drexel-70327ee9,St Katharine Drexel Parish,40 Hidden Springs Rd,Alton,New Hampshire,43.50674797,-71.2191484,(603) 875-2548,http://www.stkdrexel.org/,11,0,0,False,https://catholicindex.org/mass-times/sanford-maine,2026-02-21T19:29:16.941012+00:00
us-ma-amesbury-st-andre-bessette-parish-st-joseph-86023d25,St. Andre Bessette Parish - St. Joseph,2 School St,Amesbury,Massachusetts,42.85476828,-70.93390008,(978) 388-0330,http://www.standreb.org/,4,0,0,False,https://catholicindex.org/mass-times/kittery-maine,2026-02-21T19:25:42.078345+00:00
us-me-ashland-st-mark-church-precious-blood-parish-badaf195,St. Mark (Precious Blood Parish),13 Allen Farm Rd,Ashland,Maine,46.63356148,-68.40222997,(207) 498-2536,http://www.theppb.org,2,0,0,False,https://catholicindex.org/mass-times/ashland-maine,2026-02-21T19:20:50.712403+00:00
us-me-auburn-sacred-heart-church-immaculate-heart-of-mary-parish-652d409a,Sacred Heart Church -Immaculate Heart Mary Parish,8 Sacred Heart Pl,Auburn,Maine,44.08932331,-70.23439092,(207) 782-8096,http://ihm-auburn.org/,17,0,0,False,https://catholicindex.org/mass-times/auburn-maine,2026-02-21T19:20:53.692171+00:00
us-me-auburn-st-philip-church-immaculate-heart-of-mary-parish-c03d26a6,St. Philip,2365 Turner Rd,Auburn,Maine,44.15514066,-70.2317751,(207) 782-8096,http://ihm-auburn.org/,3,0,0,False,https://catholicindex.org/mass-times/auburn-maine,2026-02-21T19:20:53.692171+00:00
us-me-augusta-st-augustine-church-st-michael-parish-0621e1f3,St. Augustine Church (St. Michael Parish),75 Northern Ave,Augusta,Maine,44.32409218,-69.77373234,(207) 623-8823,http://www.stmichaelmaine.org/,9,0,0,False,https://catholicindex.org/mass-times/augusta-maine,2026-02-21T19:20:55.300272+00:00
us-me-augusta-st-mary-of-the-assumption-church-st-michael-parish-a34f7996,St. Mary of the Assumption,41 Western Ave,Augusta,Maine,44.31159118,-69.78387462,(207) 623-8823,http://www.stmichaelmaine.org,3,0,0,False,https://catholicindex.org/mass-times/augusta-maine,2026-02-21T19:20:55.300272+00:00
us-me-baileyville-st-james-the-greater-church-st-kateri-tekakwitha-parish-65bb1eea,St. James the Greater Church (St. Kateri Tekakwitha Parish),60 Summit St,Baileyville,Maine,45.15459775,-67.40636473,(207) 454-0680,http://sktparish.org/,3,0,0,False,https://catholicindex.org/mass-times/baileyville-maine,2026-02-21T19:20:59.734690+00:00
us-me-bangor-st-john-church-st-paul-the-apostle-parish-8b9a086f,St. John the Baptist (St. Paul the Apostle Parish),217 York St,Bangor,Maine,44.80402889,-68.76113708,(207) 217-6740,http://www.stpaulbangor.me,8,0,0,False,https://catholicindex.org/mass-times/bangor-maine,2026-02-21T19:21:01.242655+00:00
us-me-bangor-st-joseph-hospital-chapel-6aba28bc,St. Joseph Hospital Chapel,360 Broadway,Bangor,Maine,44.81399511,-68.77280939,(207) 907.1798,http://stjosephbangor.org/our-mission/,8,0,0,False,https://catholicindex.org/mass-times/bangor-maine,2026-02-21T19:21:01.242655+00:00
us-me-bangor-st-mary-church-st-paul-the-apostle-parish-1d67fd6e,St. Mary,768 Ohio St,Bangor,Maine,44.81744646,-68.80175396,(207) 217-6740,http://www.stpaulbangor.me,8,0,0,False,https://catholicindex.org/mass-times/bangor-maine,2026-02-21T19:21:01.242655+00:00
us-me-bar-harbor-holy-redeemer-church-catholic-churches-of-hancock-county-456f0b18,Holy Redeemer (Catholic Churches of Hancock County),56 Mount Desert St,Bar Harbor,Maine,44.38647739,-68.20821232,(207) 288-3535,http://hc-catholics.org,7,0,0,False,https://catholicindex.org/mass-times/bar-harbor-maine,2026-02-21T19:21:02.798003+00:00
us-nh-barrington-chapel-of-the-nativity-1e8815e3,Chapel of the Nativity,9,Barrington,New Hampshire,43.21875,-71.03625,$undefined,https://poadovernh.org/,2,0,0,False,https://catholicindex.org/mass-times/kittery-maine,2026-02-21T19:25:42.078345+00:00
us-nh-barrington-mission-chapel-of-the-nativity-parish-of-the-assumption-44486d3f,Mission Chapel of the Nativity (Parish of the Assumption),731 NH-9,Barrington,New Hampshire,43.21602465,-71.00756101,(603) 742-4837,http://poadovernh.org,2,0,0,False,https://catholicindex.org/mass-times/kittery-maine,2026-02-21T19:25:42.078345+00:00
us-me-bath-st-mary-church-all-saints-parish-8696427c,St. Mary's Church (All Saints Parish),144 Lincoln St,Bath,Maine,43.91599897,-69.82472569,(207) 443-3423 or (207) 725-2624 (Parish Main Office),http://www.allsaintsmaine.com,7,0,0,False,https://catholicindex.org/mass-times/auburn-maine,2026-02-21T19:20:53.692171+00:00
us-me-belfast-st-francis-of-assisi-church-st-brendan-the-navigator-parish-35fb6fd4,St. Francis of Assisi Church (St. Brendan the Navigator Parish),81 Ct St,Belfast,Maine,44.42084923,-69.00287789,(207) 236-4785,http://www.stbrendanparish.net,5,0,0,False,https://catholicindex.org/mass-times/belfast-maine,2026-02-21T19:21:10.462097+00:00
us-me-belgrade-lakes-st-helena-mission-chapel-corpus-christi-parish-e6f298ed,St. Helena,43 Augusta Rd (Route 27/Main St.),Belgrade Lakes,Maine,44.52450597,-69.8849174,(207) 872-2281,http://corpuschristimaine.org,4,0,0,False,https://catholicindex.org/mass-times/augusta-maine,2026-02-21T19:20:55.300272+00:00
us-me-benedicta-st-benedict-church-st-benedict-parish-dd9b5c6f,St. Benedict (St. Benedict Parish),1063 Benedicta Rd,Benedicta,Maine,45.80328331,-68.41196024,(207) 365-4294 or (207) 746-7960,http://stbenedictsmaine.org,5,0,0,False,https://catholicindex.org/mass-times/benedicta-maine,2026-02-21T19:21:14.830595+00:00
