slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,serving_communities,source_url,last_scraped
us-oh-bremen-church-of-st-mary-6b959e13,St. Mary,602 Marietta St,Bremen,Ohio,39.7023125,-82.4335625,17405697929,http://www.colsdioc.org/Parishes/ParishFinder/StMaryBremen.aspx,0,0,0,False,Canal Winchester,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-buckeye-lake-our-lady-of-mount-carmel-616610f9,Our Lady of Mount Carmel,5133 Walnut Rd SE,Buckeye Lake,Ohio,39.93050111,-82.48284223,(740) 928-3266,http://www.olmcbuckeyelake.org/,12,0,0,False,Canal Winchester; Groveport,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-canal-winchester-immaculate-heart-7a84d6db,St. John XXIII,5170 Winchester Southern Rd NW,Canal Winchester,Ohio,39.81228015,-82.82036975,(614) 920-1563,http://ihbvm.org/,11,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-circleville-saint-joseph-4ab2c554,St. Joseph,134 W Mound St,Circleville,Ohio,39.60054,-82.9473953,(740) 477-2549,http://www.saintjosephcircleville.com/,3,0,0,False,Canal Winchester; Groveport; Grove City,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-christ-the-king-chapel-ohio-dominican-university-c3eb2870,Christ The King Chapel--Ohio Dominican University,1216 Sunbury Rd (Sansbury Hall),Columbus,Ohio,39.99442944,-82.94085848,(614) 251-4567,http://www.ohiodominican.edu/student-life/spiritual-life/worship-schedule.html,1,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-christ-the-king-e5551e51,Christ the King,2777 E Livingston Ave,Columbus,Ohio,39.94685885,-82.92258001,(614) 237-0401,http://christthekingcolumbus.com/,13,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-community-of-the-holy-rosary-and-st-john-c48247ba,Community of the Holy Rosary and St. John,648 S Ave,Columbus,Ohio,39.9516875,-82.9713125,16142525926,https://hrsjchurch.wordpress.com/,0,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-church-of-corpus-christi-30c3847e,Corpus Christi,1111 E Stewart Ave,Columbus,Ohio,39.9404375,-82.9663125,16144432828,http://www.southcolscatholic.org,0,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-holy-cross-d7421322,Holy Cross,204 S Fifth St,Columbus,Ohio,39.95861554,-82.99332422,(614)224-1295,http://sjchcc.org,2,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-holy-family-9acc7962,Holy Family,584 W Broad St,Columbus,Ohio,39.9606323,-83.01658,(614) 221-4323,http://www.holyfamilycolumbus.org/,11,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-holy-resurrection-melkite-b33cf626,Holy Resurrection (Melkite) ,4611 Glenmawr Ave,Columbus,Ohio,40.059638,-82.997285,(614) 654-1064,http://melkitecolumbus.org/,2,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-immaculate-conception-4380aabe,Immaculate Conception Church,414 E N Broadway,Columbus,Ohio,40.03189991,-83.00461007,(614) 267-9241,http://www.iccols.org/,8,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-museum-of-catholic-art-and-history-79653d5d,Museum of Catholic Art and History,57 S Grubb St,Columbus,Ohio,39.9628125,-82.9936875,16146000054,$undefined,0,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-st-leo-oratory-a361d18f,Oratory of St. Leo,221 Hanford St,Columbus,Ohio,39.93644334,-82.98903823,614-443-7685,http://institute-christ-king.org/columbus-home,11,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
