slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-mi-acme-christ-the-king-d0482784,Christ the King,3801 Shore Rd,Acme,Michigan,44.77746372,-85.50026178, (231) 938-9214,https://christkingchurch.org,10,0,0,False,https://catholicindex.org/mass-times/acme-michigan,2026-02-21T20:28:24.946146+00:00
us-mi-ada-st-patrick-f3945d27,St. Patrick,4351 Parnell Ave NE,Ada,Michigan,43.0428796,-85.41154615,(616) 691-8541,http://www.spparnell.org/parish-home,9,0,0,False,https://catholicindex.org/mass-times/ada-michigan,2026-02-21T20:28:26.556804+00:00
us-mi-ada-st-robert-of-newminster-41aa0d65,St. Robert of Newminster,6477 Ada Dr SE,Ada,Michigan,42.95063058,-85.50955668,(616) 676-9111,https://www.strobertchurch.org,10,0,0,False,https://catholicindex.org/mass-times/ada-michigan,2026-02-21T20:28:26.556804+00:00
us-mi-adrian-holy-family-parish-st-mary-campus-bf327368,Holy Family Parish (St. Mary Campus),305 N Division St,Adrian,Michigan,41.89492,-84.03351,517-263-4681,http://www.holyfamilyadrian.org,7,0,0,False,https://catholicindex.org/mass-times/adrian-michigan,2026-02-21T20:28:29.490589+00:00
us-mi-adrian-holy-family-parish-st-mary-campus-7455f6dc,Holy Family Parish St. Mary Campus,305 Division St,Adrian,MI,41.8949127,-84.0334803,+1-517-263-4681,https://holyfamilyadrian.org/,5,0,0,False,https://catholicindex.org/mass-times/adrian-michigan,2026-02-21T20:28:29.490589+00:00
us-mi-adrian-holy-family-parish-st-joseph-75ec773e,St. Joseph,305 Division St,Adrian,Michigan,41.89964009,-84.02636055,517-263-4681,http://www.holyfamilyadrian.org,3,0,0,False,https://catholicindex.org/mass-times/adrian-michigan,2026-02-21T20:28:29.490589+00:00
us-mi-afton-st-monica-d09f2290,St. Monica,M-68,Afton,Michigan,45.37338858,-84.50134839,(989) 733-6053,https://stpaul-onaway.com,5,0,0,False,https://catholicindex.org/mass-times/afton-michigan,2026-02-21T20:28:30.972227+00:00
us-mi-ahmeek-our-lady-of-peace-a4590d9e,Our Lady of Peace,2854 US Hwy 41,Ahmeek,Michigan,47.29581752,-88.39513942,(906) 337-0810,https://www.keweenawcc.org,0,0,0,False,https://catholicindex.org/mass-times/ahmeek-michigan,2026-02-21T20:28:32.482076+00:00
us-mi-albion-st-john-de08aad1,St. John,1020 Irwin Ave,Albion,Michigan,42.23722061,-84.77383375,(517) 629-4532,https://www.stjohn-church.org,6,0,0,False,https://catholicindex.org/mass-times/albion-michigan,2026-02-21T20:28:38.550361+00:00
us-mi-alger-resurrection-of-the-lord-parish-st-joseph-606a0608,Mission of St. Joseph,7842 Newberry St,Alger,Michigan,44.12706931,-84.12110208,(989) 846-9565,http://www.arenaccatholic.com/,4,0,0,False,https://catholicindex.org/mass-times/alger-michigan,2026-02-21T20:28:41.415403+00:00
us-mi-algonac-our-lady-on-the-river-st-catherine-5ba99c07,Our Lady on the River (St. Catherine),1103 Washington St,Algonac,Michigan,42.61921303,-82.53340908,810-765-3568,http://www.ourladyontheriver.net/,4,0,0,False,https://catholicindex.org/mass-times/algonac-michigan,2026-02-21T20:28:42.969459+00:00
us-mi-allegan-blessed-sacrament-5ed7cef7,Blessed Sacrament,110 N Cedar St,Allegan,Michigan,42.52816167,-85.85446247,(269) 673-4455,https://www.blessedsacrament-allegan.org,9,0,0,False,https://catholicindex.org/mass-times/allegan-michigan,2026-02-21T20:28:44.497198+00:00
us-mi-allegan-sacred-heart-catholic-church-b4955a9b,Sacred Heart Catholic Church and Hall,2036 20th St,Allegan,Michigan,42.56865812,-85.74201568,269.793-7268,http://st-stanschurch.net/,0,0,0,False,https://catholicindex.org/mass-times/allegan-michigan,2026-02-21T20:28:44.497198+00:00
us-mi-allen-park-st-frances-cabrini-ed11d023,St. Frances Cabrini,9000 Laurence,Allen Park,Michigan,42.24326903,-83.20990026,313-381-5601,http://www.cabriniparish.org,9,0,0,False,https://catholicindex.org/mass-times/allen-park-michigan,2026-02-21T20:28:47.680967+00:00
us-mi-allen-park-st-stephen-byzantine-catholic-church-159b64ba,St. Stephen Byzantine Catholic Church,4141 Laurence Ave,Allen Park,Michigan,42.26949458,-83.19184331,3133825901,http://saintstephenbyzantine.church/,2,0,0,False,https://catholicindex.org/mass-times/allen-park-michigan,2026-02-21T20:28:47.680967+00:00
us-mi-allendale-university-parish-of-st-luke-a3fdb8b6,University Parish of St. Luke,6163 Lake Dr,Allendale,Michigan,42.9729375,-85.9386875,16168952247,$undefined,0,0,0,False,https://catholicindex.org/mass-times/ada-michigan,2026-02-21T20:28:26.556804+00:00
us-mi-allenton-st-john-the-evangelist-30fa0638,St. John the Evangelist,883 Capac Rd,Allenton,Michigan,42.92026079,-82.94577837,(810) 669-1029,http://stjohnallenton.com,5,0,0,False,https://catholicindex.org/mass-times/allenton-michigan,2026-02-21T20:28:50.465606+00:00
us-mi-alma-nativity-parish-st-mary-c16e5003,Nativity Parish - St. Mary,510 Prospect Ave,Alma,Michigan,43.38047766,-84.66387928,(989) 463-5370,http://www.nativityparish.net,1,0,0,False,https://catholicindex.org/mass-times/alma-michigan,2026-02-21T20:28:53.473676+00:00
us-mi-alpena-st-anne-church-cc768f8b,St. Anne,817 Sable St,Alpena,Michigan,45.06846051,-83.44324697,(989) 354-3019,https://www.alpenacatholics.org,5,0,0,False,https://catholicindex.org/mass-times/alpena-michigan,2026-02-21T20:28:56.458339+00:00
