slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-mn-ada-st-joseph-9ef93d23,St. Joseph,405 E Thorpe Ave,Ada,Minnesota,47.29653203,-96.5072042,(218) 784-4131,https://nccatholicchurch.com,6,0,0,False,https://catholicindex.org/mass-times/ada-minnesota,2026-02-21T21:17:23.358915+00:00
us-mn-adams-sacred-heart-c8bb45ff,Sacred Heart,412 Main St,Adams,Minnesota,43.56549633,-92.72029374,507-582-3120 ,http://www.sacredheartadams.org/sacred-heart-adams,1,0,0,False,https://catholicindex.org/mass-times/adams-minnesota,2026-02-21T21:17:24.810236+00:00
us-mn-adrian-st-adrian-02ebd169,St. Adrian,512 Maine Ave,Adrian,Minnesota,43.63135553,-95.93285772,(507) 483-2317,http://www.stadriancluster.org/,2,0,0,False,https://catholicindex.org/mass-times/adrian-minnesota,2026-02-21T21:17:27.760214+00:00
us-mn-aitkin-st-james-69410b0e,St. James,299 Red Oak Dr,Aitkin,Minnesota,46.51573045,-93.71472996,(218) 927-6581,http://www.aitkincatholic.org,5,0,0,False,https://catholicindex.org/mass-times/aitkin-minnesota,2026-02-21T21:17:32.328463+00:00
us-mn-albany-seven-dolors-d8b6f9f8,Seven Dolors,151 - 2nd St S,Albany,Minnesota,45.62849088,-94.5655402,(320) 845-2705,http://www.hohcatholic.org/seven-dolors,6,0,0,False,https://catholicindex.org/mass-times/albany-minnesota,2026-02-21T21:17:35.398775+00:00
us-mn-albany-st-anthony-18947967,St. Anthony,24326 Trobec St,Albany,Minnesota,45.68633731,-94.61108426,(320) 845-2416,http://www.hohcatholic.org/saint-anthony,4,0,0,False,https://catholicindex.org/mass-times/albany-minnesota,2026-02-21T21:17:35.398775+00:00
us-mn-albert-lea-st-theodore-607d51fb,St. Theodore,315 E Clark St,Albert Lea,Minnesota,43.65019964,-93.365505,(507) 373-0603,http://www.sttheo.org/,7,0,0,False,https://catholicindex.org/mass-times/albert-lea-minnesota,2026-02-21T21:17:36.868626+00:00
us-mn-albertville-church-of-st-albert-5b28b88d,St. Albert,"57th St NE , 55301-0127",Albertville,Minnesota,45.2351875,-93.6635625,17634972474,http://www.stalbertschurch.org/,8,0,0,False,https://catholicindex.org/mass-times/albertville-minnesota,2026-02-21T21:17:39.852950+00:00
us-mn-albertville-st-albert-d7b3a583,St. Albert,11400 57th St NE,Albertville,Minnesota,45.23489414,-93.65644591,763-497-2474,https://churchofstalbert.org,8,0,0,False,https://catholicindex.org/mass-times/albertville-minnesota,2026-02-21T21:17:39.852950+00:00
us-mn-alexandria-st-mary-2139edbc,St. Mary,420 Irving St,Alexandria,Minnesota,45.8879996,-95.37516061,(320) 763-5781,https://www.stmaryalexandria.org/,13,0,0,False,https://catholicindex.org/mass-times/alexandria-minnesota,2026-02-21T21:17:45.952078+00:00
