slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-ms-aberdeen-st-francis-of-assisi-33ed8a79,St. Francis of Assisi,102 S James St,Aberdeen,Mississippi,33.82533011,-88.54617644,(662) 369-2897,http://jacksondiocese.org/parishfinder,2,0,0,False,https://catholicindex.org/mass-times/aberdeen-mississippi,2026-02-21T22:01:00.317625+00:00
us-la-abita-springs-comunidad-nuestra-señora-de-guadalupe-0f571d3a,Comunidad Nuestra Señora de Guadalupe,NEW LOCATION!,Abita Springs,Louisiana,30.41322874,-90.08341979,(985) 502-0087,$undefined,0,0,0,False,https://catholicindex.org/mass-times/picayune-mississippi,2026-02-21T22:08:13.443578+00:00
us-la-abita-springs-st-jane-de-chantal-3dfeb2dd,St. Jane de Chantal,72040 Maple St,Abita Springs,Louisiana,30.4791185,-90.0373475,(985) 892-1439,http://saintjaneabita.org,0,0,0,False,https://catholicindex.org/mass-times/picayune-mississippi,2026-02-21T22:08:13.443578+00:00
us-ms-amory-st-helen-6305d5af,St. Helen,401 8th Ave S,Amory,Mississippi,33.97912189,-88.48011615,(662) 256-8392,http://jacksondiocese.org/parishfinder,2,0,0,False,https://catholicindex.org/mass-times/aberdeen-mississippi,2026-02-21T22:01:00.317625+00:00
us-ms-anguilla-our-mother-of-mercy-82780713,Mission of Our Mother of Mercy,119 Jefferson St,Anguilla,Mississippi,32.97623091,-90.83015503, (662) 686-7352,http://jacksondiocese.org/parishfinder,1,0,0,False,https://catholicindex.org/mass-times/anguilla-mississippi,2026-02-21T22:01:07.909326+00:00
us-tn-bartlett-catholic-church-of-the-nativity-7efaa0e5,Nativity,5955 St Elmo Rd,Bartlett,Tennessee,35.230419,-89.864142,(901) 382-2504,http://nativitybartlett.org/,11,0,0,False,https://catholicindex.org/mass-times/olive-branch-mississippi,2026-02-21T22:07:41.790269+00:00
us-tn-bartlett-st-ann-43df716d,St. Ann,6529 Stage Rd,Bartlett,Tennessee,35.20378517,-89.84561806,(901) 373-6011,http://www.stannbartlett.org,1,0,0,False,https://catholicindex.org/mass-times/olive-branch-mississippi,2026-02-21T22:07:41.790269+00:00
us-ms-bassfield-st-peter-cc92ecf0,St. Peter,4135 Hwy 42,Bassfield,Mississippi,31.49491328,-89.74450637,601-943-6688,http://stpeterbassfield.myfreesites.net/,0,0,0,False,https://catholicindex.org/mass-times/bassfield-mississippi,2026-02-21T22:01:21.274151+00:00
us-ms-batesville-st-mary-8f194a0f,St. Mary,120 Hwy 35 N,Batesville,Mississippi,34.32916236,-89.93897042,(662) 563-2273,http://jacksondiocese.org/parishfinder,6,0,0,False,https://catholicindex.org/mass-times/batesville-mississippi,2026-02-21T22:01:22.848510+00:00
us-ms-bay-saint-louis-our-lady-of-the-gulf-catholic-church-43b72589,Our Lady of the Gulf Catholic Church,228 S Beach Blvd,Bay Saint Louis,Mississippi,30.30797544,-89.32793277,(228) 467-6509,https://www.olgchurch.net,13,0,0,False,https://catholicindex.org/mass-times/bay-saint-louis-mississippi,2026-02-21T22:01:24.345683+00:00
