slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-mo-advance-st-joseph-8c5d22d4,St. Joseph,33921 State Hwy 91,Advance,Missouri,37.11073917,-89.9094062,(573) 722-3504,http://sites.google.com/view/stjosephadvance/,7,0,0,False,https://catholicindex.org/mass-times/advance-missouri,2026-02-21T22:18:12.082983+00:00
us-mo-affton-seven-holy-founders-7ddffacd,Seven Holy Founders,6741 Rock Hill Rd,Affton,Missouri,38.55222724,-90.33397821,(314) 638-3938,http://www.foundersaffton.org/,9,0,0,False,https://catholicindex.org/mass-times/arnold-missouri,2026-02-21T22:18:55.802181+00:00
us-il-alton-st-mary-e8ebdb44,St. Mary,519 E 4th St,Alton,Illinois,38.89108189,-90.17745029,(618) 465-4284,https://www.stmarysalton.com/,22,0,0,False,https://catholicindex.org/mass-times/chesterfield-missouri,2026-02-21T22:22:19.979680+00:00
us-il-alton-ss-peter-and-paul-4660fb3e,Sts. Peter and Paul,717 State St,Alton,Illinois,38.89536465,-90.19027849,(618) 465-4221,https://www.ssppalton.com/,6,0,0,False,https://catholicindex.org/mass-times/chesterfield-missouri,2026-02-21T22:22:19.979680+00:00
us-il-anna-st-mary-4698e5d7,St. Mary,402 Freeman St,Anna,Illinois,37.4572057,-89.24827993,(618) 833-5835 or  (618) 713-8257 (Emergencies),http://www.stmaryanna.org/,4,0,0,False,https://catholicindex.org/mass-times/cape-girardeau-missouri,2026-02-21T22:21:42.256541+00:00
us-ne-arago-church-of-st-mary-82798fd2,St. Mary,6,Arago,Nebraska,40.13125,-95.46375,14022454731,https://www.lincolndiocese.org/directory/parishes/666-st-mary-arago,2,0,0,False,https://catholicindex.org/mass-times/forest-city-missouri,2026-02-21T22:25:51.814377+00:00
us-mo-argyle-st-aloysius-374cdaea,St. Aloysius,260 Pine St,Argyle,Missouri,38.29509996,-92.02233249,(573) 728-6922,http://sasb.diojeffcity.org/,2,0,0,False,https://catholicindex.org/mass-times/argyle-missouri,2026-02-21T22:18:52.743025+00:00
us-ks-arma-st-joseph-b6a70847,St. Joseph,100 S Eighth St,Arma,Kansas,37.54239898,-94.70841503,(620)347-4525,http://stmichaelgirard.com/st-joseph,5,0,0,False,https://catholicindex.org/mass-times/lamar-missouri,2026-02-21T22:30:12.921234+00:00
us-mo-armagh-st-patrick-0a07d47b,Mission of St. Patrick,150 Rock Church Rd,Armagh,Missouri,38.4026848,-90.74473069,(636) 271-6036,http://stpatricksorc.org/,3,0,0,False,https://catholicindex.org/mass-times/arnold-missouri,2026-02-21T22:18:55.802181+00:00
us-mo-arnold-holy-family-parish-immaculate-conception-campus-ad976581,Holy Family Parish (Immaculate Conception Campus),2300 Church Rd,Arnold,Missouri,38.4336939,-90.37915964,(636) 321-0002,https://www.icarnold.org,10,0,0,False,https://catholicindex.org/mass-times/arnold-missouri,2026-02-21T22:18:55.802181+00:00
us-mo-arnold-holy-family-parish-st-david-campus-f8cc722f,Immaculate Conception (St. David Campus),2334 Tenbrook ,Arnold,Missouri,38.43344325,-90.37926358,(636) 321-0002,https://www.holyfamilyarnold.org/,10,0,0,False,https://catholicindex.org/mass-times/arnold-missouri,2026-02-21T22:18:55.802181+00:00
us-mo-arnold-church-of-st-david-7322cf16,St. David,2334 Tenbrook Rd,Arnold,Missouri,38.4424375,-90.3628125,16362965485,https://www.archstl.org/,0,0,0,False,https://catholicindex.org/mass-times/arnold-missouri,2026-02-21T22:18:55.802181+00:00
us-ks-atchison-corpus-christi-dd97fd9d,Corpus Christi,18760 Rogers Rd,Atchison,Kansas,39.39035515,-95.21801408,(913) 774-2385,https://www.facebook.com/Corpus-Christi-Mooney-Creek-Church-Page-384197011763000/?ref=page_internal,0,0,0,False,https://catholicindex.org/mass-times/platte-city-missouri,2026-02-21T22:35:13.236685+00:00
us-ks-atchison-mount-st-scholastica-monastery-ebc8464d,Mount St. Scholastica Monastery,801 S 8th St,Atchison,Kansas,39.55234034,-95.12429202,(913) 360-6200,https://www.mountosb.org,1,0,0,False,https://catholicindex.org/mass-times/platte-city-missouri,2026-02-21T22:35:13.236685+00:00
us-ks-atchison-church-of-the-sacred-heart-f68349fa,Sacred Heart,1439 Ave,Atchison,Kansas,39.5633125,-95.1375625,19133670387,https://www.stbenedictatchison.org/,12,0,0,False,https://catholicindex.org/mass-times/platte-city-missouri,2026-02-21T22:35:13.236685+00:00
us-ks-atchison-st-benedict-parish-73aa1359,St. Benedict Parish,1001 N 2nd St,Atchison,Kansas,39.57233066,-95.11487602,(913) 367-0671,http://stbenedictatchison.org/,10,0,0,False,https://catholicindex.org/mass-times/platte-city-missouri,2026-02-21T22:35:13.236685+00:00
us-ks-atchison-st-benedicts-abbey-56795085,St. Benedicts Abbey,1020 N 2nd,Atchison,Kansas,39.57511318,-95.11104587,(913) 367-7853,http://www.kansasmonks.org/,15,0,0,False,https://catholicindex.org/mass-times/platte-city-missouri,2026-02-21T22:35:13.236685+00:00
us-ks-atchison-st-joseph-af3b926b,St. Joseph,705 Spring Garden St,Atchison,Kansas,39.54849671,-95.12336254,(913) 367-0671,http://stbenedictatchison.org/home,1,0,0,False,https://catholicindex.org/mass-times/platte-city-missouri,2026-02-21T22:35:13.236685+00:00
us-ks-atchison-st-louis-b86df2d4,St. Louis,11321 Morton Rd,Atchison,Kansas,39.6235111,-95.22691953,$undefined,https://stlouischurchmphs.org/,23,0,0,False,https://catholicindex.org/mass-times/forest-city-missouri,2026-02-21T22:25:51.814377+00:00
us-ks-atchison-st-patrick-b5f12c32,St. Patrick,19384 234th Rd,Atchison,Kansas,39.46939259,-95.12165639,(913) 367-0671,http://stbenedictatchison.org/,1,0,0,False,https://catholicindex.org/mass-times/platte-city-missouri,2026-02-21T22:35:13.236685+00:00
us-ne-auburn-st-joseph-2074bd7b,St. Joseph,2221 N Street,Auburn,Nebraska,40.38146984,-95.84380366,(402) 274-3733,$undefined,6,0,0,False,https://catholicindex.org/mass-times/tarkio-missouri,2026-02-21T22:39:13.109053+00:00
us-mo-augusta-immaculate-conception-9f22b156,Immaculate Conception Church,5912 Hwy 94 S,Augusta,Missouri,38.58271516,-90.90051831,(636) 482-4455,https://www.sv-ic.org,2,0,0,False,https://catholicindex.org/mass-times/augusta-missouri,2026-02-21T22:19:06.119188+00:00
us-mo-aurora-holy-trinity-3a624845,Holy Trinity,FR 1180 and Hwy 60,Aurora,Missouri,36.94913528,-93.73783624,(417) 678-2403,http://www.facebook.com/HTCCAurora/,0,0,0,False,https://catholicindex.org/mass-times/aurora-missouri,2026-02-21T22:19:07.557914+00:00
us-mo-ava-assumption-abbey-a9449a8a,Assumption Abbey,5,Ava,Missouri,36.8403125,-92.4670625,$undefined,https://www.assumptionabbey.org/,0,0,0,False,https://catholicindex.org/mass-times/ava-missouri,2026-02-21T22:19:10.498908+00:00
us-mo-ava-mission-of-st-leo-the-great-4eb47d09,Mission of St. Leo the Great,Ava Missouri 65608,Ava,Missouri,36.95625,-92.66125,14176835249,https://dioscg.org/about/find-a-church/st-leo-the-great-mission-church-ava-mo/,3,0,0,False,https://catholicindex.org/mass-times/ava-missouri,2026-02-21T22:19:10.498908+00:00
us-mo-ava-monastery-of-mary-queen-of-the-apostles-54eb0b98,Monastery of Mary Queen of the Apostles,Ava Missouri 65608,Ava,Missouri,36.8609375,-92.5636875,$undefined,https://benedictinesofmary.org/,12,0,0,False,https://catholicindex.org/mass-times/ava-missouri,2026-02-21T22:19:10.498908+00:00
us-il-ava-church-of-st-elizabeth-18a534e3,St. Elizabeth,606 W George St,Ava,Illinois,37.8900625,-89.5033125,16184263321,https://www.diobelle.org/,0,0,0,False,https://catholicindex.org/mass-times/perryville-missouri,2026-02-21T22:34:55.051719+00:00
us-mo-ava-st-leo-the-great-8966149a,St. Leo the Great ,County Rd 201,Ava,Missouri,36.96973543,-92.65748814,(417) 683-5249,http://dioscg.org/about/find-a-church/st-leo-the-great-mission-church-ava-mo/,3,0,0,False,https://catholicindex.org/mass-times/ava-missouri,2026-02-21T22:19:10.498908+00:00
us-mo-bahner-st-john-the-evangelist-4081a5d1,Mission of St. John the Evangelist,30602 Hwy V,Bahner,Missouri,38.5693381,-93.12844246,(660) 827-2311,http://svdpparish.diojeffcity.org,5,0,0,False,https://catholicindex.org/mass-times/cole-camp-missouri,2026-02-21T22:22:51.263563+00:00
us-mo-ballwin-holy-infant-e18abada,Holy Infant,627 Dennison Dr,Ballwin,Missouri,38.58396922,-90.55696352,(636) 227-7440,https://www.holyinfantballwin.org/,20,0,0,False,https://catholicindex.org/mass-times/arnold-missouri,2026-02-21T22:18:55.802181+00:00
us-mo-baring-church-of-st-aloysius-68fa87a5,St. Aloysius,2nd St & Fulton St,Baring,Missouri,40.2448125,-92.2053125,16603972183,https://sasb.diojeffcity.org/,2,0,0,False,https://catholicindex.org/mass-times/baring-missouri,2026-02-21T22:19:16.598976+00:00
us-ks-basehor-holy-angels-4d233f1d,Holy Angels,15408 Leavenworth Rd,Basehor,Kansas,39.14430963,-94.93568644,(913) 724-1665,http://www.holyangelsbasehor.org/,8,0,0,False,https://catholicindex.org/mass-times/kansas-city-missouri,2026-02-21T22:29:25.082078+00:00
us-il-batchtown-st-barbara-1d210635,St. Barbara,104 Hanna Ave,Batchtown,Illinois,39.03540766,-90.65692742,618-883-2400,$undefined,0,0,0,False,https://catholicindex.org/mass-times/cottleville-missouri,2026-02-21T22:23:09.374420+00:00
us-ks-baxter-springs-st-joseph-b12f6124,St. Joseph,324 E 12th St,Baxter Springs,Kansas,37.02419272,-94.73202825,(620) 429-2639,http://catholicdioceseofwichita.org/parishes/,0,0,0,False,https://catholicindex.org/mass-times/joplin-missouri,2026-02-21T22:29:20.485707+00:00
us-ia-bedford-sacred-heart-48c77b02,Sacred Heart,707 Main St,Bedford,Iowa,40.6671873,-94.72357036,(712) 542-2030,http://www.facebook.com/stclarestjosephsacredheart/,0,0,0,False,https://catholicindex.org/mass-times/burlington-junction-missouri,2026-02-21T22:21:13.684345+00:00
us-ar-bella-vista-st-bernard-of-clairvaux-bc136037,St. Bernard of Clairvaux,1 St Bernard Ln,Bella Vista,Arkansas,36.45588402,-94.29364963,(479) 855-9069,http://bvstbernard.org,8,0,0,False,https://catholicindex.org/mass-times/noel-missouri,2026-02-21T22:33:58.015762+00:00
us-mo-belle-church-of-st-alexander-9bf6e602,St. Alexander,400 W 3rd St,Belle,Missouri,38.2871875,-91.7255625,15734372494,https://diojeffcity.org/st-alexander-belle/,1,0,0,False,https://catholicindex.org/mass-times/argyle-missouri,2026-02-21T22:18:52.743025+00:00
us-il-belleville-blessed-sacrament-8ad853c2,Blessed Sacrament,8707 W Main St,Belleville,Illinois,38.57171287,-90.05274362,(618) 397-2287,http://bellevillecatholic.com,8,0,0,False,https://catholicindex.org/mass-times/arnold-missouri,2026-02-21T22:18:55.802181+00:00
us-il-belleville-blessed-sacrament-catholic-church-2066e232,Blessed Sacrament Catholic church,8707 W. Main Street,Belleville,IL,38.5716688,-90.0529079,+1-618-397-2287,https://bellevillecatholic.com/,8,0,0,False,https://catholicindex.org/mass-times/arnold-missouri,2026-02-21T22:18:55.802181+00:00
us-il-belleville-national-shrine-church-of-our-lady-of-the-snows-b91328f5,National Shrine of Our Lady of the Snows,442 S Demazenod Dr,Belleville,Illinois,38.56194262,-90.08875577,(618) 397-6700,http://snows.org/,18,0,0,False,https://catholicindex.org/mass-times/arnold-missouri,2026-02-21T22:18:55.802181+00:00
us-il-belleville-our-lady-queen-of-peace-7952f97a,Our Lady Queen of Peace,5923 N Belt W,Belleville,Illinois,38.54304594,-90.03850469,(618) 397-2287,http://bellevillecatholic.com,11,0,0,False,https://catholicindex.org/mass-times/arnold-missouri,2026-02-21T22:18:55.802181+00:00
us-il-belleville-poor-clare-monastery-of-our-lady-of-mercy-b5c9077f,Poor Clare Monastery of Our Lady of Mercy,300 N 60th St,Belleville,Illinois,38.5523125,-90.0323125,16182354407,https://www.poorclares-belleville.info/,7,0,0,False,https://catholicindex.org/mass-times/arnold-missouri,2026-02-21T22:18:55.802181+00:00
us-il-belleville-st-augustine-of-canterbury-0d0ec517,St. Augustine of Canterbury,1910 W Belle St,Belleville,Illinois,38.53984367,-90.00792551,(618) 233-3813,http://stasaints.org/,10,0,0,False,https://catholicindex.org/mass-times/arnold-missouri,2026-02-21T22:18:55.802181+00:00
