slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-mt-absarokee-st-michael-9eb4e0c8,St. Michael,307 Woodard Ave,Absarokee,Montana,45.51617925,-109.44619513,(406) 322-5542,http://mystmichaels.com/,0,0,0,False,https://catholicindex.org/mass-times/absarokee-montana,2026-02-21T23:01:16.320962+00:00
us-mt-alberton-mission-of-st-albert-the-great-6c0940f9,Mission of St. Albert the Great,117 Railroad St,Alberton,Montana,47.0023125,-114.4746875,$undefined,https://clarkforkcatholic.com/,1,0,0,False,https://catholicindex.org/mass-times/alberton-montana,2026-02-21T23:01:19.213880+00:00
us-mt-alberton-st-albert-the-great-mission-012bb542,St. Albert the Great Mission,117 Railroad Ave,Alberton,Montana,47.00472476,-114.48586175,(406) 626-4492,http://www.clarkforkcatholic.com/,1,0,0,False,https://catholicindex.org/mass-times/alberton-montana,2026-02-21T23:01:19.213880+00:00
us-nd-alexander-our-lady-of-consolation-7938d8af,Our Lady of Consolation,704 Delaney St,Alexander,ND,47.8418493,-103.639703,+1-701-842-3791,https://wcepiphany.com/,1,0,0,False,https://catholicindex.org/mass-times/fairview-montana,2026-02-21T23:03:56.813940+00:00
us-nd-alexander-our-lady-of-consolation-e4e23683,Our Lady of Consolation,704 Delaney St,Alexander,North Dakota,47.84187056,-103.63953865,(701) 842-3505,http://wcepiphany.com/,1,0,0,False,https://catholicindex.org/mass-times/fairview-montana,2026-02-21T23:03:56.813940+00:00
us-mt-anaconda-holy-family-34f929f4,Holy Family,217 W Pennsylvania Ave,Anaconda,Montana,46.1324175,-112.95436148,(406) 563-8406,http://www.anacondacatholiccommunity.com/,15,0,0,False,https://catholicindex.org/mass-times/anaconda-montana,2026-02-21T23:01:23.867219+00:00
us-mt-anaconda-st-peter-4d00573a,St. Peter,401 Alder St,Anaconda,Montana,46.12571006,-112.94505289,(406) 563-8406,http://www.anacondacatholiccommunity.com/,2,0,0,False,https://catholicindex.org/mass-times/anaconda-montana,2026-02-21T23:01:23.867219+00:00
us-mt-arlee-st-john-berchmans-fd231438,Mission of St. John Berchmans,31186 Agency Rd (Jocko),Arlee,Montana,47.14014712,-114.01393023,(406) 745-2768,http://stignatiusmission.org/,5,0,0,False,https://catholicindex.org/mass-times/alberton-montana,2026-02-21T23:01:19.213880+00:00
us-mt-arlee-sacred-heart-8dff25e0,Mission of the Sacred Heart,72249 Fyant St,Arlee,Montana,47.16388186,-114.08344984,(406) 745-2768,http://stignatiusmission.org/,1,0,0,False,https://catholicindex.org/mass-times/alberton-montana,2026-02-21T23:01:19.213880+00:00
us-mt-ashland-church-of-st-labre-f987cc4a,St. Labre,Tongue River Rd,Ashland,Montana,45.60625,-106.28875,14067844516,https://sites.google.com/stlabre.org/st-labre-parish,7,0,0,False,https://catholicindex.org/mass-times/ashland-montana,2026-02-21T23:01:29.763705+00:00
