slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-nv-amargosa-valley-christ-of-the-desert-mission-church-14190ce8,Christ Of The Desert Catholic Mission Church,1730 E White Sands,Amargosa Valley,Nevada,36.51409827,-116.42659781,(775) 372-5501,http://ourladyofthevalleypahrump.org/amargosa,9,0,0,False,https://catholicindex.org/mass-times/amargosa-valley-nevada,2026-02-21T23:41:16.863520+00:00
us-nv-battle-mountain-st-john-bosco-bfe1238b,St. John Bosco,384 S Reese St,Battle Mountain,Nevada,40.63921865,-116.93645889,(775) 635-2576,http://www.stjohnboscocatholicparish.org/,0,0,0,False,https://catholicindex.org/mass-times/battle-mountain-nevada,2026-02-21T23:41:21.333528+00:00
us-nv-boulder-city-st-andrew-roman-catholic-church-779f5f94,St Andrew's Catholic Church,1399 San Felipe Dr,Boulder City,Nevada,35.96785534,-114.82646846,(702) 293-7500,https://www.standrewbc.org,6,0,0,False,https://catholicindex.org/mass-times/boulder-city-nevada,2026-02-21T23:41:25.851431+00:00
us-az-bullhead-city-st-margaret-mary-catholic-church-2d0d2526,St Margaret Mary Catholic Church,1691 N Oatman Rd,Bullhead City,AZ,35.0963433,-114.5924358,+1-928-758-7117,https://www.stmargaretmarybhc.com/,14,0,0,False,https://catholicindex.org/mass-times/laughlin-nevada,2026-02-21T23:42:24.482252+00:00
us-az-bullhead-city-st-margaret-mary-alacoque-becf7324,St. Margaret Mary,1691 N Oatman Rd,Bullhead City,Arizona,35.09498988,-114.59145431,(928) 758-7117,https://www.stmargaretmarybhc.com/,14,0,0,False,https://catholicindex.org/mass-times/laughlin-nevada,2026-02-21T23:42:24.482252+00:00
us-nv-caliente-holy-child-cdbd96ac,Holy Child,80 Tennille St,Caliente,Nevada,37.61710681,-114.51164556,(775) 726-3669,http://www.facebook.com/holy.child.catholic.church.calientenv/,0,0,0,False,https://catholicindex.org/mass-times/caliente-nevada,2026-02-21T23:41:30.275150+00:00
us-nv-carlin-sacred-heart-e0bb99fe,Sacred Heart,562 4th St,Carlin,Nevada,40.71531366,-116.11498268,(775) 754-6425,http://stjoech.org/sacred-heart-parish,13,0,0,False,https://catholicindex.org/mass-times/carlin-nevada,2026-02-21T23:41:31.777729+00:00
us-nv-carson-city-corpus-christi-ce75d507,Corpus Christi,3597 N Sunridge Dr,Carson City,Nevada,39.09841128,-119.76623773, 775-267-3200,http://www.ccchurchcc.org/,7,0,0,False,https://catholicindex.org/mass-times/carson-city-nevada,2026-02-21T23:41:33.427740+00:00
us-nv-carson-city-st-teresa-of-avila-13fbc55f,St. Teresa of Avila,3000 N Lompa Ln,Carson City,Nevada,39.1862959,-119.74331218,(775) 882-1968,http://www.stteresaofavila.net/,14,0,0,False,https://catholicindex.org/mass-times/carson-city-nevada,2026-02-21T23:41:33.427740+00:00
us-nv-dayton-st-ann-70f52f52,St. Ann,3 Melanie Dr,Dayton,Nevada,39.28688285,-119.54174089,(775) 246-7578,http://stannsdayton.com/,7,0,0,False,https://catholicindex.org/mass-times/carson-city-nevada,2026-02-21T23:41:33.427740+00:00
us-nv-dyer-our-lady-of-guadalupe-6a37e257,Our Lady Of Guadalupe,SR 264 Fish Lake Valley Community Ctr,Dyer,Nevada,37.69668128,-118.09037018,(775) 482-6746,http://dioceseoflasvegas.org/parishes.shtml,0,0,0,False,https://catholicindex.org/mass-times/dyer-nevada,2026-02-21T23:41:43.859863+00:00
us-nv-elko-st-joseph-73546dda,St. Joseph,990 Highland Dr,Elko,Nevada,40.8311829,-115.77527761,(775) 738-6432,http://stjoech.org/,12,0,0,False,https://catholicindex.org/mass-times/carlin-nevada,2026-02-21T23:41:31.777729+00:00
us-nv-ely-sacred-heart-02357958,Sacred Heart,100-1198 E 11th St,Ely,Nevada,39.25325044,-114.86489511,(775) 289-2201,http://sacredheartchurchely.org/,11,0,0,False,https://catholicindex.org/mass-times/ely-nevada,2026-02-21T23:41:46.869081+00:00
us-nv-eureka-st-brendan-263582da,St. Brendan,70 N O'Neill Ave,Eureka,Nevada,39.51249579,-115.96344065,(775) 318-0065 ,http://stjoech.org/st-brendans-parish,0,0,0,False,https://catholicindex.org/mass-times/eureka-nevada,2026-02-21T23:41:51.323779+00:00
us-nv-fallon-st-patrick-9db2be1d,St. Patrick,850 W Fourth St,Fallon,Nevada,39.47089088,-118.78756002,(775) 423-2846,http://stpatricksparish.org/,8,0,0,False,https://catholicindex.org/mass-times/fallon-nevada,2026-02-21T23:41:51.931738+00:00
us-nv-fernley-st-robert-bellarmine-66af3e0a,St. Robert Bellarmine,625 Desert Shadows Ln,Fernley,Nevada,39.57475868,-119.23839497,(775) 575-4011,https://www.strobertbellarmine.org,4,0,0,False,https://catholicindex.org/mass-times/fernley-nevada,2026-02-21T23:41:53.487333+00:00
us-ca-furnace-creek-death-valley-station-2a8fece2,Death Valley Station,Ranch Education Bldg,Furnace Creek,California,36.45625,-116.86875,17608764350,$undefined,0,0,0,False,https://catholicindex.org/mass-times/amargosa-valley-nevada,2026-02-21T23:41:16.863520+00:00
us-nv-gardnerville-st-gall-119c42a9,St. Gall,1343 Centerville,Gardnerville,Nevada,38.93530066,-119.7502768,(775) 782-2852,http://www.saintgall.org/,12,0,0,False,https://catholicindex.org/mass-times/carson-city-nevada,2026-02-21T23:41:33.427740+00:00
us-nv-hawthorne-our-lady-of-perpetual-help-81c139ee,Our Lady of Perpetual Help,804 A St,Hawthorne,Nevada,38.52947518,-118.62818525,(775) 945-2020,https://catholicreno.org//,0,0,0,False,https://catholicindex.org/mass-times/hawthorne-nevada,2026-02-21T23:42:07.070063+00:00
us-nv-henderson-st-francis-of-assisi-080043bb,St. Francis of Assisi,2300 Sunridge Heights Pkwy,Henderson,Nevada,35.99934422,-115.08925438,(702) 914-2175,https://www.sfahdnv.org,16,0,0,False,https://catholicindex.org/mass-times/boulder-city-nevada,2026-02-21T23:41:25.851431+00:00
us-nv-henderson-saint-john-paul-ii-3935eb15,St. John Paul II,3700 Liberty Heights Ave,Henderson,Nevada,35.98895575,-115.15292762,725-304-3304,http://jp2nv.org/,2,0,0,False,https://catholicindex.org/mass-times/boulder-city-nevada,2026-02-21T23:41:25.851431+00:00
us-nv-henderson-st-mother-teresa-syro-malabar-df8317f7,St. Mother Teresa (Syro-Malabar),240 S Cholla St,Henderson,Nevada,36.04030897,-114.97598857,(317) 965-9892,http://motherteresalv.com/home/index,0,0,0,False,https://catholicindex.org/mass-times/boulder-city-nevada,2026-02-21T23:41:25.851431+00:00
us-nv-henderson-st-peter-the-apostle-roman-catholic-church-5f913927,St. Peter the Apostle Roman Catholic Church,204 S Boulder Hwy,Henderson,Nevada,36.03831593,-114.97917157,(702) 970-2500,http://stpeterhenderson.com/,13,0,0,False,https://catholicindex.org/mass-times/boulder-city-nevada,2026-02-21T23:41:25.851431+00:00
us-nv-henderson-st-thomas-more-catholic-community-c6bd8f8d,St. Thomas More Catholic Community,130 N Pecos Rd Henderson,Henderson,Nevada,36.03696263,-115.09957764,702-361-3022,https://www.stmlv.org/,14,0,0,False,https://catholicindex.org/mass-times/boulder-city-nevada,2026-02-21T23:41:25.851431+00:00
us-nv-incline-village-st-francis-of-assisi-de31b3cf,St. Francis of Assisi,701 Mount Rose Hwy,Incline Village,Nevada,39.25429411,-119.96760269,(775) 831-0490 ,http://sftahoe.org/,7,0,0,False,https://catholicindex.org/mass-times/carson-city-nevada,2026-02-21T23:41:33.427740+00:00
