slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-pa-abington-our-lady-help-of-christians-08eca420,Our Lady Help of Christians,1500 Marian Rd,Abington,Pennsylvania,40.12602334,-75.11449353,(215) 886-3456,www.olhc-parish.org/,0,0,0,False,https://catholicindex.org/mass-times/beverly-new-jersey,2026-02-22T04:41:39.382220+00:00
us-nj-absecon-korean-mission-of-st-andrew-kim-f2ae46ce,Korean Mission of St. Andrew Kim,702 S New Rd,Absecon,New Jersey,39.4166875,-74.5105625,16096417208,$undefined,0,0,0,False,https://catholicindex.org/mass-times/absecon-new-jersey,2026-02-22T04:40:29.363168+00:00
us-nj-absecon-st-elizabeth-ann-seton-9417e907,St. Elizabeth Ann Seton,591 New Jersey Ave,Absecon,New Jersey,39.43163001,-74.50801831,(609) 641-1480,http://setonabsecon.org/,16,0,0,False,https://catholicindex.org/mass-times/absecon-new-jersey,2026-02-22T04:40:29.363168+00:00
us-nj-allendale-guardian-angel-58c34c3b,Guardian Angel,320 Franklin Turnpike,Allendale,New Jersey,41.03011224,-74.12498927,(201) 327-4359,http://www.guardianangelchurch.org/,9,0,0,False,https://catholicindex.org/mass-times/allendale-new-jersey,2026-02-22T04:40:35.214380+00:00
us-pa-allentown-cathedral-of-st-catharine-of-siena-7b79fc1d,Cathedral of St. Catherine of Siena,200 Block of N 18th St,Allentown,Pennsylvania,40.59888744,-75.49596593,610-433-6461,https://www.cathedral-church.org,23,0,0,False,https://catholicindex.org/mass-times/bloomsbury-new-jersey,2026-02-22T04:41:51.207540+00:00
us-pa-allentown-immaculate-conception-bvm-d4cceacf,Immaculate Conception BVM,501 Ridge Ave,Allentown,Pennsylvania,40.61319062,-75.46117248,(610) 433-4404,http://immaculateconceptionallentown.org/,19,0,0,False,https://catholicindex.org/mass-times/belvidere-new-jersey,2026-02-22T04:41:29.456590+00:00
us-pa-allentown-newman-center-at-muhlenberg-college-12bc3edd,Newman Center at Muhlenberg College,2339 Liberty St,Allentown,Pennsylvania,40.59972968,-75.50973021,610-866-0581,https://www.muhlenberg.edu/,0,0,0,False,https://catholicindex.org/mass-times/bloomsbury-new-jersey,2026-02-22T04:41:51.207540+00:00
us-pa-allentown-our-lady-help-of-christians-3051069e,Our Lady Help of Christians,444 N Jasper St,Allentown,Pennsylvania,40.61727157,-75.43978602,610-432-9384,https://www.allentowndiocese.org/find-parish,10,0,0,False,https://catholicindex.org/mass-times/asbury-new-jersey,2026-02-22T04:40:46.567012+00:00
us-pa-allentown-sacred-heart-729e74af,Sacred Heart of Jesus,336 N 4th St,Allentown,Pennsylvania,40.60854444,-75.46779344,(610) 434-5171,http://www.sacredheartofallentown.com,13,0,0,False,https://catholicindex.org/mass-times/bloomsbury-new-jersey,2026-02-22T04:41:51.207540+00:00
us-pa-allentown-shrine-of-our-lady-of-guadalupe-bb1310d6,Shrine of Our Lady of Guadalupe,501 Ridge Ave,Allentown,Pennsylvania,40.6133048,-75.46127224,(610) 433-4404,http://immaculateconceptionallentown.org/about.html,19,0,0,False,https://catholicindex.org/mass-times/belvidere-new-jersey,2026-02-22T04:41:29.456590+00:00
us-pa-allentown-st-francis-of-assisi-89f30c85,St. Francis of Assisi,1046 W Cedar St,Allentown,Pennsylvania,40.61201674,-75.48525166,(610) 433-6102,http://www.stfrancisallentown.org/,11,0,0,False,https://catholicindex.org/mass-times/bloomsbury-new-jersey,2026-02-22T04:41:51.207540+00:00
us-pa-allentown-saints-joachim-and-anne-church-maronite-09b92b7f,St. Joachim and Anne Maronite Mission,1065 Fullerton Ave Allentown,Allentown,Pennsylvania,40.62120758,-75.46348982,845-689-4468,http://stjoachimandanne.com/,0,0,0,False,https://catholicindex.org/mass-times/belvidere-new-jersey,2026-02-22T04:41:29.456590+00:00
us-nj-allentown-st-john-the-baptist-00e08759,St. John the Baptist,1282 Yardville-Allentown Rd,Allentown,New Jersey,40.17463109,-74.59907852,(609) 259-3391,www.StJohnRomanCatholic.org,0,0,0,False,https://catholicindex.org/mass-times/allentown-new-jersey,2026-02-22T04:40:37.751508+00:00
