slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-nm-abeytas-san-antonio-mission-86d90246,San Antonio,11 Calle De San Antonio,Abeytas,New Mexico,34.4680481,-106.81270253,(505) 864-4461 or (505) 864-4170 (Emergencies),http://olslajoyanm.org/,1,0,0,False,https://catholicindex.org/mass-times/belen-new-mexico,2026-02-22T04:53:24.543916+00:00
us-nm-abiquiu-monastery-of-christ-in-the-desert-86fe8296,Monastery of Christ in the Desert,Abiquiu New Mexico 87510,Abiquiu,New Mexico,36.3781875,-106.6805625,15756134231,https://christdesert.org/,14,0,0,False,https://catholicindex.org/mass-times/abiquiu-new-mexico,2026-02-22T04:52:51.843234+00:00
us-nm-abiquiu-st-thomas-the-apostle-4ab9b993,St. Thomas the Apostle,1 Church Plaza,Abiquiu,New Mexico,36.20749204,-106.31900074,(505) 685-4462,http://www.stthomasabiquiu.com,0,0,0,False,https://catholicindex.org/mass-times/abiquiu-new-mexico,2026-02-22T04:52:51.843234+00:00
us-nm-abo-san-lorenzo-mission-27a44429,San Lorenzo,56 San Lorenzo Rd,Abo,New Mexico,34.45647565,-106.32809402,(505) 847-2291 or (505) 226-2786 (Emergencies),http://www.stalicenm.com/,0,0,0,False,https://catholicindex.org/mass-times/mountainair-new-mexico,2026-02-22T04:58:02.256761+00:00
us-nm-acoma-village-san-esteban-del-rey-ce100265,San Esteban del Ray,266 Pueblo Rd,Acoma Village,New Mexico,34.895297,-107.582504,(505) 552-6403,https://dioceseofgallup.org/parishes/new-mexico-parishes/san-esteban-del-rey-church-acoma/,0,0,0,False,https://catholicindex.org/mass-times/cubero-new-mexico,2026-02-22T04:54:53.145046+00:00
us-nm-acomita-st-anne-d8f9ec27,Mission of St. Anne,Indian Service Rt 30,Acomita,New Mexico,35.05448535,-107.5727903,(505) 552-6403 ,http://dioceseofgallup.org/parishes/new-mexico-parishes/st-anne-acomita/,3,0,0,False,https://catholicindex.org/mass-times/cubero-new-mexico,2026-02-22T04:54:53.145046+00:00
us-nm-alamogordo-immaculate-conception-b8c19e4d,Immaculate Conception,705 Delaware Ave,Alamogordo,New Mexico,32.89691381,-105.95832815,(575) 437-3291,http://www.iccalamogordo.org/,8,0,0,False,https://catholicindex.org/mass-times/alamogordo-new-mexico,2026-02-22T04:52:53.268041+00:00
us-nm-alamogordo-st-jude-6801b4e3,St. Jude,1404 College Ave,Alamogordo,New Mexico,32.90549961,-105.93688035,(575) 437-0238,http://stjudealamo.org,11,0,0,False,https://catholicindex.org/mass-times/alamogordo-new-mexico,2026-02-22T04:52:53.268041+00:00
us-nm-albuquerque-church-of-the-ascension-43f9c240,Ascension,2150 Raymac Rd SW,Albuquerque,New Mexico,34.97834067,-106.701374,(505) 877-8550,http://sites.google.com/view/church-of-the-ascension,6,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-chapel-of-the-holy-innocents-f4e7b706,Chapel of the Holy Innocents,625 San Mateo Blvd NE,Albuquerque,New Mexico,35.0835625,-106.5864375,$undefined,https://defendinglife.org/holy-innocents-chapel,0,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-holy-family-6a1a6706,Holy Family,562 Atrisco Rd SW,Albuquerque,New Mexico,35.07453661,-106.68665293,(505) 842-5426,http://holyfamilynm.org,11,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-holy-ghost-c188c743,Holy Ghost,927 Arizona St SE,Albuquerque,New Mexico,35.06265757,-106.57726349,(505) 265-5957,http://www.holyghostchurchabq.org/,14,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-sangre-de-cristo-3574e771,Iglesia Sangre de Cristo,8901 Candelaria Rd NE,Albuquerque,New Mexico,35.116714,-106.544151,(505) 292-6477,http://sangredecristoabq.com/,10,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-immaculate-conception-9b968486,Immaculate Conception,619 Copper Ave NW,Albuquerque,New Mexico,35.08619752,-106.65415146,(505) 247-4271,http://www.iccabq.org/,12,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-kirtland-air-force-base-our-lady-of-the-sandias-9e4f9f63,Kirtland Air Force Base (Our Lady of the Sandias),1950 2nd St SE Kirtland Air Force Base,Albuquerque,New Mexico,35.05845093,-106.55266041,505-853-5000,http://www.kirtland.af.mil/About-Us/Chapel/,4,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-nativity-of-the-blessed-virgin-mary-c5a724d7,Nativity of the Blessed Virgin Mary,9502 4th St NW,Albuquerque,New Mexico,35.18849061,-106.61685302,(505) 898-5253,http://www.n-bvm.org,11,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-our-lady-of-fatima-e43b0acc,Our Lady of Fatima,4020 Lomas Blvd NE,Albuquerque,New Mexico,35.08704422,-106.59947895,(505) 265-5868,http://fatimachurchabq.org,14,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-our-lady-of-guadalupe-91300ceb,Our Lady of Guadalupe,1860 Griegos Rd NW,Albuquerque,New Mexico,35.13309762,-106.6662368,(505) 345-4596,http://www.guadalupeabq.com/,8,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-our-lady-of-lavang-7a7c662f,Our Lady of Lavang,1015 Chelwood Park Blvd NE,Albuquerque,New Mexico,35.08816486,-106.50657373,505-508-2841,http://www.lavangabq.org/,8,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-our-lady-of-mount-carmel-mission-historic-church-efcb83a7,Our Lady of Mount Carmel (Historic Church),7805 Edith Blvd NE,Albuquerque,New Mexico,35.16883023,-106.61810604,(505) 898-5253,http://www.n-bvm.org,11,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-our-lady-of-perpetual-help-ruthenian-18374714,Our Lady of Perpetual Help (Ruthenian),1837 Alvarado Dr NE,Albuquerque,New Mexico,35.096406,-106.58222,(505) 256-1539,http://www.olphnm.org/,2,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-our-lady-of-the-annunciation-2bbb32d6,Our Lady of the Annunciation,2621 Vermont St NE,Albuquerque,New Mexico,35.11254197,-106.55502999,(505) 298-7553,http://www.annunciationparishabq.org/,18,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-our-lady-of-the-assumption-90e4b7fa,Our Lady of the Assumption,811 Guaymas Pl NE,Albuquerque,New Mexico,35.08664422,-106.55755198,(505) 256-9818,http://olacs.org/church/,13,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-our-lady-of-the-most-holy-rosary-a6ecf100,Our Lady of the Most Holy Rosary,5415 Fortuna Rd NW,Albuquerque,New Mexico,35.09520413,-106.70208135,(505) 836-5011,http://www.holyrosaryabq.org/,7,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-prince-of-peace-09f2e94f,Prince of Peace Catholic Community,12500 Carmel Ave NE,Albuquerque,New Mexico,35.17659404,-106.49924918,(505) 856-7657,http://www.popabq.org/,9,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-queen-of-heaven-b0708918,Queen of Heaven,5300 Claremont Ave NE,Albuquerque,New Mexico,35.112523,-106.584704,(505) 881-1772,http://qofhabq.com/,17,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-risen-savior-299ae009,Risen Savior Catholic Community,7701 Wyoming Blvd NE,Albuquerque,New Mexico,35.16877458,-106.56062251,(505) 821-1571,http://www.risensaviorcc.org/,7,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-sacred-heart-sagrado-corazón-74257109,Sacred Heart /Sagrado Corazón,309 Stover Ave SW,Albuquerque,New Mexico,35.07887612,-106.65240968,(505) 242-0561,https://www.sacredheartabq.com/,11,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-san-felipe-de-neri-historic-church-d4747c58,San Felipe de Neri Catholic Church (Historic Church),2005 N Plaza St NW,Albuquerque,New Mexico,35.09662364,-106.67007929,(505) 243-4628,http://www.sanfelipedeneri.org,12,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-san-ignacio-de-loyola-historic-church-b472163f,San Ignacio de Loyola (Historic Church),1300 Walter St NE,Albuquerque,New Mexico,35.09531555,-106.63798604,(505) 243-4287,http://www.sanignacioabq.org,6,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-san-jose-de-los-duranes-mission-5a48319c,San Jose de los Duranes,2110 Los Luceros Rd NW (Los Duranes),Albuquerque,New Mexico,35.114275,-106.676685,(505) 243-4628,http://www.sanfelipedeneri.org/san-jose-de-los-duranes-mission,10,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-san-jose-77f7f04a,San José,2401 Broadway Blvd SE,Albuquerque,New Mexico,35.05771684,-106.64581441,(505) 242-3658,http://www.sanjoseabq.org/,7,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-santa-maria-de-la-vid-abbey-741b75fc,Santa Maria de La Vid Abbey,5825 Coors Blvd SW,Albuquerque,New Mexico,34.9843125,-106.7254375,15058734399,https://www.norbertinecommunity.org/,0,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-santuario-de-san-martin-de-porres-858d479e,Santuario de San Martin de Porres,8301 Camino San Martin SW,Albuquerque,New Mexico,35.04604043,-106.72669518,(505) 836-4676,http://santuariosanmartin.org/,13,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-shrine-of-saint-bernadette-90f8d47d,Shrine of St. Bernadette,11401 Indian School Rd NE,Albuquerque,New Mexico,35.10181572,-106.52049864,(505) 298-7557,http://ssbnm.org/,10,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-st-charles-borromeo-9dd81e9c,St Charles Borromeo Church,1818 Coal Pl SE,Albuquerque,New Mexico,35.07710215,-106.62720618,(505) 242-3462,http://stcharlesnm.org/,9,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-st-anne-a8e0bc19,St. Anne,1400 Arenal Rd SW,Albuquerque,New Mexico,35.05236752,-106.67583039,(505) 877-3121,http://stannechurchabq.com,8,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-st-edwin-990e50c4,St. Edwin,2105 Barcelona Rd SW,Albuquerque,New Mexico,35.03128411,-106.69052027,(505) 877-2967,http://www.stedwinabq.com/,12,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-st-francis-xavier-9484f9ed,St. Francis Xavier,820 Broadway Blvd SE,Albuquerque,New Mexico,35.07481692,-106.64546087,(505) 243-5201,http://www.stfrancisxavierparishabq.org/,9,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-st-john-xxiii-catholic-community-9123979b,St. John XXIII Catholic Community,4831 Tramway Ridge Dr NE,Albuquerque,New Mexico,35.13533081,-106.50021336,(505) 293-0088,http://www.johnxxiiicc.org/,15,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-st-joseph-on-the-rio-grande-78e59801,St. Joseph on the Río Grande,5901 St Joseph Dr NW,Albuquerque,New Mexico,35.129394,-106.705698,(505) 839-7952,http://sjrgcc.org/,9,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-st-jude-thaddeus-ba509ba6,St. Jude Thaddeus,5712 Paradise Blvd NW,Albuquerque,New Mexico,35.1949388,-106.70764115,(505) 898-0826,http://www.stjudenm.org/,23,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-st-therese-of-the-infant-jesus-the-shrine-of-the-little-flower-72dd518a,"St. Therese of the Infant Jesus, The Shrine of the Little Flower",3424 4th St NW,Albuquerque,New Mexico,35.11727195,-106.64493015,(505) 344-8050,http://www.littleflowerabq.org/,9,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-albuquerque-st-thomas-aquinas-university-parish-760ce2da,University of New Mexico,1815 Las Lomas Rd NE,Albuquerque,New Mexico,35.08702405,-106.62319856,505-247-1094,http://lobocatholic.org/,13,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-nm-algodones-san-jose-mission-8fd75906,San Jose Mission,1415 NM-313,Algodones,New Mexico,35.38011204,-106.48044301,(505) 867-5252,http://olosbernalillo.com,0,0,0,False,https://catholicindex.org/mass-times/albuquerque-new-mexico,2026-02-22T04:52:54.784204+00:00
us-az-alpine-st-helena-54a2b482,St. Helena,42909 US Hwy 180,Alpine,Arizona,33.82821608,-109.11213639,(928) 339-4363,http://stpeterchurchaz.com/,10,0,0,False,https://catholicindex.org/mass-times/reserve-new-mexico,2026-02-22T04:59:11.138579+00:00
us-nm-amalia-santo-niño-mission-aaefb6b2,Santo Niño,546 NM-196,Amalia,New Mexico,36.94331118,-105.45674006,(575) 586-0470,$undefined,0,0,0,False,https://catholicindex.org/mass-times/amalia-new-mexico,2026-02-22T04:53:00.805465+00:00
us-nm-angel-fire-holy-angels-mission-163baaa1,Holy Angels,34 W Ridge Rd,Angel Fire,New Mexico,36.41053981,-105.29767843,(575) 376-2553 or (714) 383-0381 (Emergencies only),http://www.angelfirecatholic.com/,10,0,0,False,https://catholicindex.org/mass-times/angel-fire-new-mexico,2026-02-22T04:53:03.829843+00:00
us-nm-animas-st-jude-catholic-mission-church-2f749a4e,St. Jude Catholic Mission Church,1035 NM-338,Animas,NM,32.1303854,-108.8797738,$undefined,https://www.oldrcdlc.org/parishfinder,0,0,0,False,https://catholicindex.org/mass-times/lordsburg-new-mexico,2026-02-22T04:57:11.127086+00:00
us-nm-anthony-st-anthony-edfb08be,St. Anthony,324 Lincoln St,Anthony,New Mexico,32.00195919,-106.60378914,(575) 882-2239,http://www.stanthonysnm.org,9,0,0,False,https://catholicindex.org/mass-times/anthony-new-mexico,2026-02-22T04:53:06.908864+00:00
us-nm-anton-chico-san-jose-f8c5545c,San José,1081 Iglesia Rd,Anton Chico,New Mexico,35.2014083,-105.14228856,(575) 427-1164,http://www.facebook.com/SanJoseAntonChico/,0,0,0,False,https://catholicindex.org/mass-times/anton-chico-new-mexico,2026-02-22T04:53:10.347670+00:00
