slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
church-a80431356314,St. Brendan's Church ,8 Front St Mallorytown Rockport,,,44.37864805,-75.93506455,613-659-2412,http://www.stspatrickbrendan.com/,2,0,0,False,https://catholicindex.org/mass-times/alexandria-bay-new-york,2026-02-22T06:17:58.897407+00:00
us-ny-adams-st-cecilias-d413f436,St. Cecilia,17 Grove St,Adams,New York,43.80635778,-76.02741248,(315) 232-2392,http://stceciliaandqoh.org/,2,0,0,False,https://catholicindex.org/mass-times/adams-new-york,2026-02-22T06:17:37.996879+00:00
us-ma-adams-st-john-paul-ii-51b6a893,St. John Paul the Great,21 Maple St,Adams,Massachusetts,42.62454861,-73.12011656,(413) 743-2110,http://acparishes.org/st-john-paul-ii,0,0,0,False,https://catholicindex.org/mass-times/averill-park-new-york,2026-02-22T06:19:24.519776+00:00
us-ma-adams-st-stanislaus-kostka-b96af4bf,St. Stanislaus Kostka Church,25 Hoosac St,Adams,Massachusetts,42.62495203,-73.11339032,(413) 743-0577,http://sskpreservation.org/visit,3,0,0,False,https://catholicindex.org/mass-times/averill-park-new-york,2026-02-22T06:19:24.519776+00:00
us-ny-addison-st-catherine-of-siena-9f40da30,St. Catherine of Siena,51 Maple St,Addison,New York,42.11032244,-77.22602009,(607) 359-2115,http://www.simtparish.org/,3,0,0,False,https://catholicindex.org/mass-times/addison-new-york,2026-02-22T06:17:42.416747+00:00
us-ny-afton-st-agnes-84919474,Mission of St. Agnes,14 Spring St,Afton,New York,42.22879786,-75.52695113,(607) 967-4481,$undefined,0,0,0,False,https://catholicindex.org/mass-times/afton-new-york,2026-02-22T06:17:45.466844+00:00
us-ny-akron-st-teresa-of-avila-parish-c62a7779,St Teresa of Avila Parish,5771 Buell St,Akron,NY,43.0033525,-78.5012358,+1-716-542-9103,https://www.stteresasofakron.com/,13,0,0,False,https://catholicindex.org/mass-times/akron-new-york,2026-02-22T06:17:47.044140+00:00
us-ny-akron-st-teresa-of-avila-0df736f8,St. Teresa of Avila,5771 Buell St,Akron,New York,43.00340953,-78.50129224,(716) 542-9103,https://www.stteresasofakron.com/,20,0,0,False,https://catholicindex.org/mass-times/akron-new-york,2026-02-22T06:17:47.044140+00:00
us-ny-albany-all-saints-catholic-church-8555cd05,All Saints,16 Homestead St,Albany,New York,42.67583443,-73.82383219,518-482-4497,http://allsaintscc.org/,4,0,0,False,https://catholicindex.org/mass-times/albany-new-york,2026-02-22T06:17:48.440391+00:00
us-ny-albany-blessed-sacrament-church-e8b32aad,Blessed Sacrament,607 Central Ave,Albany,New York,42.67358582,-73.78184198,518-482-3375,https://blessedsacramentalbany.org,9,0,0,False,https://catholicindex.org/mass-times/albany-new-york,2026-02-22T06:17:48.440391+00:00
us-ny-albany-cathedral-of-the-immaculate-conception-56e45ea5,Cathedral of the Immaculate Conception,125 Eagle St,Albany,New York,42.64746906,-73.75951023,(518) 463-4447,https://www.cathedralic.com,0,0,0,False,https://catholicindex.org/mass-times/albany-new-york,2026-02-22T06:17:48.440391+00:00
us-ny-albany-christ-the-king-e73fb6c8,Christ the King,20 Sumter Ave,Albany,New York,42.69402068,-73.8862544,(518) 456-1644,http://ctkparishny.org/,6,0,0,False,https://catholicindex.org/mass-times/albany-new-york,2026-02-22T06:17:48.440391+00:00
us-ny-albany-korean-catholic-apostolate-of-albany-9a513ca8,Korean Catholic Apostolate of Albany,17 Exchange St,Albany,NY,42.6840353,-73.7802894,+1-518-438-1805,http://cafe.daum.net/kccalbany,0,0,0,False,https://catholicindex.org/mass-times/albany-new-york,2026-02-22T06:17:48.440391+00:00
