slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-nc-ahoskie-st-charles-borromeo-96782ecc,St. Charles Borromeo,122 NC-561 W,Ahoskie,North Carolina,36.29734445,-77.00346541,(252) 332-2939,http://www.stcharlesahoskie.com/,7,0,0,False,https://catholicindex.org/mass-times/ahoskie-north-carolina,2026-02-22T06:18:02.327991+00:00
us-nc-albemarle-our-lady-of-the-annunciation-f9f366f2,Our Lady of the Annunciation,416 N Second St,Albemarle,North Carolina,35.35603005,-80.1974424,(704) 982-2910,http://annunciationcatholicalbemarle.com/,12,0,0,False,https://catholicindex.org/mass-times/albemarle-north-carolina,2026-02-22T06:18:05.510594+00:00
us-nc-andrews-holy-redeemer-e01f8c12,Holy Redeemer,214 Aquone Rd,Andrews,North Carolina,35.19932185,-83.81864893,$undefined,http://holyredeemerandrews.com,7,0,0,False,https://catholicindex.org/mass-times/andrews-north-carolina,2026-02-22T06:18:15.791961+00:00
us-nc-apex-lourdes-matha-syro-malabar-33bd0d66,Lourdes Matha (Syro-Malabar),1400 Vision Dr,Apex,North Carolina,35.75249753,-78.87555421,9194390305,http://www.lourdesmatha.org/,0,0,0,False,https://catholicindex.org/mass-times/apex-north-carolina,2026-02-22T06:18:20.412776+00:00
us-nc-apex-st-andrew-the-apostle-cde1c26d,St. Andrew the Apostle,3008 Old Raleigh Rd,Apex,North Carolina,35.74121344,-78.8214125,(919) 362-0414,http://www.saintandrew.org,9,0,0,False,https://catholicindex.org/mass-times/apex-north-carolina,2026-02-22T06:18:20.412776+00:00
us-nc-apex-st-ha-sang-paul-jung-b59756fd,St. Ha-Sang Paul Jung,3301 Holland Rd,Apex,North Carolina,35.70251002,-78.8959091,(919) 303-6424,http://dioceseofraleigh.org/parish/saint-ha-sang-paul-jung-apex,5,0,0,False,https://catholicindex.org/mass-times/apex-north-carolina,2026-02-22T06:18:20.412776+00:00
us-nc-apex-st-mary-magdalene-ed0b5a3a,St. Mary Magdalene,625 Magdala Pl,Apex,North Carolina,35.72401982,-78.87411118,(919) 657-4800,http://www.stmm.church,11,0,0,False,https://catholicindex.org/mass-times/apex-north-carolina,2026-02-22T06:18:20.412776+00:00
us-nc-arden-st-barnabas-874af99d,St. Barnabas,109 Crescent Hill Dr,Arden,North Carolina,35.45168619,-82.51220364,(828) 684-6098,http://www.saintbarnabasarden.org/,8,0,0,False,https://catholicindex.org/mass-times/arden-north-carolina,2026-02-22T06:18:24.897612+00:00
us-nc-arden-holy-apostle-and-evangelist-luke-46f2bc12,St. Barnabas Catholic Church,109 Crescent Hill Dr,Arden,North Carolina,35.45159858,-82.51230776,$undefined,http://stjosaphateparchy.com/parishes/,0,0,0,False,https://catholicindex.org/mass-times/arden-north-carolina,2026-02-22T06:18:24.897612+00:00
us-nc-asheboro-st-joseph-d06aa885,St. Joseph,512 W Wainman Ave,Asheboro,North Carolina,35.70237351,-79.82091355,(336) 629-0221,http://www.stjoenc.org/,0,0,0,False,https://catholicindex.org/mass-times/asheboro-north-carolina,2026-02-22T06:18:27.913690+00:00
us-nc-asheville-basilica-of-st-lawrence-9ea64859,Basilica of St. Lawrence,97 Haywood St,Asheville,North Carolina,35.5973789,-82.55632819,(828) 252-6042,http://www.saintlawrencebasilica.org/,12,0,0,False,https://catholicindex.org/mass-times/arden-north-carolina,2026-02-22T06:18:24.897612+00:00
us-nc-asheville-st-eugene-7b615477,St. Eugene,72 Culvern St,Asheville,North Carolina,35.6325291,-82.55327091,(828) 254-5193,https://steugene.org,8,0,0,False,https://catholicindex.org/mass-times/arden-north-carolina,2026-02-22T06:18:24.897612+00:00
us-nc-belmont-belmont-abbey-979983d0,Belmont Abbey,100 Belmont - Mount Holly Rd,Belmont,North Carolina,35.26062012,-81.04347992,(704) 461-6675,http://belmontabbey.org/,8,0,0,False,https://catholicindex.org/mass-times/belmont-north-carolina,2026-02-22T06:19:15.426986+00:00
