slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-nd-alcide-church-of-st-anthony-647ff947,St. Anthony,5 miles W on Hwy 5,Alcide,North Dakota,48.80625,-99.85625,17014775601,$undefined,0,0,0,False,https://catholicindex.org/mass-times/belcourt-north-dakota,2026-02-22T06:46:31.037363+00:00
us-nd-alexander-our-lady-of-consolation-e4e23683,Our Lady of Consolation,704 Delaney St,Alexander,North Dakota,47.84187056,-103.63953865,(701) 842-3505,http://wcepiphany.com/,1,0,0,False,https://catholicindex.org/mass-times/alexander-north-dakota,2026-02-22T06:45:57.865597+00:00
us-nd-alexander-our-lady-of-consolation-7938d8af,Our Lady of Consolation,704 Delaney St,Alexander,ND,47.8418493,-103.639703,+1-701-842-3791,https://wcepiphany.com/,1,0,0,False,https://catholicindex.org/mass-times/alexander-north-dakota,2026-02-22T06:45:57.865597+00:00
us-nd-almont-st-mary-queen-of-peace-816479c4,St. Mary Queen of Peace,302 Margaret St,Almont,North Dakota,46.72677691,-101.50745687,(701) 843-7061,http://bismarckdiocese.com/parishfinder,1,0,0,False,https://catholicindex.org/mass-times/almont-north-dakota,2026-02-22T06:45:59.373988+00:00
us-nd-anamoose-st-francis-xavier-3fbe69ed,St. Francis Xavier,605 1st St W,Anamoose,North Dakota,47.88174673,-100.24329794,(701) 465-3780,http://www.stfxnd.org,14,0,0,False,https://catholicindex.org/mass-times/anamoose-north-dakota,2026-02-22T06:46:06.972863+00:00
us-nd-aneta-sacred-heart-c970b81c,Sacred Heart,307 Lippert St,Aneta,North Dakota,47.68182431,-97.98529754,(701) 797-2624,http://stgeorgecooper.com,6,0,0,False,https://catholicindex.org/mass-times/aneta-north-dakota,2026-02-22T06:46:08.444862+00:00
us-nd-aneta-sacred-heart-parish-35bf78cf,Sacred Heart Parish,307 1st St,Aneta,ND,47.6780384,-97.9854251,+1-701-797-2624,https://fargodiocese.net/aneta-sacredheart,1,0,0,False,https://catholicindex.org/mass-times/aneta-north-dakota,2026-02-22T06:46:08.444862+00:00
us-mn-angus-holy-trinity-e160a20c,Holy Trinity,37639 140th St NW,Angus,Minnesota,48.07866218,-96.86040556,(218) 745-5853,https://www.crookston.org/parishfinder,4,0,0,False,https://catholicindex.org/mass-times/grand-forks-north-dakota,2026-02-22T06:49:20.517190+00:00
us-nd-argusville-st-william-3e851ca1,St. William,107 Drake Ave,Argusville,North Dakota,47.05063975,-96.93419932,(701) 484-5211,http://stwilliamschurch.org/,2,0,0,False,https://catholicindex.org/mass-times/argusville-north-dakota,2026-02-22T06:46:11.531919+00:00
us-mn-argyle-st-rose-of-lima-02924867,St. Rose of Lima,501 W 3rd St,Argyle,Minnesota,48.33290694,-96.82593486,(218) 437-6341,http://wiktel.net/strose/,3,0,0,False,https://catholicindex.org/mass-times/drayton-north-dakota,2026-02-22T06:48:07.116843+00:00
us-nd-ashley-st-david-62b76009,St. David,601 2nd Ave NE,Ashley,North Dakota,46.03968016,-99.36859117,(701) 452-2970,http://fargodiocese.net/ashley-stdavids,3,0,0,False,https://catholicindex.org/mass-times/ashley-north-dakota,2026-02-22T06:46:17.479298+00:00
us-mt-bainville-sacred-heart-1e47901c,Sacred Heart,314 Clinton St,Bainville,Montana,48.14023241,-104.22153746,(406) 768-3305,http://diocesegfb.org/,0,0,0,False,https://catholicindex.org/mass-times/trenton-north-dakota,2026-02-22T06:54:20.091220+00:00
us-mt-baker-st-john-the-evangelist-d09cfd82,St. John the Evangelist,210 W Center Ave,Baker,Montana,46.35774546,-104.27875269,917-525-3420,http://www.facebook.com/stjohnsbaker,0,0,0,False,https://catholicindex.org/mass-times/marmarth-north-dakota,2026-02-22T06:51:08.665448+00:00
us-nd-balta-st-therese-little-flower-9b621276,St. Therese Little Flower ,301 Main St N,Balta,North Dakota,48.16791241,-100.03771499,(701) 776-6388 ,http://www.littleflowerrugby.org,5,0,0,False,https://catholicindex.org/mass-times/anamoose-north-dakota,2026-02-22T06:46:06.972863+00:00
us-mn-barnesville-assumption-71278784,Assumption,307 Front St N,Barnesville,Minnesota,46.65611411,-96.42061238,(218) 354-7320,https://assumptioncatholicchurchbarnesville.weebly.com,21,0,0,False,https://catholicindex.org/mass-times/fargo-north-dakota,2026-02-22T06:48:33.958403+00:00
us-nd-beach-st-john-the-baptist-42d5376c,St. John the Baptist,162 2nd Ave SE,Beach,North Dakota,46.91303705,-104.00314072,(701) 872-4153,http://www.stjohnbeach.com/contact-us,5,0,0,False,https://catholicindex.org/mass-times/beach-north-dakota,2026-02-22T06:46:29.646465+00:00
us-nd-bechyne-sts-peter-and-paul-93c4dcef,Sts. Peter and Paul,11951 County Rd 19,Bechyne,North Dakota,48.25348913,-98.04319662,(701) 284-6060,http://www.plbnd.org,2,0,0,False,https://catholicindex.org/mass-times/lakota-north-dakota,2026-02-22T06:50:28.054268+00:00
us-nd-belcourt-church-of-st-ann-554fbb71,St. Ann,5 St Ann's Rd,Belcourt,North Dakota,48.8396875,-99.7554375,17014775601,https://www.stannsmission.org/,6,0,0,False,https://catholicindex.org/mass-times/belcourt-north-dakota,2026-02-22T06:46:31.037363+00:00
us-nd-belcourt-st-ann-indian-f757f136,St. Ann Indian ,1115 Louis Reil Rd,Belcourt,North Dakota,48.84027452,-99.75478649,(701) 477-5601 ,http://www.stannsmission.org/,6,0,0,False,https://catholicindex.org/mass-times/belcourt-north-dakota,2026-02-22T06:46:31.037363+00:00
us-nd-belcourt-church-of-st-benedict-806884f7,St. Benedict,rural,Belcourt,North Dakota,48.83875,-99.74375,17014773081,$undefined,0,0,0,False,https://catholicindex.org/mass-times/belcourt-north-dakota,2026-02-22T06:46:31.037363+00:00
us-nd-belfield-st-bernard-ccc870da,St. Bernard,402 3rd Ave NE,Belfield,North Dakota,46.88751711,-103.19429305,(701) 575-4295,http://saintbernardbelfield.com/,7,0,0,False,https://catholicindex.org/mass-times/belfield-north-dakota,2026-02-22T06:46:32.507156+00:00
us-nd-belfield-st-john-the-baptist-ukrainian-264e1a54,St. John the Baptist (Ukrainian),305 6th St NE,Belfield,North Dakota,46.8881319,-103.19186571,(701) 575-4281,http://www.stjohnschurchbelfield.com/,5,0,0,False,https://catholicindex.org/mass-times/belfield-north-dakota,2026-02-22T06:46:32.507156+00:00
us-nd-berthold-st-ann-d2c63334,St. Ann,217 Dewey St NW,Berthold,North Dakota,48.31500914,-101.7385727,(701) 628-3405,http://holyrosarystanley.com/,1,0,0,False,https://catholicindex.org/mass-times/berthold-north-dakota,2026-02-22T06:46:37.030018+00:00
us-nd-beulah-st-joseph-30fda43e,St. Joseph,115 3rd St NE,Beulah,North Dakota,47.26652933,-101.77721923,(701) 873-5397,http://www.saints2b.org/,5,0,0,False,https://catholicindex.org/mass-times/beulah-north-dakota,2026-02-22T06:46:38.405997+00:00
us-nd-bisbee-holy-rosary-87d6d58a,Holy Rosary,304 3rd Ave W,Bisbee,North Dakota,48.62565669,-99.38056776,(701) 246-3449,http://www.fargodiocese.org/bisbee-holyrosary,3,0,0,False,https://catholicindex.org/mass-times/belcourt-north-dakota,2026-02-22T06:46:31.037363+00:00
us-nd-bismarck-annunciation-monastery-01b08dbf,Annunciation Monastery,7520 University Dr,Bismarck,North Dakota,46.71983166,-100.75260803,(701)255-1520,http://www.annunciationmonastery.org/,1,0,0,False,https://catholicindex.org/mass-times/bismarck-north-dakota,2026-02-22T06:46:42.940887+00:00
us-nd-bismarck-ascension-ff99447e,Ascension,1825 S 3rd St,Bismarck,North Dakota,46.78255245,-100.78208975,(701) 223-3606,http://www.ascensionbismarck.org/,10,0,0,False,https://catholicindex.org/mass-times/bismarck-north-dakota,2026-02-22T06:46:42.940887+00:00
us-nd-bismarck-cathedral-of-the-holy-spirit-898d241d,Cathedral of the Holy Spirit,519 Raymond St,Bismarck,North Dakota,46.81060463,-100.79639172,(701) 223-1033,http://www.cathedralparish.com/,18,0,0,False,https://catholicindex.org/mass-times/bismarck-north-dakota,2026-02-22T06:46:42.940887+00:00
us-nd-bismarck-corpus-christi-0a3bbdfd,Corpus Christi,1919 N 2nd St,Bismarck,North Dakota,46.82724927,-100.78936484,(701) 255-4600 ,http://www.corpuschristibismarck.com/,9,0,0,False,https://catholicindex.org/mass-times/bismarck-north-dakota,2026-02-22T06:46:42.940887+00:00
us-nd-bismarck-pro-cathedral-of-st-mary-33a6df77,Pro-Cathedral of St. Mary,825 E Broadway Ave,Bismarck,North Dakota,46.80662551,-100.77978861,(701) 223-5562,http://stmarysbismarck.org,10,0,0,False,https://catholicindex.org/mass-times/bismarck-north-dakota,2026-02-22T06:46:42.940887+00:00
us-nd-bismarck-saint-anne-4bbd2a4a,St. Anne,1321 Braman Ave,Bismarck,North Dakota,46.81973052,-100.7712759,(701) 223-1549,http://www.stannesbismarck.com/,12,0,0,False,https://catholicindex.org/mass-times/bismarck-north-dakota,2026-02-22T06:46:42.940887+00:00
us-nd-bismarck-university-of-mary-ministry-95212290,University of Mary Ministry,7500 University Dr,Bismarck,North Dakota,46.72188785,-100.75357112,(701) 355-8295,http://25livepub.collegenet.com/calendars/university-ministry-programming-calendar-religious-services,14,0,0,False,https://catholicindex.org/mass-times/bismarck-north-dakota,2026-02-22T06:46:42.940887+00:00
us-nd-bottineau-st-mark-26c12087,St. Mark,322 Sinclair St,Bottineau,North Dakota,48.82870655,-100.44786484,(701) 871-8576,http://www.stmark-standrew.org,5,0,0,False,https://catholicindex.org/mass-times/bottineau-north-dakota,2026-02-22T06:46:45.902841+00:00
us-nd-bowbells-st-joseph-f5888ca7,St. Joseph,102 3rd St NW,Bowbells,North Dakota,48.80523507,-102.24469825,(701) 385-4311 ,http://bismarckdiocese.com/parishfinder,1,0,0,False,https://catholicindex.org/mass-times/bowbells-north-dakota,2026-02-22T06:46:47.588537+00:00
us-nd-bowman-st-charles-98635098,St. Charles,204 1st Ave SW,Bowman,North Dakota,46.17971937,-103.39688584,(701) 523-5292 ,http://stcharlesbowmannd.com,5,0,0,False,https://catholicindex.org/mass-times/bowman-north-dakota,2026-02-22T06:46:50.460850+00:00
