slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-oh-ada-our-lady-of-lourdes-7728ad72,Our Lady of Lourdes,300 E Highland Ave,Ada,Ohio,40.77245252,-83.81983261,(419) 675-1162,https://lourdesada.org,10,0,0,False,https://catholicindex.org/mass-times/ada-ohio,2026-02-21T08:07:27.291399+00:00
us-oh-adena-st-casimir-9717ff0b,St. Casimir,221 Hanna Ave,Adena,Ohio,40.21598789,-80.87669187,(740) 546-3463,http://www.facebook.com/people/St-Casimir-Parish-Adena/61576951590675/,0,0,0,False,https://catholicindex.org/mass-times/adena-ohio,2026-02-21T08:07:33.461355+00:00
us-mi-adrian-holy-family-parish-st-mary-campus-bf327368,Holy Family Parish (St. Mary Campus),305 N Division St,Adrian,Michigan,41.89492,-84.03351,517-263-4681,http://www.holyfamilyadrian.org,7,0,0,False,https://catholicindex.org/mass-times/fayette-ohio,2026-02-21T08:14:57.185093+00:00
us-mi-adrian-holy-family-parish-st-mary-campus-7455f6dc,Holy Family Parish St. Mary Campus,305 Division St,Adrian,MI,41.8949127,-84.0334803,+1-517-263-4681,https://holyfamilyadrian.org/,5,0,0,False,https://catholicindex.org/mass-times/fayette-ohio,2026-02-21T08:14:57.185093+00:00
us-mi-adrian-holy-family-parish-st-joseph-75ec773e,St. Joseph,305 Division St,Adrian,Michigan,41.89964009,-84.02636055,517-263-4681,http://www.holyfamilyadrian.org,3,0,0,False,https://catholicindex.org/mass-times/fayette-ohio,2026-02-21T08:14:57.185093+00:00
us-oh-akron-holy-ghost-ukrainian-61d2478f,Holy Ghost (Ukrainian),1866 Brown St,Akron,Ohio,41.03078638,-81.51092192,(330) 724-8277,http://www.hgucc.org/,2,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
us-oh-akron-immaculate-conception-9bd24e78,Immaculate Conception,2101 17th St SW,Akron,Ohio,41.04659159,-81.56088163,(330) 753-8429,https://www.ickenmore.org,0,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
us-oh-akron-nativity-of-the-lord-jesus-ce4c296f,Nativity of the Lord Jesus,2425 Myersville Rd,Akron,Ohio,40.99740902,-81.4357731,(330) 699-5086,https://www.nativityofthelord.org,32,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
us-oh-akron-st-matthew-parish-6c888320,St Matthew Parish,2603 Benton Ave,Akron,OH,41.0533451,-81.436282,+1-330-733-9944,https://www.stmatthewparish.net/,17,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
us-oh-akron-st-anthony-of-padua-fa9bb01e,St. Anthony of Padua,83 Mosser Pl,Akron,Ohio,41.09883357,-81.51238503,(330) 762-7277,http://stanthonyakron.org/,5,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
us-oh-akron-st-bernard-parish-25d54f5a,St. Bernard,44 University Ave,Akron,Ohio,41.07843339,-81.51857878,330-253-5161,http://stbernardakron.org/,6,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
us-oh-akron-st-francis-de-sales-cc5510b2,St. Francis de Sales,4019 Manchester Rd,Akron,Ohio,40.99323131,-81.55752394,(330) 644-2225,https://www.stfparish.com,11,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
us-oh-akron-st-john-the-baptist-63a76968,St. John the Baptist,1044 Brown St,Akron,Ohio,41.05333744,-81.510214,330-535-4502,http://www.sjbakron.org/,3,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
us-oh-akron-st-joseph-melkite-a4ed06dd,St. Joseph  (Melkite),927 N Portage Path,Akron,Ohio,41.086772,-81.539453,(330) 400-4882,https://www.facebook.com/StJosephAkron/,0,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
us-oh-akron-blessed-trinity-ba53dc2f,St. Martha,300 E Tallmadge Ave,Akron,Ohio,41.10172977,-81.50405691,330-376-5144,http://www.blessedtrinityakron.org/,7,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
us-oh-akron-st-mary-9cf7e20c,St. Mary,750 S Main St,Akron,Ohio,41.06635569,-81.52710875,(330) 253-5161,http://www.stmaryakron.com/,6,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
us-oh-akron-st-matthew-8a4ba59a,St. Matthew,2580 Benton Ave,Akron,Ohio,41.05339509,-81.43726468,(330) 733-9944,http://www.stmatthewparish.net/,9,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
us-oh-akron-st-paul-bbd17150,St. Paul,1580 Brown St,Akron,Ohio,41.03797547,-81.51102947,(330) 724-1263,http://www.stpaulparishakron.org/,9,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
us-oh-akron-st-sebastian-parish-6aaced0c,St. Sebastian,476 Mull Ave,Akron,Ohio,41.09924079,-81.56634517,(330) 836-2233,https://www.stsebastian.org/,10,0,0,False,https://catholicindex.org/mass-times/akron-ohio,2026-02-21T08:07:34.952186+00:00
