slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-ok-ada-st-joseph-b4a10046,St. Joseph,1300 E Beverly St,Ada,Oklahoma,34.78388723,-96.65968602,(580) 332-4811,http://www.stjosephada.com/,5,0,0,False,https://catholicindex.org/mass-times/ada-oklahoma,2026-02-21T23:46:05.114593+00:00
us-ok-altus-prince-of-peace-70a66771,Prince of Peace,1500 Falcon Rd,Altus,Oklahoma,34.6516608,-99.31255291,(580) 482-3363,http://www.princeofpeacealtus.org/,3,0,0,False,https://catholicindex.org/mass-times/altus-oklahoma,2026-02-21T23:46:24.523215+00:00
us-ok-alva-sacred-heart-75fb1d86,Sacred Heart,627 12th St,Alva,Oklahoma,36.80194224,-98.67681638,(580) 327-0339,http://www.sacredheartalva.org/,9,0,0,False,https://catholicindex.org/mass-times/alva-oklahoma,2026-02-21T23:46:27.521368+00:00
us-ok-anadarko-st-patrick-aed8b193,St. Patrick,1101 W Petree Rd,Anadarko,Oklahoma,35.05863167,-98.25958735,(405) 247-5255,http://www.stpatrickanadarko.org/,5,0,0,False,https://catholicindex.org/mass-times/anadarko-oklahoma,2026-02-21T23:46:33.474324+00:00
us-ok-anadarko-church-of-st-patrick-4cc4a854,St. Patrick,1115 W Petree Rd,Anadarko,Oklahoma,35.0573125,-98.2519375,14052475255,$undefined,0,0,0,False,https://catholicindex.org/mass-times/anadarko-oklahoma,2026-02-21T23:46:33.474324+00:00
us-ok-antlers-st-agnes-8ac5f4bb,St. Agnes,501 E Main St,Antlers,Oklahoma,34.23193433,-95.61536593,580.298.5204 (Parish Center),http://oksoutheastcatholic.com/st-agnes,2,0,0,False,https://catholicindex.org/mass-times/antlers-oklahoma,2026-02-21T23:46:35.120202+00:00
us-ok-apache-mother-of-sorrows-7add64e8,Mother of Sorrows,521 E Wallace Ave,Apache,Oklahoma,34.8958147,-98.36018939,(580) 492-5914,http://www.triparishok.org/,2,0,0,False,https://catholicindex.org/mass-times/anadarko-oklahoma,2026-02-21T23:46:33.474324+00:00
us-ok-ardmore-st-mary-add1620f,St. Mary,101 E Street SW,Ardmore,Oklahoma,34.17238609,-97.13504082,(580) 223-0231,http://25269.sites.ecatholic.com,6,0,0,False,https://catholicindex.org/mass-times/ardmore-oklahoma,2026-02-21T23:46:40.954379+00:00
us-ks-arkansas-city-sacred-heart-612b6ca3,Sacred Heart,320 S B Street,Arkansas City,Kansas,37.05970017,-97.03617831,(620) 442-0566,http://www.sacredheartarkcity.org/,9,0,0,False,https://catholicindex.org/mass-times/blackwell-oklahoma,2026-02-21T23:47:14.125290+00:00
us-ok-atoka-st-patrick-27d49e04,St. Patrick,2103 S Mississippi Ave (US Hwy 69/75),Atoka,Oklahoma,34.36204049,-96.14464074,(580) 924-1989,http://stwilliamdurant.com/,2,0,0,False,https://catholicindex.org/mass-times/atoka-oklahoma,2026-02-21T23:46:47.031248+00:00
us-ar-barling-sacred-heart-of-mary-5edb3f3e,Sacred Heart of Mary,1301 Frank St,Barling,Arkansas,35.32333285,-94.31064955,(479) 452-1795 or (479) 522-4245 (Fr. Tuyen),http://www.shmbarling.org/,11,0,0,False,https://catholicindex.org/mass-times/roland-oklahoma,2026-02-21T23:57:23.533198+00:00
us-ok-barnsdall-st-mary-781c7438,St. Mary,204-298 W Chestnut Ave,Barnsdall,Oklahoma,36.5577206,-96.15897801,(918) 287-1414,http://pawhuskaiccc.org/,1,0,0,False,https://catholicindex.org/mass-times/barnsdall-oklahoma,2026-02-21T23:46:53.023452+00:00
us-ok-bartlesville-holy-cross-chapel-0f71f8c4,Holy Cross Chapel,715 S Johnstone Ave,Bartlesville,Oklahoma,36.75245497,-95.93861008,9186053550,http://healthcare.ascension.org/locations/oklahoma/oktul/bartlesville-ascension-st-john-jane-phillips-medical-center/patients-and-visitors/campus-amenities,0,0,0,False,https://catholicindex.org/mass-times/barnsdall-oklahoma,2026-02-21T23:46:53.023452+00:00
us-ok-bartlesville-st-james-f9f2a809,St. James,5500 Douglas Ln,Bartlesville,Oklahoma,36.73384539,-95.91578148,(918) 335-0844,http://www.saintjamescatholicparish.org/,9,0,0,False,https://catholicindex.org/mass-times/barnsdall-oklahoma,2026-02-21T23:46:53.023452+00:00
us-ok-bartlesville-st-john-before-the-latin-gate-dc4aa87a,St. John Before the Latin Gate Catholic Church,715 S Johnstone Ave,Bartlesville,Oklahoma,36.7460284,-95.97894434,(918) 336-4353,https://www.stjohn-bartlesville.org,8,0,0,False,https://catholicindex.org/mass-times/barnsdall-oklahoma,2026-02-21T23:46:53.023452+00:00
us-ks-baxter-springs-st-joseph-b12f6124,St. Joseph,324 E 12th St,Baxter Springs,Kansas,37.02419272,-94.73202825,(620) 429-2639,http://catholicdioceseofwichita.org/parishes/,0,0,0,False,https://catholicindex.org/mass-times/miami-oklahoma,2026-02-21T23:54:49.031767+00:00
us-ok-beaver-st-frances-cabrini-2f9c3d23,St. Frances Cabrini,701 Ave C,Beaver,Oklahoma,36.81096547,-100.51859297,(806) 340-0012,http://www.panhandlecatholic.org/,0,0,0,False,https://catholicindex.org/mass-times/beaver-oklahoma,2026-02-21T23:46:57.658189+00:00
us-ok-billings-sacred-heart-958eb2f9,Sacred Heart,Broadway St and W Lowe St,Billings,Oklahoma,36.52973976,-97.44503074,(580) 336-9300,http://www.stroseperry.com/sacred-heart-parish.html,0,0,0,False,https://catholicindex.org/mass-times/billings-oklahoma,2026-02-21T23:47:08.108392+00:00
us-ok-billings-sacred-heart-catholic-church-1394531b,Sacred Heart Catholic Church,Broadway and Lowe,Billings,OK,36.529708,-97.4451755,+1-580-336-9300,http://www.stroseperry.com/sacred-heart-parish.html,0,0,0,False,https://catholicindex.org/mass-times/billings-oklahoma,2026-02-21T23:47:08.108392+00:00
us-ok-binger-our-lady-of-the-rosary-ebcdfa10,Our Lady of the Rosary,707 W Hwy 152,Binger,Oklahoma,35.30819807,-98.3508352,(405) 247-5255,$undefined,0,0,0,False,https://catholicindex.org/mass-times/anadarko-oklahoma,2026-02-21T23:46:33.474324+00:00
us-ok-bixby-st-clement-of-rome-1094aa6b,St. Clement,15501 S Memorial Dr,Bixby,Oklahoma,35.93712939,-95.88545309,(918) 366-3166,http://www.stcbixby.org/,10,0,0,False,https://catholicindex.org/mass-times/bixby-oklahoma,2026-02-21T23:47:12.757506+00:00
us-ok-blackwell-st-joseph-9d602955,St. Joseph,315 W Blackwell Ave,Blackwell,Oklahoma,36.80342228,-97.28640395,(580) 363-2096,$undefined,0,0,0,False,https://catholicindex.org/mass-times/billings-oklahoma,2026-02-21T23:47:08.108392+00:00
us-ok-boise-city-good-shepherd-70a59534,Good Shepherd,200 S Ellis St,Boise City,Oklahoma,36.72774901,-102.51795333,(806) 340-0012,http://www.stpetersguymon.com,0,0,0,False,https://catholicindex.org/mass-times/boise-city-oklahoma,2026-02-21T23:47:23.153932+00:00
us-tx-booker-st-peter-mission-c37d292b,St. Peter,505 W Mitchell Rd,Booker,Texas,36.44937941,-100.54192137,(806) 435-3802,http://immaculateconceptionperrytontx.com/,1,0,0,False,https://catholicindex.org/mass-times/beaver-oklahoma,2026-02-21T23:46:57.658189+00:00
us-ok-boswell-st-jude-5a17a8d0,St Jude,70 E 11th St,Boswell,Oklahoma,34.02785752,-95.86233785,(580) 326-7300,http://oksoutheastcatholic.com/st-jude,2,0,0,False,https://catholicindex.org/mass-times/antlers-oklahoma,2026-02-21T23:46:35.120202+00:00
us-ok-bristow-st-joseph-0ef87f7e,St. Joseph,302 N Elm St,Bristow,Oklahoma,35.83500995,-96.39351973,(918) 446-8124,http://www.dioceseoftulsa.org/parishfinder,2,0,0,False,https://catholicindex.org/mass-times/bristow-oklahoma,2026-02-21T23:47:38.093521+00:00
us-ok-broken-arrow-church-of-saint-benedict-5e28f8cf,Church of Saint Benedict,2200 W Ithica St,Broken Arrow,OK,36.0206031,-95.8163207,+1-918-455-4451,https://www.saintben.com/,11,0,0,False,https://catholicindex.org/mass-times/bixby-oklahoma,2026-02-21T23:47:12.757506+00:00
us-ok-broken-arrow-st-anne-3d21e5a2,St. Anne,301 S 9th St,Broken Arrow,Oklahoma,36.0498631,-95.77900164,(918) 251-4000,http://stanneba.org/,11,0,0,False,https://catholicindex.org/mass-times/bixby-oklahoma,2026-02-21T23:47:12.757506+00:00
us-ok-broken-arrow-st-benedict-6177cb28,St. Benedict,2200 W Ithica St,Broken Arrow,Oklahoma,36.02056128,-95.81636177,(918) 455-4451,https://www.saintben.com,26,0,0,False,https://catholicindex.org/mass-times/bixby-oklahoma,2026-02-21T23:47:12.757506+00:00
us-ok-buffalo-st-joseph-17df055e,St. Joseph,324 SW 2nd St,Buffalo,Oklahoma,36.83260425,-99.6319182,(580) 256-5305,http://stpeternwok.org/st-joseph-buffalo,2,0,0,False,https://catholicindex.org/mass-times/buffalo-oklahoma,2026-02-21T23:47:44.149151+00:00
us-tx-burkburnett-st-jude-thaddeus-d621e1ae,St. Jude Thaddeus,600 Davey Dr,Burkburnett,Texas,34.08504804,-98.56848994,(940) 569-1222,http://www.stjudeburkburnett.org/,6,0,0,False,https://catholicindex.org/mass-times/walters-oklahoma,2026-02-21T23:59:44.616787+00:00
us-ks-caldwell-st-martin-of-tours-8d2c106f,St. Martin of Tours,430 N Main,Caldwell,Kansas,37.03807142,-97.60659443,(620) 8456733,http://stmartincaldwell.org/,0,0,0,False,https://catholicindex.org/mass-times/blackwell-oklahoma,2026-02-21T23:47:14.125290+00:00
us-ok-calumet-immaculate-heart-of-mary-da871720,Immaculate Heart of Mary,239 N Freehome Ave,Calumet,Oklahoma,35.60080191,-98.12149685,(405) 263-7930,https://www.holytrinityok.org/,7,0,0,False,https://catholicindex.org/mass-times/binger-oklahoma,2026-02-21T23:47:09.640686+00:00
us-ks-caney-sacred-heart-aa253c1a,Sacred Heart,301 N Hooker,Caney,Kansas,37.01431291,-95.93097401,(620) 647-3577,http://wichitadio.solutiosoftware.com/parishes-directory/parish-listing-1/23456-caney-sacred-heart,3,0,0,False,https://catholicindex.org/mass-times/bartlesville-oklahoma,2026-02-21T23:46:54.585033+00:00
us-ok-carnegie-st-richard-05eee2df,St. Richard,427 S Highland St,Carnegie,Oklahoma,35.1009675,-98.60389062,(405) 247-5255,$undefined,0,0,0,False,https://catholicindex.org/mass-times/anadarko-oklahoma,2026-02-21T23:46:33.474324+00:00
us-ok-chandler-our-lady-of-sorrows-85fa260a,Our Lady of Sorrows,409 S Price Ave,Chandler,Oklahoma,35.70647243,-96.88483918,(405) 258-1239,http://www.ourladyofsorrowschandler.org/,1,0,0,False,https://catholicindex.org/mass-times/chandler-oklahoma,2026-02-21T23:48:30.605502+00:00
us-ok-cherokee-st-cornelius-d1b4b551,St. Cornelius,404 S Massachusetts Ave,Cherokee,Oklahoma,36.7545418,-98.35287204,(580) 327-0339,https://www.sacredheartalva.org/contact-us-directions,4,0,0,False,https://catholicindex.org/mass-times/alva-oklahoma,2026-02-21T23:46:27.521368+00:00
us-ok-chickasha-holy-name-of-jesus-121286d1,Holy Name of Jesus,210 S 7th St,Chickasha,Oklahoma,35.04968616,-97.94169528,(405) 224-6068,http://holynamechickasha.org/,8,0,0,False,https://catholicindex.org/mass-times/anadarko-oklahoma,2026-02-21T23:46:33.474324+00:00
us-ok-claremore-st-cecilia-764d0b35,St. Cecilia,1304 N Dorothy Ave,Claremore,Oklahoma,36.3197522,-95.59781329,(918) 341-2343,http://stceciliaclaremore.com/,19,0,0,False,https://catholicindex.org/mass-times/broken-arrow-oklahoma,2026-02-21T23:47:39.712310+00:00
us-tx-clarksville-st-joseph-da4737d7,St. Joseph,500 E Broadway,Clarksville,Texas,33.61194621,-95.0464274,(903) 427-5044,http://www.facebook.com/p/St-Joseph-Catholic-Church-Clarksville-TX-100064906833250/,0,0,0,False,https://catholicindex.org/mass-times/idabel-oklahoma,2026-02-21T23:52:44.173275+00:00
us-ok-clayton-church-of-the-holy-trinity-ac2bd413,Holy Trinity,271,Clayton,Oklahoma,34.5653125,-95.3288125,19185694767,https://www.facebook.com/p/Trinity-Clayton-100064482408581/,0,0,0,False,https://catholicindex.org/mass-times/clayton-oklahoma,2026-02-21T23:48:48.560230+00:00
us-ok-cleveland-st-joseph-c60de288,St. Joseph,205 S C Ave,Cleveland,Oklahoma,36.30692479,-96.46751865,(918) 358-2333,https://dioceseoftulsa.org/parishfinder,1,0,0,False,https://catholicindex.org/mass-times/barnsdall-oklahoma,2026-02-21T23:46:53.023452+00:00
us-ok-clinton-st-mary-7ea92826,St. Mary,1218 Knox Ave,Clinton,Oklahoma,35.50749903,-98.97528198,(580) 323-0345,https://www.stmarysclintonok.org,9,0,0,False,https://catholicindex.org/mass-times/clinton-oklahoma,2026-02-21T23:48:53.129469+00:00
us-ks-coffeyville-holy-name-c98b4647,Holy Name,408 Willow St,Coffeyville,Kansas,37.03958304,-95.62093279,(620) 251-0475,http://www.holynamecoffeyville.org/,11,0,0,False,https://catholicindex.org/mass-times/dewey-oklahoma,2026-02-21T23:49:48.640829+00:00
us-ok-collinsville-st-therese-6863d5fb,St. Therese,1007 N 19th St,Collinsville,Oklahoma,36.37467065,-95.84691743,(918) 371-2704,http://www.stthereseok.org/,7,0,0,False,https://catholicindex.org/mass-times/barnsdall-oklahoma,2026-02-21T23:46:53.023452+00:00
us-ks-columbus-st-rose-of-lima-3c9be86b,St Rose of Lima,115 W Walnut St,Columbus,Kansas,37.17216082,-94.84353895,(620) 429-2639,http://wichitadio.solutiosoftware.com/parishes-directory/parish-listing-1/23334-columbus-st-rose-of-lima,3,0,0,False,https://catholicindex.org/mass-times/miami-oklahoma,2026-02-21T23:54:49.031767+00:00
us-ok-cookson-st-john-the-evangelist-catholic-church-8aa3c55b,St. John The Evangelist Catholic Church,32066-32082 OK-100,Cookson,OK,35.7092695,-94.9178728,+1-918-775-6217,https://www.facebook.com/p/Saint-John-the-Evangelist-Catholic-Church-Cookson-OK-100064970700392/,0,0,0,False,https://catholicindex.org/mass-times/cookson-oklahoma,2026-02-21T23:49:09.609333+00:00
us-ok-cookson-st-john-the-evangelist-bc8474cf,St. John the Evangelist,32136 Hwy 82,Cookson,Oklahoma,35.70929218,-94.91787697,(918) 775-6217,http://www.dioceseoftulsa.org/parishfinder,2,0,0,False,https://catholicindex.org/mass-times/cookson-oklahoma,2026-02-21T23:49:09.609333+00:00
us-ok-cordell-st-anne-bebd5242,St. Ann,522 E 3rd St,Cordell,Oklahoma,35.29435255,-98.98426426,(580) 323-0345,http://stmarysclintonok.org/,2,0,0,False,https://catholicindex.org/mass-times/clinton-oklahoma,2026-02-21T23:48:53.129469+00:00
us-ok-coweta-st-vincent-de-paul-c1fc13b7,St. Vincent de Paul,15842 S 297th E Ave,Coweta,Oklahoma,35.93331666,-95.6466806,(918) 486-4757,https://www.stvincentdepaul-coweta.org/,2,0,0,False,https://catholicindex.org/mass-times/bixby-oklahoma,2026-02-21T23:47:12.757506+00:00
us-ok-crescent-st-margaret-mary-6b430bbe,St. Margaret Mary,700 N Grand,Crescent,Oklahoma,35.95996853,-97.59495461,(405) 282-4239,http://stmaryguthrie.com,2,0,0,False,https://catholicindex.org/mass-times/crescent-oklahoma,2026-02-21T23:49:24.651813+00:00
us-ok-cushing-sts-peter-and-paul-dcd9006d,Sts. Peter and Paul,405 E Oak,Cushing,Oklahoma,35.98177447,-96.76794863,(918) 225-0644,http://www.dioceseoftulsa.org/parishfinder,4,0,0,False,https://catholicindex.org/mass-times/bristow-oklahoma,2026-02-21T23:47:38.093521+00:00
us-ok-del-city-st-paul-the-apostle-50bf0e4d,St. Paul the Apostle,3901 S Sunnylane Rd,Del City,Oklahoma,35.42630988,-97.4419376,(405) 677-4873,http://stpaulscatholic.org/,7,0,0,False,https://catholicindex.org/mass-times/edmond-oklahoma,2026-02-21T23:50:14.184491+00:00
us-tx-denison-saint-michael-and-all-angels-4e0632bf,St. Michael and All Angels ,101 E Texas St,Denison,Texas,33.745282,-96.535566,(903) 821-7511,http://www.stmichaelsallangels.com/,6,0,0,False,https://catholicindex.org/mass-times/durant-oklahoma,2026-02-21T23:50:05.141309+00:00
