slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-or-adel-church-of-st-richard-7b4c4195,St. Richard,Adel Oregon 97620,Adel,Oregon,42.17625,-119.89875,$undefined,http://www.dioceseofbaker.org/PARISH_PAGES/lakeview.htm,0,0,0,False,https://catholicindex.org/mass-times/adel-oregon,2026-02-22T00:07:31.742961+00:00
us-or-adel-st-richard-ea7aceb9,St. Richard,17570 Twentymile Rd,Adel,Oregon,42.15537082,-119.9144572,541-947-2741,https://dioceseofbaker.org/parishfinder,1,0,0,False,https://catholicindex.org/mass-times/adel-oregon,2026-02-22T00:07:31.742961+00:00
us-or-albany-st-mary-4487e59a,Our Lady of Perpetual Help,815 Broadalbin St SW,Albany,Oregon,44.63120491,-123.10546079,(541) 926-1449,https://www.stmarysalbany.com,11,0,0,False,https://catholicindex.org/mass-times/albany-oregon,2026-02-22T00:07:36.249710+00:00
us-or-aloha-st-andrew-dung-lac-2d61edcf,St. Andrew Dung-Lac,7390 SW Grabhorn Rd,Aloha,Oregon,45.46693306,-122.89097571,503-591-5302,https://anredl.org/,5,0,0,False,https://catholicindex.org/mass-times/banks-oregon,2026-02-22T00:08:03.323809+00:00
us-or-aloha-st-elizabeth-ann-seton-9307a312,St. Elizabeth Ann Seton,3145 SW 192nd,Aloha,Oregon,45.49645257,-122.87581896,(503) 649-9044,http://seas-aloha.org/,11,0,0,False,https://catholicindex.org/mass-times/banks-oregon,2026-02-22T00:08:03.323809+00:00
us-or-arch-cape-st-peter-the-fisherman-323d552b,St. Peter the Fisherman,79441 Hwy 101,Arch Cape,Oregon,45.81242384,-123.96092685,(503)738-6161,http://ourladyofvictoryseaside.org/,2,0,0,False,https://catholicindex.org/mass-times/arch-cape-oregon,2026-02-22T00:07:45.240146+00:00
us-or-arlington-st-francis-6e35c145,St. Francis,Main and Ivy,Arlington,Oregon,45.7122882,-120.20088332,(541) 384-5271,http://dioceseofbaker.org/parishfinder,6,0,0,False,https://catholicindex.org/mass-times/arlington-oregon,2026-02-22T00:07:46.741442+00:00
us-or-arock-holy-family-4ec40ac0,Holy Family,3520 Arock Rd,Arock,Oregon,42.91270986,-117.52401888,541-586-2266,http://stbernardsjordanvalley.com/,4,0,0,False,https://catholicindex.org/mass-times/arock-oregon,2026-02-22T00:07:48.377772+00:00
us-or-ashland-our-lady-of-the-mountain-b67fbd4a,Our Lady of the Mountain,987 Hillview Dr,Ashland,Oregon,42.17736276,-122.68427536,(541) 482-1146,https://ourladymt.org,9,0,0,False,https://catholicindex.org/mass-times/ashland-oregon,2026-02-22T00:07:49.726437+00:00
us-or-ashland-walsh-memorial-newman-center-468393c0,Walsh Memorial Newman Center,987 Hillview Dr,Ashland,Oregon,42.1777572,-122.68416585,(541) 708-8503,http://ourladymt.org/the-newman-center,1,0,0,False,https://catholicindex.org/mass-times/ashland-oregon,2026-02-22T00:07:49.726437+00:00
us-or-astoria-st-mary-star-of-the-sea-b00c02df,St. Mary Star of the Sea,1465 Grand Ave,Astoria,Oregon,46.18579213,-123.82787825,(503) 325-3671,http://www.stmaryastoria.com/,6,0,0,False,https://catholicindex.org/mass-times/astoria-oregon,2026-02-22T00:07:52.943495+00:00
us-or-athena-sacred-heart-c86b6ef7,Sacred Heart,5th St and College,Athena,Oregon,45.8157682,-118.48773728,(541) 276-0767,https://dioceseofbaker.org/parishfinder,1,0,0,False,https://catholicindex.org/mass-times/athena-oregon,2026-02-22T00:07:54.142488+00:00
us-or-baker-city-st-francis-de-sales-cathedral-d8f414b9,St Francis De Sales Cathedral,2235 1st St,Baker City,OR,44.7794576,-117.831221,+1-541-523-4521,http://www.saintfranciscathedral.com/,6,0,0,False,https://catholicindex.org/mass-times/baker-city-oregon,2026-02-22T00:08:00.252197+00:00
us-or-baker-city-cathedral-of-st-francis-de-sales-db0ddb04,St. Francis de Sales Cathedral,2235 First St,Baker City,Oregon,44.7794995,-117.83103042,(541) 523-4521,https://www.saintfranciscathedral.com,7,0,0,False,https://catholicindex.org/mass-times/baker-city-oregon,2026-02-22T00:08:00.252197+00:00
us-or-bandon-holy-trinity-b1195207,Holy Trinity,355 Oregon Ave,Bandon,Oregon,43.11823657,-124.41498131,541-329-0697,http://holytrinitybandon.org/,7,0,0,False,https://catholicindex.org/mass-times/bandon-oregon,2026-02-22T00:08:01.755895+00:00
us-or-banks-st-francis-of-assisi-5f1f0e42,St. Francis of Assisi,39135 NW Harrington Rd,Banks,Oregon,45.59563444,-123.07980277,(503) 324-2231,http://sfaroyparish.org/,9,0,0,False,https://catholicindex.org/mass-times/banks-oregon,2026-02-22T00:08:03.323809+00:00
us-wa-battle-ground-sacred-heart-bb3bdec3,Sacred Heart,1603 N Parkway Ave,Battle Ground,Washington,45.7921257,-122.53661346,(360) 687-4515,http://sacredheartbg.org/,6,0,0,False,https://catholicindex.org/mass-times/beaverton-oregon,2026-02-22T00:08:12.377629+00:00
us-wa-battle-ground-sacred-heart-church-db6f16ff,Sacred Heart Church,1603 N Parkway Ave,Battle Ground,WA,45.7927593,-122.535476,+1-360-687-4515,https://sacredheartbg.org/,6,0,0,False,https://catholicindex.org/mass-times/beaverton-oregon,2026-02-22T00:08:12.377629+00:00
us-or-beaverton-holy-trinity-90b038c0,Holy Trinity,13715 SW Walker Rd,Beaverton,Oregon,45.50721086,-122.81751412,(503) 643-9528,https://www.h-t.org/,10,0,0,False,https://catholicindex.org/mass-times/banks-oregon,2026-02-22T00:08:03.323809+00:00
us-or-beaverton-mission-of-st-andrew-dung-lac-46137088,Mission of St. Andrew Dung-Lac,2850 SW Cedar Hills Blvd - Ste 240,Beaverton,Oregon,45.4996875,-122.8056875,15032495892,https://gxlavangoregon.com/,56,0,0,False,https://catholicindex.org/mass-times/banks-oregon,2026-02-22T00:08:03.323809+00:00
us-or-beaverton-mission-of-the-atonement-be61174e,Mission of the Atonement,7400 SW Schools Ferry Rd,Beaverton,Oregon,45.4664375,-122.7763125,15036461344,https://www.satigard.org/,34,0,0,False,https://catholicindex.org/mass-times/banks-oregon,2026-02-22T00:08:03.323809+00:00
us-or-beaverton-st-cecilia-2445a954,St. Cecilia,5105 SW Franklin,Beaverton,Oregon,45.48292145,-122.80235637,(503) 644-2619,https://www.stceciliachurch.org,12,0,0,False,https://catholicindex.org/mass-times/banks-oregon,2026-02-22T00:08:03.323809+00:00
