slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-pa-abbottstown-immaculate-heart-of-mary-b2541216,Immaculate Heart of Mary,6084 W Canal Rd,Abbottstown,Pennsylvania,39.90365665,-76.96848136,(717) 259-0611,http://www.ihmparadise.org/,8,0,0,False,https://catholicindex.org/mass-times/abbottstown-pennsylvania,2026-02-22T00:23:49.897811+00:00
us-md-aberdeen-st-joan-of-arc-f274c932,St. Joan of Arc,222 S Law St,Aberdeen,Maryland,39.50771706,-76.1706066,(410) 272-4535,http://sjaparish.org/,8,0,0,False,https://catholicindex.org/mass-times/oxford-pennsylvania,2026-02-22T00:54:17.923871+00:00
us-pa-abington-our-lady-help-of-christians-08eca420,Our Lady Help of Christians,1500 Marian Rd,Abington,Pennsylvania,40.12602334,-75.11449353,(215) 886-3456,www.olhc-parish.org/,0,0,0,False,https://catholicindex.org/mass-times/abington-pennsylvania,2026-02-22T00:23:51.813805+00:00
us-ny-addison-st-catherine-of-siena-9f40da30,St. Catherine of Siena,51 Maple St,Addison,New York,42.11032244,-77.22602009,(607) 359-2115,http://www.simtparish.org/,3,0,0,False,https://catholicindex.org/mass-times/elkland-pennsylvania,2026-02-22T00:35:37.977859+00:00
us-oh-adena-st-casimir-9717ff0b,St. Casimir,221 Hanna Ave,Adena,Ohio,40.21598789,-80.87669187,(740) 546-3463,http://www.facebook.com/people/St-Casimir-Parish-Adena/61576951590675/,0,0,0,False,https://catholicindex.org/mass-times/avella-pennsylvania,2026-02-22T00:25:31.630137+00:00
us-ny-afton-st-agnes-84919474,Mission of St. Agnes,14 Spring St,Afton,New York,42.22879786,-75.52695113,(607) 967-4481,$undefined,0,0,0,False,https://catholicindex.org/mass-times/great-bend-pennsylvania,2026-02-22T00:39:39.387894+00:00
us-pa-albion-st-lawrence-the-martyr-ec52e62e,St. Lawrence the Martyr,180 E State St,Albion,Pennsylvania,41.89119171,-80.36011919,(814) 756-3623,http://www.stlawrencealbion.org,7,0,0,False,https://catholicindex.org/mass-times/albion-pennsylvania,2026-02-22T00:24:11.005486+00:00
us-ny-alfred-st-jude-00790ce6,St. Jude,1154 Lower College Dr,Alfred,New York,42.25585763,-77.79317574,585-593-4834,http://www.icc-ics.com,2,0,0,False,https://catholicindex.org/mass-times/genesee-pennsylvania,2026-02-22T00:38:30.417865+00:00
us-ny-alfred-church-of-sts-brendan-and-jude-9cbb6044,Sts. Brendan and Jude,Lower College Dr,Alfred,New York,42.3149375,-77.7424375,$undefined,https://icc-ics.com/st-brendan-and-judes-parish/,2,0,0,False,https://catholicindex.org/mass-times/genesee-pennsylvania,2026-02-22T00:38:30.417865+00:00
us-pa-aliquippa-church-of-our-lady-of-fatima-d1525a9e,Our Lady of Fatima,2270 Brodhead Rd,Aliquippa,Pennsylvania,40.5849375,-80.2578125,17243757626,https://maryqueenofsaints.org/,4,0,0,False,https://catholicindex.org/mass-times/aliquippa-pennsylvania,2026-02-22T00:24:18.573599+00:00
us-pa-aliquippa-our-lady-of-fatima-mary-queen-of-saint-parish-3dd214e9,"Our Lady of Fatima- Mary, Queen of St. Parish",2270 Brodhead Rd,Aliquippa,Pennsylvania,40.5848421,-80.25869455,(724) 775-6363,https://maryqueenofsaints.org/,4,0,0,False,https://catholicindex.org/mass-times/aliquippa-pennsylvania,2026-02-22T00:24:18.573599+00:00
us-pa-aliquippa-ss-peter-paul-ukrainian-9998cbdd,Ss. Peter & Paul (Ukrainian),2001 Main St,Aliquippa,Pennsylvania,40.60504339,-80.27548052,+17242662262,http://sspeter-paul.com/,3,0,0,False,https://catholicindex.org/mass-times/aliquippa-pennsylvania,2026-02-22T00:24:18.573599+00:00
us-pa-aliquippa-st-titus-mary-queen-of-saints-parish-feed5bd0,"St Titus Church - Mary, Queen of Saints Parish",952 Franklin Ave,Aliquippa,Pennsylvania,40.61285424,-80.25572344,(724) 378-8561,http://www.maryqueenofsaints.org,3,0,0,False,https://catholicindex.org/mass-times/aliquippa-pennsylvania,2026-02-22T00:24:18.573599+00:00
us-pa-aliquippa-st-frances-cabrini-mary-queen-of-saints-parish-7fe0c59f,St. Frances Cabrini,115 Trinity Dr,Aliquippa,Pennsylvania,40.6468019,-80.29434023,(724) 775-6363,http://www.maryqueenofsaints.org,5,0,0,False,https://catholicindex.org/mass-times/aliquippa-pennsylvania,2026-02-22T00:24:18.573599+00:00
us-pa-aliquippa-st-george-ruthenian-4c0ae9ec,St. George (Ruthenian),1001 Clinton St,Aliquippa,Pennsylvania,40.6057942,-80.25783081,(724) 375-2742,https://www.stgeorgebyzantinecatholicchurch.org/aliquippa/,2,0,0,False,https://catholicindex.org/mass-times/aliquippa-pennsylvania,2026-02-22T00:24:18.573599+00:00
us-ny-allegany-st-bonaventure-em-catholic-50a0dece,St. Bonaventure,95 E Main St,Allegany,New York,42.08769751,-78.48991083,(716) 372-4841,http://www.emcatholic.org/,4,0,0,False,https://catholicindex.org/mass-times/bradford-pennsylvania,2026-02-22T00:27:49.891106+00:00
us-pa-allentown-cathedral-of-st-catharine-of-siena-7b79fc1d,Cathedral of St. Catherine of Siena,200 Block of N 18th St,Allentown,Pennsylvania,40.59888744,-75.49596593,610-433-6461,https://www.cathedral-church.org,23,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-pa-allentown-immaculate-conception-bvm-d4cceacf,Immaculate Conception BVM,501 Ridge Ave,Allentown,Pennsylvania,40.61319062,-75.46117248,(610) 433-4404,http://immaculateconceptionallentown.org/,19,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-pa-allentown-newman-center-at-muhlenberg-college-12bc3edd,Newman Center at Muhlenberg College,2339 Liberty St,Allentown,Pennsylvania,40.59972968,-75.50973021,610-866-0581,https://www.muhlenberg.edu/,0,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-pa-allentown-our-lady-help-of-christians-3051069e,Our Lady Help of Christians,444 N Jasper St,Allentown,Pennsylvania,40.61727157,-75.43978602,610-432-9384,https://www.allentowndiocese.org/find-parish,10,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-pa-allentown-sacred-heart-729e74af,Sacred Heart of Jesus,336 N 4th St,Allentown,Pennsylvania,40.60854444,-75.46779344,(610) 434-5171,http://www.sacredheartofallentown.com,13,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-pa-allentown-shrine-of-our-lady-of-guadalupe-bb1310d6,Shrine of Our Lady of Guadalupe,501 Ridge Ave,Allentown,Pennsylvania,40.6133048,-75.46127224,(610) 433-4404,http://immaculateconceptionallentown.org/about.html,19,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-pa-allentown-st-francis-of-assisi-89f30c85,St. Francis of Assisi,1046 W Cedar St,Allentown,Pennsylvania,40.61201674,-75.48525166,(610) 433-6102,http://www.stfrancisallentown.org/,11,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-pa-allentown-saints-joachim-and-anne-church-maronite-09b92b7f,St. Joachim and Anne Maronite Mission,1065 Fullerton Ave Allentown,Allentown,Pennsylvania,40.62120758,-75.46348982,845-689-4468,http://stjoachimandanne.com/,0,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-nj-allentown-st-john-the-baptist-00e08759,St. John the Baptist,1282 Yardville-Allentown Rd,Allentown,New Jersey,40.17463109,-74.59907852,(609) 259-3391,www.StJohnRomanCatholic.org,0,0,0,False,https://catholicindex.org/mass-times/bristol-pennsylvania,2026-02-22T00:28:09.885669+00:00
us-pa-allentown-saint-john-the-baptist-7655edd5,St. John the Baptist ,924 N Front St,Allentown,Pennsylvania,40.61865251,-75.46173834,(610) 432-0034,http://www.stjohnromancatholic.org/sjrc/,12,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-pa-allentown-st-michael-byzantine-church-9a1af0dc,St. Michael Byzantine Church,156 Green St,Allentown,Pennsylvania,40.61613087,-75.46288073,(610) 432-6773,https://byzcath.org/allentown,2,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-pa-allentown-st-paul-6af3acb7,St. Paul,920 S Second St,Allentown,Pennsylvania,40.59068887,-75.45610976,(610) 797-9733,http://www.stpaulrc.com/,12,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-pa-allentown-st-stephen-of-hungary-oratory-d4fe44fa,St. Stephen of Hungary Oratory,510 W Union St,Allentown,Pennsylvania,40.60028415,-75.46664711,(610) 439-0111,http://www.lehighvalleylatinmass.org/,19,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-pa-allentown-st-thomas-more-1f6f6362,St. Thomas More,1040 Flexer Ave,Allentown,Pennsylvania,40.57640775,-75.51517391,(610) 433-7414,http://www.stmchurchallentown.org/,17,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-pa-allison-park-st-catherine-of-sweden-sts-martha-and-mary-parish-c8ad9156,St. Catherine of Sweden,2554 Wildwood Rd,Allison Park,Pennsylvania,40.59177122,-79.96678708,(412) 486-6001,http://stsmarthaandmaryparish.org,8,0,0,False,https://catholicindex.org/mass-times/aliquippa-pennsylvania,2026-02-22T00:24:18.573599+00:00
us-pa-allison-park-saint-ursula-our-lady-of-perpetual-help-parish-0276cbff,St. Ursula Church - Our Lady of Perpetual Help Parish,3945 Kirk Ave,Allison Park,Pennsylvania,40.56024195,-79.9630039,(412) 486-6700,http://www.olphpgh.org,9,0,0,False,https://catholicindex.org/mass-times/aliquippa-pennsylvania,2026-02-22T00:24:18.573599+00:00
us-nj-alpha-st-mary-f62bf1e8,St. Mary,830 Fifth Ave,Alpha,New Jersey,40.66628486,-75.15474608,(908) 454-0444,http://www.stmaryrc.org/,11,0,0,False,https://catholicindex.org/mass-times/allentown-pennsylvania,2026-02-22T00:24:23.055715+00:00
us-pa-altoona-cathedral-of-the-blessed-sacrament-be1a3d36,Cathedral of the Blessed Sacrament,One Cathedral Square,Altoona,Pennsylvania,40.51601183,-78.40380259,(814) 944-4603,https://www.altoonacathedral.org,19,0,0,False,https://catholicindex.org/mass-times/altoona-pennsylvania,2026-02-22T00:24:30.533665+00:00
us-pa-altoona-our-lady-of-the-assumption-dd597bfe,Chapel of the Assumption,Adams Ave & Hileman St,Altoona,Pennsylvania,40.50293791,-78.38847021,(814) 942-8501,http://mountcarmelaltoona.weebly.com/,6,0,0,False,https://catholicindex.org/mass-times/altoona-pennsylvania,2026-02-22T00:24:30.533665+00:00
us-pa-altoona-holy-rosary-0f363c43,Holy Rosary,900 N 4th St,Altoona,Pennsylvania,40.53794606,-78.38876203,(814) 944-6676,https://www.churchofsaintmarks.org,1,0,0,False,https://catholicindex.org/mass-times/altoona-pennsylvania,2026-02-22T00:24:30.533665+00:00
us-pa-altoona-immaculate-conception-ukrainian-f33d318d,Immaculate Conception (Ukrainian),2020 20th St,Altoona,Pennsylvania,40.51525935,-78.4162463,814-762-9846,http://stjosaphateparchy.com/parishes/,0,0,0,False,https://catholicindex.org/mass-times/altoona-pennsylvania,2026-02-22T00:24:30.533665+00:00
us-pa-altoona-our-lady-of-fatima-dfc7a33a,Our Lady of Fatima,2010 12th Ave,Altoona,Pennsylvania,40.51108671,-78.41136974,(814) 942-0371,http://www.ourladyoffatimaaltoona.org/,0,0,0,False,https://catholicindex.org/mass-times/altoona-pennsylvania,2026-02-22T00:24:30.533665+00:00
