slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-ma-acushnet-st-francis-xavier-09158909,St. Francis Xavier,125 Main St,Acushnet,Massachusetts,41.68325676,-70.90921138,(508) 995-7600,http://www.sfxparish.com/,6,0,0,False,https://catholicindex.org/mass-times/barrington-rhode-island,2026-02-22T07:04:00.406486+00:00
us-ri-albion-st-ambrose-fcb2b273,St. Ambrose,191 School St,Albion,Rhode Island,41.9513253,-71.46134554,(401) 333-1568,http://stambrosechurchri.org/,6,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
us-ri-ashaway-our-lady-of-victory-d72c3a45,Our Lady of Victory,169 Main St,Ashaway,Rhode Island,41.42055727,-71.78944735,(401) 377-8830,http://www.ourladyofvictoryashaway.org/,3,0,0,False,https://catholicindex.org/mass-times/ashaway-rhode-island,2026-02-22T07:03:58.655025+00:00
us-ct-ashford-st-philip-the-apostle-ffb2ef53,St Philip-Apostle Church,64 Pompey Hollow Rd,Ashford,Connecticut,41.86278861,-72.16531789,(860) 429-2860,https://saintphilipct.com/,7,0,0,False,https://catholicindex.org/mass-times/foster-rhode-island,2026-02-22T07:04:25.811877+00:00
us-ma-ashland-st-cecilia-da8ff3ae,St. Cecilia,54 Esty St,Ashland,Massachusetts,42.256779,-71.46376725,(508) 881-1107,http://www.saintceciliaparish.org/,10,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
us-ma-assonet-st-bernard-0948a711,St. Bernard,30 S Main St,Assonet,Massachusetts,41.76522104,-71.10254865,(508) 644-5585,$undefined,12,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
us-ma-assonet-church-of-st-bernard-37c8a427,St. Bernard,32 S Main St,Assonet,Massachusetts,41.7915625,-71.0701875,15086445585,https://www.stbernardassonet.org:443/,5,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
us-ma-attleboro-national-shrine-of-our-lady-of-la-salette-e5451dd7,National Shrine of Our Lady of La Salette,947 Park St,Attleboro,Massachusetts,41.93105638,-71.26256568,(508) 222-5410,http://lasaletteattleboroshrine.org/,9,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
us-ma-attleboro-st-john-the-evangelist-40adb4e9,St. John the Evangelist,One Saint John Pl,Attleboro,Massachusetts,41.94769861,-71.28769073,(508) 222-1206,https://www.AttleboroCatholics.org,10,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
us-ma-attleboro-st-theresa-of-the-child-jesus-c9ee1271,St. Theresa of the Child Jesus,18 Baltic St,Attleboro,Massachusetts,41.90132335,-71.36743096,(508) 761-8111,https://www.fallriverdiocese.org/parish/st-theresa-of-the-child-jesus/,2,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
us-ma-attleboro-church-of-st-vincent-de-paul-77ad8d70,St. Vincent de Paul,71 Linden St,Attleboro,Massachusetts,41.9305625,-71.2971875,15082261115,$undefined,0,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
us-ma-attleboro-falls-st-mark-transfiguration-of-the-lord-parish-310a4a43,St. Mark,105 Stanley St,Attleboro Falls,Massachusetts,41.97355485,-71.30632138,(508) 695-6161,http://www.saintmaryna.com/,4,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
us-ma-auburn-north-american-martyrs-85fda7a9,North American Martyrs,8 Wyoma Dr,Auburn,Massachusetts,42.21602541,-71.82224475,(508) 798-8779,http://www.namartyrsauburn.org,11,0,0,False,https://catholicindex.org/mass-times/chepachet-rhode-island,2026-02-22T07:04:10.734254+00:00
us-ma-auburn-st-joseph-97ba54e1,St. Joseph,194 Oxford St N,Auburn,Massachusetts,42.21402995,-71.84558431,(508) 832-2074,http://stjosephsauburn.com,8,0,0,False,https://catholicindex.org/mass-times/chepachet-rhode-island,2026-02-22T07:04:10.734254+00:00
us-ma-avon-st-michael-51c01676,St. Michael,87 N Main St,Avon,Massachusetts,42.13403527,-71.04035169,(781) 767-0605,http://www.stmichaelavon.org/,6,0,0,False,https://catholicindex.org/mass-times/central-falls-rhode-island,2026-02-22T07:04:07.886560+00:00
us-ct-baltic-st-mary-of-the-immaculate-conception-85204a34,St. Mary of the Immaculate Conception,70 W Main St,Baltic,Connecticut,41.61591534,-72.08871759,(860) 822-6378,http://www.saintannecluster.org/st-marys-of-the-immaculate-conception-home-page,17,0,0,False,https://catholicindex.org/mass-times/ashaway-rhode-island,2026-02-22T07:03:58.655025+00:00
us-ri-barrington-holy-angels-1b380c26,Holy Angels,341 Maple Ave,Barrington,Rhode Island,41.73922503,-71.31933157,(401) 245-7743,http://www.holyangelschurchri.org/,3,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
us-ri-barrington-st-luke-5f0453f6,St. Luke,108 Washington Rd,Barrington,Rhode Island,41.75045938,-71.34013869,(401) 246-1212,http://www.stlukesparish.com/,17,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
us-ma-bellingham-st-blaise-7c447550,St. Blaise,1158 S Main St,Bellingham,Massachusetts,42.08318042,-71.47450744,(508) 966-1258,https://www.saintblaise.org/,11,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
us-ma-bellingham-st-brendan-fc132ae4,St. Brendan,384 Hartford Ave,Bellingham,Massachusetts,42.12552076,-71.45556824,(508) 966-0260,http://www.saintbrendansparish.org,10,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
us-ma-blackstone-divine-mercy-parish-6f340107,Divine Mercy Parish,48 St Paul St,Blackstone,Massachusetts,42.0150231,-71.53839839,(508) 883-6726,https://divinemercyparishma.org,10,0,0,False,https://catholicindex.org/mass-times/albion-rhode-island,2026-02-22T07:03:57.380834+00:00
