slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-sc-abbeville-sacred-heart-42f69c9c,Sacred Heart,206 N Main St,Abbeville,South Carolina,34.17910616,-82.38025216,(864) 366-5150,http://sacredheartabbeville.com/,6,0,0,False,https://catholicindex.org/mass-times/abbeville-south-carolina,2026-02-22T07:03:59.581096+00:00
us-sc-aiken-saint-gerard-43b4dbe5,St. Gerard,640 Edrie St NE,Aiken,South Carolina,33.56762191,-81.70373867,(803) 649-3203,http://www.stgerardinaiken.org/,6,0,0,False,https://catholicindex.org/mass-times/aiken-south-carolina,2026-02-22T07:04:02.526801+00:00
us-sc-aiken-saint-mary-help-of-christians-2e314cb6,St. Mary Help of Christians,138 Fairfield St SE,Aiken,South Carolina,33.55821327,-81.71622304,(803) 649-4777,https://www.stmarys-aiken.org,22,0,0,False,https://catholicindex.org/mass-times/aiken-south-carolina,2026-02-22T07:04:02.526801+00:00
us-sc-aiken-st-mary-help-of-christians-c96277fb,St. Mary Help of Christians,138 Fairfield St SE,Aiken,SC,33.558579,-81.7166512,+1-803-649-4777,https://www.stmarys-aiken.org/,13,0,0,False,https://catholicindex.org/mass-times/aiken-south-carolina,2026-02-22T07:04:02.526801+00:00
us-sc-allendale-mission-of-st-mary-553207b3,Mission of St. Mary,3457 Bluff Rd,Allendale,South Carolina,32.92875,-81.35875,18032597593,$undefined,0,0,0,False,https://catholicindex.org/mass-times/allendale-south-carolina,2026-02-22T07:04:05.556905+00:00
us-sc-allendale-saint-mary-fa4c9832,St. Mary,3457 Bluff Rd,Allendale,South Carolina,33.00628448,-81.31937038,(803) 450-5116,http://directory.charlestondiocese.org/parish/st-mary-mission-3/,2,0,0,False,https://catholicindex.org/mass-times/allendale-south-carolina,2026-02-22T07:04:05.556905+00:00
us-sc-anderson-saint-joseph-8e8c6d02,St. Joseph,1200 Cornelia Rd,Anderson,South Carolina,34.52716945,-82.6322472,(864) 225-5341,http://sjccs.net/,8,0,0,False,https://catholicindex.org/mass-times/anderson-south-carolina,2026-02-22T07:04:07.047916+00:00
us-sc-anderson-saint-mary-of-the-angels-e2633827,St. Mary of the Angels,1821 White St,Anderson,South Carolina,34.48779038,-82.63775047,(864) 226-8621,http://www.sma43.net/,9,0,0,False,https://catholicindex.org/mass-times/anderson-south-carolina,2026-02-22T07:04:07.047916+00:00
us-ga-augusta-most-holy-trinity-499ca408,Most Holy Trinity,720 Telfair St,Augusta,Georgia,33.47157995,-81.96656174,(706) 722-4944,http://www.themostholytrinity.org/,14,0,0,False,https://catholicindex.org/mass-times/aiken-south-carolina,2026-02-22T07:04:02.526801+00:00
us-ga-augusta-st-ignatios-of-antioch-melkite-65b0d54e,St. Ignatios of Antioch (Melkite),1003 Merry St,Augusta,Georgia,33.473508,-82.001426,(706) 364-6219,http://melkitechurch.wixsite.com/st-ignatius-augusta,1,0,0,False,https://catholicindex.org/mass-times/aiken-south-carolina,2026-02-22T07:04:02.526801+00:00
