slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-sd-aberdeen-presentation-college-cb65b140,Presentation College,1500 N 2nd St,Aberdeen,South Dakota,45.48111701,-98.49069698,(605) 225-0420,http://www.presentation.edu/student-life/campus-ministry,0,0,0,False,https://catholicindex.org/mass-times/aberdeen-south-dakota,2026-02-22T07:37:44.866379+00:00
us-sd-aberdeen-sacred-heart-99128567,Sacred Heart,502 2nd Ave SE,Aberdeen,South Dakota,45.46272038,-98.48062563,(605) 225-7065,http://www.sacredheartaberdeen.net/,0,0,0,False,https://catholicindex.org/mass-times/aberdeen-south-dakota,2026-02-22T07:37:44.866379+00:00
us-sd-aberdeen-st-mary-7fb57c09,St. Mary,409 2nd Ave NE,Aberdeen,South Dakota,45.46809365,-98.48175093,(605) 229-4422,http://www.stmarysabr.com/,6,0,0,False,https://catholicindex.org/mass-times/aberdeen-south-dakota,2026-02-22T07:37:44.866379+00:00
us-sd-aberdeen-st-thomas-aquinas-newman-center-d82e3f2a,St. Thomas Aquinas Newman Center,310 15th Ave S.E,Aberdeen,South Dakota,45.44901353,-98.48305436,(605) 229-1011,http://www.nsunewman.com/,0,0,0,False,https://catholicindex.org/mass-times/aberdeen-south-dakota,2026-02-22T07:37:44.866379+00:00
us-ia-akron-st-patricks-0c80a886,St. Patrick,650 Dakota St,Akron,Iowa,42.82803387,-96.55364598,712 722-3011 or 712-568-3292,http://ourladyofguadalupeparish.net/st-patricks-akron,10,0,0,False,https://catholicindex.org/mass-times/beresford-south-dakota,2026-02-22T07:38:19.400299+00:00
us-sd-alexandria-monastery-of-our-mother-of-mercy-and-st-joseph-bb9eb467,Monastery of Our Mother of Mercy and St. Joseph,211 5th St,Alexandria,South Dakota,43.6541875,-97.7848125,16052394382,$undefined,0,0,0,False,https://catholicindex.org/mass-times/alexandria-south-dakota,2026-02-22T07:37:50.858151+00:00
us-sd-alexandria-st-mary-of-mercy-fatima-family-shrine-543bddc2,St. Mary of Mercy (Fatima Family Shrine),220 5th St W,Alexandria,South Dakota,43.65482912,-97.78459653,605-425-2600,http://www.mmscatholic.org/,4,0,0,False,https://catholicindex.org/mass-times/alexandria-south-dakota,2026-02-22T07:37:50.858151+00:00
us-mn-appleton-st-john-06212d14,St. John,350 Edquist St S,Appleton,Minnesota,45.19597954,-96.01216329,320-842-4271,https://stisidorethefarmerafc.org,2,0,0,False,https://catholicindex.org/mass-times/big-stone-city-south-dakota,2026-02-22T07:38:20.847272+00:00
us-sd-arlington-st-john-the-evangelist-44b5f5fd,St. John the Evangelist,301 S Main St ,Arlington,South Dakota,44.36214832,-97.13577299, (605) 854-9961,http://parishesontheprairie.com/,0,0,0,False,https://catholicindex.org/mass-times/arlington-south-dakota,2026-02-22T07:37:58.413682+00:00
us-sd-armour-st-paul-the-apostle-60c1cde5,St. Paul the Apostle,206 1st St,Armour,South Dakota,43.31831161,-98.35277436,(605) 724-2191,http://www.stpaulstmark.com/,1,0,0,False,https://catholicindex.org/mass-times/armour-south-dakota,2026-02-22T07:37:59.791918+00:00
us-sd-artesian-st-charles-catholic-church-cacd8dec,St. Charles Catholic Church,541 W 2nd Ave,Artesian,SD,44.0078025,-97.9278427,+1-605-796-4666,https://sfcatholic.org/,1,0,0,False,https://catholicindex.org/mass-times/howard-south-dakota,2026-02-22T07:41:26.895757+00:00
us-nd-ashley-st-david-62b76009,St. David,601 2nd Ave NE,Ashley,North Dakota,46.03968016,-99.36859117,(701) 452-2970,http://fargodiocese.net/ashley-stdavids,3,0,0,False,https://catholicindex.org/mass-times/eureka-south-dakota,2026-02-22T07:40:10.373744+00:00
us-sd-aurora-church-of-st-william-abbot-e472125f,St. William Abbot,304 Broadway St,Aurora,South Dakota,44.2856875,-96.6873125,16059972610,$undefined,0,0,0,False,https://catholicindex.org/mass-times/arlington-south-dakota,2026-02-22T07:37:58.413682+00:00
us-mn-beardsley-church-of-st-mary-62e440b3,St. Mary,510 S Forest St,Beardsley,Minnesota,45.5543125,-96.7110625,13202656916,$undefined,0,0,0,False,https://catholicindex.org/mass-times/big-stone-city-south-dakota,2026-02-22T07:38:20.847272+00:00
us-sd-belle-fourche-st-paul-d355f20d,St. Paul,834 6th Ave,Belle Fourche,South Dakota,44.66821156,-103.85260957,(605) 723-3226,http://www.stjosephspearfish.com/mass-times,7,0,0,False,https://catholicindex.org/mass-times/belle-fourche-south-dakota,2026-02-22T07:38:16.406325+00:00
us-mn-bellingham-st-josephs-catholic-church-29ffef53,St. Joseph's Catholic Church,1271 340th St,Bellingham,MN,45.1542218,-96.4012339,+1-320-839-2772,https://www.spiritoflifeafc.org/,11,0,0,False,https://catholicindex.org/mass-times/big-stone-city-south-dakota,2026-02-22T07:38:20.847272+00:00
us-sd-beresford-st-teresa-of-avila-6762f63a,St. Teresa of Avila,901 S 3rd St,Beresford,South Dakota,43.07250088,-96.77460551,605-763-2028,http://www.sdprairiecatholic.org/,1,0,0,False,https://catholicindex.org/mass-times/beresford-south-dakota,2026-02-22T07:38:19.400299+00:00
us-sd-big-bend-church-of-st-catherine-9bf84d17,St. Catherine,34 and Cut Across Rd 4 miles S on W Bend Rd,Big Bend,South Dakota,44.03625,-99.38125,16054735335,$undefined,0,0,0,False,https://catholicindex.org/mass-times/chamberlain-south-dakota,2026-02-22T07:39:08.827327+00:00
us-sd-big-bend-st-catherine-be8a9a3a,St. Catherine,SD Hwy 34 & Cut Across Rd,Big Bend,South Dakota,44.20834986,-99.78667259,605-245-2350,http://www.sfcatholic.org/parishes/st-catherine-big-bend/,1,0,0,False,https://catholicindex.org/mass-times/fort-thompson-south-dakota,2026-02-22T07:40:28.374253+00:00
us-sd-big-stone-city-st-charles-1eaae544,St. Charles,106 3rd Ave,Big Stone City,South Dakota,45.29675785,-96.46593945,(605) 862-8485,http://sites.google.com/stcharlesbigstonecity.org/stcharlesborromeo,1,0,0,False,https://catholicindex.org/mass-times/big-stone-city-south-dakota,2026-02-22T07:38:20.847272+00:00
us-sd-bison-blessed-sacrament-34c58fe4,Blessed Sacrament,202 E Rogers St,Bison,South Dakota,45.52051069,-102.46692196,(605) 244-5547,https://www.rapidcitydiocese.org/location/bison-blessed-sacrament/,0,0,0,False,https://catholicindex.org/mass-times/bison-south-dakota,2026-02-22T07:38:22.295905+00:00
us-ne-bloomfield-st-andrew-holy-angels-our-catholic-family-1fbe0c33,St. Andrew (Holy Angels-Our Catholic Family),305 S McNamara St,Bloomfield,Nebraska,42.59626836,-97.6421263,402-357-3506,https://www.ourcatholicfamily.org,0,0,0,False,https://catholicindex.org/mass-times/springfield-south-dakota,2026-02-22T07:45:08.964214+00:00
us-sd-bonesteel-immaculate-conception-3174cd40,Immaculate Conception,605 Mellette,Bonesteel,South Dakota,43.07351251,-98.94538946, (605)835-9290,https://www.rapidcitydiocese.org/location/bonesteel-immaculate-conception/,0,0,0,False,https://catholicindex.org/mass-times/bonesteel-south-dakota,2026-02-22T07:38:26.915912+00:00
us-ne-bow-valley-ss-peter-and-paul-holy-family-our-catholic-family-435d2158,Sts. Peter and Paul (Holy Family-Our Catholic Family),Paul St & Valley View Dr,Bow Valley,Nebraska,42.71417576,-97.25128588,(402) 357-3506,https://www.ourcatholicfamily.org,2,0,0,False,https://catholicindex.org/mass-times/vermillion-south-dakota,2026-02-22T07:45:48.044600+00:00
