slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-va-abingdon-christ-the-king-d0b23642,Christ the King,820 E Main St,Abingdon,Virginia,36.71609686,-81.94634866,(276) 628-2941,http://christthekingsaintjohn.org/,5,0,0,False,https://catholicindex.org/mass-times/mountain-city-tennessee,2026-02-22T02:08:40.520935+00:00
us-ky-albany-emmanuel-b6b399dc,Emmanuel,2546 N Hwy 127,Albany,Kentucky,36.72114207,-85.13456733,6066881921,http://www.archlou.org/parishes/emmanuel-parish/,36,0,0,False,https://catholicindex.org/mass-times/celina-tennessee,2026-02-22T02:01:54.899565+00:00
us-tn-alcoa-our-lady-of-fatima-73002bc5,Our Lady of Fatima,858 Louisville Rd,Alcoa,Tennessee,35.7728424,-83.98997,(865) 982-3672,https://www.ourladyoffatima.org,12,0,0,False,https://catholicindex.org/mass-times/alcoa-tennessee,2026-02-22T02:00:05.680936+00:00
us-tn-alto-st-margaret-mary-mission-e2b55c6a,Mission of St. Margaret Mary,9458 Old Alto Hwy,Alto,Tennessee,35.26970616,-85.95797942,(931) 967-0961,https://www.goodshepherdtn.com,2,0,0,False,https://catholicindex.org/mass-times/decherd-tennessee,2026-02-22T02:03:20.388012+00:00
us-tn-ashland-city-st-marthas-be03924f,St. Martha,3331 Bell St,Ashland City,Tennessee,36.28739961,-87.0497853,615-792-4255,http://www.stmarthas.org/,15,0,0,False,https://catholicindex.org/mass-times/ashland-city-tennessee,2026-02-22T02:00:27.936529+00:00
us-tn-athens-st-mary-a2e3dbbb,St. Mary,1291 E Madison Ave,Athens,Tennessee,35.45164,-84.574848,(423) 745-4277,http://stmaryathenstn.org,0,0,0,False,https://catholicindex.org/mass-times/athens-tennessee,2026-02-22T02:00:29.528752+00:00
us-tn-bartlett-catholic-church-of-the-nativity-7efaa0e5,Nativity,5955 St Elmo Rd,Bartlett,Tennessee,35.230419,-89.864142,(901) 382-2504,http://nativitybartlett.org/,11,0,0,False,https://catholicindex.org/mass-times/collierville-tennessee,2026-02-22T02:02:31.049696+00:00
us-tn-bartlett-st-ann-43df716d,St. Ann,6529 Stage Rd,Bartlett,Tennessee,35.20378517,-89.84561806,(901) 373-6011,http://www.stannbartlett.org,1,0,0,False,https://catholicindex.org/mass-times/collierville-tennessee,2026-02-22T02:02:31.049696+00:00
us-tn-bells-our-lady-of-guadalupe-2cb0943b,Our Lady of Guadalupe,172 Main St,Bells,Tennessee,35.71255837,-89.0900501,(731) 668-2596,$undefined,0,0,0,False,https://catholicindex.org/mass-times/bells-tennessee,2026-02-22T02:00:48.958139+00:00
us-ga-blue-ridge-st-anthony-e6076b50,St. Anthony,967 E Main St,Blue Ridge,Georgia,34.86211006,-84.32688782,(706) 632-5970,http://www.saintanthonyblueridge.com/,10,0,0,False,https://catholicindex.org/mass-times/copperhill-tennessee,2026-02-22T02:02:40.073553+00:00
us-tn-bolivar-st-mary-295016da,St. Mary,223 Mecklenburg Dr,Bolivar,Tennessee,35.25628286,-89.00606704,(731) 658-4627,https://cdom.org/locations/st-marys-church-bolivar/,5,0,0,False,https://catholicindex.org/mass-times/bolivar-tennessee,2026-02-22T02:01:08.429983+00:00
us-nc-boone-st-elizabeth-6c07184f,St. Elizabeth of the Hill Country,259 Pilgrims Way,Boone,North Carolina,36.19487546,-81.66057212,(828) 264-8338,http://saintecc.org/,8,0,0,False,https://catholicindex.org/mass-times/mountain-city-tennessee,2026-02-22T02:08:40.520935+00:00
