slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-ut-alta-our-lady-of-the-snows-center-station-25d31112,Our Lady of the Snows Center Station,10189 E Hwy 210,Alta,Utah,40.59022443,-111.63764098,(801) 571-5517,https://www.dioslc.org/parishfinder,2,0,0,False,https://catholicindex.org/mass-times/american-fork-utah,2026-02-22T02:20:17.747475+00:00
us-ut-american-fork-st-peter-493a9379,St. Peter,622 N 600 E,American Fork,Utah,40.38984632,-111.78166118,(801) 756-7771,http://stpeteraf.org/,9,0,0,False,https://catholicindex.org/mass-times/american-fork-utah,2026-02-22T02:20:17.747475+00:00
us-ut-beaver-our-lady-of-the-light-4bd60160,Mission of Our Lady of the Light,190 N 900 E,Beaver,Utah,38.27663052,-112.62547942,(435) 864-3710,https://www.dioslc.org/parishfinder,1,0,0,False,https://catholicindex.org/mass-times/beaver-utah,2026-02-22T02:20:28.157151+00:00
us-ut-beryl-san-pablo-546ebb23,San Pablo,721 UT-18,Beryl,Utah,37.69375188,-113.65603316,+14356732604,http://www.saintgeorgecatholics.com/,2,0,0,False,https://catholicindex.org/mass-times/beryl-utah,2026-02-22T02:20:29.636323+00:00
us-ut-bountiful-saint-olaf-catholic-church-175a296f,Saint Olaf Catholic Church,276 E 1700 S,Bountiful,UT,40.8711111,-111.8741667,+1-801-295-3621,https://www.stolafut.org/,11,0,0,False,https://catholicindex.org/mass-times/bountiful-utah,2026-02-22T02:20:41.702730+00:00
us-ut-bountiful-st-olaf-e552f6f9,St. Olaf,276 E 1700 S,Bountiful,Utah,40.87098038,-111.87449692,(801) 295-3621,http://www.stolafut.org/,9,0,0,False,https://catholicindex.org/mass-times/bountiful-utah,2026-02-22T02:20:41.702730+00:00
us-ut-brigham-city-st-henry-295299e3,St. Henry,380 S 200 E,Brigham City,Utah,41.50332675,-112.01323397,(435) 723-2941,https://sthenry.net/,3,0,0,False,https://catholicindex.org/mass-times/brigham-city-utah,2026-02-22T02:20:44.637547+00:00
us-ut-bryce-canyon-city-st-dominic-33f811ed,St. Dominic,S 100 W,Bryce Canyon City,Utah,37.68975087,-112.15420532,(435) 586-8298,http://christthekingutah.org/,11,0,0,False,https://catholicindex.org/mass-times/panguitch-utah,2026-02-22T02:24:34.406757+00:00
us-ut-cedar-city-christ-the-king-186f1c92,Christ the King,690 S Cove Dr,Cedar City,Utah,37.66449,-113.093086,(435) 586-8298,http://www.christthekingutah.org/,8,0,0,False,https://catholicindex.org/mass-times/cedar-city-utah,2026-02-22T02:20:52.103416+00:00
us-ut-central-valley-st-elizabeth-catholic-church-f90ffa9f,St Elizabeth Catholic Church,815 UT-118,Central Valley,UT,38.7197179,-112.1032322,+1-435-896-5539,https://www.stelizabethrichfield.com/,3,0,0,False,https://catholicindex.org/mass-times/fillmore-utah,2026-02-22T02:21:55.485896+00:00
us-ut-central-valley-st-elizabeth-4ff4fbd7,St. Elizabeth,810 N SR 118,Central Valley,Utah,38.71958832,-112.1032863,(435) 896-5539,https://www.dioslc.org/,0,0,0,False,https://catholicindex.org/mass-times/fillmore-utah,2026-02-22T02:21:55.485896+00:00
us-ut-clearfield-christ-prince-of-peace-catholic-community-hill-afb-700e51f9,Christ Prince of Peace Catholic Community (Hill AFB),5711 E Avenue,Clearfield,Utah,41.10637725,-111.98204991,801-586-2952,http://www.facebook.com/hillairforcebasechapel/photos/pcb.3309384662720329/3309384489387013/,0,0,0,False,https://catholicindex.org/mass-times/bountiful-utah,2026-02-22T02:20:41.702730+00:00
us-ut-copperton-immaculate-conception-f4862868,Immaculate Conception,8892 W State Hwy,Copperton,Utah,40.56470736,-112.10286229,(801) 569-2706,http://www.iccatholicchurch.org,2,0,0,False,https://catholicindex.org/mass-times/american-fork-utah,2026-02-22T02:20:17.747475+00:00
us-ut-cottonwood-heights-st-thomas-more-f34455d0,St. Thomas More,3015 E Creek Rd,Cottonwood Heights,Utah,40.60478569,-111.80738068,(801) 942-5285,http://stmutah.org/,10,0,0,False,https://catholicindex.org/mass-times/american-fork-utah,2026-02-22T02:20:17.747475+00:00
us-ut-delta-st-john-bosco-1ef044f2,Mission of St. John Bosco,96 S Center St,Delta,Utah,39.35097996,-112.57530785,(435) 864-3710,https://www.dioslc.org/,0,0,0,False,https://catholicindex.org/mass-times/delta-utah,2026-02-22T02:21:19.257452+00:00
us-co-dove-creek-st-jude-mission-b78d352e,St. Jude Mission,432 N Pine St,Dove Creek ,Colorado,37.76599193,-108.90671603,(970) 565-7308 or (970) 516-1284 (Rectory),https://www.saintmargaretmaryandmissions.org/,11,0,0,False,https://catholicindex.org/mass-times/monticello-utah,2026-02-22T02:24:04.249198+00:00
us-ut-draper-st-john-the-baptist-5556fe57,St. John the Baptist,300 E 11800 S,Draper,Utah,40.53618051,-111.88112665,(801) 984-7101,https://www.sjb-parish.org/,12,0,0,False,https://catholicindex.org/mass-times/american-fork-utah,2026-02-22T02:20:17.747475+00:00
us-ut-duck-creek-village-duck-creek-chapel-christ-the-king-parish-047a9630,"Duck Creek Chapel, Christ the King Parish",830 Church Dr,Duck Creek Village,Utah,37.52897368,-112.66547551,435-586-8298,http://christthekingutah.org/,13,0,0,False,https://catholicindex.org/mass-times/duck-creek-village-utah,2026-02-22T02:21:25.083558+00:00
us-ut-east-carbon-good-shepherd-c9ee073a,Good Shepherd,201 Center St,East Carbon,Utah,39.54345116,-110.41775192,(435) 637-1846,https://www.notredameprice.com/good-shepherd-catholic-church-east-carbon.html,2,0,0,False,https://catholicindex.org/mass-times/east-carbon-utah,2026-02-22T02:21:31.231486+00:00
us-ut-elberta-san-isidro-0f302c90,San Isidro,12537 W Hwy 6,Elberta,Utah,39.95218425,-111.96001744,(801) 465-4782,https://www.dioslc.org/,1,0,0,False,https://catholicindex.org/mass-times/elberta-utah,2026-02-22T02:21:35.640063+00:00
us-ut-ephraim-st-jude-19c50c26,Mission of St. Jude,160 E Center St,Ephraim,Utah,39.35945498,-111.58289965,(435) 896-5539,https://www.dioslc.org/,0,0,0,False,https://catholicindex.org/mass-times/ephraim-utah,2026-02-22T02:21:43.245197+00:00
us-ut-escalante-st-sylvester-1fc8189b,St. Sylvester,Center St and Main Stree,Escalante,Utah,37.77060888,-111.59998858,(435) 586-8298,https://www.dioslc.org/parishfinder,1,0,0,False,https://catholicindex.org/mass-times/escalante-utah,2026-02-22T02:21:44.645351+00:00
us-ut-eureka-st-patrick-a4873b98,St. Patrick,121 Church St,Eureka,Utah,39.9556706,-112.12297502,(801) 465-4782,$undefined,1,0,0,False,https://catholicindex.org/mass-times/elberta-utah,2026-02-22T02:21:35.640063+00:00
us-ut-fillmore-holy-family-d4aab8a2,Holy Family,445 S 200 E,Fillmore,Utah,38.95947647,-112.31803894,(801) 864-3710,https://www.dioslc.org/,0,0,0,False,https://catholicindex.org/mass-times/fillmore-utah,2026-02-22T02:21:55.485896+00:00
