slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-ma-adams-st-john-paul-ii-51b6a893,St. John Paul the Great,21 Maple St,Adams,Massachusetts,42.62454861,-73.12011656,(413) 743-2110,http://acparishes.org/st-john-paul-ii,0,0,0,False,https://catholicindex.org/mass-times/bennington-vermont,2026-02-22T07:38:12.756300+00:00
us-ma-adams-st-stanislaus-kostka-b96af4bf,St. Stanislaus Kostka Church,25 Hoosac St,Adams,Massachusetts,42.62495203,-73.11339032,(413) 743-0577,http://sskpreservation.org/visit,3,0,0,False,https://catholicindex.org/mass-times/bennington-vermont,2026-02-22T07:38:12.756300+00:00
us-vt-alburg-st-amadeus-718de649,St. Amadeus,9 N Main St,Alburg,Vermont,44.97792383,-73.29980506,(802) 796-3481,http://ourladyofthelake.vermontcatholic.org/,4,0,0,False,https://catholicindex.org/mass-times/enosburg-falls-vermont,2026-02-22T07:39:45.816544+00:00
us-ny-altona-holy-angels-6f415247,Holy Angels,522 Devil's Den Rd,Altona,New York,44.89022295,-73.65633126,518-236-5632,https://www.rcdony.org/parish/altona,5,0,0,False,https://catholicindex.org/mass-times/grand-isle-vermont,2026-02-22T07:40:09.931072+00:00
us-ny-altona-holy-angels-catholic-church-9ddddd32,Holy Angels Catholic Church,522 Devils Den Road,Altona,NY,44.8901725,-73.6563861,+1-518-236-5632,https://www.rcdony.org/parish/altona,5,0,0,False,https://catholicindex.org/mass-times/grand-isle-vermont,2026-02-22T07:40:09.931072+00:00
us-vt-arlington-charterhouse-of-transfiguration-069b8948,Charterhouse of Transfiguration,1084 Ave Maria Way,Arlington,Vermont,43.1591875,-73.1491875,18023622550,http://transfiguration.chartreux.org,0,0,0,False,https://catholicindex.org/mass-times/arlington-vermont,2026-02-22T07:37:53.077793+00:00
us-vt-arlington-church-of-st-margaret-mary-10168ffa,St. Margaret Mary,3938 Rt 7A,Arlington,Vermont,43.0756875,-73.1535625,18023621380,http://www.christoursaviorvt.com,0,0,0,False,https://catholicindex.org/mass-times/arlington-vermont,2026-02-22T07:37:53.077793+00:00
us-ma-athol-our-lady-immaculate-af672c0c,Our Lady Immaculate,192 School St,Athol,Massachusetts,42.59367779,-72.22495685,(978) 249-2738,http://www.nqcatholic.com/,14,0,0,False,https://catholicindex.org/mass-times/brattleboro-vermont,2026-02-22T07:38:23.281439+00:00
us-ma-athol-st-francis-of-assisi-8b8badd7,St. Francis of Assisi,101 Main St,Athol,Massachusetts,42.59304008,-72.23721883,978-249-7690,http://nqcatholic.com,1,0,0,False,https://catholicindex.org/mass-times/brattleboro-vermont,2026-02-22T07:38:23.281439+00:00
us-ny-au-sable-forks-holy-name-of-jesus-f56a75c8,Holy Name,14203 State Rt 9N,Au Sable Forks,New York,44.43938055,-73.6778272,(518) 647-8225,http://www.facebook.com/@ausablecatholics,0,0,0,False,https://catholicindex.org/mass-times/burlington-vermont,2026-02-22T07:38:33.708604+00:00
us-ny-averill-park-st-henrys-church-075c2100,St. Henry,39 Old Rt 66,Averill Park,New York,42.63658726,-73.55756827,(518) 674-3818,https://www.sthenryaverillpark.com,7,0,0,False,https://catholicindex.org/mass-times/bennington-vermont,2026-02-22T07:38:12.756300+00:00
us-vt-barre-st-monica-e83a2855,St. Monica,79 Summer St,Barre,Vermont,44.20172203,-72.50422529,(802) 479-3253,http://stmonica.vermontcatholic.org/,29,0,0,False,https://catholicindex.org/mass-times/barre-vermont,2026-02-22T07:38:02.015173+00:00
us-vt-barton-holy-trinity-parish-st-paul-02261e4d,Holy Trinity Parish - St. Paul ,85 St Paul Ln,Barton,Vermont,44.74726839,-72.17477786,(802) 525-3711,http://www.mostholytrinityparishvt.com/,4,0,0,False,https://catholicindex.org/mass-times/barton-vermont,2026-02-22T07:38:03.472781+00:00
us-vt-bellows-falls-st-charles-9244e2aa,St. Charles,31 Cherry Hill St,Bellows Falls,Vermont,43.13486238,-72.44827858,(802) 732-8721,http://stcharles.vermontcatholic.org/,6,0,0,False,https://catholicindex.org/mass-times/bellows-falls-vermont,2026-02-22T07:38:08.026664+00:00
us-vt-bennington-sacred-heart-st-francis-de-sales-29f74674,Sacred Heart–St. Francis de Sales,238 W Main St,Bennington,Vermont,42.88048052,-73.20093104,(802) 442-3141,http://sacredheartsaintfrancis.org/,10,0,0,False,https://catholicindex.org/mass-times/arlington-vermont,2026-02-22T07:37:53.077793+00:00
us-ny-berlin-church-of-the-sacred-heart-2c296ad4,Sacred Heart,27 Main St,Berlin,New York,42.6941875,-73.3744375,15182794943,$undefined,0,0,0,False,https://catholicindex.org/mass-times/bennington-vermont,2026-02-22T07:38:12.756300+00:00
us-vt-bethel-st-anthony-d2ad79ad,St. Anthony,221 Church St,Bethel,Vermont,43.83044166,-72.63762232,(802) 728-5251,https://www.ourladyvt.org,2,0,0,False,https://catholicindex.org/mass-times/bethel-vermont,2026-02-22T07:38:15.693892+00:00
us-ny-bolton-landing-blessed-sacrament-church-f5f56023,Blessed Sacrament Church,7 Goodman Ave,Bolton Landing,New York,43.55642178,-73.65629005,518-824-1176,https://www.blessedsacramentbolton.org,0,0,0,False,https://catholicindex.org/mass-times/castleton-vermont,2026-02-22T07:38:42.730235+00:00
us-vt-bradford-our-lady-of-perpetual-help-068f5471,Our Lady of Perpetual Help Church,113 Upper Plain,Bradford,Vermont,44.00255909,-72.11788837,(802) 222-5268,http://uppervalleyparishes.org/,6,0,0,False,https://catholicindex.org/mass-times/barre-vermont,2026-02-22T07:38:02.015173+00:00
us-vt-brandon-our-lady-of-good-help-aeb6832a,Our Lady Of Good Help,38 Carver St,Brandon,Vermont,43.79470371,-73.08228038,(802) 247-6351,http://ovcc.vermontcatholic.org/,3,0,0,False,https://catholicindex.org/mass-times/bethel-vermont,2026-02-22T07:38:15.693892+00:00
us-vt-brattleboro-st-michael-b36b7117,St. Michael,47 Walnut St,Brattleboro,Vermont,42.85593237,-72.55781025,(802) 257-5101,http://www.stmichaelvt.com/,9,0,0,False,https://catholicindex.org/mass-times/bellows-falls-vermont,2026-02-22T07:38:08.026664+00:00
us-vt-bridport-st-bernadette-a76dafb3,St. Bernadette,9 Crown Point Rd,Bridport,Vermont,43.98473611,-73.31369224,(802) 388-2943,http://stmary.vermontcatholic.org/,8,0,0,False,https://catholicindex.org/mass-times/brandon-vermont,2026-02-22T07:38:21.748026+00:00
us-vt-bristol-st-ambrose-cbde8b85,St. Ambrose,11 School St,Bristol,Vermont,44.13392154,-73.08055287,(802) 453-2488,http://stambrosestpeter.vermontcatholic.org/,5,0,0,False,https://catholicindex.org/mass-times/brandon-vermont,2026-02-22T07:38:21.748026+00:00
us-vt-burlington-cathedral-of-st-joseph-c52dade6,Cathedral of St. Joseph,29 Allen St,Burlington,Vermont,44.48330861,-73.2146329,(802) 658-4333,http://stjosephcathedralvt.org/,8,0,0,False,https://catholicindex.org/mass-times/burlington-vermont,2026-02-22T07:38:33.708604+00:00
us-vt-burlington-the-catholic-center-at-uvm-cafb3f54,Chapel of St. Augustine,390 S Prospect St,Burlington,Vermont,44.47160475,-73.19736083,(802) 862-8403,http://www.uvmcatholic.com/,7,0,0,False,https://catholicindex.org/mass-times/bristol-vermont,2026-02-22T07:38:29.238457+00:00
us-vt-burlington-christ-the-king-and-st-anthony-parish-st-anthony-a61b48a8,Christ The King and St. Anthony Parish - St. Anthony,305 Flynn Ave,Burlington,Vermont,44.45515702,-73.21448938,(802) 862-5784,http://www.christandanthony.com/,7,0,0,False,https://catholicindex.org/mass-times/bristol-vermont,2026-02-22T07:38:29.238457+00:00
us-vt-burlington-church-of-christ-the-king-88740841,Christ the King,136 Locust St,Burlington,Vermont,44.4634375,-73.2093125,18028625784,http://www.ctkstabtv.com,0,0,0,False,https://catholicindex.org/mass-times/bristol-vermont,2026-02-22T07:38:29.238457+00:00
