slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-va-abingdon-christ-the-king-d0b23642,Christ the King,820 E Main St,Abingdon,Virginia,36.71609686,-81.94634866,(276) 628-2941,http://christthekingsaintjohn.org/,5,0,0,False,https://catholicindex.org/mass-times/abingdon-virginia,2026-02-22T07:55:44.693421+00:00
us-va-aldie-corpus-christi-catholic-church-16594243,Corpus Christi Catholic Church,41685 Corpus Christi Dr,Aldie,Virginia,38.94228944,-77.56100705,(703) 378-1037,https://www.corpuschristisr.org,14,0,0,False,https://catholicindex.org/mass-times/aldie-virginia,2026-02-22T07:55:52.215745+00:00
us-va-alexandria-blessed-sacrament-70666231,Blessed Sacrament,1427 W Braddock Rd,Alexandria,Virginia,38.82728555,-77.08352047,(703) 998-6100,https://www.blessedsacramentcc.org,18,0,0,False,https://catholicindex.org/mass-times/alexandria-virginia,2026-02-22T07:55:53.957577+00:00
us-va-alexandria-good-shepherd-dfda5c0e,Good Shepherd,8710 Mt Vernon Hwy,Alexandria,Virginia,38.72033528,-77.09213326,(703) 780-4055,https://www.gs-cc.org/,19,0,0,False,https://catholicindex.org/mass-times/alexandria-virginia,2026-02-22T07:55:53.957577+00:00
us-va-alexandria-poor-clare-monestary-5b0233c9,Poor Clare Monestary,2505 Stonehedge Dr,Alexandria,Virginia,38.76064687,-77.0756464,(703) 768-4918,http://poorclaresofalexandria.org/,0,0,0,False,https://catholicindex.org/mass-times/alexandria-virginia,2026-02-22T07:55:53.957577+00:00
us-va-alexandria-queen-of-apostles-3e3e7d13,Queen of Apostles,4401 Sano St,Alexandria,Virginia,38.82859929,-77.14327003,(703) 354-8711,https://www.queenofapostles.org,17,0,0,False,https://catholicindex.org/mass-times/aldie-virginia,2026-02-22T07:55:52.215745+00:00
us-va-alexandria-st-joseph-1b55edbe,St. Joseph,711 N Columbus St,Alexandria,Virginia,38.81221481,-77.04634656,(703) 836-3725,https://www.stjosephalexva.org/,2,0,0,False,https://catholicindex.org/mass-times/alexandria-virginia,2026-02-22T07:55:53.957577+00:00
us-va-alexandria-st-lawrence-catholic-church-c7c4dc3e,St. Lawrence,6222 Franconia Rd,Alexandria,Virginia,38.78203,-77.153595,(703) 971-4378,https://stlawrencealex.org/,23,0,0,False,https://catholicindex.org/mass-times/aldie-virginia,2026-02-22T07:55:52.215745+00:00
us-va-alexandria-st-louis-cb04718c,St. Louis,2907 Popkins Ln,Alexandria,Virginia,38.76430071,-77.08290609,(703) 765-4421,http://www.saintlouisparish.org/,13,0,0,False,https://catholicindex.org/mass-times/alexandria-virginia,2026-02-22T07:55:53.957577+00:00
us-va-alexandria-st-rita-a8e34500,St. Rita,3815 Russell Rd,Alexandria,Virginia,38.83895233,-77.06359907,(703) 836-1640,http://stritaalexandria.com/,15,0,0,False,https://catholicindex.org/mass-times/alexandria-virginia,2026-02-22T07:55:53.957577+00:00
us-va-alexandria-basilica-of-saint-mary-3eb3e79a,The Basilica of St. Mary,310 S Royal St,Alexandria,Virginia,38.8018494,-77.04389939,(703) 836-4100,https://stmaryoldtown.org/,25,0,0,False,https://catholicindex.org/mass-times/alexandria-virginia,2026-02-22T07:55:53.957577+00:00
us-va-amelia-good-samaritan-2eca8ebc,Good Samaritan,13441 Patrick Henry Hwy,Amelia,Virginia,37.37124229,-77.9195783,(804) 639-6712,http://richmonddiocese.org/parishes/good-samaritan/,46,0,0,False,https://catholicindex.org/mass-times/blackstone-virginia,2026-02-22T07:57:23.627314+00:00
us-va-amherst-st-francis-of-assisi-63db699f,St. Francis of Assisi,332 S Main St,Amherst,Virginia,37.58281326,-79.05761719,(434) 946-2053,http://www.stfrancisamherst.org,3,0,0,False,https://catholicindex.org/mass-times/amherst-virginia,2026-02-22T07:55:59.634358+00:00
us-va-annandale-epiphany-of-our-lord-e15f3ce4,Epiphany of Our Lord,3410 Woodburn Rd,Annandale,Virginia,38.85239294,-77.23205073,(703) 573-3986,https://www.eolbcc.com,0,0,0,False,https://catholicindex.org/mass-times/aldie-virginia,2026-02-22T07:55:52.215745+00:00
us-va-annandale-holy-spirit-6c52a399,Holy Spirit,8800 Braddock Rd,Annandale,Virginia,38.81224697,-77.25013224,(703) 978-8074,http://www.holyspiritchurch.us,17,0,0,False,https://catholicindex.org/mass-times/aldie-virginia,2026-02-22T07:55:52.215745+00:00
us-va-annandale-st-ambrose-55a4c411,St. Ambrose,3901 Woodburn Rd,Annandale,Virginia,38.84092529,-77.24307744,703-280-4400,https://www.stambroseva.org,19,0,0,False,https://catholicindex.org/mass-times/aldie-virginia,2026-02-22T07:55:52.215745+00:00
us-va-annandale-st-michael-95f7cc51,St. Michael,7401 Saint Michael's Ln,Annandale,Virginia,38.82299761,-77.19903295,(703) 256-7822,http://www.stmichaelannandale.org/,18,0,0,False,https://catholicindex.org/mass-times/aldie-virginia,2026-02-22T07:55:52.215745+00:00
us-va-appomattox-our-lady-of-peace-79e6621f,Our Lady of Peace,2938 Oakleigh Ave,Appomattox,Virginia,37.36925805,-78.78308773,(434) 352-0104,http://www.olpcatholicchurch.org/,4,0,0,False,https://catholicindex.org/mass-times/amherst-virginia,2026-02-22T07:55:59.634358+00:00
us-md-aquasco-mission-of-st-dominic-7e904308,Mission of St. Dominic,22300 Rd,Aquasco,Maryland,38.5849375,-76.7246875,13018881498,$undefined,0,0,0,False,https://catholicindex.org/mass-times/alexandria-virginia,2026-02-22T07:55:53.957577+00:00
us-md-aquasco-saint-dominics-catholic-church-8d049bfd,Saint Dominics Catholic Church,22400 Aquasco Rd,Aquasco,MD,38.5818524,-76.7237542,+1-240-681-3551,https://stmichaelbaden.org/,1,0,0,False,https://catholicindex.org/mass-times/alexandria-virginia,2026-02-22T07:55:53.957577+00:00
us-md-aquasco-st-dominic-2eb3e692,St. Dominic,22300 Aquasco Rd,Aquasco,Maryland,38.58185469,-76.72389039,240-681-3551,http://stmichaelbaden.org/,1,0,0,False,https://catholicindex.org/mass-times/alexandria-virginia,2026-02-22T07:55:53.957577+00:00
