slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-wa-aberdeen-st-mary-72c2290c,St. Mary,306 E 3rd St,Aberdeen,Washington,46.97916616,-123.8186106,(360) 532-8300,https://www.ghcatholic.org/,11,0,0,False,https://catholicindex.org/mass-times/aberdeen-washington,2026-02-22T07:55:48.482049+00:00
us-or-aloha-st-andrew-dung-lac-2d61edcf,St. Andrew Dung-Lac,7390 SW Grabhorn Rd,Aloha,Oregon,45.46693306,-122.89097571,503-591-5302,https://anredl.org/,5,0,0,False,https://catholicindex.org/mass-times/vancouver-washington,2026-02-22T08:07:14.988071+00:00
us-or-aloha-st-elizabeth-ann-seton-9307a312,St. Elizabeth Ann Seton,3145 SW 192nd,Aloha,Oregon,45.49645257,-122.87581896,(503) 649-9044,http://seas-aloha.org/,11,0,0,False,https://catholicindex.org/mass-times/camas-washington,2026-02-22T07:57:11.184692+00:00
us-wa-anacortes-st-mary-b37dcdb8,St. Mary,4001 St Mary's Dr,Anacortes,Washington,48.48823949,-122.60687544,(360) 293-2101,http://www.stmaryanacortes.org,11,0,0,False,https://catholicindex.org/mass-times/anacortes-washington,2026-02-22T07:56:03.421428+00:00
us-wa-anderson-island-anderson-island-community-church-971dfbf5,Anderson Island Community Church,11405 Yoman Rd,Anderson Island,WA,47.1737597,-122.6909675,$undefined,https://aicommunitychurch.org/,0,0,0,False,https://catholicindex.org/mass-times/auburn-washington,2026-02-22T07:56:17.073692+00:00
us-wa-arlington-immaculate-conception-7a046e0d,Immaculate Conception,1200 E 5th St,Arlington,Washington,48.196537,-122.114105,(360) 435-8565,http://www.stillycatholic.com/,4,0,0,False,https://catholicindex.org/mass-times/arlington-washington,2026-02-22T07:56:12.561452+00:00
us-or-astoria-st-mary-star-of-the-sea-b00c02df,St. Mary Star of the Sea,1465 Grand Ave,Astoria,Oregon,46.18579213,-123.82787825,(503) 325-3671,http://www.stmaryastoria.com/,6,0,0,False,https://catholicindex.org/mass-times/cathlamet-washington,2026-02-22T07:57:25.958164+00:00
us-or-athena-sacred-heart-c86b6ef7,Sacred Heart,5th St and College,Athena,Oregon,45.8157682,-118.48773728,(541) 276-0767,https://dioceseofbaker.org/parishfinder,1,0,0,False,https://catholicindex.org/mass-times/walla-walla-washington,2026-02-22T08:07:26.879484+00:00
us-wa-auburn-holy-family-d043f4a1,Holy Family,505 17th St SE,Auburn,Washington,47.2940025,-122.2231,(253) 833-5130,https://www.holyfamilyauburn.org,6,0,0,False,https://catholicindex.org/mass-times/auburn-washington,2026-02-22T07:56:17.073692+00:00
us-wa-bainbridge-island-st-cecilia-1803fb48,St. Cecilia,1310 Madison Ave N,Bainbridge Island,Washington,47.6365051,-122.520439,(206) 842-3594,http://saintcparish.org/,7,0,0,False,https://catholicindex.org/mass-times/bainbridge-island-washington,2026-02-22T07:56:18.671039+00:00
us-or-banks-st-francis-of-assisi-5f1f0e42,St. Francis of Assisi,39135 NW Harrington Rd,Banks,Oregon,45.59563444,-123.07980277,(503) 324-2231,http://sfaroyparish.org/,9,0,0,False,https://catholicindex.org/mass-times/vancouver-washington,2026-02-22T08:07:14.988071+00:00
us-wa-basin-city-san-juan-diego-a304118c,San Juan Diego,440 Bailie Blvd,Basin City,Washington,46.59625004,-119.15112734,(509) 845-1919,http://www.facebook.com/SanJuanDiegoMissionBasinCity/,0,0,0,False,https://catholicindex.org/mass-times/connell-washington,2026-02-22T07:58:04.159760+00:00
