slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-oh-adena-st-casimir-9717ff0b,St. Casimir,221 Hanna Ave,Adena,Ohio,40.21598789,-80.87669187,(740) 546-3463,http://www.facebook.com/people/St-Casimir-Parish-Adena/61576951590675/,0,0,0,False,https://catholicindex.org/mass-times/beech-bottom-west-virginia,2026-02-22T08:05:25.876886+00:00
us-wv-alderson-mission-of-st-mary-of-the-greenbrier-a1263db6,Mission of St. Mary of the Greenbrier,101 Davis St,Alderson,West Virginia,37.7279375,-80.6481875,$undefined,http://stpatrickhintonwv.org,0,0,0,False,https://catholicindex.org/mass-times/alderson-west-virginia,2026-02-22T08:04:25.675238+00:00
us-pa-aliquippa-church-of-our-lady-of-fatima-d1525a9e,Our Lady of Fatima,2270 Brodhead Rd,Aliquippa,Pennsylvania,40.5849375,-80.2578125,17243757626,https://maryqueenofsaints.org/,4,0,0,False,https://catholicindex.org/mass-times/chester-west-virginia,2026-02-22T08:07:30.528015+00:00
us-pa-aliquippa-our-lady-of-fatima-mary-queen-of-saint-parish-3dd214e9,"Our Lady of Fatima- Mary, Queen of St. Parish",2270 Brodhead Rd,Aliquippa,Pennsylvania,40.5848421,-80.25869455,(724) 775-6363,https://maryqueenofsaints.org/,4,0,0,False,https://catholicindex.org/mass-times/chester-west-virginia,2026-02-22T08:07:30.528015+00:00
us-pa-aliquippa-ss-peter-paul-ukrainian-9998cbdd,Ss. Peter & Paul (Ukrainian),2001 Main St,Aliquippa,Pennsylvania,40.60504339,-80.27548052,+17242662262,http://sspeter-paul.com/,3,0,0,False,https://catholicindex.org/mass-times/chester-west-virginia,2026-02-22T08:07:30.528015+00:00
us-pa-aliquippa-st-titus-mary-queen-of-saints-parish-feed5bd0,"St Titus Church - Mary, Queen of Saints Parish",952 Franklin Ave,Aliquippa,Pennsylvania,40.61285424,-80.25572344,(724) 378-8561,http://www.maryqueenofsaints.org,3,0,0,False,https://catholicindex.org/mass-times/chester-west-virginia,2026-02-22T08:07:30.528015+00:00
us-pa-aliquippa-st-frances-cabrini-mary-queen-of-saints-parish-7fe0c59f,St. Frances Cabrini,115 Trinity Dr,Aliquippa,Pennsylvania,40.6468019,-80.29434023,(724) 775-6363,http://www.maryqueenofsaints.org,5,0,0,False,https://catholicindex.org/mass-times/chester-west-virginia,2026-02-22T08:07:30.528015+00:00
us-pa-aliquippa-st-george-ruthenian-4c0ae9ec,St. George (Ruthenian),1001 Clinton St,Aliquippa,Pennsylvania,40.6057942,-80.25783081,(724) 375-2742,https://www.stgeorgebyzantinecatholicchurch.org/aliquippa/,2,0,0,False,https://catholicindex.org/mass-times/chester-west-virginia,2026-02-22T08:07:30.528015+00:00
us-pa-ambridge-good-samaritan-st-luke-the-evangelist-parish-d1d399f0,Good Samaritan - St. Luke the Evangelist Parish,725 Glenwood Ave,Ambridge,Pennsylvania,40.58884922,-80.22702639,(724) 266-6565,http://saintluke.net,9,0,0,False,https://catholicindex.org/mass-times/chester-west-virginia,2026-02-22T08:07:30.528015+00:00
us-pa-ambridge-st-mary-ruthenian-caca5099,St Mary's Byzantine Catholic (Ruthenian),624 Park Rd,Ambridge,Pennsylvania,40.58669246,-80.22952346,(724) 266-2030,http://stmaryambridge.org/,6,0,0,False,https://catholicindex.org/mass-times/chester-west-virginia,2026-02-22T08:07:30.528015+00:00
us-pa-ambridge-sts-peter-and-paul-ukrainian-54ed27e5,Sts. Peter and Paul (Ukrainian),404 6th St,Ambridge,Pennsylvania,40.58695379,-80.22613724,(412) 266-2262,http://sspeter-paul.com/,3,0,0,False,https://catholicindex.org/mass-times/chester-west-virginia,2026-02-22T08:07:30.528015+00:00
us-oh-amsterdam-st-joseph-a4579dd7,St. Joseph,333 N Main St,Amsterdam,Ohio,40.47538674,-80.92391299,(740) 765-4142,http://www.diosteub.org/parishfinder,2,0,0,False,https://catholicindex.org/mass-times/beech-bottom-west-virginia,2026-02-22T08:05:25.876886+00:00
us-va-ashburn-st-theresa-89d9ee03,St. Theresa,21371 St Theresa Ln,Ashburn,Virginia,39.02548678,-77.50162755,(703) 729-2287,https://www.sainttheresaparish.com,25,0,0,False,https://catholicindex.org/mass-times/harpers-ferry-west-virginia,2026-02-22T08:11:44.991867+00:00
us-ky-ashland-holy-family-972af572,Holy Family,900 Winchester Ave,Ashland,Kentucky,38.48213137,-82.64717542,(606) 329-1607,http://hfchurchashland.weebly.com/,12,0,0,False,https://catholicindex.org/mass-times/huntington-west-virginia,2026-02-22T08:12:28.599195+00:00
us-pa-avella-saint-john-the-baptist-byzantine-catholic-church-866d1ca9,Saint John the Baptist Byzantine Catholic Church,176 Cross Creek Rd,Avella,PA,40.2857446,-80.4515067,+1-817-271-0968,https://archpitt.org/place/avellapa-2/,2,0,0,False,https://catholicindex.org/mass-times/beech-bottom-west-virginia,2026-02-22T08:05:25.876886+00:00
us-pa-avella-st-john-the-baptist-ruthenian-2b8a22aa,St. John the Baptist (Ruthenian),176 Cross Creek Rd,Avella,Pennsylvania,40.28570505,-80.45162236,(814) 948-8242,http://archpitt.org/place/avellapa-2/,2,0,0,False,https://catholicindex.org/mass-times/beech-bottom-west-virginia,2026-02-22T08:05:25.876886+00:00
us-pa-avella-st-isidore-the-farmer-parish-st-michael-60926e4d,St. Michael,97 Highland Ave,Avella,Pennsylvania,40.27640862,-80.46276622,(724) 695-7325,http://www.stisidorethefarmer.org,2,0,0,False,https://catholicindex.org/mass-times/beech-bottom-west-virginia,2026-02-22T08:05:25.876886+00:00
us-pa-baden-saint-teresa-of-calcutta-catholic-church-maronite-34fb1d3b,St Teresa of Calcutta Roman Catholic Church,375 Linmore Ave,Baden,Pennsylvania,40.63479568,-80.22898912,$undefined,http://stteresamaronite.org/,5,0,0,False,https://catholicindex.org/mass-times/chester-west-virginia,2026-02-22T08:07:30.528015+00:00
us-md-baltimore-patronage-of-the-mother-of-god-1ab0eb8b,St. Ann,1265 Linden Ave,Baltimore,Maryland,39.66565715,-77.70481147,(410) 247-4936,http://www.patronagechurch.com/,0,0,0,False,https://catholicindex.org/mass-times/harpers-ferry-west-virginia,2026-02-22T08:11:44.991867+00:00
us-wv-bancroft-mission-of-st-patrick-bd99e1cd,Mission of St. Patrick,207 Jefferson St,Bancroft,West Virginia,38.5095625,-81.8424375,13045863485,$undefined,0,0,0,False,https://catholicindex.org/mass-times/bancroft-west-virginia,2026-02-22T08:05:12.369344+00:00
us-wv-bancroft-st-patrick-e3cf24b6,St. Patrick,207 Jefferson St,Bancroft,West Virginia,38.51140923,-81.84280705,(304) 586-3485,http://www.TriParishWV.org,1,0,0,False,https://catholicindex.org/mass-times/bancroft-west-virginia,2026-02-22T08:05:12.369344+00:00
us-oh-barnesville-assumption-of-the-bvm-caea1431,Assumption of the Blessed Virgin Mary Catholic Church,306 W Main St,Barnesville,Ohio,39.98835827,-81.18054271,(740) 425-2181,http://www.facebook.com/AssumptionandStMaryChurches/,0,0,0,False,https://catholicindex.org/mass-times/benwood-west-virginia,2026-02-22T08:05:36.289488+00:00
us-md-barnesville-st-marys-church-shrine-of-our-lady-of-fatima-cd386f4b,St. Mary,18230 Barnesville Rd,Barnesville,Maryland,39.22080326,-77.38071502,(301) 972-8660,https://stmaryshrine.org,13,0,0,False,https://catholicindex.org/mass-times/harpers-ferry-west-virginia,2026-02-22T08:11:44.991867+00:00
