slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us-wi-abbotsford-st-bernard-615448b5,St. Bernard,400 N 2nd Ave,Abbotsford,Wisconsin,44.94930977,-90.32338844,(715) 223-4026,http://www.abbydore.org/,5,0,0,False,https://catholicindex.org/mass-times/abbotsford-wisconsin,2026-02-22T08:21:01.928588+00:00
us-wi-abbotsford-st-bernard-catholic-church-92b60ac9,St. Bernard Catholic Church,400 N 2nd Ave,Abbotsford,WI,44.949385,-90.3234699,+1-715-223-4026,https://www.abbydore.org/,5,0,0,False,https://catholicindex.org/mass-times/abbotsford-wisconsin,2026-02-22T08:21:01.928588+00:00
us-wi-adams-church-of-st-joseph-69b39bbc,St. Joseph,166 Main St,Adams,Wisconsin,43.9591875,-89.8175625,16083393485,$undefined,0,0,0,False,https://catholicindex.org/mass-times/adams-wisconsin,2026-02-22T08:21:04.969461+00:00
us-wi-albany-st-patrick-church-e7e93584,St. Patrick,410 E State St,Albany,Wisconsin,42.70451607,-89.43272603,(608) 424-3831,http://www.ctk-p.org,1,0,0,False,https://catholicindex.org/mass-times/albany-wisconsin,2026-02-22T08:21:09.424767+00:00
us-wi-algoma-st-mary-201b90f5,St. Mary,118 Church St,Algoma,Wisconsin,44.61243936,-87.43319416,(920) 487-5005,http://stmarysalgoma.com/,6,0,0,False,https://catholicindex.org/mass-times/algoma-wisconsin,2026-02-22T08:21:11.001752+00:00
us-il-algonquin-st-margaret-mary-c2441351,St. Margaret Mary,111 S Hubbard St,Algonquin,Illinois,42.1640669,-88.2888134,(847) 658-7625,http://saintmargaretmary.org/,26,0,0,False,https://catholicindex.org/mass-times/wilmot-wisconsin,2026-02-22T08:39:21.505676+00:00
us-il-algonquin-st-margaret-mary-catholic-church-a3ad44c7,St. Margaret Mary Catholic Church,111 S Hubbard St,Algonquin,IL,42.1642458,-88.2879365,+1-847-658-7625,https://saintmargaretmary.org/,26,0,0,False,https://catholicindex.org/mass-times/wilmot-wisconsin,2026-02-22T08:39:21.505676+00:00
us-wi-allenton-resurrection-f1a514c2,Resurrection,209 Main St,Allenton,Wisconsin,43.4225043,-88.33815629,(262) 629-5240,http://resurrectionallenton.org,0,0,0,False,https://catholicindex.org/mass-times/allenton-wisconsin,2026-02-22T08:21:12.479479+00:00
us-wi-alma-st-lawrence-21decc2e,St. Lawrence,206 S 2nd St,Alma,Wisconsin,44.3219646,-91.91449,(608) 687-8418,http://tresecclesiae.org/saint-lawrence,1,0,0,False,https://catholicindex.org/mass-times/alma-wisconsin,2026-02-22T08:21:13.999930+00:00
us-wi-alma-church-of-st-lawrence-f5afeb93,St. Lawrence,206 S 2nd St,Alma,Wisconsin,44.3168125,-91.9119375,16086873496,$undefined,0,0,0,False,https://catholicindex.org/mass-times/alma-wisconsin,2026-02-22T08:21:13.999930+00:00
us-wi-alma-center-immaculate-conception-149d5053,Immaculate Conception,341 W Main St,Alma Center,Wisconsin,44.4370349,-90.9145866,(715) 964-5201,http://www.catholic-parishes-of-almacenter-fairchild.org/,6,0,0,False,https://catholicindex.org/mass-times/alma-center-wisconsin,2026-02-22T08:21:15.422164+00:00
us-wi-alma-center-immaculate-conception-catholic-church-eed55dd8,Immaculate Conception Catholic Church,341 W Main St,Alma Center,WI,44.4368614,-90.9181792,+1-715-964-5201,https://www.catholic-parishes-of-almacenter-fairchild.org/,6,0,0,False,https://catholicindex.org/mass-times/alma-center-wisconsin,2026-02-22T08:21:15.422164+00:00
us-wi-almena-sacred-heart-of-jesus-dc9bb89f,Sacred Heart of Jesus,114 Soo Ave,Almena,Wisconsin,45.41773941,-92.03724576,(715) 822-2948,http://www.actinfaith.net,3,0,0,False,https://catholicindex.org/mass-times/almena-wisconsin,2026-02-22T08:21:17.100125+00:00
us-wi-almena-sacred-heart-of-jesus-catholic-church-bbdd973e,Sacred Heart of Jesus Catholic Church,114 Soo Ave W,Almena,WI,45.4176839,-92.0372205,+1-715-822-2948,https://www.actinfaith.net/,3,0,0,False,https://catholicindex.org/mass-times/almena-wisconsin,2026-02-22T08:21:17.100125+00:00
us-wi-almond-st-maximilian-kolbe-2fee8fa2,St. Maximilian Kolbe,8611 State Rd 54,Almond,Wisconsin,44.3647652,-89.354744,(715) 824-3380,http://www.stmaxkolbe.org/,7,0,0,False,https://catholicindex.org/mass-times/almond-wisconsin,2026-02-22T08:21:18.449373+00:00
us-wi-altoona-st-mary-64d38c9a,St. Mary,1812 Lynn Ave,Altoona,Wisconsin,44.80692287,-91.43942437,(715) 855-1294,http://www.stmarys-altoona.com/,9,0,0,False,https://catholicindex.org/mass-times/altoona-wisconsin,2026-02-22T08:21:19.927625+00:00
us-wi-amberg-st-agnes-f3501bc0,St. Agnes,W8031 Wright St,Amberg,Wisconsin,45.50357284,-87.99559402,(715) 856-5276,http://www.cwacatholic3.org/,2,0,0,False,https://catholicindex.org/mass-times/amberg-wisconsin,2026-02-22T08:21:21.451140+00:00
us-wi-amery-st-joseph-catholic-church-f2e63c2b,St. Joseph Catholic Church,1050 N Keller Ave,Amery,Wisconsin,45.32450183,-92.35890704,(715) 268-7717,https://www.stjosephamery.org/,4,0,0,False,https://catholicindex.org/mass-times/almena-wisconsin,2026-02-22T08:21:17.100125+00:00
us-wi-amherst-st-james-2abf032d,St. James,453 S Main St,Amherst,Wisconsin,44.44638978,-89.28805516,(715) 824-3455,http://sjsmmcc.weconnect.com/,8,0,0,False,https://catholicindex.org/mass-times/almond-wisconsin,2026-02-22T08:21:18.449373+00:00
us-wi-amherst-st-mary-of-mount-carmel-14e78bc3,St. Mary of Mount Carmel,3995 County Rd K,Amherst,Wisconsin,44.4709,-89.3752,(715) 824-3455,http://sjsmmcc.weconnect.com/,1,0,0,False,https://catholicindex.org/mass-times/almond-wisconsin,2026-02-22T08:21:18.449373+00:00
us-wi-aniwa-st-boniface-8f6c8422,St. Boniface,W 19104 Church St,Aniwa,Wisconsin,45.00779421,-89.21518793,(715) 449-0050,http://www.facebook.com/Ss-Philomena-Boniface-Catholic-Churches-Birnamwood-Aniwa-187104651318184/?ref=page_internal,0,0,0,False,https://catholicindex.org/mass-times/aniwa-wisconsin,2026-02-22T08:21:27.521757+00:00
us-wi-aniwa-church-of-st-boniface-b7834621,St. Boniface,19104 Church St,Aniwa,Wisconsin,44.9434375,-89.1420625,17154490050,$undefined,0,0,0,False,https://catholicindex.org/mass-times/aniwa-wisconsin,2026-02-22T08:21:27.521757+00:00
us-wi-antigo-sts-mary-and-hyacinth-c5679c5f,Parish of Sts. Mary and Hyacinth,819 3rd Ave,Antigo,Wisconsin,45.14314801,-89.15548953,(715) 623-4938,https://www.antigoareacatholicchurches.com,4,0,0,False,https://catholicindex.org/mass-times/aniwa-wisconsin,2026-02-22T08:21:27.521757+00:00
us-wi-antigo-st-john-the-evangelist-d9e8e9cd,St. John the Evangelist ,415 Sixth Ave,Antigo,Wisconsin,45.13878793,-89.14725399,(715) 623-2024,http://antigoareacatholicchurches.com/,7,0,0,False,https://catholicindex.org/mass-times/aniwa-wisconsin,2026-02-22T08:21:27.521757+00:00
us-il-antioch-our-lady-of-the-lakes-parish-st-peter-fe8427cc,Our Lady of the Lakes Parish - St. Peter ,557 W Lake St,Antioch,Illinois,42.47744174,-88.10340078,(847) 587-2251,http://ourladylakesparish.org/,9,0,0,False,https://catholicindex.org/mass-times/benet-lake-wisconsin,2026-02-22T08:22:30.645640+00:00
us-il-apple-river-st-joseph-e7e90e99,St. Joseph,105 W Webster St,Apple River,Illinois,42.50486845,-90.09679499,(815) 745-2312,http://www.rockforddiocese.org/parishes/parish-information/?parish=4,1,0,0,False,https://catholicindex.org/mass-times/argyle-wisconsin,2026-02-22T08:21:36.438226+00:00
us-wi-appleton-holy-spirit-darboy-17b61d51,Parish of the Holy Spirit–Darboy Site,W2806 County Rd KK,Appleton,Wisconsin,44.24415964,-88.33056855,(920) 788-7640,http://www.holyspirit-parish.org/,10,0,0,False,https://catholicindex.org/mass-times/appleton-wisconsin,2026-02-22T08:21:30.546793+00:00
us-wi-appleton-sacred-heart-ff1906c1,Sacred Heart,222 E Fremont St,Appleton,Wisconsin,44.24996225,-88.40188864,(920) 739-3196,http://www.sacredheartappleton.com/,20,0,0,False,https://catholicindex.org/mass-times/appleton-wisconsin,2026-02-22T08:21:30.546793+00:00
us-wi-appleton-st-bernadette-17424011,St. Bernadette,2331 E Lourdes Dr,Appleton,Wisconsin,44.25164903,-88.37012295,(920) 739-4157,http://www.saint-bernadette.org/,0,0,0,False,https://catholicindex.org/mass-times/appleton-wisconsin,2026-02-22T08:21:30.546793+00:00
us-wi-appleton-st-bernard-3ce4dcf3,St. Bernard,1617 W Pine St,Appleton,Wisconsin,44.25090098,-88.43227371,(920) 739-0331,http://stbernardappleton.org/,7,0,0,False,https://catholicindex.org/mass-times/appleton-wisconsin,2026-02-22T08:21:30.546793+00:00
us-wi-appleton-st-edward-the-confessor-of-mackville-5004f665,St. Edward the Confessor​ of Mackville,N2926 State Rd 47,Appleton,Wisconsin,44.34486582,-88.41491017,(920) 733-9266,http://www.stedwardmackville.org/,6,0,0,False,https://catholicindex.org/mass-times/appleton-wisconsin,2026-02-22T08:21:30.546793+00:00
us-wi-appleton-st-joseph-e2846bc5,St. Joseph,404 W Lawrence St,Appleton,Wisconsin,44.26077828,-88.41107973,(920) 734-7195,http://www.saintjosephparish.org/,7,0,0,False,https://catholicindex.org/mass-times/appleton-wisconsin,2026-02-22T08:21:30.546793+00:00
us-wi-appleton-st-mary-95d0d412,St. Mary,312 S State St,Appleton,Wisconsin,44.25926995,-88.41354746,(920) 739-5119,http://stmaryparish.org/,5,0,0,False,https://catholicindex.org/mass-times/appleton-wisconsin,2026-02-22T08:21:30.546793+00:00
us-wi-appleton-st-pius-x-d4507005,St. Pius X,500 W Marquette St,Appleton,Wisconsin,44.28223426,-88.41278103,(920) 733-0575,http://www.stpiusappleton.org/,16,0,0,False,https://catholicindex.org/mass-times/appleton-wisconsin,2026-02-22T08:21:30.546793+00:00
us-wi-appleton-st-therese-a4f7e499,St. Therese,213 E Wisconsin Ave,Appleton,Wisconsin,44.27277073,-88.40374624,(920) 733-8568,http://www.st-therese.com/,14,0,0,False,https://catholicindex.org/mass-times/appleton-wisconsin,2026-02-22T08:21:30.546793+00:00
us-wi-appleton-st-thomas-more-0b0d8b14,St. Thomas More,1810 N McDonald St,Appleton,Wisconsin,44.2787617,-88.38612311,(920) 739-7758,http://www.stmcath.org/,7,0,0,False,https://catholicindex.org/mass-times/appleton-wisconsin,2026-02-22T08:21:30.546793+00:00
us-wi-arcadia-holy-family-b2bd9a7f,Holy Family,223 Maple St,Arcadia,Wisconsin,44.24888992,-91.49397278,(608) 323-7116,http://www.holyfam.com/,8,0,0,False,https://catholicindex.org/mass-times/alma-wisconsin,2026-02-22T08:21:13.999930+00:00
us-wi-argyle-st-joseph-church-d3c1cd6c,St. Joseph,313 N Lafayette St,Argyle,Wisconsin,42.70383377,-89.86397902,608-325-9506,http://www.ctk-p.org,2,0,0,False,https://catholicindex.org/mass-times/albany-wisconsin,2026-02-22T08:21:09.424767+00:00
us-wi-arkansaw-st-joseph-5d4cd710,St. Joseph,W7805 County Rd Z,Arkansaw,Wisconsin,44.629,-92.0629,(715) 285-5200,http://masstimesnearme.us/wisconsin/arkansaw/st-josephs-catholic-church/#:~:text=Find%20the%20mass%20times%20for%20St,2,0,0,False,https://catholicindex.org/mass-times/alma-wisconsin,2026-02-22T08:21:13.999930+00:00
us-wi-arkansaw-church-of-st-joseph-31af02aa,St. Joseph,7805 County Rd Z,Arkansaw,Wisconsin,44.6541875,-92.0443125,17152855313,https://diolc.org/parish/st-joseph-parish-2/,0,0,0,False,https://catholicindex.org/mass-times/alma-wisconsin,2026-02-22T08:21:13.999930+00:00
us-wi-armstrong-creek-st-stanislaus-kostka-fb0615f9,St Stanislaus Kostka Church,521 US Hwy 8,Armstrong Creek,Wisconsin,45.65803666,-88.4484111,(715) 336-2334,http://www.facebook.com/stsjoanandstan/,0,0,0,False,https://catholicindex.org/mass-times/amberg-wisconsin,2026-02-22T08:21:21.451140+00:00
us-wi-armstrong-creek-st-stanislaus-kostka-church-4ea501a4,St Stanislaus Kostka Church,521 US-8,Armstrong Creek,WI,45.6580323,-88.4484462,+1-715-336-2334,http://abvmcast.org/ststanislaus.html,0,0,0,False,https://catholicindex.org/mass-times/amberg-wisconsin,2026-02-22T08:21:21.451140+00:00
us-wi-ashland-our-lady-of-the-lake-62e528d7,Our Lady of the Lake,201 Lake Shore Dr E,Ashland,Wisconsin,46.59362717,-90.88254944,(715) 682-7620,http://www.ourladyashland.faith/,7,0,0,False,https://catholicindex.org/mass-times/ashland-wisconsin,2026-02-22T08:21:47.003623+00:00
us-wi-ashland-st-mary-catholic-church-b9236f0e,St Mary Catholic Church,69529 Old Odanah Rd,Ashland,WI,46.6085443,-90.6981498,+1-715-373-2132,https://www.ourladyashland.faith/,2,0,0,False,https://catholicindex.org/mass-times/ashland-wisconsin,2026-02-22T08:21:47.003623+00:00
us-wi-ashland-st-mary-59967a84,St. Mary,69529 Old Odanah Rd,Ashland,Wisconsin,46.60872938,-90.69822246,(715) 682-7620,http://ourladyashland.faith/,1,0,0,False,https://catholicindex.org/mass-times/ashland-wisconsin,2026-02-22T08:21:47.003623+00:00
