slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,source_url,last_scraped
us--non-completed-mount-carmel-monastery-68c86634,Mount Carmel Monastery,Cody Wyoming,(non-completed),,44.2658125,-109.1404375,$undefined,https://newmountcarmelfoundation.org/,14,0,0,False,https://catholicindex.org/mass-times/meeteetse-wyoming,2026-02-22T08:36:20.992244+00:00
us-wy-albin-st-joseph-catholic-church-d94f0e49,St. Joseph Catholic Church,2898 WY-215,Albin,WY,41.4181973,-104.0926232,+1-307-245-3761,https://masstime.us/st-joseph-catholic-church-albin-wyoming/,1,0,0,False,https://catholicindex.org/mass-times/albin-wyoming,2026-02-22T08:33:36.836494+00:00
us-wy-albin-st-joseph-4a6d12b5,St. Joseph Mission,2898 Hwy 215 and 216,Albin,Wyoming,41.41808795,-104.09237758,(307) 245-3761,$undefined,1,0,0,False,https://catholicindex.org/mass-times/albin-wyoming,2026-02-22T08:33:36.836494+00:00
us-wy-alta-chapel-of-the-sacred-heart-80a26f2f,Chapel of the Sacred Heart,Teton Park Rd,Alta,WY,43.8453097,-110.602997,+1-307-733-2516,https://olmcatholic.org/,14,0,0,False,https://catholicindex.org/mass-times/jackson-wyoming,2026-02-22T08:35:38.834524+00:00
us-wy-baggs-our-lady-of-the-sage-68d5bf2e,Our Lady of the Sage Mission,Hwy 70 and 2nd St,Baggs,Wyoming,41.03463818,-107.65198572,(307) 324-4631,$undefined,1,0,0,False,https://catholicindex.org/mass-times/baggs-wyoming,2026-02-22T08:33:50.302378+00:00
us-wy-basin-st-philip-mission-129a85a5,St. Philip Mission,Ave D,Basin,Wyoming,44.38125,-108.04125,$undefined,http://www.worland.com/magdalen,0,0,0,False,https://catholicindex.org/mass-times/basin-wyoming,2026-02-22T08:33:54.880533+00:00
us-wy-big-piney-st-ann-b1e50c09,St. Anne Mission,421 Piney Dr,Big Piney,Wyoming,42.54017734,-110.11363504,(307) 367-2359,http://ourladyofpeacewy.com/,3,0,0,False,https://catholicindex.org/mass-times/big-piney-wyoming,2026-02-22T08:34:00.880622+00:00
us-wy-buffalo-st-john-the-baptist-50a82f19,St. John the Baptist,532 N Lobban Ave,Buffalo,Wyoming,44.35319091,-106.69660482,(307) 684-7268,http://sjbc-buffalo.com/,8,0,0,False,https://catholicindex.org/mass-times/buffalo-wyoming,2026-02-22T08:34:06.906416+00:00
us-wy-carpenter-st-peter-5ba13829,St. Peter Mission,316 4th St,Carpenter,Wyoming,41.04517633,-104.36098121,(307) 245-3761,$undefined,1,0,0,False,https://catholicindex.org/mass-times/carpenter-wyoming,2026-02-22T08:34:14.436837+00:00
us-wy-casper-our-lady-of-fatima-d7534a98,Our Lady of Fatima,1401 CY Ave,Casper,Wyoming,42.83195665,-106.34142835,(307) 265-5586,https://fatimaincasper.org/,9,0,0,False,https://catholicindex.org/mass-times/casper-wyoming,2026-02-22T08:34:15.824805+00:00
us-wy-casper-st-anthony-of-padua-168ea46a,St. Anthony,604 S Center St,Casper,Wyoming,42.84386788,-106.32537771,(307) 266-2666,https://stawy.org/,4,0,0,False,https://catholicindex.org/mass-times/casper-wyoming,2026-02-22T08:34:15.824805+00:00
us-wy-casper-st-patrick-efba4950,St. Patrick,400 Country Club Rd,Casper,Wyoming,42.84597101,-106.29078753,(307) 235-5535,https://stpatricks-casper.com,8,0,0,False,https://catholicindex.org/mass-times/casper-wyoming,2026-02-22T08:34:15.824805+00:00
us-wy-cheyenne-holy-trinity-4cb90d11,Holy Trinity,1808 Hot Springs Ave,Cheyenne,Wyoming,41.14235608,-104.7855111,(307) 632-5872,https://www.holytrinitycheyenne.org/,7,0,0,False,https://catholicindex.org/mass-times/carpenter-wyoming,2026-02-22T08:34:14.436837+00:00
us-wy-cheyenne-st-joseph-b0b275e9,St. Joseph,314 E 6th St,Cheyenne,Wyoming,41.12534959,-104.8057857,(307) 634-4625,http://www.stjosephscheyenne.org/,9,0,0,False,https://catholicindex.org/mass-times/carpenter-wyoming,2026-02-22T08:34:14.436837+00:00
us-wy-cheyenne-st-mary-2665f7dc,St. Mary’s Cathedral,2107 Capitol Ave,Cheyenne,Wyoming,41.13747088,-104.81784409,(307) 635-9261,https://www.stmarycathedral.com/,16,0,0,False,https://catholicindex.org/mass-times/carpenter-wyoming,2026-02-22T08:34:14.436837+00:00
us-wy-chugwater-mary-queen-of-heaven-a7e77747,Mary Queen of Heaven Mission,401 5th St,Chugwater,Wyoming,41.76045295,-104.82276155,(397) 322-2070,http://www.stpatricks-wheatland.com/,8,0,0,False,https://catholicindex.org/mass-times/chugwater-wyoming,2026-02-22T08:34:20.317174+00:00
us-wy-clark-our-lady-of-the-valley-28e96798,Our Lady of the Valley Mission,35 Rd 1AFW,Clark,Wyoming,44.94221592,-109.10184998,(307) 587-3388,https://www.stanthonycody.org,3,0,0,False,https://catholicindex.org/mass-times/powell-wyoming,2026-02-22T08:36:49.478208+00:00
us-wy-clearmont-st-mary-e665c35c,St. Mary Mission,1601 Clear Creek Ave,Clearmont,Wyoming,44.64189232,-106.37865787,(307) 684-7268,http://sjbc-buffalo.com/,7,0,0,False,https://catholicindex.org/mass-times/clearmont-wyoming,2026-02-22T08:34:21.949940+00:00
us-wy-cody-st-anthony-5ffe94ea,St. Anthony of Padua,1333 Monument St,Cody,Wyoming,44.52347783,-109.0768154,(307) 587-3388,https://www.stanthonycody.org,10,0,0,False,https://catholicindex.org/mass-times/powell-wyoming,2026-02-22T08:36:49.478208+00:00
us-wy-cody-st-luke-ukrainian-43c4c3b1,St. Luke (Ukrainian),1922 Bighorn Ave,Cody,Wyoming,44.53298438,-109.05004673,+1.785.991.0788,http://stlukecody.org,0,0,0,False,https://catholicindex.org/mass-times/powell-wyoming,2026-02-22T08:36:49.478208+00:00
us-wy-diamondville-st-patrick-030b175b,St. Patrick,65 McGovern Ave,Diamondville,Wyoming,41.78574133,-110.5408248,(307) 877-4573,http://stpatskemmerer.org/,8,0,0,False,https://catholicindex.org/mass-times/diamondville-wyoming,2026-02-22T08:34:36.872837+00:00
us-wy-douglas-st-james-b666e6f2,St. James,311 S 5th St,Douglas,Wyoming,42.75647611,-105.38147198,(307) 358-2338,http://www.stjameswy.org/,7,0,0,False,https://catholicindex.org/mass-times/douglas-wyoming,2026-02-22T08:34:39.888516+00:00
us-id-driggs-good-shepherd-5a206bfb,Good Shepherd,2559 S ID-33,Driggs,Idaho,43.6862387,-111.10786008,208-624-7459,http://www.uppervalleycatholic.com/,3,0,0,False,https://catholicindex.org/mass-times/jackson-wyoming,2026-02-22T08:35:38.834524+00:00
us-wy-dubois-our-lady-of-the-woods-ccd21031,Our Lady of the Woods Mission,4 S Riverton St,Dubois,Wyoming,43.5333923,-109.63614837,(307) 455-2533,http://stmargaretriverton.com/,4,0,0,False,https://catholicindex.org/mass-times/dubois-wyoming,2026-02-22T08:34:41.335414+00:00
us-wy-ethete-st-joseph-3d46be4d,St. Joseph Mission,468 Ethete Rd,Ethete,Wyoming,43.02634888,-108.78585093,(307) 332-4415,$undefined,3,0,0,False,https://catholicindex.org/mass-times/fort-washakie-wyoming,2026-02-22T08:34:59.407620+00:00
us-wy-evanston-st-mary-magdalen-d8d2e430,St. Mary Magdalen,813 Center St,Evanston,Wyoming,41.26572321,-110.96515613,(307) 789-2189,https://www.stmmagdalen.com/,7,0,0,False,https://catholicindex.org/mass-times/evanston-wyoming,2026-02-22T08:34:50.366894+00:00
us-wy-fort-bridger-st-helen-0b74dc0c,St. Helen Mission,37117 Business Loop I-80,Fort Bridger,Wyoming,41.31786008,-110.38662344,(307) 789-2189,https://www.stmmagdalen.com/,7,0,0,False,https://catholicindex.org/mass-times/fort-bridger-wyoming,2026-02-22T08:34:56.315720+00:00
us-wy-fort-washakie-blessed-sacrament-mission-b3454466,Blessed Sacrament Mission,9 Black Coal Dr,Fort Washakie,Wyoming,43.0029375,-108.8809375,$undefined,http://daithi4.tripod.com,0,0,0,False,https://catholicindex.org/mass-times/fort-washakie-wyoming,2026-02-22T08:34:59.407620+00:00
us-wy-gillette-st-matthews-302c939a,St. Matthew,900 Butler Spaeth Rd,Gillette,Wyoming,44.28601379,-105.47919807,(307) 682-3319,http://stmatthewswy.weconnect.com/,10,0,0,False,https://catholicindex.org/mass-times/gillette-wyoming,2026-02-22T08:35:09.940576+00:00
us-wy-gillette-st-matthews-catholic-church-ff86fa6b,St. Matthew's Catholic Church,900 Butler-Spaeth Rd,Gillette,WY,44.2860176,-105.4795113,+1-307-682-3319,https://stmatthewswy.weconnect.com/,10,0,0,False,https://catholicindex.org/mass-times/gillette-wyoming,2026-02-22T08:35:09.940576+00:00
us-wy-glendo-our-lady-of-lourdes-4d980972,Our Lady of Lourdes Mission,423 A St,Glendo,Wyoming,42.50249911,-105.0239509,(307) 358-2338,http://www.stjamesdouglas.org/missions,0,0,0,False,https://catholicindex.org/mass-times/glendo-wyoming,2026-02-22T08:35:11.395277+00:00
us-wy-glenrock-st-louis-f4719870,St. Louis,601 S 5th St,Glenrock,Wyoming,42.85685576,-105.87358051,(307) 436-9529,http://www.saintlouischurch.org/,3,0,0,False,https://catholicindex.org/mass-times/casper-wyoming,2026-02-22T08:34:15.824805+00:00
us-wy-green-river-immaculate-conception-bad9b0e2,Immaculate Conception,900 Hitching Post Dr,Green River,Wyoming,41.50790316,-109.46315487,(307) 875-2184,http://gricc.net/,19,0,0,False,https://catholicindex.org/mass-times/green-river-wyoming,2026-02-22T08:35:17.363720+00:00
us-wy-greybull-sacred-heart-dcc6a06b,Sacred Heart,540 5th Ave N,Greybull,Wyoming,44.49408544,-108.05503264,(307) 765-2438,https://www.sacredheartgreybull.com/,5,0,0,False,https://catholicindex.org/mass-times/basin-wyoming,2026-02-22T08:33:54.880533+00:00
us-wy-guernsey-st-anthony-1016e627,St. Anthony,N Kansas & Whelan Streets,Guernsey,Wyoming,42.2719,-104.7638,(307) 836-2586,http://www.strosetorrington.org/,3,0,0,False,https://catholicindex.org/mass-times/glendo-wyoming,2026-02-22T08:35:11.395277+00:00
us-wy-guernsey-church-of-st-anthony-d7c56134,St. Anthony,96 N Kansas St,Guernsey,Wyoming,42.2700625,-104.7468125,13078362586,https://www.strosetorrington.org/,3,0,0,False,https://catholicindex.org/mass-times/glendo-wyoming,2026-02-22T08:35:11.395277+00:00
us-wy-hanna-st-joseph-c856abf9,St. Joseph Mission,3 Heather Dr,Hanna,Wyoming,41.85913663,-106.56263639,(307) 326.5444,https://dcwy.org/,0,0,0,False,https://catholicindex.org/mass-times/hanna-wyoming,2026-02-22T08:35:23.520210+00:00
us-wy-hudson-ascension-1b55b64d,Ascension,208 S Ohio,Hudson,Wyoming,42.90465443,-108.58010897,(307) 332-4952,http://www.holyrosarylander.org/our-missions,1,0,0,False,https://catholicindex.org/mass-times/fort-washakie-wyoming,2026-02-22T08:34:59.407620+00:00
us-wy-hulett-st-matthew-f67e3e8b,St. Matthew,206 Hunter St,Hulett,Wyoming,44.68539811,-104.60176995,(307) 682-3319,$undefined,1,0,0,False,https://catholicindex.org/mass-times/hulett-wyoming,2026-02-22T08:35:33.958306+00:00
us-wy-jackson-sacred-heart-603709cc,Chapel of the Sacred Heart Mission,P.O Box 992,Jackson,Wyoming,43.84516905,-110.60293869,(307) 733-2516,https://www.olmcatholic.org,13,0,0,False,https://catholicindex.org/mass-times/jackson-wyoming,2026-02-22T08:35:38.834524+00:00
us-wy-jackson-our-lady-of-the-mountains-40fb54d9,Our Lady of the Mountains,201 Jackson St,Jackson,Wyoming,43.47714004,-110.76673178,(307) 733-2516,https://www.olmcatholic.org,14,0,0,False,https://catholicindex.org/mass-times/jackson-wyoming,2026-02-22T08:35:38.834524+00:00
us-wy-jeffrey-city-st-brendan-b33a606e,St. Brendan Mission,2323 Sweetwater Blvd,Jeffrey City,Wyoming,42.49454465,-107.82899507,(307) 332-4952,$undefined,1,0,0,False,https://catholicindex.org/mass-times/jeffrey-city-wyoming,2026-02-22T08:35:41.827848+00:00
us-wy-kaycee-st-hubert-b7129e32,St. Hubert,1080 Sussex Rd,Kaycee,Wyoming,43.6933616,-106.43500916,(307) 684-7268,http://sjbc-buffalo.com/,1,0,0,False,https://catholicindex.org/mass-times/kaycee-wyoming,2026-02-22T08:35:44.873881+00:00
us-ne-kimball-st-joseph-0890137f,St. Joseph,507 S Howard St,Kimball,Nebraska,41.23225399,-103.66550108,(308) 235-2162,http://www.kimballstjosephs.com/,7,0,0,False,https://catholicindex.org/mass-times/pine-bluffs-wyoming,2026-02-22T08:36:43.404560+00:00
us-wy-kinnear-st-edward-d1456029,St. Edward Mission,11350 U.S Hwy 26,Kinnear,Wyoming,43.16127283,-108.70940596,(307) 856-3757,https://stmargaretriverton.com/,13,0,0,False,https://catholicindex.org/mass-times/fort-washakie-wyoming,2026-02-22T08:34:59.407620+00:00
us-wy-lander-holy-rosary-ee5b5737,Holy Rosary,163 Leedy Dr,Lander,Wyoming,42.82755788,-108.71635659,(307) 332-4952,http://holyrosarylander.org/,6,0,0,False,https://catholicindex.org/mass-times/fort-washakie-wyoming,2026-02-22T08:34:59.407620+00:00
us-wy-laramie-st-laurence-otoole-58f20d6f,St. Laurence O’Toole,319 Grand Ave,Laramie,Wyoming,41.31120343,-105.59238143,(307) 745-3115,https://www.stlaurenceotoole.org/,8,0,0,False,https://catholicindex.org/mass-times/laramie-wyoming,2026-02-22T08:35:58.429453+00:00
us-wy-laramie-st-pauls-newman-center-0f65ddb0,St. Paul Newman Center,1800 E Grand Ave,Laramie,Wyoming,41.30957813,-105.57277942,(307) 745-5461,https://www.newmancenter.org,7,0,0,False,https://catholicindex.org/mass-times/laramie-wyoming,2026-02-22T08:35:58.429453+00:00
us-wy-lovell-st-joseph-32ab10ca,St. Joseph,1141 Shoshoni Ave,Lovell,Wyoming,44.82617461,-108.39321318,(307) 548-2282,https://www.stjosephlovell.com/,5,0,0,False,https://catholicindex.org/mass-times/lovell-wyoming,2026-02-22T08:36:08.894253+00:00
us-wy-lusk-st-leo-474ce3cb,St. Leo,900 W 5th St,Lusk,Wyoming,42.75963034,-104.46258621,(307) 334-2702,http://www.strosetorrington.org/,1,0,0,False,https://catholicindex.org/mass-times/lusk-wyoming,2026-02-22T08:36:10.363882+00:00
us-ne-lyman-sacred-heart-be3def52,Sacred Heart,203 E O St,Lyman,Nebraska,41.91654114,-104.03726374,(308) 623-2245,http://smasshcatholics.org/,6,0,0,False,https://catholicindex.org/mass-times/torrington-wyoming,2026-02-22T08:37:34.541361+00:00
us-wy-medicine-bow-st-malachy-4e434193,St. Malachy Mission,Hwy 30,Medicine Bow,Wyoming,41.89587291,-106.20650339,(307) 326-5461,$undefined,0,0,0,False,https://catholicindex.org/mass-times/hanna-wyoming,2026-02-22T08:35:23.520210+00:00
us-wy-meeteetse-st-theresa-0f90b1ba,St. Theresa Mission,1402 State St,Meeteetse,Wyoming,44.16198816,-108.87527266,(307) 587-3388,https://www.stanthonycody.org,2,0,0,False,https://catholicindex.org/mass-times/meeteetse-wyoming,2026-02-22T08:36:20.992244+00:00
us-ne-mitchell-st-theresa-bb284f4c,St. Theresa,1715 17th St,Mitchell,Nebraska,41.94476437,-103.81151845,(308) 623-2245,http://sbcotriparishes.org,1,0,0,False,https://catholicindex.org/mass-times/torrington-wyoming,2026-02-22T08:37:34.541361+00:00
us-wy-moorcroft-st-patrick-4b67fb84,St. Patrick Mission,219 N Belle Fourche Ave,Moorcroft,Wyoming,44.2651484,-104.94890859,(307) 682-3319,http://stmatthewswy.weconnect.com/,1,0,0,False,https://catholicindex.org/mass-times/moorcroft-wyoming,2026-02-22T08:36:26.991449+00:00
us-ne-morrill-st-ann-373bb57c,St. Ann,Hwy 26 & Walsh St,Morrill,Nebraska,41.96363819,-103.91972252,(308) 623-2245,http://sbcotriparishes.org,1,0,0,False,https://catholicindex.org/mass-times/torrington-wyoming,2026-02-22T08:37:34.541361+00:00
us-wy-newcastle-corpus-christi-of-newcastle-8bc2613e,Corpus Christi,19 W Winthrop,Newcastle,Wyoming,43.85291563,-104.20093857,(307) 746-4219,http://www.newcastlecorpuschristi.org/,9,0,0,False,https://catholicindex.org/mass-times/newcastle-wyoming,2026-02-22T08:36:34.402143+00:00
us-wy-pine-bluffs-st-paul-393aa4bd,St. Paul,501 E 4th St,Pine Bluffs,Wyoming,41.18094197,-104.06231738,(307) 245-3761,http://stpaulpinebluffs.org/,4,0,0,False,https://catholicindex.org/mass-times/albin-wyoming,2026-02-22T08:33:36.836494+00:00
us-wy-pinedale-our-lady-of-peace-5f9e5a35,Our Lady of Peace,112 S Sublette Ave,Pinedale,Wyoming,42.86541858,-109.85867144,(307) 367-2359,http://www.ourladyofpeacewy.com/,17,0,0,False,https://catholicindex.org/mass-times/pinedale-wyoming,2026-02-22T08:36:45.012801+00:00
us-wy-powell-st-barbara-7dce0404,St. Barbara,115 E 3rd St,Powell,Wyoming,44.75560172,-108.75873039,(307) 754-2480,http://www.stbarbaracatholic.org/,8,0,0,False,https://catholicindex.org/mass-times/lovell-wyoming,2026-02-22T08:36:08.894253+00:00
us-wy-ranchester-st-edmund-972478bd,St. Edmund Mission,310 Historic Hwy 14,Ranchester,Wyoming,44.90872018,-107.16293994,(307) 672-2848,https://www.holynamesheridan.org,25,0,0,False,https://catholicindex.org/mass-times/ranchester-wyoming,2026-02-22T08:36:52.434620+00:00
us-wy-rawlins-st-joseph-2ee59d9d,St. Joseph,219 W Pine St,Rawlins,Wyoming,41.79046503,-107.238306,(307) 324-4631,http://stjosephsrawlins.org/,8,0,0,False,https://catholicindex.org/mass-times/rawlins-wyoming,2026-02-22T08:36:53.870350+00:00
us-wy-riverton-st-margaret-2dc8d4d4,St. Margaret,620 E FREMONT,Riverton,Wyoming,43.02582848,-108.38239131,(307) 856-3757,http://stmargaretriverton.com/,8,0,0,False,https://catholicindex.org/mass-times/hudson-wyoming,2026-02-22T08:35:32.517150+00:00
us-wy-rock-springs-our-lady-of-sorrowsholy-spirit-06bc0706,Our Lady of Sorrows,116 Broadway ,Rock Springs,Wyoming,41.58474475,-109.22175296,(307) 362-2611,http://hsccwyo.org,0,0,0,False,https://catholicindex.org/mass-times/green-river-wyoming,2026-02-22T08:35:17.363720+00:00
us-wy-rock-springs-sts-cyril-and-methodiusholy-spirit-c48099ee,Sts. Cyril and Methodius,633 Bridger Ave,Rock Springs,Wyoming,41.59133906,-109.21983255,(307) 362-2611,http://hsccwyo.org/,0,0,0,False,https://catholicindex.org/mass-times/green-river-wyoming,2026-02-22T08:35:17.363720+00:00
us-wy-saint-stephens-blessed-sacrament-ca069d76,Blessed Sacrament,33 St Stephens Rd,Saint Stephens,Wyoming,43.0003,-108.8553,(307) 856-7806,http://saintstephensmission.com/,1,0,0,False,https://catholicindex.org/mass-times/fort-washakie-wyoming,2026-02-22T08:34:59.407620+00:00
us-wy-saratoga-st-ann-973d4ccc,St. Ann,218 W Spring Ave,Saratoga,Wyoming,41.45395764,-106.81047962,(307) 326-5461,http://stannwy.org/,8,0,0,False,https://catholicindex.org/mass-times/saratoga-wyoming,2026-02-22T08:37:08.972910+00:00
us-wy-sheridan-holy-name-babc94e1,Holy Name,260 E Loucks,Sheridan,Wyoming,44.79697067,-106.95206363,(307) 672-2848,https://www.holynamesheridan.org/,14,0,0,False,https://catholicindex.org/mass-times/ranchester-wyoming,2026-02-22T08:36:52.434620+00:00
us-wy-shoshoni-st-joseph-4a273ebf,St. Joseph,211 Wyoming St,Shoshoni,Wyoming,43.23604621,-108.10931827,(307) 856-3757,$undefined,0,0,0,False,https://catholicindex.org/mass-times/riverton-wyoming,2026-02-22T08:36:58.599764+00:00
us-wy-st-stephens-st-stephens-7e273dbc,St. Stephen Mission,33 St Stephens Rd,St Stephens,Wyoming,42.98420937,-108.41540776,(307) 856-7806,http://saintstephensmission.com/,7,0,0,False,https://catholicindex.org/mass-times/fort-washakie-wyoming,2026-02-22T08:34:59.407620+00:00
us-wy-story-our-lady-of-the-pines-mission-church-13859be3,Our Lady of The Pines Mission Church,34 Wagon Box Rd,Story,WY,44.5690398,-106.8921651,+1-307-672-2848,https://www.holynamesheridan.org/mission-churches,30,0,0,False,https://catholicindex.org/mass-times/buffalo-wyoming,2026-02-22T08:34:06.906416+00:00
us-wy-story-our-lady-of-the-pines-2d7cb3f8,Our Lady of the Pines Mission,34 Wagon Box Rd,Story,Wyoming,44.5689688,-106.89218632,(307) 672-2848,https://www.holynamesheridan.org/,14,0,0,False,https://catholicindex.org/mass-times/buffalo-wyoming,2026-02-22T08:34:06.906416+00:00
us-wy-sundance-st-paul-81dcf914,St. Paul Mission,805 E Oak St,Sundance,Wyoming,44.40934022,-104.3733139,(307) 746-4219,https://www.newcastlecorpuschristi.org,1,0,0,False,https://catholicindex.org/mass-times/hulett-wyoming,2026-02-22T08:35:33.958306+00:00
us-wy-superior-st-vivian-fdced8b6,St. Vivian,Upper Superior Rd,Superior,Wyoming,41.76852319,-108.97026184,(307) 362-2611,$undefined,1,0,0,False,https://catholicindex.org/mass-times/rock-springs-wyoming,2026-02-22T08:37:02.993978+00:00
us-wy-superior-st-vivian-mission-2d890fae,St. Vivian Mission,371,Superior,Wyoming,41.76375,-108.96875,13073622611,$undefined,0,0,0,False,https://catholicindex.org/mass-times/rock-springs-wyoming,2026-02-22T08:37:02.993978+00:00
us-wy-thayne-holy-family-feba2a7f,Holy Family,78 Friesian Cir,Thayne,Wyoming,42.95133382,-111.00930977,(307) 883-3429,https://www.holyfamilywy.org/,21,0,0,False,https://catholicindex.org/mass-times/thayne-wyoming,2026-02-22T08:37:30.041892+00:00
us-wy-thermopolis-st-francis-fd185b58,St. Francis,801 Arapahoe,Thermopolis,Wyoming,43.64720277,-108.2159088,(307) 864-2458,http://stfrancisthermopolis.com/,2,0,0,False,https://catholicindex.org/mass-times/thermopolis-wyoming,2026-02-22T08:37:31.486594+00:00
us-wy-torrington-st-rose-of-lima-6c49d28b,St. Rose of Lima,605 E 22nd Ave,Torrington,Wyoming,42.0658988,-104.17741804,(307) 532-5556,http://www.strosetorrington.org/,9,0,0,False,https://catholicindex.org/mass-times/torrington-wyoming,2026-02-22T08:37:34.541361+00:00
us-wy-upton-st-anthonys-of-upton-418d9155,St. Anthony Mission,620 Juniper,Upton,Wyoming,44.09819083,-104.62197043,(307) 746-4219,http://www.newcastlecorpuschristi.org/,6,0,0,False,https://catholicindex.org/mass-times/moorcroft-wyoming,2026-02-22T08:36:26.991449+00:00
us-wy-wamsutter-st-anthony-0f8e4624,St Anthony,351 McCormick,Wamsutter,Wyoming,41.67131743,-107.98644527,(307) 362-3493,$undefined,0,0,0,False,https://catholicindex.org/mass-times/wamsutter-wyoming,2026-02-22T08:37:41.988669+00:00
us-wy-wamsutter-church-of-st-anthony-of-the-desert-19be432d,St. Anthony of the Desert,351 McCormick St,Wamsutter,Wyoming,41.6731875,-107.9806875,13073622611,$undefined,0,0,0,False,https://catholicindex.org/mass-times/wamsutter-wyoming,2026-02-22T08:37:41.988669+00:00
us-wy-warren-air-force-base-holy-family-warren-afb-8cb28081,Holy Family (Warren AFB),Bldg 149 7000 Randall Ave,Warren Air Force Base,Wyoming,41.1546956,-104.86433385,(307) 773-3434,http://www.facebook.com/90MWHCCatholic,0,0,0,False,https://catholicindex.org/mass-times/cheyenne-wyoming,2026-02-22T08:34:18.813518+00:00
us-wy-wheatland-st-patrick-9568224d,St. Patrick,1009 9th St,Wheatland,Wyoming,42.05767169,-104.95353898,(307) 322-2070,http://www.stpatricks-wheatland.com/,8,0,0,False,https://catholicindex.org/mass-times/chugwater-wyoming,2026-02-22T08:34:20.317174+00:00
us-wy-worland-st-mary-magdalen-fe95be77,St. Mary Magdalen,1099 Charles Ave,Worland,Wyoming,44.00949626,-107.95519521,(307)347-6441,http://www.worlandcatholic.com/,8,0,0,False,https://catholicindex.org/mass-times/worland-wyoming,2026-02-22T08:37:50.913102+00:00
