city,state_code,state_name,county,latitude,longitude
Aberdeen,OH,Ohio,Brown,38.670864,-83.763723
Ada,OH,Ohio,Hardin,40.770931,-83.815402
Adamsville,OH,Ohio,Muskingum,40.07929,-81.871847
Addyston,OH,Ohio,Hamilton,39.137364,-84.709602
Adelphi,OH,Ohio,Ross,39.466667,-82.747222
Adena,OH,Ohio,Jefferson,40.212581,-80.881538
Akron,OH,Ohio,Summit,41.044852,-81.520048
Albany,OH,Ohio,Athens,39.209664,-82.217727
Alexandria,OH,Ohio,Licking,40.105965,-82.607683
Alger,OH,Ohio,Hardin,40.705967,-83.825011
Alledonia,OH,Ohio,Belmont,39.905271,-80.957753
Alliance,OH,Ohio,Stark,40.915842,-81.118193
Alpha,OH,Ohio,Greene,39.711667,-84.023333
Alvada,OH,Ohio,Seneca,41.046284,-83.376982
Alvordton,OH,Ohio,Williams,41.662489,-84.435533
Amanda,OH,Ohio,Fairfield,39.625104,-82.755236
Amelia,OH,Ohio,Clermont,39.021138,-84.211174
Amesville,OH,Ohio,Athens,39.408641,-81.964976
Amherst,OH,Ohio,Lorain,41.390506,-82.228165
Amlin,OH,Ohio,Franklin,40.07203,-83.179157
Amsterdam,OH,Ohio,Jefferson,40.473131,-80.959554
Andover,OH,Ohio,Ashtabula,41.622488,-80.575374
Anna,OH,Ohio,Shelby,40.405105,-84.210344
Ansonia,OH,Ohio,Darke,40.215064,-84.640642
Antwerp,OH,Ohio,Paulding,41.188736,-84.744796
Apple Creek,OH,Ohio,Wayne,40.755118,-81.809256
Arcadia,OH,Ohio,Hancock,41.111562,-83.50195
Arcanum,OH,Ohio,Darke,39.988367,-84.53702
Archbold,OH,Ohio,Fulton,41.533255,-84.304833
Arlington,OH,Ohio,Hancock,40.876109,-83.668536
Ashland,OH,Ohio,Ashland,40.855892,-82.318931
Ashley,OH,Ohio,Delaware,40.416264,-82.954201
Ashtabula,OH,Ohio,Ashtabula,41.867877,-80.794681
Ashville,OH,Ohio,Pickaway,39.731576,-82.944567
Athens,OH,Ohio,Athens,39.317824,-82.102011
Attica,OH,Ohio,Seneca,41.077755,-82.889721
Atwater,OH,Ohio,Portage,41.033487,-81.198456
Augusta,OH,Ohio,Carroll,40.685833,-81.021111
Aurora,OH,Ohio,Portage,41.320935,-81.360424
Austinburg,OH,Ohio,Ashtabula,41.75536,-80.858422
Ava,OH,Ohio,Noble,39.831667,-81.575
Avon,OH,Ohio,Lorain,41.446713,-82.020359
Avon Lake,OH,Ohio,Lorain,41.501904,-82.011094
Bainbridge,OH,Ohio,Ross,39.213116,-83.276268
Bakersville,OH,Ohio,Coshocton,40.355556,-81.645833
Baltic,OH,Ohio,Tuscarawas,40.447568,-81.679171
Baltimore,OH,Ohio,Fairfield,39.864452,-82.624023
Bannock,OH,Ohio,Belmont,40.098611,-80.977222
Barberton,OH,Ohio,Summit,41.018589,-81.615314
Barlow,OH,Ohio,Washington,39.398611,-81.665
Barnesville,OH,Ohio,Belmont,39.9812,-81.171295
Bartlett,OH,Ohio,Washington,39.419444,-81.815833
Barton,OH,Ohio,Belmont,40.107222,-80.841389
Bascom,OH,Ohio,Seneca,41.132778,-83.285278
Batavia,OH,Ohio,Clermont,39.095661,-84.145125
Bath,OH,Ohio,Summit,41.188889,-81.636389
Bay Village,OH,Ohio,Cuyahoga,41.484137,-81.928868
Beach City,OH,Ohio,Stark,40.656199,-81.585129
Beachwood,OH,Ohio,Cuyahoga,41.470109,-81.523172
Beallsville,OH,Ohio,Monroe,39.872601,-81.014358
Beaver,OH,Ohio,Pike,39.023847,-82.847469
Beaverdam,OH,Ohio,Allen,40.833333,-83.976667
Bedford,OH,Ohio,Cuyahoga,41.392067,-81.52315
Bellaire,OH,Ohio,Belmont,40.020399,-80.763813
Bellbrook,OH,Ohio,Greene,39.640187,-84.08245
Belle Center,OH,Ohio,Logan,40.502371,-83.768773
Belle Valley,OH,Ohio,Noble,39.790556,-81.556389
Bellefontaine,OH,Ohio,Logan,40.360472,-83.757076
Bellevue,OH,Ohio,Huron,41.268432,-82.85765
Bellville,OH,Ohio,Richland,40.613604,-82.517516
Belmont,OH,Ohio,Belmont,40.03202,-81.006564
Belmore,OH,Ohio,Putnam,41.098333,-83.984722
Beloit,OH,Ohio,Mahoning,40.895678,-80.989669
Belpre,OH,Ohio,Washington,39.286772,-81.596795
Benton Ridge,OH,Ohio,Hancock,41.004722,-83.794167
Bentonville,OH,Ohio,Adams,38.749444,-83.613333
Berea,OH,Ohio,Cuyahoga,41.367557,-81.861756
Bergholz,OH,Ohio,Jefferson,40.47771,-80.886153
Berkey,OH,Ohio,Lucas,41.698892,-83.830972
Berlin,OH,Ohio,Holmes,40.561111,-81.794444
Berlin Center,OH,Ohio,Mahoning,41.024319,-80.934104
Berlin Heights,OH,Ohio,Erie,41.320519,-82.477713
Bethel,OH,Ohio,Clermont,38.94236,-84.09195
Bethesda,OH,Ohio,Belmont,40.019221,-81.076742
Bettsville,OH,Ohio,Seneca,41.246389,-83.235833
Beverly,OH,Ohio,Washington,39.571435,-81.634588
Bidwell,OH,Ohio,Gallia,38.927647,-82.270092
Big Prairie,OH,Ohio,Holmes,40.618777,-82.072048
Birmingham,OH,Ohio,Erie,41.33,-82.360833
Blacklick,OH,Ohio,Franklin,40.020952,-82.807857
Bladensburg,OH,Ohio,Knox,40.284444,-82.284167
Blaine,OH,Ohio,Belmont,40.067778,-80.8175
Blakeslee,OH,Ohio,Williams,41.524167,-84.730278
Blanchester,OH,Ohio,Clinton,39.303442,-83.973977
Blissfield,OH,Ohio,Coshocton,40.399722,-81.965556
Bloomdale,OH,Ohio,Wood,41.181489,-83.572356
Bloomingburg,OH,Ohio,Fayette,39.628617,-83.409521
Bloomingdale,OH,Ohio,Jefferson,40.3742,-80.807214
Bloomville,OH,Ohio,Seneca,41.018206,-82.989874
Blue Creek,OH,Ohio,Adams,38.756451,-83.35268
Blue Rock,OH,Ohio,Muskingum,39.799996,-81.891023
Bluffton,OH,Ohio,Allen,40.878978,-83.891397
Bolivar,OH,Ohio,Tuscarawas,40.634692,-81.446356
Botkins,OH,Ohio,Shelby,40.465897,-84.177994
Bourneville,OH,Ohio,Ross,39.281944,-83.156667
Bowerston,OH,Ohio,Harrison,40.437056,-81.18624
Bowersville,OH,Ohio,Greene,39.580556,-83.725
Bowling Green,OH,Ohio,Wood,41.381513,-83.650749
Bradford,OH,Ohio,Miami,40.128558,-84.429288
Bradner,OH,Ohio,Wood,41.329789,-83.4456
Brady Lake,OH,Ohio,Portage,41.159444,-81.317222
Brecksville,OH,Ohio,Cuyahoga,41.316554,-81.626083
Brewster,OH,Ohio,Stark,40.714387,-81.598752
Brice,OH,Ohio,Franklin,39.918056,-82.832222
Bridgeport,OH,Ohio,Belmont,40.075184,-80.774682
Brilliant,OH,Ohio,Jefferson,40.268283,-80.631949
Brinkhaven,OH,Ohio,Knox,40.458346,-82.155289
Bristolville,OH,Ohio,Trumbull,41.379749,-80.856839
Broadview Heights,OH,Ohio,Cuyahoga,41.32907,-81.680879
Broadway,OH,Ohio,Union,40.341111,-83.412222
Brook Park,OH,Ohio,Cuyahoga,41.397944,-81.811811
Brookfield,OH,Ohio,Trumbull,41.247957,-80.578767
Brookville,OH,Ohio,Montgomery,39.841393,-84.416464
