city,state_code,state_name,county,latitude,longitude
Adak,AK,Alaska,Aleutians West,55.999722,-161.207778
Akiachak,AK,Alaska,Bethel,60.891854,-161.39233
Akiak,AK,Alaska,Bethel,60.890632,-161.199325
Akutan,AK,Alaska,Aleutians East,54.143012,-165.785368
Alakanuk,AK,Alaska,Kusilvak,62.746967,-164.60228
Aleknagik,AK,Alaska,Dillingham,59.269688,-158.619882
Allakaket,AK,Alaska,Yukon Koyukuk,66.543197,-152.712155
Ambler,AK,Alaska,Northwest Arctic,67.46951,-156.455652
Anaktuvuk Pass,AK,Alaska,North Slope,68.11878,-151.679005
Anchor Point,AK,Alaska,Kenai Peninsula,59.788818,-151.732933
Anchorage,AK,Alaska,Anchorage,61.211571,-149.876077
Anderson,AK,Alaska,Denali,64.300693,-149.1718
Angoon,AK,Alaska,Skagway Hoonah Angoon,57.569832,-134.371052
Aniak,AK,Alaska,Bethel,61.691648,-157.758502
Anvik,AK,Alaska,Yukon Koyukuk,62.830913,-160.130441
Arctic Village,AK,Alaska,Yukon Koyukuk,68.077395,-145.423115
Atka,AK,Alaska,Aleutians West,52.199167,-174.213333
Atqasuk,AK,Alaska,North Slope,71.290556,-156.788611
Auke Bay,AK,Alaska,Juneau,58.3833,-134.6597
Barrow,AK,Alaska,North Slope,71.234637,-156.817409
Beaver,AK,Alaska,Yukon Koyukuk,66.33883,-147.279803
Bethel,AK,Alaska,Bethel,60.832389,-161.824053
Bettles Field,AK,Alaska,Yukon Koyukuk,67.100495,-151.062414
Big Lake,AK,Alaska,Matanuska Susitna,61.5842,-149.4401
Brevig Mission,AK,Alaska,Nome,65.334187,-166.478578
Buckland,AK,Alaska,Northwest Arctic,65.981052,-161.131676
Cantwell,AK,Alaska,Denali,63.395458,-148.89735
Central,AK,Alaska,Yukon Koyukuk,65.468058,-144.74886
Chalkyitsik,AK,Alaska,Yukon Koyukuk,66.719,-143.638121
Chefornak,AK,Alaska,Bethel,60.153746,-164.210294
Chevak,AK,Alaska,Kusilvak,61.583982,-164.776457
Chicken,AK,Alaska,Southeast Fairbanks,64.075,-141.933333
Chignik,AK,Alaska,Lake And Peninsula,56.301639,-158.415696
Chignik Lagoon,AK,Alaska,Lake And Peninsula,56.251277,-158.673528
Chignik Lake,AK,Alaska,Lake And Peninsula,56.255556,-158.7625
Chitina,AK,Alaska,Valdez Cordova,61.516667,-144.436667
Chugiak,AK,Alaska,Anchorage,61.409802,-149.453736
Circle,AK,Alaska,Yukon Koyukuk,65.824542,-144.08262
Clam Gulch,AK,Alaska,Kenai Peninsula,60.201603,-151.422628
Clarks Point,AK,Alaska,Dillingham,58.84921,-158.451241
Clear,AK,Alaska,Denali,64.418121,-149.139885
Coffman Cove,AK,Alaska,Prince Wales Ketchikan,55.342222,-131.646111
Cold Bay,AK,Alaska,Aleutians East,55.610952,-161.942941
Cooper Landing,AK,Alaska,Kenai Peninsula,60.476692,-149.823514
