person_name,title,first_name,middle_name,last_name,primary_role,all_roles,church_count,churches,church_names,city_count,cities,states,pdf_count,bulletin_count_with_date,earliest_bulletin,latest_bulletin,active_2026,active_2025,active_2024,years_active,confidence
Aamir Bhatti,Fr.,Aamir,,Bhatti,Priest,Priest,1,us-md-nottingham-st-joseph-a2e540aa,St. Joseph,1,Nottingham,maryland,1,0,,,False,False,False,,high
Aaron Alexandra,Deacon,Aaron,,Alexandra,Deacon,Deacon,1,us-tx-el-campo-st-philip-the-apostle-50074354,St. Philip the Apostle,1,El Campo,texas,1,1,2025-03-02,2025-03-02,False,True,False,2025,high
Aaron B. Loggins,Deacon,Aaron,B.,Loggins,Deacon,Deacon,1,us-nm-albuquerque-our-lady-of-the-assumption-90e4b7fa,Our Lady of the Assumption,1,Albuquerque,new_mexico,1,1,2024-04-01,2024-04-01,False,False,True,2024,high
Aaron Becker,Fr.,Aaron,,Becker,Priest,Priest,1,us-wi-wittenberg-st-joseph-ddfdab10,St. Joseph,1,Wittenberg,wisconsin,1,0,,,False,False,False,,high
Aaron Begin,Fr.,Aaron,,Begin,Priest,Priest,1,us-in-gary-ss-monica-and-luke-45915ca5,Sts. Monica and Luke,1,Gary,indiana,1,0,,,False,False,False,,high
Aaron Bohr,Fr.,Aaron,,Bohr,Priest,Priest,2,us-il-chicago-jesus-bread-of-life-parish-our-lady-of-grace-church-5acec087; us-il-chicago-jesus-bread-of-life-parish-st-sylvester-church-c5d2c26b,"Jesus, Bread of Life Parish -Our Lady of Grace Church; Jesus, Bread of Life Parish -St. Sylvester Church",1,Chicago,illinois,2,0,,,False,False,False,,high
Aaron Braden,Rev.,Aaron,,Braden,Priest,Priest,1,us-la-scott-sts-peter-paul-e9e21dc8,Sts. Peter and Paul,1,Scott,louisiana,1,0,,,False,False,False,,high
Aaron Celebrate,Brother,Aaron,,Celebrate,Brother,Brother,1,us-nj-iselin-st-cecelia-228dbd8a,St. Cecilia,1,Iselin,new_jersey,1,1,2026-02-22,2026-02-22,True,False,False,2026,high
Aaron Downing,Fr.; Rev.,Aaron,,Downing,Priest,Priest,2,us-il-cary-ss-peter-and-paul-0170c618; us-il-crystal-lake-st-thomas-the-apostle-33c5006d,St. Thomas the Apostle; Sts. Peter and Paul,2,Cary; Crystal Lake,illinois,2,1,2026-02-22,2026-02-22,True,False,False,2026,high
Aaron Garcia,,Aaron,,Garcia,Deacon,Deacon,1,us-tx-san-antonio-st-vincent-de-paul-27a25123,St. Vincent de Paul,1,San Antonio,texas,1,1,2021-02-14,2021-02-14,False,False,False,2021,high
Aaron Griffith,Fr.,Aaron,,Griffith,Priest,Priest,1,us-tx-port-arthur-st-james-c199544c,St. James,1,Port Arthur,texas,1,0,,,False,False,False,,high
Aaron Herrenbruck,Fr.,Aaron,,Herrenbruck,Priest,Priest,4,us-in-celestine-st-celestine-383b26fd; us-in-dubois-st-raphael-6c92459c; us-in-evansville-saint-john-the-evangelist-e85d24a4; us-in-fort-branch-saint-bernard-c1b27918,St John the Evangelist; St. Bernard; St. Peter Celestine; St. Raphael,4,Celestine; Dubois; Evansville; Fort Branch,indiana,4,2,2026-02-15,2026-02-22,True,False,False,2026,high
Aaron Herrenbruck Girl,Fr.,Aaron,Herrenbruck,Girl,Associate Pastor,Associate Pastor,1,us-in-fort-branch-saint-bernard-c1b27918,St. Bernard,1,Fort Branch,indiana,1,1,2025-11-30,2025-11-30,False,True,False,2025,high
Aaron Herrenbruck Winter,Fr.,Aaron,Herrenbruck,Winter,Associate Pastor,Associate Pastor,1,us-in-fort-branch-saint-bernard-c1b27918,St. Bernard,1,Fort Branch,indiana,1,1,2026-02-01,2026-02-01,True,False,False,2026,high
Aaron Herrenbruck friend,Fr.,Aaron,Herrenbruck,friend,Associate Pastor,Associate Pastor,1,us-in-fort-branch-saint-bernard-c1b27918,St. Bernard,1,Fort Branch,indiana,1,1,2025-12-07,2025-12-07,False,True,False,2025,high
Aaron Hess,Fr.,Aaron,,Hess,Priest,Priest,3,us-oh-cincinnati-oratory-of-st-john-vianney-at-st-anthony-581e2ad8; us-oh-cincinnati-st-cecilia-d6257a2b; us-oh-hyde-park-st-mary-43662c3c,St. Anthony Parish; St. Cecilia; St. Mary,2,Cincinnati; Hyde Park,ohio,3,2,2026-02-01,2026-02-20,True,False,False,2026,high
