Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"1112 W 15th St, Anniston, Alabama 36201",(256) 237-9230,Mass,Sun,9:00 AM,,Mass,sunday,english,All Saints Catholic Church,,,,,
All Saints,"1112 W 15th St, Anniston, Alabama 36201",(256) 237-9230,Mass,,5:30 PM,,Mass,special_event,English,All Saints Catholic Church,,2025-11-01,,,Mass
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Mon,7:00 AM,,Mass,weekday,English,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Mon,8:00 AM,,Mass,weekday,english,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"808 College St, Columbus, Mississippi 39701",(662) 328-2927,Mass,Tue,5:30 PM,,Mass,specific_weekday,English,,,,,,no location specified
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Tue,7:00 AM,,Mass,weekday,English,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Tue,8:00 AM,,Mass,weekday,english,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Wed,4:30 PM,,Mass,specific_weekday,English,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Wed,5:30 PM,,Mass,specific_weekday,english,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Wed,7:00 AM,,Mass,weekday,English,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"808 College St, Columbus, Mississippi 39701",(662) 328-2927,Mass,Wed,8:00 AM,,Mass,specific_weekday,English,,,,,,no location specified
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Wed,8:00 AM,,Mass,weekday,english,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Thu,7:00 AM,,Mass,weekday,English,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Thu,8:00 AM,,Mass,weekday,english,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"808 College St, Columbus, Mississippi 39701",(662) 328-2927,Mass,Thu,8:30 AM,,Mass,specific_weekday,English,Annunciation Catholic School,,,,,
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Fri,7:00 AM,,Mass,weekday,English,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"808 College St, Columbus, Mississippi 39701",(662) 328-2927,Mass,Fri,8:00 AM,,Mass,specific_weekday,English,,,,,,no location specified
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Fri,8:00 AM,,Mass,weekday,english,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Sun,10:00 AM,,Mass,sunday,English,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"808 College St, Columbus, Mississippi 39701",(662) 328-2927,Mass,Sun,10:30 AM,,Mass,sunday,English,,,,,,no location specified
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,Sun,10:45 AM,,Mass,sunday,english,"Annunciation Parish, Monroeville, AL",,,,,
Annunciation,"808 College St, Columbus, Mississippi 39701",(662) 328-2927,Mass,Sun,8:00 AM,,Mass,sunday,English,,,,,,no location specified
Annunciation,"565 Whetstone St, Monroeville, Alabama 36460",(251) 575-2644,Mass,,9:00 AM,,Mass,monthly,english,"Annunciation Parish, Monroeville, AL",first_saturday_(recurring),,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Mass,Sat,5:00 PM,,Mass,saturday,english,Annunciation of the Lord,,,,,vigil
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Mass,Sat,5:00 PM,,Mass,saturday,english,,,,,,vigil
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Mass,Sat,7:00 PM,,Mass,saturday,spanish,Annunciation of the Lord,,,,,vigil
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Mass,Sat,7:00 PM,,Mass,saturday,spanish,,,,,,vigil
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Mass,Sun,11:30 AM,,Mass,sunday,english,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Mass,Sun,11:30 AM,,Mass,sunday,english,,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Mass,Sun,1:30 PM,,Mass,sunday,spanish,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Mass,Sun,1:30 PM,,Mass,sunday,spanish,,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Mass,Sun,7:30 AM,,Mass,sunday,english,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Mass,Sun,7:30 AM,,Mass,sunday,english,,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Mass,Sun,9:00 AM,,Mass,sunday,spanish,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Mass,Sun,9:00 AM,,Mass,sunday,spanish,,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Mass,,12:00 PM,,Ash Wednesday Mass,special_event,English,,,2026-02-18,,,Ash Wednesday Mass
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Mass,,5:00 PM,,Ash Wednesday Mass,special_event,English,,,2026-02-18,,,Ash Wednesday Mass
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Mass,,7:00 AM,,Ash Wednesday Mass,special_event,English,,,2026-02-18,,,Ash Wednesday Mass
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Mass,,7:00 PM,,Ash Wednesday Mass,special_event,spanish,,,2026-02-18,,,Ash Wednesday Mass
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Mass,,9:00 PM,,Ash Wednesday Mass,special_event,spanish,,,2026-02-18,,,Ash Wednesday Mass
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Confession,Mon,11:15 AM,11:45 AM,Reconciliation,weekday,English,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Confession,Mon,11:15 AM,11:45 AM,Reconciliation,weekday,English,,,,,,tags: chapel
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Confession,Mon,5:15 PM,5:45 PM,Reconciliation,specific_weekday,English,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Confession,Mon,5:15 PM,5:45 PM,Reconciliation,specific_weekday,English,,,,,,tags: chapel
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Confession,Tue,11:15 AM,11:45 AM,Reconciliation,weekday,English,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Confession,Tue,11:15 AM,11:45 AM,Reconciliation,weekday,English,,,,,,tags: chapel
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Confession,Tue,6:15 PM,6:45 PM,Reconciliation,specific_weekday,English,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Confession,Tue,6:15 PM,6:45 PM,Reconciliation,specific_weekday,English,,,,,,tags: chapel
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Confession,Wed,11:15 AM,11:45 AM,Reconciliation,weekday,English,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Confession,Wed,11:15 AM,11:45 AM,Reconciliation,weekday,English,,,,,,tags: chapel
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Confession,Wed,6:15 PM,6:45 PM,Reconciliation,specific_weekday,English,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Confession,Wed,6:15 PM,6:45 PM,Reconciliation,specific_weekday,English,,,,,,tags: chapel
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Confession,Thu,11:15 AM,11:45 AM,Reconciliation,weekday,English,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Confession,Thu,11:15 AM,11:45 AM,Reconciliation,weekday,English,,,,,,tags: chapel
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Confession,Fri,11:15 AM,11:45 AM,Reconciliation,weekday,English,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Confession,Fri,11:15 AM,11:45 AM,Reconciliation,weekday,English,,,,,,tags: chapel
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Confession,Fri,6:15 PM,6:45 PM,Reconciliation,specific_weekday,English,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Confession,Fri,6:15 PM,6:45 PM,Reconciliation,specific_weekday,English,,,,,,tags: chapel
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Confession,Sat,4:15 PM,4:45 PM,Reconciliation,saturday,English,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Confession,Sat,4:15 PM,4:45 PM,Reconciliation,saturday,English,,,,,,tags: chapel
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, Alabama 35603",(256) 353-2667 ,Confession,Sat,6:15 PM,6:45 PM,Reconciliation,saturday,English,Annunciation of the Lord,,,,,
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Confession,Sat,6:15 PM,6:45 PM,Reconciliation,saturday,English,,,,,,tags: chapel
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Confession,,11:15 AM,,Confession,special_event,English,,,2026-02-24,,,Confession
Annunciation of the Lord Church,"3910 Spring Ave SW, Decatur, AL 35603",+1-256-353-2667,Confession,,11:15 AM,,Confession,special_event,English,,,2026-02-25,,,Confession
