Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Mon, Feb 23, 2026",2026-02-23,Monday,Annunciation,"565 Whetstone St, Monroeville",(251) 575-2644,Mass,7:00 AM,,Mass,English,"Annunciation Parish, Monroeville, AL",
"Mon, Feb 23, 2026",2026-02-23,Monday,Annunciation,"565 Whetstone St, Monroeville",(251) 575-2644,Mass,8:00 AM,,Mass,english,"Annunciation Parish, Monroeville, AL",
"Mon, Feb 23, 2026",2026-02-23,Monday,Carmelite Monastery,"716 Dauphin Island Pkwy, Mobile",(251) 401-1223,Mass,7:00 AM,,Mass,English,Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral-Basilica of the Immaculate Conception,"307 Conti St, Mobile",(251) 434-1565,Mass,12:10 PM,,Mass,english,Cathedral of the Immaculate Conception,
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of Our Lady of the Angels ( EWTN),"5817 Old Leeds Rd, Irondale",(800) 447-3986 or (256) 787-4121,Mass,12:00 PM,,Mass,English,Chapel,note: non-televised
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"1505 Main St, Daphne",(251) 626-2343,Mass,6:45 AM,,Mass,english,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King Catholic Church,"711 College Ave, Daphne",+1-251-626-2343,Mass,6:45 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Dominican Monastery of St. Jude,"143 County Rd 20 E, Marbury",,Mass,7:30 AM,,Holy Sacrifice of the Mass,English,chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Good Shepherd,"13550 Chaney Thompson Rd, Huntsville",(256) 882-1844,Mass,8:30 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"1400 Joyce Rd, Mobile",(251) 344-0271,Mass,7:00 AM,,Mass,english,Holy Family Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Infant of Prague,"8090 Gadsden Hwy (Hwy 11), Trussville",(205) 655-2541,Mass,8:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Redeemer,"515 W Broad St, Eufaula",(334) 687-3716,Mass,8:00 AM,,Mass,english,Holy Redeemer Parish,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit,"625 Airport Rd, Huntsville",(256) 881-4781,Mass,12:00 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit,"8570 Vaughn Rd, Montgomery",(334) 277-5631,Mass,6:00 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit,"733 James I Harrison Jr Pkwy E, Tuscaloosa",(205) 553-9733,Mass,6:45 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit,"625 Airport Rd, Huntsville",(256) 881-4781,Mass,7:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit,"8570 Vaughn Rd, Montgomery",(334) 277-5631,Mass,8:15 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Little Flower,"2053 Government St, Mobile",(251) 478-3381,Mass,5:30 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Mission of St. Pius X,"308 Kennon St, Union Springs",(334) 687-3716,Mass,8:00 AM,,Mass,english,St. Pius X Mission,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady Queen of Mercy,"4421 Narrow Ln Rd, Montgomery",(334) 288-2850,Mass,8:15 AM,,Mass,english,Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Sorrows,"1728 Oxmoor Rd, Birmingham",(205) 871-8121,Mass,6:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Sorrows,"1728 Oxmoor Rd, Birmingham",(205) 871-8121,Mass,7:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of the Gulf,"308 E 22nd Ave, Gulf Shores",(251) 968-7062,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of the Shoals,"200 E Commons St N, Tuscumbia",(256) 383-7207,Mass,6:00 PM,,Mass,English,chapel,chapel
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of the Valley,"5514 Double Oak Ln, Birmingham",(205) 991-5488,Mass,6:20 AM,,Mass,English,Church,note: temporarily in the church
"Mon, Feb 23, 2026",2026-02-23,Monday,"Our Lady, Help of Christians","1201 Kingsbury Ave, Huntsville",(256) 801-9157,Mass,6:30 AM,,Mass,English,,Daily; note: This appears to be a list of times without clear day associations; but 06:45 is listed as Mon-Fri Mass.
"Mon, Feb 23, 2026",2026-02-23,Monday,"Our Lady, Help of Christians","1201 Kingsbury Ave, Huntsville",(256) 801-9157,Mass,6:45 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,"Our Lady, Help of Christians","1201 Kingsbury Ave, Huntsville",(256) 801-9157,Mass,6:45 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Prince of Peace,"4600 Preserve Pkwy , Hoover",(205) 822-9125,Mass,7:00 PM,,Mass,spanish,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Prince of Peace,"4600 Preserve Pkwy , Hoover",(205) 822-9125,Mass,8:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Prince of Peace,"351 S Lawrence St, Mobile",(251) 432-2364,Mass,9:00 AM,,Mass,english,RECTORY CHAPEL,
"Mon, Feb 23, 2026",2026-02-23,Monday,Queen of Mercy Catholic Church,"4421 Narrow Lane Rd, Montgomery",+1-334-288-2850,Mass,8:15 AM,,Mass,english,Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Sacred Heart of Jesus,"205 3rd Ave SE, Cullman",(256) 734-3730,Mass,5:30 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Sacred Heart of Jesus,"205 3rd Ave SE, Cullman",(256) 734-3730,Mass,6:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Sacred Heart of Jesus (Univ. of South Alabama),"6051 Old Shell Rd, Mobile",(251) 343-3662,Mass,12:00 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Sacred Heart of Jesus (Univ. of South Alabama),"6051 Old Shell Rd, Mobile",(251) 343-3662,Mass,6:00 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Sacred Heart of Jesus (Univ. of South Alabama),"6051 Old Shell Rd, Mobile",(251) 343-3662,Mass,6:00 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Bede the Venerable,"3870 Atlanta Hwy, Montgomery",(334) 272-3463,Mass,6:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Bede the Venerable,"3870 Atlanta Hwy, Montgomery",(334) 272-3463,Mass,8:30 AM,,Mass,English,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Bernard Abbey,"1600 Saint Bernard Dr SE, Cullman",(256) 734-8291,Mass,5:00 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Boniface,"302 Blountsville St NE, Hanceville",(256) 734-3730,Mass,5:30 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Boniface,"302 Blountsville St NE, Hanceville",(256) 734-3730,Mass,6:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Columba,"2700 W Main St, Dothan",(334) 793-5802,Mass,9:00 AM,,Mass,English,Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Dominic,"4156 Burma Rd, Mobile",(251) 661-5130,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Elizabeth Ann Seton,"334 Main St, Gardendale",(205) 631-9398,Mass,9:30 AM,,Mass,English,Saint Elizabeth Ann Seton,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Ignatius,"3704 Spring Hill Ave, Mobile",(251) 342-9221,Mass,6:15 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Ignatius,"3704 Spring Hill Ave, Mobile",(251) 342-9221,Mass,8:15 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. James,"622 Chestnut St, Gadsden",(256) 546-2975,Mass,6:00 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. John the Baptist,"800 Lurleen B Wallace Blvd N, Tuscaloosa",(205) 553-9733,Mass,6:45 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. John the Baptist,"543 S Union St, Montgomery",(334) 288-2850,Mass,7:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. John the Baptist,"1055 Hughes Rd, Madison",(256) 722-0130 ,Mass,8:30 AM,,Mass,English,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Joseph,"511 N Memorial Dr, Prattville",(334) 365-8680,Mass,11:30 AM,,Mass,english,St. Joseph,
