slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-al-adamsville-saint-patrick-24beac2b,St. Patrick,301,,Shamrock,Trl,,,,301 Shamrock Trail,Adamsville,AL,35005,,33.58092956,-86.9315538,(205) 798-5326
us-al-albertville-chapel-of-the-holy-cross-75f0cae6,Chapel of the Holy Cross,1534,,Whitesville,Rd,,,,1534 Whitesville Rd,Albertville,AL,35950,,34.25181461,-86.21912714,(256) 891-0550
us-al-albertville-st-william-catholic-church-74540394,St William Catholic Church,1534,,Whitesville,Rd,,,,1534 Whitesville Rd,Albertville,AL,35950,,34.2527443,-86.2190794,+1-256-891-0550
us-al-alexander-city-st-john-the-apostle-f3964aa3,St. John the Apostle,454,N,Central,Ave,,,,454 N Central Ave,Alexander City,AL,35010,,32.9499435,-85.9562149,(256) 234-3631
us-al-andalusia-christ-the-king-2d30c9ba,Christ the King,508,,Sanford,Rd,,,,508 Sanford Rd,Andalusia,AL,36420,,31.31090533,-86.45665268,(334) 222-4808
us-al-anniston-all-saints-6fc5fc84,All Saints,1112,W,15th,St,,,,1112 W 15th St,Anniston,AL,36201,,33.66341203,-85.84472538,(256) 237-9230
us-al-anniston-sacred-heart-of-jesus-09f1bbb8,Sacred Heart of Jesus,1301,,Golden Springs,Rd,,,,1301 Golden Springs Rd,Anniston,AL,36207,,33.63090107,-85.78391075,(256) 237-3011
us-al-ashland-saint-mark-feaf12fd,St. Mark,460,,Country Club,Rd,,,,460 Country Club Rd,Ashland,AL,36251,,33.27551742,-85.7934643,(256) 354-3598
us-al-athens-st-paul-d26395db,St. Paul,1900,,US Hwy 72,,W,,,1900 US Hwy 72 W,Athens,AL,35611,,34.79115659,-86.99562347,256-232-4191
us-al-atmore-st-robert-bellarmine-f0618ea1,St. Robert Bellarmine,600,S,Main,St,,,,600 S Main St,Atmore,AL,36502,,31.01687937,-87.49410453,(251) 368-3615
us-al-auburn-blessed-pier-giorgio-frassati-chapel-catholic-campus-ministry-3365d2ab,Blessed Pier Giorgio Frassati Chapel-Catholic Campus Ministry,342,N,College,St,,,,342 N College St,Auburn,AL,36830,,32.61153738,-85.48134431,(334) 209-1711
us-al-auburn-st-michael-the-archangel-a95e9068,St. Michael,1100,N,College,St,,,,1100 N College St,Auburn,AL,36830,,32.6280701,-85.47984251,(334) 887-5540
us-al-battles-wharf-sacred-heart-chapel-8531a2ac,Sacred Heart Chapel,18673,,Scenic,Hwy,,,,18673 Scenic Hwy 98,Battles Wharf,AL,36532,,30.49707238,-87.92512157,(251) 928-5931
us-al-bay-minette-st-agatha-6a65e76f,St. Agatha,1001,,Hand,Ave,,,,1001 Hand Ave,Bay Minette,AL,36507,,30.89169967,-87.77845124,(251) 937-8600
us-al-bayou-la-batre-st-margaret-8ef1713e,St. Margaret,13790,S,Wintzell,Ave,,,,13790 S Wintzell Ave,Bayou La Batre,AL,36509,,30.4042319,-88.24811786,(251) 824-2415
us-al-bessemer-st-aloysius-966c6887,St. Aloysius,751,,Academy,Dr,,,,751 Academy Dr,Bessemer,AL,35022,,33.36118136,-86.99763226,(205) 424-2984
us-al-bessemer-st-francis-of-assisi-2d26323a,St. Francis of Assisi,2400,,7th,Ave,N,,,2400 7th Ave N,Bessemer,AL,35020,,33.41109278,-86.9539519,205-428-4758 
us-al-birmingham-bew-white-chapel-at-childrens-hospital-a03846bb,Bew White Chapel at Children's Hospital ,1600,,7th,Ave,S,,,1600 7th Ave S,Birmingham,AL,35233,,33.503925,-86.805635,(205) 638-9090
us-al-birmingham-blessed-sacrament-3f2faedc,Blessed Sacrament,1460,,Pearson,Ave,SW,,,1460 Pearson Ave SW,Birmingham,AL,35211,,33.48884332,-86.85549897,(205) 785-9840
us-al-birmingham-holy-rosary-9296273e,Holy Rosary,7414,,Georgia,Rd,,,,7414 Georgia Rd,Birmingham,AL,35212,,33.541527,-86.72720697,(205) 595-0652
us-al-birmingham-our-lady-queen-of-the-universe-c177b5e2,Our Lady Queen of the Universe Church,961,,Center,St,N,,,961 Center St N,Birmingham,AL,35204,,33.51787048,-86.83573924,(205) 328-7729
us-al-birmingham-our-lady-of-fatima-8b11123d,Our Lady of Fatima,708,,1st,St,S,,,708 1st St S,Birmingham,AL,35205,,33.49228722,-86.82765257,(205) 322-1205
us-al-birmingham-our-lady-of-lourdes-aa45f67f,Our Lady of Lourdes,980,,Huffman,Rd,,,,980 Huffman Rd,Birmingham,AL,35215,,33.60412815,-86.68974764,(205) 836-2274
us-al-birmingham-our-lady-of-sorrows-3b101770,Our Lady of Sorrows,1728,,Oxmoor,Rd,,,,1728 Oxmoor Rd,Birmingham,AL,35209,,33.47610092,-86.7952041,(205) 871-8121
us-al-birmingham-our-lady-of-the-valley-a2c6eea9,Our Lady of the Valley,5514,,Double Oak,Ln,,,,5514 Double Oak Ln,Birmingham,AL,35242,,33.3596428,-86.73374915,(205) 991-5488
us-al-birmingham-our-lady-of-la-vang-628a6ec9,Parish of Our Lady of La Vang,5224,,1st,Ave,N,,,5224 1st Ave N,Birmingham,AL,35212,,33.53791136,-86.75790617,205-847-0870
us-al-birmingham-church-of-the-sacred-heart-of-jesus-e9eeb4e3,Sacred Heart of Jesus,3401,,27th,Ct,N,,,3401 27th Ct N,Birmingham,AL,35207,,33.5501875,-86.7980625,12052528909
us-al-birmingham-st-barnabas-b38704ad,St. Barnabas,7921,,1st,Ave,N,,,7921 1st Ave N,Birmingham,AL,35206,,33.56554859,-86.72585768,(205) 833-0334
us-al-birmingham-saint-elias-maronite-34385029,St. Elias (Maronite),836,,8th,St,S,,,836 8th St S,Birmingham,AL,35205,4567,33.49560001,-86.81550289,(205) 251-5057
us-al-birmingham-st-francis-xavier-7aaf6d64,St. Francis Xavier,2,,Xavier,Cir,,,,2 Xavier Cir,Birmingham,AL,35213,,33.51643952,-86.7423146,(205) 871-1153
us-al-birmingham-st-george-the-great-martyr-melkite-8f384651,St. George the Great Martyr (Melkite),425,,16th,Ave,S,,,425 16th Ave S,Birmingham,AL,35205,,33.491557,-86.818336,(205) 252-5788
