Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
"Blessed Sacrament Church, Scammon Bay","170 Hillside Rd, Scammon Bay, Alaska AK 99662",907-374-9500,Mass,Mon,6:00 PM,6:30 PM,Mass,other,English,,,,,,Mon; Sat; livestream
"Blessed Sacrament Church, Scammon Bay","170 Hillside Rd, Scammon Bay, Alaska AK 99662",907-374-9500,Mass,Tue,6:00 PM,6:30 PM,Mass,specific_weekday,English,Catholic TV,,,,,livestream
"Blessed Sacrament Church, Scammon Bay","170 Hillside Rd, Scammon Bay, Alaska AK 99662",907-374-9500,Mass,Wed,6:00 PM,6:30 PM,Mass,specific_weekday,English,Catholic TV,,,,,livestream
"Blessed Sacrament Church, Scammon Bay","170 Hillside Rd, Scammon Bay, Alaska AK 99662",907-374-9500,Mass,Thu,6:00 PM,6:30 PM,Mass,specific_weekday,English,Catholic TV,,,,,livestream
"Blessed Sacrament Church, Scammon Bay","170 Hillside Rd, Scammon Bay, Alaska AK 99662",907-374-9500,Mass,Fri,6:00 PM,6:30 PM,Mass,specific_weekday,English,Catholic TV,,,,,livestream
"Blessed Sacrament Church, Scammon Bay","170 Hillside Rd, Scammon Bay, Alaska AK 99662",907-374-9500,Mass,Sat,6:00 PM,6:30 PM,Mass,other,English,,,,,,Mon; Sat; livestream
"Blessed Sacrament Church, Scammon Bay","170 Hillside Rd, Scammon Bay, Alaska AK 99662",907-374-9500,Mass,Sat,8:00 AM,,Mass,saturday,English,Catholic TV,,,,,livestream
"Blessed Sacrament Church, Scammon Bay","170 Hillside Rd, Scammon Bay, Alaska AK 99662",907-374-9500,Mass,Sun,10:00 AM,,Mass,sunday,English,Catholic TV,,,,,livestream
"Blessed Sacrament Church, Scammon Bay","170 Hillside Rd, Scammon Bay, Alaska AK 99662",907-374-9500,Mass,,7:00 AM,7:30 AM,Mass,daily,English,Catholic TV,,,,,livestream
Blessed Sacrament Monastery,"2645 E 72nd Ave, Anchorage, Alaska 99507",(907)344-3330,Adoration,,12:00 AM,11:59 PM,Perpetual Adoration of the Blessed Sacrament,other,English,,,,,,daily; adoration
Blessed Sacrament Monastery,"2645 E 72nd Ave, Anchorage, Alaska 99507",(907)344-3330,Other,,12:00 AM,11:59 PM,Prayer of the Liturgy of the Hours,other,English,,,,,,daily
Body of Christ,"None, Pelican, Alaska 99832",(907) 735-2452,Mass,Sat,5:00 PM,,Mass,specific_weekday,English,"Body of Christ Mission, Pelican, AK",,,,,vigil
Body of Christ,"None, Pelican, Alaska 99832",(907) 735-2452,Mass,Sun,10:00 AM,,Mass,sunday,English,"Body of Christ Mission, Pelican, AK",,,,,
Cathedral of Our Lady of Guadalupe,"3900 Wisconsin St, Anchorage, Alaska 99517",(907) 248-2000,Mass,Mon,9:00 AM,,Mass,weekday,English,Cathedral of Our Lady of Guadalupe,,,,,
Cathedral of Our Lady of Guadalupe,"3900 Wisconsin St, Anchorage, Alaska 99517",(907) 248-2000,Mass,Tue,9:00 AM,,Mass,weekday,English,Cathedral of Our Lady of Guadalupe,,,,,
