slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
church-c5a5a926ae7d,"St. Francis Xavier Church, Eagle",,,,,,,,,,AK,,,64.7876748,-141.20375633,
us-ak-alakanuk-church-of-st-ignatius-688e6ff3,St. Ignatius,,,Alakanuk Alaska 99554,,,,,Alakanuk Alaska 99554,Alakanuk,AK,99554,,62.6906875,-164.6738125,19072383914
us-ak-alakanuk-saint-ignatius-alakanuk-a2062d37,"St. Ignatius, Alakanuk",53,,Anderson,St,,,,53 Anderson St,Alakanuk,AK,99554,,62.68679018,-164.66877486,(907) 238-3914
us-ak-anchorage-blessed-sacrament-monastery-8a0d1b9a,Blessed Sacrament Monastery,2645,E,72nd,Ave,,,,2645 E 72nd Ave,Anchorage,AK,99507,,61.15597048,-149.83334541,(907)344-3330
us-ak-anchorage-our-lady-of-guadalupe-ad6384bd,Cathedral of Our Lady of Guadalupe,3900,,Wisconsin,St,,,,3900 Wisconsin St,Anchorage,AK,99517,,61.18479543,-149.94438244,(907) 248-2000
us-ak-anchorage-holy-cross-517b7603,Holy Cross,2627,,Lore,Rd,,,,2627 Lore Rd,Anchorage,AK,99507,5722,61.15300127,-149.83319954,(907) 349-8388
us-ak-anchorage-holy-family-fc7f7412,Holy Family Old Cathedral,800,W,5th,Ave,,,,800 W 5th Ave,Anchorage,AK,99501,,61.21740402,-149.89789147,(907) 276-3455
us-ak-anchorage-holy-spirit-center-1fd45d29,Holy Spirit Center,10980,,Hillside,Dr,,,,10980 Hillside Dr,Anchorage,AK,99507,,61.12145952,-149.7481331,(907) 346-2343
us-ak-anchorage-midnight-sun-chapel-64f3d815,Midnight Sun Chapel,7137,,Fighter,Dr,,,,7137 Fighter Dr JBER - Elmendorf,Anchorage,AK,99506,,61.24039496,-149.85520005,907-552-4422
us-ak-anchorage-our-lady-of-providence-chapel-9d9db8a2,Our Lady of Providence Chapel,3200,,Province,Dr,,,,3200 Province Dr D toser 1st Fl,Anchorage,AK,99508,,61.18823594,-149.81899023,907-212-2990
us-ak-anchorage-st-andrew-kim-b06118fe,St. Andrew Kim,7206,,Lake Otis,Pkwy,,,,7206 Lake Otis Pkwy,Anchorage,AK,99507,,61.1553574,-149.835739,(907) 337-5307
us-ak-anchorage-st-anthony-ebff3195,St. Anthony,825,,Klevin,St,,,,825 Klevin St,Anchorage,AK,99508,2656,61.21368017,-149.80347744,(907) 333-5544
us-ak-anchorage-st-benedict-bcabbd56,St. Benedict,8110,,Jewel Lake,Rd,,,,8110 Jewel Lake Rd,Anchorage,AK,99502,,61.14706913,-149.95261772,(907) 243-2195
us-ak-anchorage-st-elizabeth-ann-seton-0afae197,St. Elizabeth Ann Seton,2901,,Huffman,Rd,,,,2901 Huffman Rd,Anchorage,AK,99516,,61.10916156,-149.82754996,(907) 345-4466
us-ak-anchorage-saint-michael-the-archangel-jber-069ee9bb,"St. Michael the Archangel, JBER",3,,Headquarters,Loop,,,,3 Headquarters Loop,Anchorage,AK,99505,,61.25327134,-149.69788926,(907) 552-5762
us-ak-anchorage-st-nicholas-of-myra-ruthenian-90857720,St. Nicholas of Myra (Ruthenian),2200,,Arctic,Blvd,,,,2200 Arctic Blvd,Anchorage,AK,99503,,61.20083021,-149.89846161,(907) 277-6731
us-ak-anchorage-st-patrick-ac7e81cd,St. Patrick,2111,,Muldoon,Rd,,,,2111 Muldoon Rd,Anchorage,AK,99504,,61.20184277,-149.73245973,(907) 337-1538
us-ak-aniak-st-theresa-aniak-d376ed1e,St. Theresa,100,,River,Rd,,,,100 River Rd,Aniak,AK,99557,,61.58126825,-159.53289759,(907) 675-4448
us-ak-barrow-saint-patricks-catholic-church-barrow-224d4727,"St. Patrick's Catholic Church, Barrow",618,,Cunningham,St,,,,618 Cunningham St,Barrow,AK,AK99723,,71.29031975,-156.79104924,(907) 852-3515
us-ak-bethel-immaculate-conception-bethel-0e097f4a,Immaculate Conception,775,,Eddie Hoffman,Hwy,,,,775 Eddie Hoffman Hwy,Bethel,AK,99559,,60.79322023,-161.75453593,(907) 543-2464
us-ak-big-lake-our-lady-of-the-lake-e9afe278,Our Lady of the Lake,4275,S,Oscar Anderson,Rd,,,,4275 S Oscar Anderson Rd,Big Lake,AK,99652,,61.53434369,-149.82516639,(907) 892-6492
us-ak-chefornak-saint-catherine-of-siena-chefornak-5df19c63,St. Catherine of Siena,,,Ten River,Rd,,,,Ten River Rd,Chefornak,AK,99561,0090,60.15882219,-164.27848922,(907) 867-8702
us-ak-chevak-church-of-the-sacred-heart-3c21a328,Sacred Heart,,,Chevak Alaska 99563,,,,,Chevak Alaska 99563,Chevak,AK,99563,,61.5289375,-165.5933125,19078587826
us-ak-chevak-sacred-heart-church-chevak-20c51846,Sacred Heart,,,Off Mud Rd1/ Aurora,St,,,,Off Mud Rd1/ Aurora St,Chevak,AK,99563,,61.52871804,-165.59385417,(907) 858-7826
us-ak-clarks-point-st-peter-the-fisherman-69dc00d2,St. Peter the Fisherman,,,Clarks Point,,,,,Clarks Point,Clarks Point,AK,99576,,58.83619827,-158.55483343,(555) 555-5555
us-ak-cooper-landing-mission-of-st-john-neumann-f870785d,Mission of St. John Neumann,1,,Snug Harbor,Rd,,,,1 Snug Harbor Rd,Cooper Landing,AK,99572,,60.48625,-149.78125,19075951300
us-ak-cooper-landing-st-john-neumann-1cfd862d,St. John Neumann,,,Mile 1 Snug Harbor,Rd,,,,Mile 1 Snug Harbor Rd,Cooper Landing,AK,99572,,60.48698245,-149.78625659,(907) 595-1300
us-ak-cordova-st-joseph-fb147369,St. Joseph,220,,Adams,Ave,,,,220 Adams Ave,Cordova,AK,99574,,60.54309345,-145.75586899,(907) 424-3637
us-ak-delta-junction-our-lady-of-sorrows-delta-junction-3d0890c1,Our Lady of Sorrows,2565,,Deborah,St,,,,2565 Deborah St,Delta Junction,AK,AK 99737,,64.04652598,-145.71805711,(907) 895-5232
us-ak-dillingham-holy-rosary-f71dc074,Holy Rosary,435,,Airport,Rd,,,,435 Airport Rd,Dillingham,AK,99576,,59.04107006,-158.52136,(907) 843-1277
us-ak-dillingham-church-of-the-holy-rosary-376a2b3d,Holy Rosary,509,,Airport,Rd,,,,509 Airport Rd,Dillingham,AK,99576,,59.0496875,-158.5094375,19078431277
us-ak-eagle-church-of-st-francis-xavier-99a2e8f5,St. Francis Xavier,,,Eagle Alaska 99738,,,,,Eagle Alaska 99738,Eagle,AK,99738,,64.78875,-141.20125,
us-ak-eagle-river-st-andrew-b9cf4787,St. Andrew,16300,,Domain,Ln,,,,16300 Domain Ln,Eagle River,AK,99577,,61.31670429,-149.57936478,(907) 694-2170
us-ak-emmonak-sacred-heart-church-emmonak-c9645eef,Sacred Heart,,,Yukon,Way,,,,Yukon Way,Emmonak,AK,AK 99581,,62.77730674,-164.54012827,(907) 949-1012
us-ak-fairbanks-immaculate-conception-church-fairbanks-75d8f6e7,Immaculate Conception,2,,Doyon,Pl,,,,2 Doyon Pl,Fairbanks,AK,99701,,64.84537019,-147.72202119,(907) 452-3533
us-ak-fairbanks-sacred-heart-cathedral-fairbanks-7de055c8,Sacred Heart Cathedral,1300,,Peger,Rd,,,,1300 Peger Rd,Fairbanks,AK,99709,,64.83615397,-147.78088676,(907) 474-9032
us-ak-fairbanks-saint-raphael-fairbanks-d1304049,St. Raphael,1125,,Old Steese,Hwy,N,,,1125 Old Steese Hwy N,Fairbanks,AK,AK 99710,,64.9096439,-147.62415236,(907) 457-6603
us-ak-fairbanks-saint-mark-university-parish-fcd9bb1f,University Parish of St. Mark,1316,,Peger,Rd,,,,1316 Peger Rd,Fairbanks,AK,99709,5168,64.85766379,-147.82572826,(907) 374-9564
us-ak-galena-saint-john-berchman-f3a92ae1,St. John Berchmans,,,Antoski,Rd,,,,Antoski Rd,Galena,AK,AK 99741,,64.74269536,-156.87688953,(907) 656-1240
us-ak-girdwood-our-lady-of-the-snows-4a3a3ebc,Our Lady of the Snows,370,,Northface,Rd,,,,370 Northface Rd,Girdwood,AK,99587,,60.97086727,-149.10585523,(907) 783-1171
us-ak-glennallen-holy-family-65cfda83,Holy Family,186,,Glenn,Hwy,,,,186 Glenn Hwy,Glennallen,AK,99588,,62.1084012,-145.53078688,(907) 822-3442
us-ak-gustavus-holy-family-2b98c016,Holy Family,,,Veneta,Rd,,,,Veneta Rd,Gustavus,AK,99826,,58.41220439,-135.73278763,(907) 687-3017 / 907-697-2455
us-ak-haines-sacred-heart-of-jesus-b8e325cd,Sacred Heart,,,3rd Ave and Dalton,St,,,,3rd Ave and Dalton St,Haines,AK,99827,,59.23603988,-135.44766746,(907) 766-2241
us-ak-healy-holy-mary-of-guadalupe-healy-b7d15e74,Holy Mary of Guadalupe,,,Holy Mary of Guadalupe Carbon,Rd,,,,Holy Mary of Guadalupe Carbon Rd,Healy,AK,99743,,63.87691722,-148.99601507,(907) 683-2535
