Church,Address,Phone,Communities Served,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,,12:00 PM,,Mass,special_event,English,Church,,2026-02-18,,,Mass
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,,6:00 PM,,Solemn Mass for Feast of St. Joseph,special_event,English,Church,,2026-03-19,,,Solemn Mass for Feast of St. Joseph
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,,6:30 PM,,Parish Consecration to St. Joseph Mass,special_event,English,Church,,2026-05-01,,,Parish Consecration to St. Joseph Mass
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,,7:00 PM,,Mass,special_event,English,Church,,2026-02-18,,,Mass
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,,7:00 PM,,Mass of the Lord's Supper,special_event,English,Church,,2026-04-02,,,Mass of the Lord's Supper
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,,8:00 AM,,Ash Wednesday Mass - No Music Ad Orientem,special_event,English,Church,,2026-02-18,,,Ash Wednesday Mass - No Music Ad Orientem
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,,9:00 PM,,Easter Vigil - Incense,special_event,English,Church,,2026-04-04,,,Easter Vigil - Incense
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,,12:00 PM,,Confession,special_event,English,Church,,2026-04-03,,,Confession
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,,TBD,,Confessions,other,English,,,,before,Mass,before every Mass and by appointment.; check bulletin
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Devotions,,11:00 PM,,Compline,special_event,English,Church,,2026-04-02,,,Compline
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Devotions,,3:00 PM,,Divine Mercy Chaplet,special_event,English,Church,,2026-04-12,,,Divine Mercy Chaplet
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Education,,6:30 PM,9:00 PM,OCIA,parish_event,English,,,,,,
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Education,,9:00 AM,,OCIA Spring Retreat,special_event,English,,,2026-03-28,,,OCIA Spring Retreat; ends at 17:00
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Community,,6:00 PM,8:00 PM,Cub Scout Meeting,parish_event,English,,,,,,
