Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Mon,6:30 PM,,Mass,weekday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Mon,8:30 AM,,Mass,weekday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Tue,6:30 PM,,Mass,weekday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Tue,8:30 AM,,Mass,weekday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Wed,6:30 PM,,Mass,weekday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Wed,8:30 AM,,Mass,weekday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Thu,6:30 PM,,Mass,weekday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Thu,8:30 AM,,Mass,weekday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Fri,6:30 PM,,Mass,weekday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Fri,8:30 AM,,Mass,weekday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Sat,4:00 PM,,Mass,saturday,English,,,,,,vigil; Vigil
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Sat,8:30 AM,,Mass,saturday,English,,,,,,
All Saints,"105 County Rd 420, Ganado, Arizona 86505",(928) 755-3401,Mass,Sun,11:00 AM,,Mass,sunday,English,"All Saints, Ganado, AZ",,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Sun,11:00 AM,,Mass,sunday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Sun,7:00 AM,,Mass,sunday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,Sun,9:00 AM,,Mass,sunday,English,,,,,,livestream
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,,12:00 PM,,Ash Wednesday Masses,special_event,English,,,2026-02-18,,,Ash Wednesday Masses
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,,4:00 PM,,Ash Wednesday Masses,special_event,English,,,2026-02-18,,,Ash Wednesday Masses
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,,6:30 PM,,Ash Wednesday Masses,special_event,English,,,2026-02-18,,,Ash Wednesday Masses
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Mass,,8:30 AM,,Ash Wednesday Masses,special_event,English,,,2026-02-18,,,Ash Wednesday Masses
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Confession,Mon,5:30 PM,,Confession,specific_weekday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Confession,Tue,TBD,,Confession,other,English,,,,after,Mass,After Mass
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Confession,Wed,5:30 PM,,Confession,specific_weekday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Confession,Fri,5:30 PM,,Confession,specific_weekday,English,,,,,,
All Saints,"1534 N Recker Rd, Mesa, Arizona 85205",(480) 985-7655,Confession,Sat,2:00 PM,3:30 PM,Confession,saturday,English,,,,,,
