Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"1534 N Recker Rd, Mesa",(480) 985-7655,Mass,4:00 PM,,Mass,English,,vigil; Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"1534 N Recker Rd, Mesa",(480) 985-7655,Mass,8:30 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints Newman Center,"230 E University Dr, Tempe",(480) 967-7823,Mass,5:00 PM,,Mass,English,All Saints Catholic Newman Center,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"221 E 8th St, Florence",(520) 868-5940,Mass,5:00 PM,,Mass,english,Assumption of the Blessed Virgin Mary,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"11300 N 64th St, Scottsdale",(480) 948-8370,Mass,4:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"11300 N 64th St, Scottsdale",(480) 948-8370,Mass,8:30 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Stephen [Ruthenian],"8141 N 16th St Front, Phoenix",(602) 943-5379,Mass,4:00 PM,,Vesperal Divine Liturgy,English,St. Stephen Byzantine Catholic Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"1551 E Dana Ave, Mesa",(480) 964-1719,Mass,4:00 PM,,Vigil Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"1551 E Dana Ave, Mesa",(480) 964-1719,Mass,8:00 AM,,Mass,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King Church,"1551 E Dana Ave, Mesa",+1-480-964-1719,Mass,4:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King Church,"1551 E Dana Ave, Mesa",+1-480-964-1719,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"3550 E Knox Rd, Phoenix",(480) 893-8770,Mass,4:00 PM,,Mass,english,Corpus Christi,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"3550 E Knox Rd, Phoenix",(480) 893-8770,Mass,8:15 AM,,Mass,english,Corpus Christi,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi Catholic Church,"3550 E Knox Rd, Phoenix",+1-480-893-8770,Mass,4:00 PM,,Mass,English,Corpus Christi,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi Catholic Church,"3550 E Knox Rd, Phoenix",+1-480-893-8770,Mass,4:00 PM,,Mass,English,Corpus Christi,Mass
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi Catholic Church,"3550 E Knox Rd, Phoenix",+1-480-893-8770,Mass,8:15 AM,,Mass,English,Corpus Christi,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi Catholic Church,"3550 E Knox Rd, Phoenix",+1-480-893-8770,Mass,8:15 AM,,Mass,English,Corpus Christi,Mass
"Sat, Feb 21, 2026",2026-02-21,Saturday,El Cristo Rey Catholic Church,"44 Albright Ave, Grand Canyon",(928) 638-4013,Mass,4:00 PM,,Vigil Mass,English,,More seating at this time is available
"Sat, Feb 21, 2026",2026-02-21,Saturday,El Cristo Rey Catholic Church,"44 Albright Ave, Grand Canyon",(928) 638-4013,Mass,6:00 PM,,Vigil Mass,spanish,,Incense is used
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Shepherd (St. Rose Parish),"45033 N 12th St, New River",(623) 465-9740,Mass,4:00 PM,,Mass,English,,vigil
