Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"708 Hwy 270 E, Mount Ida, Arkansas 71957",(870) 867-4644 or (870) 828-4384,Mass,Mon,8:30 AM,,Mass,specific_weekday,English,,,,,,Weekday Mass
All Saints,"708 Hwy 270 E, Mount Ida, Arkansas 71957",(870) 867-4644 or (870) 828-4384,Mass,Tue,8:30 AM,,Mass,specific_weekday,English,,,,,,Weekday Mass
All Saints,"708 Hwy 270 E, Mount Ida, Arkansas 71957",(870) 867-4644 or (870) 828-4384,Mass,Wed,5:00 PM,,Mass,specific_weekday,English,,,,,,Weekday Mass
All Saints,"708 Hwy 270 E, Mount Ida, Arkansas 71957",(870) 867-4644 or (870) 828-4384,Mass,Thu,8:20 AM,,Mass,specific_weekday,English,,,,,,Weekday Mass
All Saints,"708 Hwy 270 E, Mount Ida, Arkansas 71957",(870) 867-4644 or (870) 828-4384,Mass,Fri,8:30 AM,,Mass,specific_weekday,English,,,,,,Weekday Mass
All Saints,"708 Hwy 270 E, Mount Ida, Arkansas 71957",(870) 867-4644 or (870) 828-4384,Mass,Sat,5:00 PM,,Mass,saturday,English,,,,,,vigil
All Saints,"708 Hwy 270 E, Mount Ida, Arkansas 71957",(870) 867-4644 or (870) 828-4384,Mass,Sun,5:00 PM,,Mass,sunday,English,,,,,,
All Saints,"708 Hwy 270 E, Mount Ida, Arkansas 71957",(870) 867-4644 or (870) 828-4384,Mass,Sun,9:00 AM,,Mass,sunday,English,,,,,,
All Saints,"708 Hwy 270 E, Mount Ida, Arkansas 71957",(870) 867-4644 or (870) 828-4384,Mass,,8:30 AM,,Mass,monthly,English,,first_saturday_(recurring),,,,
All Saints,"708 Hwy 270 E, Mount Ida, Arkansas 71957",(870) 867-4644 or (870) 828-4384,Education,,5:30 PM,7:00 PM,Parish faith formation classes for grades K-12,monthly,English,,last_sunday,,,,Wednesdays; Beginning September 1st and ending the last Sunday in April
Ascension,"3680 Ramill Rd, Memphis, Tennessee 38128",(901) 372-1364,Mass,Tue,6:30 PM,,Mass,specific_weekday,spanish,,,,,,
Ascension,"3680 Ramill Rd, Memphis, Tennessee 38128",(901) 372-1364,Mass,Fri,6:30 PM,,Mass,specific_weekday,spanish,,,,,,
Ascension,"3680 Ramill Rd, Memphis, Tennessee 38128",(901) 372-1364,Mass,Sun,1:00 PM,,Mass,sunday,spanish,,,,,,
Ascension,"3680 Ramill Rd, Memphis, Tennessee 38128",(901) 372-1364,Mass,Sun,9:30 AM,,Mass,sunday,english,,,,,,
