Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,Mon,8:00 AM,,Mass,weekday,english,,,,,,
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,Tue,8:00 AM,,Mass,weekday,english,,,,,,
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,Wed,8:00 AM,,Mass,weekday,english,,,,,,
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,Thu,8:00 AM,,Mass,weekday,english,,,,,,
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,Fri,8:00 AM,,Mass,weekday,english,,,,,,
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,Sat,4:00 PM,,Mass,saturday,english,,,,,,
All Hallows,"6602 La Jolla Scenic Dr S, La Jolla, California 92037",(858) 459-2975,Mass,Sat,5:30 PM,,Mass,saturday,English,All Hallows Catholic Church,,,,,vigil
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,Sat,6:00 PM,,Mass,saturday,spanish,,,,,,
All Hallows,"6602 La Jolla Scenic Dr S, La Jolla, California 92037",(858) 459-2975,Mass,Sun,10:00 AM,,Mass,sunday,English,All Hallows Catholic Church,,,,,
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,Sun,10:30 AM,,Mass,sunday,english,,,,,,
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,Sun,12:30 PM,,Mass,sunday,spanish,,,,,,
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,Sun,2:30 PM,,Mass,sunday,English,,,,,,note: Hmong
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,Sun,7:00 PM,,Mass,sunday,spanish,,,,,,
All Hallows,"6602 La Jolla Scenic Dr S, La Jolla, California 92037",(858) 459-2975,Mass,Sun,8:00 AM,,Mass,sunday,English,All Hallows Catholic Church,,,,,
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,Sun,8:00 AM,,Mass,sunday,english,,,,,,
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,,10:30 AM,11:30 AM,Mass,monthly,english,,first_sunday,,,,First; family; note: includes Faith Formation ministries and adapted language
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,,5:30 PM,,Ash Wednesday Mass with Distribution of Ashes,special_event,english,,,2026-02-18,,,Ash Wednesday Mass with Distribution of Ashes
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,,7:00 PM,,Mass,monthly,spanish,,first_tuesday,,,,note: Every First Tuesday
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,,7:30 PM,,Ash Wednesday Mass with Distribution of Ashes,special_event,spanish,,,2026-02-18,,,Ash Wednesday Mass with Distribution of Ashes
All Hallows,"5500 14th Ave, Sacramento, California 95820",(916) 456-7206,Mass,,8:00 AM,,Ash Wednesday Mass with Distribution of Ashes,special_event,bilingual,,,2026-02-18,,,Ash Wednesday Mass with Distribution of Ashes
