Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Hallows,"5500 14th Ave, Sacramento",(916) 456-7206,Mass,4:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Hallows,"6602 La Jolla Scenic Dr S, La Jolla",(858) 459-2975,Mass,5:30 PM,,Mass,English,All Hallows Catholic Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Hallows,"5500 14th Ave, Sacramento",(916) 456-7206,Mass,6:00 PM,,Mass,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"18674 Cherokee Dr, Twain Harte",(209) 586-3161,Mass,4:30 PM,,Mass,English,All Saints,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"22824 Second St, Hayward",(510) 581-2570,Mass,5:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Souls,"315 Walnut Ave, South San Francisco",(650) 871-8944,Mass,5:15 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Souls,"315 Walnut Ave, South San Francisco",(650) 871-8944,Mass,6:30 PM,,Mass,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Souls Catholic Church,"1500 W Main St, Alhambra",(626) 281-0466,Mass,5:30 PM,,Mass,english,All Souls Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Souls Catholic Church,"1500 W Main St, Alhambra",(626) 281-0466,Mass,7:30 AM,,Mass,english,All Souls Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,American Martyrs Church,"624 15th St, Manhattan Beach",(310) 545-5651,Mass,5:00 PM,,Mass,english,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,American Martyrs Church,"624 15th St, Manhattan Beach",(310) 545-5651,Mass,8:10 AM,,Mass,english,,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"1307 E Longden Ave, Arcadia",(626) 447-6202,Mass,5:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"617 8th St, Williams",(530) 473-2432,Mass,7:00 PM,,Saturday Vigil,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation (Ruthenian),"995 N W St, Anaheim",(714) 533-6292,Mass,9:00 AM,,Divine Liturgy,English,,Divine Liturgy; Commemoration of the Miracle of Great-Martyr Theodore; Blessing of the Honey wheat
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"11292 Clairemont Mesa Blvd, San Diego",(858) 279-2735,Mass,4:30 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"12033 Miller Ave, Saratoga",408-725-3939,Mass,5:00 PM,,Mass,English,,Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"12033 Miller Ave, Saratoga",408-725-3939,Mass,9:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension Catholic Church,"517 W 112th St, Los Angeles",(323) 754-2978,Mass,6:00 PM,,Mass,spanish,Ascension Catholic Church,vigil; Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"1100 Fulton Ave, San Leandro",(510) 352-1537,Mass,4:30 PM,,Mass,English,,vigil; livestream; Vigil Mass
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"2832 Blanchard St, Los Angeles",(323) 269-8171,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"1100 Fulton Ave, San Leandro",(510) 352-1537,Mass,8:30 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"2640 E Orange Grove Blvd, Pasadena",(626) 792-1343,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"10930 Alder Dr, Truckee",(530) 587-3595,Mass,5:00 PM,,Mass,english,ASSUMPTION OF THE BLESSED VIRGIN MARY,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"10930 Alder Dr, Truckee",(530) 587-3595,Mass,6:30 PM,,Mass,spanish,ASSUMPTION OF THE BLESSED VIRGIN MARY,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Beatitudes of Our Lord,"13013 S Santa Gertrudes Ave, La Mirada",(562) 943-1521,Mass,4:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"5750 S Hwy 1, Elk",707-877-3275,Mass,4:00 PM,,Mass,English,"Blessed Sacrament Mission Elk, California",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"74462 National Park Dr, Twentynine Palms",(760) 367-3343,Mass,4:30 PM,,Vigil Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"4540 El Cerrito Dr, San Diego",(619) 582-5722,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"14072 Olive St, Westminster",(714) 892-4489,Mass,5:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"14072 Olive St, Westminster",(714) 892-4489,Mass,6:30 PM,,Mass,vietnamese,,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"14072 Olive St, Westminster",(714) 892-4489,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"14072 Olive St, Westminster",(714) 892-4489,Mass,8:00 PM,,Mass,vietnamese,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Carmel Mission Basilica,"3080 Rio Rd, Carmel",(831) 624-1271,Mass,5:30 PM,,Mass,English,Basilica,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Carmel Mission Basilica,"3080 Rio Rd, Carmel-by-the-Sea",831-624-1271,Mass,5:30 PM,,Mass,English,Basilica,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Carmelite House of Prayer,"20 Mount Carmel Dr, Oakville",707-944-2454,Mass,8:00 AM,,Mass,English,,tags
"Sat, Feb 21, 2026",2026-02-21,Saturday,Carmelite Monastery,"68 Rincon Rd, Kensington",+1-510-267-8338,Mass,10:00 AM,,Holy Mass,English,,note: occurs on Feb 14
"Sat, Feb 21, 2026",2026-02-21,Saturday,Carmelite Monastery,"5158 Hawley Blvd, San Diego",(619) 280-5424,Mass,7:30 AM,,MASS,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Carmelite Monastery,"68 Rincon Rd, Kensington",+1-510-267-8338,Mass,8:00 AM,,Holy Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Carmelite Monastery of Cristo Rey,"721 Parker Ave, San Francisco",14153872640,Mass,5:00 PM,,Mass,English,,Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Carmelite Monastery of San Francisco,"1000 Lincoln Ave, Santa Clara",14082968412,Mass,6:00 PM,,Mass,English,Main Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral Chapel of St Vibiana,"923 S La Brea Ave, Los Angeles",(323) 930-5976,Mass,5:00 PM,,Mass,English,Cathedral Chapel,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Mary of the Assumption,"1111 Gough St, San Francisco",415-567-2020,Mass,10:00 AM,,Saturday Wedding Anniversary Mass,English,Cathedral,Saturday Wedding Anniversary Mass
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Mary of the Assumption,"1111 Gough St, San Francisco",415-567-2020,Mass,5:30 PM,,Mass,English,Cathedral,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Mary of the Assumption,"1111 Gough St, San Francisco",415-567-2020,Mass,8:00 AM,,Mass,English,Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Annunciation,"400 W Rose St, Stockton",(209) 463-1305,Mass,5:30 PM,,Mass,english,Cathedral of the Annunciation,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Annunciation,"400 W Rose St, Stockton",(209) 463-1305,Mass,7:00 PM,,Mass,spanish,Cathedral of the Annunciation,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Catholic Center of Poong Hesus Nazareno,"3700 W Orange Ave, Anaheim",(657) 214-2507,Mass,4:30 PM,,Tagalog Holy Mass,English,Poong Jesus Nazareno Filipino Catholic Center,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chaldean Monastery of the Sons of the Covenant (Chaldean),"1111 Pepper Dr, El Cajon",,Mass,4:30 PM,5:00 PM,High Ramsha (English Evening Prayer) followed by Saturday Vigil Divine Mysteries,english,,vigil; Mass
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of St. John Vianney,"314 Marine Ave, Balboa Island",(949) 673-3801,Mass,5:00 PM,,Vigil,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of the Immaculate Conception,"3255 Folsom St, San Francisco",14158241762,Mass,10:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of the Immaculate Conception,"3255 Folsom St, San Francisco",14158241762,Mass,5:00 PM,,Mass,English,,vigil; vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of the Immaculate Conception,"3255 Folsom St, San Francisco",14158241762,Mass,8:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Cathedral,"13280 Chapman Ave, Garden Grove",(714) 971-2141,Mass,4:30 PM,,Mass,english,Cathedral,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Cathedral,"12141 Lewis St, Garden Grove",+1-714-971-2141,Mass,4:30 PM,,Mass,english,Cathedral,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Cathedral,"13280 Chapman Ave, Garden Grove",(714) 971-2141,Mass,6:30 PM,,Mass,vietnamese,Cathedral,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Cathedral,"12141 Lewis St, Garden Grove",+1-714-971-2141,Mass,6:30 PM,,Mass,vietnamese,Cathedral,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Cathedral,"13280 Chapman Ave, Garden Grove",(714) 971-2141,Mass,8:00 AM,,Mass,english,Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Cathedral,"12141 Lewis St, Garden Grove",+1-714-971-2141,Mass,8:00 AM,,Mass,english,Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Cathedral,"13280 Chapman Ave, Garden Grove",(714) 971-2141,Mass,9:00 AM,,Mass,vietnamese,Cathedral,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Cathedral,"12141 Lewis St, Garden Grove",+1-714-971-2141,Mass,9:00 AM,,Mass,vietnamese,Cathedral,livestream
