slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-ca-adelanto-christ-the-good-shepherd-catholic-church-2a0d0e80,Christ the Good Shepherd Church,17900,,Jonathan,St,,,,17900 Jonathan St,Adelanto,CA,92301,,34.57593074,-117.40999234,(760) 246-7083
us-ca-alameda-st-albert-the-great-70a30b4a,St Albert the Great,1022,,Holly,St,,,,1022 Holly St,Alameda,CA,94502,,37.75777162,-122.23341768,(510) 373-5200
us-ca-alameda-st-barnabas-332cc3a1,St. Barnabas,1427,,Sixth,St,,,,1427 Sixth St,Alameda,CA,94501,,37.77246243,-122.27975932,(510) 522-8933
us-ca-alameda-st-joseph-89d499e8,St. Joseph Basilica,1109,,Chestnut,St,,,,1109 Chestnut St,Alameda,CA,94501,,37.7663968,-122.25451911,(510) 522-0181
us-ca-alameda-st-philip-neri-3d6afea7,St. Philip Neri Church,3100,,Van Buren,St,,,,3100 Van Buren St,Alameda,CA,94501,,37.73400798,-122.23692911,(510) 373-5200
us-ca-albany-chapel-of-st-mary-301f39a3,Chapel of St. Mary,,,St Mary's College High School,,,,,St Mary's College High School,Albany,CA,94706,,37.8826875,-122.2838125,
us-ca-alhambra-all-souls-catholic-church-0b0abdee,All Souls Catholic Church,1500,W,Main,St,,,,1500 W Main St,Alhambra,CA,91801,,34.09116263,-118.13977671,(626) 281-0466
us-ca-alhambra-carmel-of-st-teresa-dcb2fd06,Carmel of St Teresa,215,E,Alhambra,Rd,,,,215 E Alhambra Rd,Alhambra,CA,91801,,34.10216451,-118.1279834,626-282-2387
us-ca-alhambra-chapel-of-the-most-sacred-heart-aab80d6b,Chapel of the Most Sacred Heart,920,,E,Rd,,,,920 E Rd,Alhambra,CA,91801,2799,34.1046875,-118.1206875,16262891353
us-ca-alhambra-st-therese-catholic-church-7c637cb7,St. Therese Roman Catholic Church,1100,E,Alhambra,Rd,,,,1100 E Alhambra Rd,Alhambra,CA,91801,,34.10572,-118.118988,(626) 282-2744
us-ca-alhambra-st-thomas-more-ca5d4059,St. Thomas More,2510,S,Fremont,Ave,,,,2510 S Fremont Ave,Alhambra,CA,91803,4398,34.06415893,-118.14726791,(626) 284-8333
us-ca-aliso-viejo-corpus-christi-faa8014d,Corpus Christi,27231,,Aliso Viejo,Pkwy,,,,27231 Aliso Viejo Pkwy,Aliso Viejo,CA,92656,,33.567385,-117.730339,(949) 389-9008
us-ca-aliso-viejo-corpus-christi-church-02f233da,Corpus Christi Church,27231,,Aliso Viejo,Pkwy,,,,27231 Aliso Viejo Pkwy,Aliso Viejo,CA,92656,,33.5674638,-117.7303688,+1-949-389-9008
us-ca-alpaugh-sacred-heart-96e9ef5e,Sacred Heart,3860,,,Ave,,,,3860 Ave 54,Alpaugh,CA,93201,,35.88788992,-119.48580315,(559) 992-4414
us-ca-alpine-queen-of-angels-b614d92b,Queen of Angels,2569,W,Victoria,Dr,,,,2569 W Victoria Dr,Alpine,CA,91901,,32.84508257,-116.76716069,(619) 445-2145
us-ca-alta-loma-st-peter-and-st-paul-catholic-church-4fa352ce,St Peter & St Paul Catholic Church,9135,,Banyan,St,,,,9135 Banyan St,Alta Loma,CA,91737,,34.142766,-117.606687,(909) 987-9312
us-ca-altadena-sacred-heart-fc3d10f1,Sacred Heart,2889,N,Lincoln,Ave,,,,2889 N Lincoln Ave,Altadena,CA,91001,,34.19575984,-118.15938693,(626) 794-2046
us-ca-altadena-st-elizabeth-of-hungary-catholic-church-a8aad59b,St. Elizabeth of Hungary Catholic Church,1879,N,Lake,Ave,,,,1879 N Lake Ave,Altadena,CA,91001,3097,34.17754216,-118.1322997,(626) 797-1167
us-ca-alturas-sacred-heart-3cd395e7,Sacred Heart,507,E,Fourth,St,,,,507 E Fourth St,Alturas,CA,96101,,41.48722744,-120.53691917,(530) 233-2119
us-ca-alviso-our-lady-star-of-the-sea-d04d9ac4,Our Lady Star of the Sea,1385,,Michigan,Ave,,,,1385 Michigan Ave,Alviso,CA,95002,,37.42818983,-121.96978856,408-263-2121
us-ca-american-canyon-holy-family-a764eedd,Holy Family,200,,Antonina,Ave,,,,200 Antonina Ave,American Canyon,CA,94503,,38.17520353,-122.25246246,707-645-9331
us-ca-anaheim-annunciation-ruthenian-14eeea79,Annunciation (Ruthenian),995,N,W,St,,,,995 N W St,Anaheim,CA,92801,,33.845237,-117.931581,(714) 533-6292
us-ca-anaheim-poong-jesus-nazareno-filipino-catholic-center-deab67f1,Catholic Center of Poong Hesus Nazareno,3700,W,Orange,Ave,,,,3700 W Orange Ave,Anaheim,CA,92804,,33.82429458,-118.0131729,(657) 214-2507
us-ca-anaheim-san-antonio-de-padua-del-canon-4c88e067,San Antonio de Padua del Cañon Church,5800,E,Santa Ana Canyon,Rd,,,,5800 E Santa Ana Canyon Rd,Anaheim,CA,92807,3237,33.85190279,-117.7841142,(714) 974-1416
us-ca-anaheim-st-anthony-mary-claret-bebfea06,St. Anthony Claret,1450,E,La Palma,Ave,,,,1450 E La Palma Ave,Anaheim,CA,92805,,33.84677581,-117.89922783,(714) 776-0270
us-ca-anaheim-st-boniface-eb78f432,St. Boniface,120,N,Janss,St,,,,120 N Janss St,Anaheim,CA,92805,,33.8343163,-117.920944,(714) 956-3110
us-ca-anaheim-st-justin-martyr-e91d4458,St. Justin Martyr,2050,W,Ball,Rd,,,,2050 W Ball Rd,Anaheim,CA,92804,,33.81728128,-117.95349889,(714) 774-2595
us-ca-anaheim-st-thomas-korean-catholic-center-eef993c1,St. Thomas Korean Catholic Center,412,N,Crescent,Way,,,,412 N Crescent Way,Anaheim,CA,92801,,33.8371,-117.946968,(714) 772-3995
