Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Mon,6:00 PM,,Mass,weekday,vietnamese,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Mon,7:00 AM,,Mass,weekday,english,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Tue,6:00 PM,,Mass,weekday,vietnamese,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Tue,7:00 AM,,Mass,weekday,english,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Wed,6:00 PM,,Mass,weekday,vietnamese,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Wed,7:00 AM,,Mass,weekday,english,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Thu,6:00 PM,,Mass,weekday,vietnamese,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Thu,7:00 AM,,Mass,weekday,english,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Fri,6:00 PM,,Mass,weekday,vietnamese,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Fri,7:00 AM,,Mass,weekday,english,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Sat,4:30 PM,,Mass,saturday,english,,,,,,vigil
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Sat,7:30 AM,,Mass,saturday,vietnamese,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Sat,9:00 AM,,Mass,saturday,english,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Sun,10:00 AM,,Mass,sunday,english,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Sun,1:00 PM,,Mass,sunday,English,,,,,,hmong
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Sun,6:00 PM,,Mass,sunday,vietnamese,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Mass,Sun,8:00 AM,,Mass,sunday,english,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Confession,Mon,5:30 PM,5:55 PM,Confessions,weekday,English,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Confession,Mon,6:30 AM,6:55 AM,Confessions,weekday,English,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Confession,Tue,5:30 PM,5:55 PM,Confessions,weekday,English,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Confession,Tue,6:30 AM,6:55 AM,Confessions,weekday,English,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Confession,Wed,5:30 PM,5:55 PM,Confessions,weekday,English,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Confession,Wed,6:30 AM,6:55 AM,Confessions,weekday,English,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Confession,Thu,5:30 PM,5:55 PM,Confessions,weekday,English,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Confession,Thu,6:30 AM,6:55 AM,Confessions,weekday,English,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Confession,Fri,5:30 PM,5:55 PM,Confessions,weekday,English,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Confession,Fri,6:30 AM,6:55 AM,Confessions,weekday,English,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Confession,Sat,3:30 PM,4:15 PM,Confessions,saturday,English,,,,,,note: or by appointment
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Confession,Sat,8:15 AM,8:55 AM,Confessions,saturday,English,,,,,,
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Adoration,Fri,8:00 AM,5:00 PM,Adoration of Blessed Sacrament,specific_weekday,English,chapel,,,,,exposition
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Adoration,Sat,8:00 AM,9:00 AM,Adoration of Blessed Sacrament,saturday,English,,,,,,exposition
All Saints,"2559 S Federal Blvd, Denver, Colorado 80219",(303) 922-3758,Adoration,,10:00 AM,11:00 AM,"Praise, Worship & Adoration",monthly,English,church,first_saturday_(recurring),,,,exposition
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Mass,Mon,12:00 PM,,Mass,weekday,English,All Souls Catholic Church,,,,,
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Mass,Tue,12:00 PM,,Mass,weekday,English,All Souls Catholic Church,,,,,
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Mass,Wed,12:00 PM,,Mass,weekday,English,All Souls Catholic Church,,,,,
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Mass,Thu,12:00 PM,,Mass,weekday,English,All Souls Catholic Church,,,,,
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Mass,Fri,12:00 PM,,Mass,weekday,English,All Souls Catholic Church,,,,,
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Mass,Sat,4:00 PM,,Mass,saturday,English,All Souls Catholic Church,,,,,vigil
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Mass,Sat,7:30 AM,,Mass,saturday,English,All Souls Catholic Church,,,,,
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Mass,Sun,11:00 AM,,Mass,sunday,English,All Souls Catholic Church,,,,,
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Mass,Sun,7:30 AM,,Mass,sunday,English,All Souls Catholic Church,,,,,
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Mass,Sun,9:00 AM,,Mass,sunday,English,All Souls Catholic Church,,,,,
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Mass,,12:00 PM,,Ash Wednesday Mass,special_event,English,All Souls Catholic Church,,2026-02-18,,,Ash Wednesday Mass
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Mass,,6:00 PM,,Ash Wednesday Mass,special_event,English,All Souls Catholic Church,,2026-02-18,,,Ash Wednesday Mass
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Mass,,6:30 AM,,Ash Wednesday Mass,special_event,English,All Souls Catholic Church,,2026-02-18,,,Ash Wednesday Mass
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Confession,Thu,7:00 PM,8:00 PM,Confession,specific_weekday,English,All Souls Catholic Church,,,,,
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Confession,Sat,8:30 AM,10:00 AM,Confession,saturday,English,All Souls Catholic Church,,,,,
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Confession,,TBD,,Confession,parish_event,English,,,,,,By appointment; note: Call 303.789.0007 to schedule
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Adoration,Mon,11:00 AM,12:00 PM,Adoration,weekday,English,All Souls Catholic Church,,,,,exposition
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Adoration,Tue,11:00 AM,12:00 PM,Adoration,weekday,English,All Souls Catholic Church,,,,,exposition
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Adoration,Wed,11:00 AM,12:00 PM,Adoration,weekday,English,All Souls Catholic Church,,,,,exposition
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Adoration,Thu,11:00 AM,12:00 PM,Adoration,weekday,English,All Souls Catholic Church,,,,,exposition
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Adoration,Thu,7:00 PM,8:00 PM,Adoration,specific_weekday,English,All Souls Catholic Church,,,,,exposition
All Souls,"4950 S Logan St, Englewood, Colorado 80113",(303) 789-0007,Adoration,Fri,11:00 AM,12:00 PM,Adoration,weekday,English,All Souls Catholic Church,,,,,exposition
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,Mon,8:00 AM,,Mass,weekday,english,,,,,,
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,Mon,8:00 AM,,Mass,weekday,spanish,,,,,,
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Tue,6:45 AM,,Mass,specific_weekday,spanish,Annunciation Catholic Church,,,,,Weekday MassesWhen SchoolNOTin session; Weekday Masses when schoolisin session
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,Tue,8:00 AM,,Mass,weekday,spanish,,,,,,
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,Tue,8:00 AM,,Mass,weekday,english,,,,,,
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Tue,8:15 AM,,Mass,specific_weekday,english,Annunciation Catholic Church,,,,,Weekday Masses when schoolisin session
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Tue,8:15 AM,,Mass,specific_weekday,spanish,Annunciation Catholic Church,,,,,Weekday MassesWhen SchoolNOTin session
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Wed,6:00 AM,,Mass,specific_weekday,spanish,Annunciation Catholic Church,,,,,Weekday MassesWhen SchoolNOTin session; Weekday Masses when schoolisin session
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,Wed,8:00 AM,,Mass,weekday,english,,,,,,
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,Wed,8:00 AM,,Mass,weekday,spanish,,,,,,
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Wed,8:15 AM,,Mass,specific_weekday,spanish,Annunciation Catholic Church,,,,,Weekday MassesWhen SchoolNOTin session
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Wed,8:30 AM,,Mass,specific_weekday,english,Annunciation Catholic Church,,,,,Weekday Masses when schoolisin session
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,Thu,8:00 AM,,Mass,weekday,spanish,,,,,,
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,Thu,8:00 AM,,Mass,weekday,english,,,,,,
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Thu,8:15 AM,,Mass,specific_weekday,spanish,Annunciation Catholic Church,,,,,Weekday MassesWhen SchoolNOTin session
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Thu,8:15 AM,,Mass,specific_weekday,english,Annunciation Catholic Church,,,,,Weekday Masses when schoolisin session
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,Fri,8:00 AM,,Mass,weekday,spanish,,,,,,
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,Fri,8:00 AM,,Mass,weekday,english,,,,,,
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Fri,8:15 AM,,Mass,specific_weekday,spanish,Annunciation Catholic Church,,,,,Weekday MassesWhen SchoolNOTin session
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Fri,8:15 AM,,Mass,specific_weekday,english,Annunciation Catholic Church,,,,,Weekday Masses when schoolisin session
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,Sat,4:30 PM,,Mass,saturday,english,,,,,,vigil
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Sat,6:00 PM,,Mass,saturday,spanish,Annunciation Catholic Church,,,,,
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,Sun,10:30 AM,,Mass,sunday,spanish,,,,,,
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Sun,11:30 AM,,Mass,sunday,english,Annunciation Catholic Church,,,,,
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Sun,1:00 PM,,Mass,sunday,spanish,Annunciation Catholic Church,,,,,
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Sun,8:00 AM,,Mass,sunday,english,Annunciation Catholic Church,,,,,
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,Sun,8:30 AM,,Mass,sunday,english,,,,,,
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,Sun,9:30 AM,,Mass,sunday,spanish,Annunciation Catholic Church,,,,,
Annunciation,"3601 Humboldt St, Denver, Colorado 80205",(303) 296-1024,Mass,,10:00 AM,,Christmas Day Mass,special_event,spanish,Annunciation Catholic Church,,2025-12-25,,,Christmas Day Mass
Annunciation,"609 Poplar St, Leadville, Colorado 80461",(719) 486-1382,Mass,,4:30 PM,,Mass,other,spanish,,,,,,Sábados; vigil
