Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Mon, Feb 23, 2026",2026-02-23,Monday,All Saints,"2559 S Federal Blvd, Denver",(303) 922-3758,Mass,6:00 PM,,Mass,vietnamese,,
"Mon, Feb 23, 2026",2026-02-23,Monday,All Saints,"2559 S Federal Blvd, Denver",(303) 922-3758,Mass,7:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,All Souls,"4950 S Logan St, Englewood",(303) 789-0007,Mass,12:00 PM,,Mass,English,All Souls Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Annunciation,"609 Poplar St, Leadville",(719) 486-1382,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Annunciation,"609 Poplar St, Leadville",(719) 486-1382,Mass,8:00 AM,,Mass,spanish,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Ascension,"14050 Maxwell Pl, Denver",(303) 373-4950,Mass,7:00 PM,,Mass,spanish,Montbello,
"Mon, Feb 23, 2026",2026-02-23,Monday,Ascension,"14050 Maxwell Pl, Denver",(303) 373-4950,Mass,8:45 AM,,Mass,bilingual,Montbello,
"Mon, Feb 23, 2026",2026-02-23,Monday,Ave Maria,"9056 E Parker Rd, Parker",(303) 841-3750,Mass,6:45 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Ave Maria,"9056 E Parker Rd, Parker",(303) 841-3750,Mass,9:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Beaver Creek Interfaith Chapel,"33 Elk Track Rd, Avon",(970) 926-2821,Mass,8:00 AM,,Mass,English,Beaver Creek Interfaith Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"4900 Montview Blvd, Denver",(303) 355-7361,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral Basilica of the Immaculate Conception,"1535 Logan St, Denver",(303) 831-7010,Mass,12:10 PM,,Holy Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral Basilica of the Immaculate Conception,"1535 Logan St, Denver",(303) 831-7010,Mass,5:30 PM,,Holy Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral Basilica of the Immaculate Conception,"1535 Logan St, Denver",(303) 831-7010,Mass,7:00 AM,,Holy Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of Christ the King,"1300 S Steele St, Denver",13032823427,Mass,7:15 AM,,Mass,English,St. John Vianney Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of the Holy Rosary,"4435 Holiday Trail, Cascade",(719) 633-8711,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Citadel- The Catholic Center,"750 Citadel Dr E #3056, Colorado Springs",(719) 573-7364,Mass,12:10 PM,,Mass,English,The Catholic Center,
"Mon, Feb 23, 2026",2026-02-23,Monday,Citadel- The Catholic Center,"750 Citadel Dr E #3056, Colorado Springs",(719) 573-7364,Mass,6:00 PM,,Mass,English,The Catholic Center,
"Mon, Feb 23, 2026",2026-02-23,Monday,Corpus Christi,"2318 N Cascade Ave, Colorado Springs",(719) 633-1457,Mass,5:30 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Corpus Christi,"2318 N Cascade Ave, Colorado Springs",(719) 633-1457,Mass,7:45 AM,,Mass,english,,note: when school is in session
"Mon, Feb 23, 2026",2026-02-23,Monday,Curé d’Ars,"4701 Martin Luther King Blvd, Denver",(303) 322-1119,Mass,9:00 AM,,Mass,English,,M-Th
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Apostles,"4925 N Carefree Cir, Colorado Springs",(719) 597-4249,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Cross,"9371 Wigham St, Thornton",(303) 289-2258,Mass,8:30 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Ghost,"1900 California St, Denver",(303) 292-1556,Mass,11:30 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Ghost,"1900 California St, Denver",(303) 292-1556,Mass,7:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Name,"3290 W Milan Ave, Englewood",(303)781-6093,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Trinity,"7595 Federal Blvd, Westminster",(303) 428-3594,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"626 Aspen Dr, Colorado Springs",(719) 382-0121,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"715 Cabrini Dr, Lafayette",(303) 665-5103,Mass,8:00 AM,,Mass,english,Immaculate Conception Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Heart of Mary,"790 26-½ Rd, Grand Junction",(970) 242-6121,Mass,8:00 AM,,Mass,english,Chapel,note: Mon-Thu in Chapel; Fri in main sanctuary during Ordinary Time
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Heart of Mary,"11385 Grant Dr, Northglenn",(303) 452-2041,Mass,8:30 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Kateri Catholic Community,"7240 W 12th Ave (St Bernadette Church), Lakewood",(303) 233-1523,Mass,8:00 AM,,Mass,English,St. Bernadette,note: Appointments for confession available after daily Mass
"Mon, Feb 23, 2026",2026-02-23,Monday,Light of the World,"10316 W Bowles Ave, Littleton",(303) 973-3969,Mass,8:30 AM,,Mass,English,Light of the World,
"Mon, Feb 23, 2026",2026-02-23,Monday,Lyons Catholic Community,"350 Main St, Lyons",(303) 772-6322,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Most Holy Trinity,"135 Church St, Trinidad",(719) 846-3369 or (719) 480-0033 (Emergency only),Mass,8:00 AM,,Mass,english,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Mother Cabrini,"20189 Cabrini Blvd, Golden",(303) 526-0758,Mass,7:30 AM,,Mass,english,Mother Cabrini Shrine,
"Mon, Feb 23, 2026",2026-02-23,Monday,Mother of God,"475 Logan St, Denver",(303) 744-1715,Mass,8:00 AM,,Mass,English,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Nativity of Our Lord,"900 W Midway Blvd, Broomfield",(303) 469-5171,Mass,7:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Nativity of Our Lord,"900 W Midway Blvd, Broomfield",(303) 469-5171,Mass,9:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Notre Dame,"2190 S Sheridan Blvd, Denver",(303) 935-3900,Mass,8:10 AM,,Mass,English,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady Mother of the Church,"6690 E 72nd Ave, Commerce City",(303) 289-6489,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Assumption,"109 S 5th St, Westcliffe",(719) 783-3507 or (719) 784-4879 ,Mass,5:30 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Fatima,"1985 Miller St, Lakewood",(303) 233-6236,Mass,6:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Fatima Mission,"207 Main St, Olathe",(970) 249-3319,Mass,8:00 AM,,Mass,english,St. Mary,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Grace,"1956 Grace Ave, Wattenberg",(303) 857-6642,Mass,7:30 AM,,Mass,bilingual,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Guadalupe,"2715 E Pikes Peak Ave Springs, Colorado Springs",17196337204,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Loreto,"18000 E Arapahoe Rd, Foxfield",(303) 766-3800,Mass,7:30 AM,,Mass,english,Our Lady of Loreto,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Lourdes,"2298 S Logan St, Denver",(303) 722-6861,Mass,8:00 AM,,Mass,English,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Mount Carmel,"363 Pine St, Red Cliff",19708279559,Mass,6:45 AM,,Mass,English,St. Clare,During the school year
